"标题","正文"
"8月2日PTA产业链商品相关价格表","产品价格类型2018-8-12018-8-2涨/跌单位原油WTI主力合约67.6668.961.30美元/桶原油布伦特主力合约72.3973.451.06美元/桶石脑油CFR日本664.37654.74-9.63美元/吨PXFOB韩国1081.801083.802.00美元/吨PXCFR中国1101.001103.002.00美元/吨MEGCFR中国935.00938.003.00美元/吨PTACFR中国870.00870.000.00美元/吨聚酯切片(半消光)现款出厂8650.00-8650.008650.00-8700.0025.00元/吨涤纶POY150D/48F现款出厂9800.00-10150.009900.00-10150.0050.00元/吨涤纶DTY150D/48F现款出厂11160.00-11400.0011310.00-11600.00175.00元/吨涤纶FDY150D/96F现款出厂9860.00-10110.0010110.00-10210.00175.00元/吨涤纶短纤1.4D*38MM现款出厂9200.00-9450.009350.00-9500.00100.00元/吨                                            (责任编辑：DF120)"
"油价支撑叠加国内信用宽松预期 化工品阶段性走强","摘要            8月2日，由弘则研究与永安期货共同主办的“原油PTA产业链闭门沙龙”在上海举行，来自金融机构、生产、贸易企业等100余人参与了本次活动。会议期间有关专家从宏观视角出发，结合上游原油价格支撑因素，对近期化工品的行情及未来走势做了梳理和展望。                             　　8月2日，由弘则研究与永安期货共同主办的“原油PTA产业链闭门沙龙”在上海举行，来自金融机构、生产、贸易企业等100余人参与了本次活动。会议期间有关专家从宏观视角出发，结合上游原油价格支撑因素，对近期化工品的行情及未来走势做了梳理和展望。 　　从宏观来看，弘则研究董事长王沛表示，全球经济处在利率抬升经济下行的大周期之中，但是近期小周期上出现了不可否认的反弹。全球制造业PMI扩散指数虽一直处于负值区间，但在不断上升。从起领先性来看，全球经济在短周期内会有所反弹。并且美国、欧元区以及新兴市场经济惊喜指数近期也都在上行。全球经济正在经历一轮向上反弹的小周期。 　　再具体到国内的情况来看，王沛表示，货币、信用端政策边际变化对国内经济也将大概率产生积极的影响。继4月份今年第一次降准之后，7月5日央行实行今年内第二次降准，中小型金融机构下调准备金率至13.5%，大型下调至15.5%。除了货币政策边际宽松，在信用端， 7月18日开始对于各银行新增信用债投资，aa+及以上配1:1MLF，aa+以下配1:2配资金，要求必须为产业类，金融债不符合。自央行窗口指导买信用债以来，aaa-地方政府债、2a+以下企业债和城投债收益率回落明显。 　　“ 接下来如果融资端压力逐渐得到缓解，企业生产意愿恢复、原材料开始补库，实体企业终端需求将会慢慢被释放。一些实体经济终端需求相关的商品价格将会受到支撑”王沛表示。  　　而从近期商品价格走势来看，化工品相对强势，究其背后原因，除了有实体经济阶段性走强的因素外，作为化工品的上游原料，原油价格从年初以来的大幅拉升也起到了很强的作用。 　　以近期表现强势的PTA为例，永安期货产业发展总部顾正强表示，1季度PTA成本涨幅跟上游原油、PX相比，处于中性；而自6月份以来，伴随着汇率贬值、PX成本上涨，PTA当前处于石化产业链的高位水平。 　　而对于未来PTA的走势，顾正强认为，石化上游对PTA的成本支撑仍然较强。目前原油高位震荡的情况下，而从原油到石脑油到PX再到PTA这个链条来看，目前石脑油裂解价差处于高位，而PX与石脑油裂解价差在3季度也大概率仍会处于偏高水。 　　而对于接下来国际原油价格的走势，弘则研究化工组组长戚明之表示，在第三季度因为 OPEC+ 中的沙特和俄罗斯已经显著增产，而委内瑞拉和伊朗的减产是慢慢慢释放，因此趋向震荡； 在第四季度因伊朗制裁落地，北美增产放缓，原油或仍将维持去库存的趋势，继续看多原油。                                            (责任编辑：DF318)"
"贺维：PTA盘面加速上涨 警惕回调风险","　　芳烃走强抬升成本，供应商回购现货收紧，下游聚酯开工高位，工厂原料刚需平稳，产业链库存整体低位，PTA基本面表现良好。本周资金持续流入，市场做多情绪浓厚，盘面短期加速上涨，但须警惕高位回调风险，建议多单适当减仓。                                             (责任编辑：DF318)"
"PTA今日观点 厂商回购减少","　　现货成本端，原油价格走强，石脑油价格保持坚挺，PX价格继续走强，离岸人民币继续大幅走弱，致使PTA成本继续强支撑。乙二醇价格重新上涨，内盘华东价格达到7800以上。下游涤纶价格企稳。利润方面，PX利润走强，下游利润重新回落，PTA利润小幅压缩。整体来看，厂商回购减少，PTA价格随有冲高动能但是后续跟进不足，1809多单可继续持有，控制仓位。                                            (责任编辑：DF386)"
"价格上行阻力增强 PTA涨势接近尾声","摘要            虽然PTA供需格局向好，但伴随价格的走高，产业链利润向中上游转移，后市价格上行阻力增强，PTA涨势步入尾声，建议逢高减持多单或离场。                             　　虽然PTA供需格局向好，但伴随价格的走高，产业链利润向中上游转移，后市价格上行阻力增强，PTA涨势步入尾声，建议逢高减持多单或离场。 　　6月中下旬以来，PTA经历了一波强力拉涨行情，主力合约最大涨幅近16%。伴随价格的走高，产业链利润向中上游转移，虽然供需面依旧向好，但价格上行阻力增强，本轮涨势接近尾声。 　　原油端方向性指引弱化 　　5月之后，美国退出伊核协议明朗化，沙特、俄罗斯等国确定性增产，原油市场交易逻辑发生变化，不再是年初以来的OPEC超预期减产带来全球油市基本面改善，当下供应端已经没有一个顺畅的减产故事可以讲下去。在今年年底美国作出是否退出伊核协议的正式决议之前，原油市场交易逻辑较为混沌，价格大概率振荡运行，其对下游化工品的方向性指引弱化。 　　PTA供应偏紧短期基本无解 　　7月以来，检修装置陆续重启，PTA行业负荷提升至83.5%的年内高位(以总产能4923万吨/年核算)。当下处于检修状态的只有佳龙60万吨/年和蓬威90万吨/年的两套小装置，远东3套共计180万吨/年和福化(原翔鹭)405万吨/年的装置短期内也无法投产。当前条件下，即便装置满负荷运行，开工率也只有87%，继续提升的空间很小。可见，PTA供应上遇到瓶颈。从已知的消息看，蓬威的装置计划在8月初重启，恒力220万吨/年的装置计划在8上旬检修两周左右，桐昆一期150万吨/年和逸盛宁波220万吨/年的装置计划在三季度检修，虹港石化150万吨/年的装置计划推迟到10月前后检修。虽然后期的装置检修具有不确定性，但是基本可以肯定，现有的PTA装置基本不会处于满负荷运行状态。供应端关注度最高的仍是福化剩余230万—240万吨/年的边际产能何时复产，从目前的情况看，11月之前其形成有效供应的可能性不大。 　　从季节性角度看，当下处于下游淡旺季转折点，未来3—4个月，无论是聚酯还是织造，装置负荷都会高位运行。截至7月底，聚酯装置负荷提升至96.5%，预计11月之前平均负荷维持在96%—97%。按聚酯总产能5122万吨/年核算，消耗PTA350万—360万吨/月，加上其他领域消耗的12万吨/月，进出口量基本维持平衡。也即是说，未来3—4个月，PTA月均消费量在360万—370万吨。以当下装置运行情况看，供应极限在360万吨/月，在翔鹭边际产能释放之前，PTA供应偏紧基本无解，平均有10万吨/月的缺口，三季度后期PTA仍处于温和去库存过程。结合PTA绝对社会库存位于历史同期低位(约70万吨)，后期PTA现货价格易涨难跌，加工费存在继续走高的基础。 　　产业链内部利润体系矛盾凸显 　　本轮PTA价格上涨的主要原因是产业链中上游利润扩张，并不是原油市场的助推。6月底至今，PTA和原油价差从2100元/吨涨至2900元/吨，基本等同于PTA的单边涨幅。PTA和原油2900元/吨的价差也处于近5年的历史同期高位。从价差季节性走势看，未来3个月，PTA和原油价差有回落趋势。 　　分项来看，石脑油和原油、PX和石脑油的价差都处于近几年的同期高位，尤其是PX和石脑油，年底前新PX项目上马预期下，PX端利润回落空间较大，而市场关注度最高的PTA端，利润上涨较为温和。截至7月31日，PTA和PX的价差在880元/吨，较2017年以来的PTA加工费高点1200元/吨还有段距离，这也是部分市场人士继续看涨的理由。然而，我们认为，造成PTA加工费上涨缓慢的主要原因是人民币贬值。排除汇率变动的干扰，PTA加工费要在目前的基础上增加400—500元/吨。另外，6月中下旬以来，产业链中上游产品的涨幅明显强过下游聚酯和织布，成本涨价不能有效传导至终端，下游利润被大幅压缩，聚酯切片、短纤和DTY等产品现金流已经转负，终端织造在原料价格高企的环境下，现金流表现也不佳，传闻部分工厂已经停车。产业链利润矛盾凸显，这成为PTA价格走高的阻力。 　　综上所述，本轮PTA涨势步入尾声，单边建议逢高减持多单甚至离场。 (作者单位：信达期货)                                            (责任编辑：DF318)"
"8月2日PTA(华东)为6863.00元/吨","　　8月2日，PTA(华东)参考价为6863.00元/吨，与8月1日(6673.00)相比，上涨了2.85%。                                            (责任编辑：DF380)"
"8月1日PTA热点聚焦","　　根据生意社价格监测显示，PTA华东现货市场价格大幅上涨，截止7月31日，较当月初上涨11.69，同比去年上涨25.34%，为2014年10月中旬以来的最高价格。生意社分析师认为，7月PTA价格出现大幅上涨的主要因素有几点，近三个月，人民币贬值近7%，价格数值提升；原油，PX价格上涨，原料成本端支撑强劲；大厂机器检修，下游需求增加，现货供不应求，同时贸易商加入到流通链环节，价格随之被抬高。预计价格还会继续上行。                                            (责任编辑：DF314)"
"8月1日PTA(华东)为6673.00元/吨","　　8月1日，PTA(华东)参考价为6673.00元/吨，与7月1日(5910.00)相比，上涨了12.91%。                                             (责任编辑：DF120)"
"PTA供应偏紧 期价接近涨停","　　盘面情况：郑州PTA1809合约开盘报6394元/吨，收盘报6656元/吨，较上一个交易日涨292元/吨，涨幅4.59%，成交量增加至326.7万手，持仓量增加35402手至89.3万手。  　　消息面：1、8月1日亚洲PX市场收盘价在1075美元/吨FOB韩国1094美元/吨CFR中国，较前一个交易日上调10.67美元/吨。2、今日江浙地区聚酯切片市场价格稳中上涨，成本面继续强劲拉账，聚酯切片厂家报盘上涨，下游市场买气一般，一般刚需为主。目前江浙地区半光切片主流围绕在8600-8750元/吨附近，有光切片商谈参考8600-8750元/吨；高低端成交均有听闻。 　　现货价格：华东主流内贸基差报盘升水200元/吨附近，递盘基差升水150元/吨附近。现货商谈价格参考6780-6800元/吨。美金盘PTA市场价格上调，PTA美金船货报盘维持至860-865美元/吨，PTA一日游货源供应商上调5美元执行870-880美元/吨，未有成交听闻。                                            (责任编辑：DF381)"
"PTA爆发：日成交逾300万手 期价创近4年新高！","摘要            【PTA爆发：日成交逾300万手 期价创近4年新高！】东方财富网2日讯，期市整体跌多涨少，但焦炭、PTA主力合约涨幅居前，其中PTA主力合约领涨，期价创2014年9月9日以来新高，单日累计成交327万手。                             　　东方财富网2日讯，期市整体跌多涨少，但焦炭、PTA主力合约涨幅居前，其中PTA主力合约领涨，期价创2014年9月9日以来新高，单日累计成交327万手。　　截至收盘，PTA主力合约涨4.59%，报6656元/吨。　　对于PTA后市，机构看法整理如下： 　　大有期货：短期PTA将震荡偏强运行 　　供应上，8月PTA装置检修较7月有所减少，供应上会有所放大。需求上，下游聚酯和江浙织机的开工率较高。PTA库存处于较低水平。短期PTA驱动向上。持有收益率处于偏低位置，现货加工费用位于中性偏高水平。PTA估值中性。预计短期PTA将震荡偏强运行，操作上以做多为主。　　申银万国期货：盈利多单继续持有　　蓬威石化PTA装置于7月31日逐步升温，计划本周内出料，该装置年产能90万吨。恒力石化1号220万吨PTA生产线于8月1日13:00准时停车检修，预计检修时间15天左右。PX ACP达成于1060美元/吨，从成本线来看PTA原料成本攀升至5600元/吨。TA809夜盘回落，收于6340(+16)。PTA供应商加大了市场回购量，或将进一步收紧PTA流动性，现货市场交投尚可，日内华东内贸PTA现货主港成交基差参考1809升水250-280元/吨。预估现货成交1万多吨。昨日聚酯产销稳中下滑，涤纶长丝产销130%，涤纶短纤产销30%-70%，聚酯切片产销30%-70%。目前PTA基本面尚可，盘面进入资金博弈阶段，盈利多单继续持有，宏观面上，人民币汇率反弹，或继续调整。　　中期期货：PTA延续偏强格局　　上周美国原油库存增加380万桶，国际原油继续回落。供给来看，恒力石化220万吨PTA装置停车检修，PTA开工下滑至75.56%。需求来看，当前聚酯负荷在90.40%，下游聚酯淡季不淡。整体来看，PTA基本面依然较好，仍处于去库存通道中，PTA现货面偏紧，加工费不高，PTA延续偏强格局。　　信达期货：可继续布局11月多单　　原料端原油、石脑油和PX近期表现偏震荡。PTA供应端，七月预计去库约十万吨，八月份依然有望去库约6万吨，三季度涉及检修的装置依然较多，三季度的供应增量有限。下游聚酯方面，聚酯负荷近期在缓慢提升，另外5、6月聚酯有新装置开启，目前已经稳定生产，产能基数提升100万吨左右，需求端依然刚需支撑，后期负荷仍有有提升空间，聚酯成品现金流情况良好，库存处于中等偏下稳定，支撑厂家维持开工意愿。目前库存低于80万吨。终端纺织和加弹负荷上周有抬升迹象，终端行情有所恢复。依然有不少装置尚未进行年修，预计三季度将开始检修，供需偏紧，翔鹭装置三季度重启可能无望，建议布局11月，防止1月翔鹭复产预期的影响。 　　操作上，9月面临移仓，注意止盈。可继续布局11月多单，继续持有，后期将关注终端、聚酯的后续变化情况。　　一德期货：明年上半年之前，PTA正套逻辑持续　　我们将PTA此前的上涨归结为两个阶段，第一个阶段为成本推动型：6月下旬至今，汇率加速贬值，从6.45左右到目前的6.8，按照昨日1035美金的PX测算，汇率对于PTA成本的增加贡献280元/吨。原油端看做是震荡，但PX由于自身供需阶段性好转以及后期检修预期，自身价差逐步走扩约45美金左右，对于PTA成本增加贡献240元/吨。而此阶段PTA自身加工费总体保持稳定，基本维持在750-850元/吨的区间(其实当前加工费780，较6月下旬的850左右还略有缩小)。总体看PTA--原油产业链总体利润是扩大的，但主要是石脑油环节(NAP-原油价差从60美金扩到当前95美金左右)、PX环节价差的扩大，PTA环节价差维持稳定。第二阶段：资金推动型，本周以来，某主力席位大幅增仓，PTA价格随之大幅上涨，在当前PTA绝对库存较低，基本面仍然不差的背景下，具备ruanbicang行情的条件，当然这个需要持续关注主力的行为。　　从估值的角度看，原油端，我们认为3-4季度处于一个强势震荡的格局，重心不断抬升，但这是一个中长期的过程。石脑油端，其于原油价差当前以及处于相对高位水平(95美金左右，2016年、2017年平均价差分别为60、83美金)，继续扩大的空间有限；PX环节，其与石脑油价差近期由于去库存以及检修预期急速扩大，但利好逐步兑现，从绝对价差看亦处于相对高位(当前350左右，2016、2017年均分别为375、340美金)，同时后期国内PX民营大炼化产能预期今年4季度投放，尽管形成大规模供给需要明年初，但PX大趋势看空确定性较高，给其价差估值亦不宜太高。PTA环节，市场对于其加工费估值较为理性，前期波动区间700-900元/吨。预计10月份福海创另一半225万吨产能开出，PTA供给将不再紧俏。因此不能给与PTA自身较高加工费估值，前期市场亦是这么走的。在这里，我们給PTA自身最高1000的加工费估值(去年底今年初，PTA绝对库存较低的时候PTA加工费最高也就1200左右，且在1000以上仅维持了1个月左右的时间)，按照1050左右的PX的价格计算，PTA现货价格在6500(对应期货1809合约6400左右，1901合约6300左右)以上应该属于高估区。　　如果做空，建议选择远月合约(如果1905有流动性上升，也不妨介入)。明年上半年之前，PTA正套逻辑持续，9-1正套当下100点以下可参与，1-5正套平水可参与。单边方面近月合约还需要特别关注资金博弈，一旦减仓，空头可择机参与，如果持续增仓，就需要谨慎面对。　　神凯投资：PTA稳健上涨，供需依然向好　　上周，PTA继续维持强势上涨，其中因原油上涨带来的成本推动约80元，另外100元来自人民币贬值和中间加工费的扩张，当前“PTA-原油”端中间加工费已回升至3300一线。本周基本面几无变化，上下游开工率持稳，PTA库存曲线持平。本周，供需变化依然较小。供给端，蓬威石化重启，不过进入8月恒力220万吨装置开始检修，供需环比略减，需求端聚酯开工率料持稳于91%，供需格局偏紧张，小幅去库存。在流通库存偏低的状况下，预计PTA依然保持强势。中期供应存瓶颈，需求稳定，我们认为PTA基本面格局向好，持续看好PTA。　　短期基本面变化不大，本周供需紧平衡：伴随此前检修装置的重启，PTA目前供需平衡。不过本周在恒力石化检修和聚酯端装置重启的驱动下，供需依然偏紧，预计将小幅去库存。　　中长期基本面格局良好：一方面，当前中间环节加工费依然不高；另一方面，PTA明年四季度之前没有新产能，现有产能扣除零星检修后，和需求相匹配已经紧平衡。PTA将很能出现持续性累库存，伴随需求端的刚性增速和库存削减，未来PTA将越来越紧张，当库存低位时，即使原油下跌，PTA也将逃逸成本牵制而上涨。　　综上所述：我们认为PTA基本面向好，当前市场运行较理性，中间加工费合理，下方安全边际依然较好，短期供需及中期供需均较为乐观。　　今日焦点>>>　　美联储维持1.75%-2.00%基准利率不变 符合市场预期　　喊话特朗普伊朗驻欧佩克代表：沙特补不了我的缺　　吨钢利润破千 黑色系再迎“美好时代”　　人民币中间价今日上调351点 结束连续四天下跌走势　　下半年房价要涨？会怎样调控？ 中央给出最权威回应                                            (责任编辑：DF318)"
