"标题","正文"
"夏豪杰：市场震荡 国债多单减仓","　　基本面上，货币市场利率逐步下行，央行指导银行进行信贷扩张也促进实体经济利率下行。中长期支撑利率下行，美中僵局加大央行对人民币兑美元的容忍程度，国内利率下行空间打开。短期内连续上涨带来市场巨幅震荡，国债多单减仓。  　　操作建议：多单减仓                                             (责任编辑：DF318)"
"期债继续走高难度较大 短期保持观望","摘要            近期，10年期国债期货补齐跳空缺口后，继续回暖。现券收益率整体下行，其中10年期国债到期收益率降至3.46%附近，10年期国开债到期收益率回落至4.10%附近。受多空因素影响，期债短期继续走高难度较大。                             点击查看行情　　近期，10年期国债期货补齐跳空缺口后，继续回暖。现券收益率整体下行，其中10年期国债到期收益率降至3.46%附近，10年期国开债到期收益率回落至4.10%附近。受多空因素影响，期债短期继续走高难度较大。　　基本面方面，中国一季度GDP同比增长6.8%，而二季度增速回落0.1个百分点，为6.7%。中国6月规模以上工业增加值同比增长6%，上半年工业增加值增长6.7%，增速较1-5月回落0.2个百分点。从分项数据看，中国上半年固定资产投资同比增长6.0%，增速比1—5月回落0.1个百分点；6月社会消费品零售总额同比增长9.0%，上半年同比增速为9.4%。中国6月出口(以人民币计)同比增长3.1%，不及预期和前值；进口增长6%，大幅低于预期和前值。进入7月，官方制造业PMI创5个月新低，财新中国制造业PMI创8个月新低。通货膨胀方面，6月CPI同比上涨1.9%，其中由于猪肉价格下降12.8%，影响CPI下降约0.32个百分点；PPI同比上涨4.7%，增速创年内新高，其中生产资料价格和生活资料价格分别同比上涨6.1%和0.4%。　　从6月主要经济金融数据看，经济下行压力逐步显现，对期债形成支撑。不过面对信用违约，近期央行在扩大MLF担保品之后，又窗口指导银行购买信用债，同时央行已经释放了5020亿元的MLF资金。国务院常务会议提出，保持宏观政策稳定，积极财政政策要更加积极，稳健的货币政策要松紧适度。市场对未来经济基本面预期有所好转，期债短期承压。　　资金面方面，8月资金面压力较小，8月15日有3995亿元MLF到期，央行大概率继续呵护资金面。近几个交易日，银行体系流动性总量处于较高水平，央行连续十日暂停公开市场操作，不过资金面整体仍较为宽松，货币市场利率多数下行，对期债形成支撑。8月1日，人民银行召开2018年下半年工作电视会议，表示今年下半年要实施稳健的货币政策，保持流动性合理充裕；更加注重和市场的政策沟通，为金融改革发展稳定营造良好氛围。　　政策面方面继利好信用债。国务院常务会议提出，要有效保障在建项目资金需求，督促地方盘活财政存量资金，引导金融机构按照市场化原则保障融资平台公司合理融资需求。整体看来，市场认为政策已经出现放松信号，不过我们并不认为政策出现了较大的改变或者转向，大方向仍是供给侧改革，在去杠杆背景下，变化的只是政策节奏。此外，中共中央政治局会议、国务院举行的政策例行吹风会以及央行2018年下半年工作电视会议，均提及稳健的货币政策和积极财政政策的基调，表示要坚定做好去杠杆工作，把握好力度和节奏，协调好各项政策出台的时机。　　整体上，PMI回落，资金面延续宽松，支撑期债走高，不过也需留意稳健货币政策和积极财政政策对经济的刺激作用，短期保持观望。 (作者单位：广发期货)                                            (责任编辑：DF318)"
"短期内期债难言利好 期债陷入区间波动僵局","摘要            【短期内期债难言利好 期债陷入区间波动僵局】7月多空因素交织，利率下行，曲线走陡，期债宽幅振荡，月末收涨。基本面方面，6月通胀回升，进口回落，经济增速小幅下滑，投资同比继续回落，M2和社融同比双双回落，再创新低。监管方面，央行公布资管新规细则，监管节奏放缓，非标限制放松。政策方面，定调稳定的货币政策与积极的财政政策，支持对贷款和产业类信用债的投资。（期货日报）                             点击查看行情　　7月多空因素交织，利率下行，曲线走陡，期债宽幅振荡，月末收涨。基本面方面，6月通胀回升，进口回落，经济增速小幅下滑，投资同比继续回落，M2和社融同比双双回落，再创新低。监管方面，央行公布资管新规细则，监管节奏放缓，非标限制放松。政策方面，定调稳定的货币政策与积极的财政政策，支持对贷款和产业类信用债的投资。　　日前公布的7月份官方制造业PMI为51.2%，低于前值的51.5%。结合高频数据，预计7月通胀压力不大，生产需求回落，经济增速继续承压。短期内期债难言利好，预计在区间内振荡调整。　　生产需求回落　　生产方面，PMI生产指数下滑0.6个百分点至53%，高炉开工率和重点企业粗钢产量均环比回落。产成品库存、原材料库存以及在手订单指数均小幅回升，分别收于47.1%、48.9%以及45.7%，但仍处于收缩区间。生产回落，供给收缩，预计7月工业增加值增速继续回落。　　需求方面，新订单指数下滑0.9个百分点至52.3%。其中，新出口订单指数持平前值49.8%，连续两个月落在荣枯线以下。进口指数下滑0.4个百分点至49.6%，继今年2月后再次落至收缩区间。整体看，7月生产回落，内外需均见收缩，不排除工业增速、社消总额以及进出口数据继续回落的可能。　　7月生产资料价格指数环比下滑，水泥、钢铁、动力煤、棉纱等大宗商品价格均环比回落。PMI主要原材料购进价格指数下滑3.4个百分点至54.3%，采购量指数下滑1.3个百分点至51.5%，出厂价格指数下滑2.8个百分点至50.5%。整体看，7月工业品量价齐跌，叠加翘尾因素低于前值，预计7月PPI同比小幅下滑。7月食用农产品价格指数环比小幅回升，猪肉、蔬菜以及蛋类价格均环比增长；非食品价格环比有所回落。考虑到翘尾因素走低，预计7月CPI同比变动不大，当前通胀压力不大。　　政策组合下的振荡区间　　7月31日中央政治局会议分析研究了当前经济形势，部署下半年经济工作。会议指出，当前经济运行稳中有变，外部环境发生明显变化，要抓住主要矛盾，采取针对性强的措施加以解决。会议要求保持经济平稳健康发展，坚持实施积极的财政政策，在扩大内需和结构调整上发挥更大作用。稳健的货币政策要把好货币供给总闸门，保持流动性合理充裕。此次表态基本与国常会一致，积极财政政策基本没有预期差，巩固了此前T1809合约95.2点的底部位置。　　7月银行间资金利率低位运行，并落至政策利率水平以下，流动性分层现象明显改善。央行于7月17日开展1500亿元3个月国库现金定存，招标利率大幅下降至3.7%。从量上看，适逢税期，央行超量投放以缓解流动性紧张局面；从价上看，跨季以后资金利率落至低位，银行间资金成本已经明显下降，负债压力有所缓解。在供需决定下，此次招标利率下降是合理的，并不能代表货币政策的进一步宽松。考虑到当前去杠杆、抑房价的政策目标，降息的概率不大，短期内流动性进一步宽松的空间有限。　　央行于7月23日向满足条件的银行投放5020亿元1年期MLF，用于贷款和产业类信用债投资。月底财政资金投放，流动性充裕，公开市场逆回购净回笼5300亿元。当前跨月结束，8月初有500亿元逆回购将到期，预计不会继续投放。长期资金的投放伴随着短期资金的回笼，锁短放长后，后期有资金利率小幅回升的风险。　　综上所述，短期内流动性进一步宽松的空间有限，积极的财政政策已经打出阶段性底部，监管风险暂时出清。国内通胀温和，压力不大。生产需求仍见回落，经济增长依然承压，政策调整与经济增速的改善大概率存在时间差。预计经济基本面的预期差将成为下一阶段的主导因素，但仍需考虑降准和海外因素的风险。　　(作者单位：东兴期货)                                    (原标题：期债陷入区间波动僵局)                                                (责任编辑：DF358)"
"夏豪杰：“拿掉”中性 国债多单轻仓持有","　　政治局会议在货币政策的提法，是稳健的货币政策。跟央行传统的“中性”的定语被拿掉，这在一定程度上与国常会的态度较为接近。基础建设已近明确成为支持方向，支持实体经济仍需货币相对宽松环境，国债多单轻仓。  　　操作建议：多单轻仓                                             (责任编辑：DF318)"
"资金面宽松 期债上涨基础牢固","摘要            【资金面宽松 期债上涨基础牢固】周二，7月PMI数据回落，国债期货大幅走强创逾一周新高，10年期债主力T1809收涨0.35%，5年期债主力TF1809涨0.13%。期债走强，带动长端利率债收益率明显下行，资金面宽松，短端利率债持续回暖。10年国开活跃券180205收益率下行5.23bp报4.18%，10年期国债活跃券180011收益率下行3.5bp报3.4850%。（期货日报）                             点击查看行情　　周二，7月PMI数据回落，国债期货大幅走强创逾一周新高，10年期债主力T1809收涨0.35%，5年期债主力TF1809涨0.13%。期债走强，带动长端利率债收益率明显下行，资金面宽松，短端利率债持续回暖。10年国开活跃券180205收益率下行5.23bp报4.18%，10年期国债活跃券180011收益率下行3.5bp报3.4850%。　　自资管新规配套细则出台之后，期债进入快速调整行情，其中十债主连最低跌幅超过1元，主要利率债收益率大幅反弹。随着7月末时点到来，央行公开市场操作不仅未投放，反而连续多日净回笼资金，而市场资金面宽松，货币市场利率重心持续下行，导致利率期限结构陡峭化，长端利率继续上涨难度较大。市场资金面的宽松与过去一段时间的定向降准与大额投放MLF有关，在短端利率重心下行的背景下，长端利率下行动能增加，国债期货调整行情大概率结束，未来一段时间有望延续年初以来的上涨趋势。　　央行公开市场连续净回笼，不改资金面宽松格局。7月31日，央行公告称，考虑到月末财政支出力度进一步加大，在对冲央行逆回购到期等因素后还将推高银行体系流动性总量，当日不开展公开市场操作。当日有300亿元逆回购到期，净回笼300亿元。值得注意的是，自7月19日开展1000亿元逆回购后，截至周二(7月31日)，央行已连续八个交易日未开展公开市场操作。不过央行于上周一(7月23日)意外开展了5020亿元1年期中期借贷便利(MLF)操作，这是央行创设MLF以来，开展规模最大的一次操作。在流动性较好的情况下，央行开展大额度MLF操作，旨在适当提振信贷和信用债市场，缓解信用紧缩状况。　　对于连续暂停OMO的原因，央行在公告中多次明示，如20日称“目前银行体系流动性处于合理充裕水平”，24日、27日强调“目前银行体系流动性总量处于较高水平”，并指出金融机构法定准备金退缴、月末财政支出力度加大等可对冲央行逆回购到期等因素的影响，“维护银行体系流动性合理充裕”。7月末财政支出力度加大，8月初逆回购到期量较少，短期央行大概率继续暂停公开市场操作，8月资金面仍有望保持平稳偏松态势，但地方债发行缴款、外汇占款波动对资金面的影响也需关注。　　货币市场利率重心持续下行，利率期限结构陡峭化。在货币市场利率中，跌幅较大的为3个月shibor，其从今年年初的4.8%水平，跌至目前的3.2%水平，绝对跌幅在160bp左右，且大部分跌幅是在近两个月的时间完成的。7天Shibor仅仅从年初2.9%跌至目前2.6%，跌幅在30bp左右。长端利率则从今年年初的3.9%跌至目前3.5%，跌幅在40bp。由于近期3个月Shibor跌幅远超过长端利率，导致近期利率期限结构陡峭化，如果货币市场利率重心继续下行，这大概率会传导至长端利率，导致其下跌动能增加。　　经济基本面下行压力仍然较大，支撑债市继续走高。7月官方制造业PMI 51.2，略低于预测值51.3，也较前值51.5有所回落；7月官方综合PMI53.6，前值54.4，较6月低0.8个百分点，表明我国企业生产经营活动总体继续保持扩张，但步伐略有放缓。整体看，本月数据走低部分原因是局部地区工矿企业停产，但多项数据指向需求走弱，生产指数和新订单指数分别回落0.6和0.9个百分点至53%和52.3%，订单指数回落幅度更大。基本面的弱势导致企业投资需求不足，其他条件不变的前提下，市场资金需求降低，这压制了长端利率的上行空间，加大其下行动力，这是支撑债市上涨的基础。　　整体来看，目前市场资金面宽松，以3个月为代表的货币市场利率重心持续下行，导致利率期限结构陡峭化，这是支持长债利率下行的动能，债市调整过后延续上行的概率较大。需要注意的是，积极财政政策的发力往往意味着投资需求的增加，如果货币政策配合力度不足，将一定程度压制利率下行的空间。                                            (责任编辑：DF358)"
"国债期货市场功能发挥逐步深化","摘要            2013年9月6日，我国5年期国债期货上市，成为国内第一个标准化的利率期货品种；2015年3月20日，10年期国债期货推出，截至2018年6月29日，10年期国债期货日均成交量近3万手、日均持仓量约4.6万手，是交易最活跃的国债期货品种。今年7月24日，中金所又就2年期国债期货合约及细则向社会公开征求意见。若下一步2年期国债期货能够顺利推出，我国国债期货产品体系将进一步完善。                             　　2013年9月6日，我国5年期国债期货上市，成为国内第一个标准化的利率期货品种；2015年3月20日，10年期国债期货推出，截至2018年6月29日，10年期国债期货日均成交量近3万手、日均持仓量约4.6万手，是交易最活跃的国债期货品种。今年7月24日，中金所又就2年期国债期货合约及细则向社会公开征求意见。若下一步2年期国债期货能够顺利推出，我国国债期货产品体系将进一步完善。　　回顾国债期货市场的发展，5年期和10年期国债期货自上市以来运行良好，在提升国债市场运行效率、提高国债市场价格透明度和影响力、管理债券市场利率风险等方面日益发挥重要作用。　　提升国债市场运行效率　　近年来，我国国债市场运行效率大大提升。国债年换手率(年成交量/年末规模)由2014年的0.7上升到2017年的1.0，与美国国债市场换手率之比由1/10提高至1/6。在此过程中，国债期货发挥了催化剂作用：一方面，国债期货市场投资者积极开展期现套利交易，直接带动国债现券交易；另一方面，部分债券市场做市商已经利用国债期货管理做市风险，并取得了积极的成果。在2016年底中国债券市场出现大幅波动期间，利用国债期货管理做市风险的机构依然保持较为稳定的做市报价频率，为市场提供流动性，且报价价差合理，有实际成交。　　提高国债市场价格透明度和影响力　　国债期货上市前，由于国债主要在银行间市场交易，只有直接参与国债现券交易的交易员能掌握国债日内价格变动信息，市场价格透明度低，影响力有限。由于国债期货与国债现货相关度高(5年期国债期货和国债现货收益率相关系数为99.63%，10年期相关系数为99.82%)，国债期货具有很好的价格代表性，且国债期货采用价格报价，价格连续，公开透明，实时向全社会公布，大大提升了国债市场透明度和影响力。　　在反映货币政策信息方面，国债期货也发挥着重要作用。2018年4月18日，即央行宣布下调部分金融机构存款准备金率1个百分点后的第一交易日，10年期国债收益率下降15BP至3.50%。国债期货市场开盘后，10年期国债期货远期收益率震荡走低，在1小时内隐含远期收益率就下降15BP，可见国债期货价格能快速反映市场观点，为货币政策的传导发挥了一定作用。　　有效管理债券市场利率风险　　2016年底，国内债券市场大幅调整。2016年10月至12月底，5年期国债收益率最高约上升73BP至3.37%；10年期国债收益率最高约上升79BP至3.19%。在此期间，由于国债期货市场流动性好，持债机构大量在国债期货市场上卖空套保，国债期货市场成交量和持仓量均显著放大，国债期货日均成交量上升7倍至约14.4万手，国债期货持仓量上升39 %至约10.2万手。在此次调整中，国债期货充分发挥了避风港的作用，分流债券市场的抛压，增强债券市场的韧性，促进债券市场的稳定。　　已上市的5年期和10年期国债期货运行质量良好，市场功能逐步发挥。如果2年期国债期货未来也实现成功上市，可以预见，覆盖短、中、长期收益率曲线的国债期货市场将进一步提升债券市场流动性，更及时、更全面地债券市场信息，助力货币政策迅速、有效地传导，在我国利率市场市场化改革进程中留下浓重的一笔。                                            (责任编辑：DF380)"
"期债：短期或维持震荡走势","　　1、基本面：央行窗口指导、资管新规及配套文件边际放松，国常会强调更加积极财政政策叠加部分央行分支执行调整MPA部分参数以促进银行加大信贷投放等显示出目前“宽信用、宽财政、稳货币”的政策信号，经济基本面预期趋稳；偏空。 　　2、资金面：周一资金面延续宽松，央行公开市场净回笼1300亿，银行间质押式回购加权平均利率多数下行；偏多。 　　3、基差：TF、T主力基差分别为0.0264、0.1436，均升水期货；偏多。 　　4、库存：TF、T主力可交割券余额分别为31997.10亿、42720.90亿；中性。 　　5、盘面：TF主力在20日线上方运行，20日线向下；中性。T主力在20日线下方运行，20日线向下；偏空。 　　6、主力持仓：TF、T主力净空，多减；中性。 　　7、结论：央行MLF大额净投放释放中长期流动性叠加月底财政支出，资金面保持平稳偏松态势；近期系列政策出台显示出目前“宽信用、宽财政、稳货币”的积极信号，经济基本面预期趋稳。短期内，期债或维持震荡走势。TF1809:逢低做多，止损98.26；T1809:95.40-95.75区间偏多操作                                            (责任编辑：DF318)"
"夏豪杰：货币利率下跌 国债多单轻仓持有","　　国内货币市场利率已经显著下行，且维持了下行的趋势。国内宏观利率下行将会从货币层面逐步向实体经济层面施加压力。在外围方面，中美进入战略竞争基本上成为共识，人民币兑美元贬值也得到央行的默认，有利于释放国内利率下行空间，国债多单轻仓。  　　操作建议：多单轻仓                                             (责任编辑：DF318)"
"基本面支撑 期债易涨难跌","摘要            【基本面支撑 期债易涨难跌】近期央行货币政策取向更加明确，下半年经济基本面对债市的支撑较强。整体看，期债经历短期的大幅调整后，中期涨势仍将维持。（期货日报）                             　　近期央行货币政策取向更加明确，下半年经济基本面对债市的支撑较强。整体看，期债经历短期的大幅调整后，中期涨势仍将维持。　　周一(7月30日)，尽管消息面平淡，但国债期货全天维持偏强振荡，收盘均收涨。不过受资金面宽松以及宽信用预期影响，5年国债期货强于10年国债，10年期债主力T1809涨0.01%，5年期债主力TF1809涨0.07%。银行间现券窄幅波动，10年国开活跃券180205收益率上行0.8bp报4.23%，10年国债活跃券180011收益率收平报3.52%。受资管新规细则出台等利好政策影响，上周期债先抑后扬。尽管国务院常务会议放松信贷托底经济的政策短期有助于减缓信用收缩和经济回落压力，但国内经济增长仍面临多方面压力。整体看，期债经历短期的大幅调整后，中期涨势仍将维持。操作上，建议继续背靠60日均线布局。　　近期国务院常务会议决定通过对基建的拉动来托底经济。随着房地产调控持续加码，棚改政策收紧，下半年房地产市场存在降温的可能。由于终端需求不会明显扩增、企业去杠杆压力较大、社融增速下滑，制造业投资难以延续大幅反弹。外需方面，下半年出口增速将受全球经济复苏动能边际减弱以及贸易局势影响，整体趋于放缓。因此，下半年经济基本面对债市的支撑仍不改。　　由于前期央行窗口指导银行支持贷款投放和信用债投资，国常会放松信贷稳增长的政策短期有助于减缓信用收缩和经济回落压力，债券市场出现“信用债强、利率债弱”的局面，信用利差出现明显的回落。近日央行又鼓励银行信贷投放。有消息称，部分央行分支行已在执行调整MPA部分参数的要求，以适当放松考核要求，促进银行加大信贷投放。放松的指标主要是针对资本充足率考核的部分参数予以一定程度的下调。截至目前，我们尚不能确定放松MPA考核是否面向所有银行业金融机构。整体看，短期政策有转向的迹象，但宽信用的格局仍未确立，中期仍利好利率债。后期继续关注信用利差回落情况。　　二季度以来国内流动性边际放松不断确认。上周央行再度大额超预期操作MLF。从央行6月以及7月超量净投放MLF的操作来看，两个月以来通过MLF操作已累计净投放9055亿元，短期流动性环境将持续宽松。此外，央行在2018年一季度货币政策执行报告中透露的“去杠杆初见成效，稳杠杆成为下一阶段主要目标”逐步得到贯彻。降准+MLF置换组合延续，上周MLF放量操作提升MLF存量，将为下一次降准置换打开空间，预计三季度央行有可能再次降准。　　“防风险”是现阶段我国三大攻坚战之首，金融去杠杆继续深化的大趋势不会改变，2017年以来的严监管压力仍将保持。上半年“一委一行两会”监管框架已确立，下半年国内金融监管将更注重统筹协调，从而有效遏制监管空白和重复监管共存的现象，金融市场秩序将更加规范。国内监管的节奏把握较好，更加重视决策科学性。制定政策时，监管层将在充分考虑现阶段经济形势的基础上，由金融委做好统筹规划。重大政策出台之前充分征求市场意见并做好沟通，具体落实时保持适宜的节奏，实施一段时间后做好持续的跟踪评估，并根据执行效果和市场反馈动态调整，实现新旧规则的有序衔接和平稳过渡。此外，考虑到当前实体经济仍面临较大的下行压力，金融系统性风险尚未完全化解，因此投资者要密切观察市场反应，避免防风险导致的“次生风险”，防止股市债市汇市出现巨大波动。　　综合来看，央行货币政策取向更为明确，上半年信用收缩对经济需求形成滞后的抑制作用将显现，全球贸易局势仍存较大不确定，期债短期调整不改中期向上趋势。操作上，建议背靠60日均线继续布局。　　(作者单位：新湖期货)　　图为国债期货量价变化                                            (责任编辑：DF318)"
"紧信用预期生变 短债机会更确定","摘要            【紧信用预期生变 短债机会更确定】近期债市行情悄然生变，利率债行情在经历上半年流畅的上涨之后陷入反复，前期持续低迷的中低等级信用债交易则趋于活跃，部分信用债收益率出现较快下行。分析人士表示，随着紧信用预期生变，前期利率债走牛的逻辑面临挑战，结合收益率水平、供需关系变化来看，未来长债利率波动或加大，短债则受益于宽松的流动性环境，机会相对确定，未来短端利率下行为利率债行情的主线。（中国证券报）                             　　近期债市行情悄然生变，利率债行情在经历上半年流畅的上涨之后陷入反复，前期持续低迷的中低等级信用债交易则趋于活跃，部分信用债收益率出现较快下行。分析人士表示，随着紧信用预期生变，前期利率债走牛的逻辑面临挑战，结合收益率水平、供需关系变化来看，未来长债利率波动或加大，短债则受益于宽松的流动性环境，机会相对确定，未来短端利率下行为利率债行情的主线。　　利率债信用债强弱切换　　10年期国债、国开债一直被视为利率债行情的标杆品种，尤其是10年期国开债，在年初以来的这一轮牛市中，其到期收益率自年初高点累计下行约100BP，时间和幅度均可与2011年那轮牛市媲美。　　不过，今年上半年的牛市与以往大不相同。一边是利率债和高等级债一改2017年疲态，大幅走强，一边是低等级债乏人问津，信用利差大幅走阔，几乎丧失流动性。　　从中债收益率数据来看，今年以来，高等级信用债运行节奏与利率债基本同步，但中低等级债券走出“独立行情”。以5年期债券为例，2月以来，5年期AAA级中票收益率自5.5%的高点一路回调，目前跌至4.3%一线，累计下行了近120BP，下行幅度与5年期国开债基本相当。然而，同期5年期AA级中票收益率只下行了约65BP、AA-级中票收益率反而上行了近30BP.4月以后，低等级债券收益率经过一轮明显上行，5年期AA-中票收益率从6.74%最高涨至7.27%。　　从历史上看，光是利率债和高等级债走强不够，一轮经典的债券牛市轮动通常是利率债率先启动，信用债最后收尾，中低等级信用债的普涨往往是牛市谢幕的“压轴戏”。7月以来，信用债成交终于有所起色，一些中低等级债券也开始“补涨”，比如，5年期AA级中票收益率就快速回落了约30BP，5年期AA级城投债收益率更是快速下行了超过50BP。　　与此同时，利率债行情陷入了震荡。在前期的分化演绎到极致之后，利率债与信用债强弱切换悄然上演。7月以来，10年期国债收益率在跌破3.5%之后波动加大，最近反复在这一位置附近拉锯，最低下行至3.44%，最高回到3.56%。10年期国开债收益率的下行走势则一直保持到7月19日，在最低跌至4.05%、创出2017年4月中旬以来的新低之后，7月下旬也出现了反弹，目前二级市场活跃券成交在4.15%左右。　　宽信用预期抬头是关键　　为何信用债反弹了，利率债就陷入纠结了，这可能需要从今年上半年行情分化的原因说起。　　上半年的债市行情是一轮牛、熊并存的行情，一轮结构性牛市。出现这一局面的基本背景是严监管、去杠杆造成的信用紧缩。　　2018年以来，严监管、去杠杆引起的信用收缩的问题开始成为经济金融运行主要矛盾。去杠杆本身就意味着信用创造放缓，而对银行表外业务、影子银行体系的强监管，加剧了信用收缩。这一过程中还伴随着金融机构风险偏好的下降，强势发行人对其他融资主体的挤出效应明显。　　信用收缩环境下，一部分企业的再融资缺口问题开始凸显，资金链风险开始暴露。陆续出现一些债务违约情况，进一步打击市场风险偏好，引起市场对中低信用等级债券发行人、民企发行人的一致规避情绪，中低等级信用债沦为“弃儿”。　　与此同时，信用收缩对经济增长的反作用开始显现，加上外部风险因素增多，经济增长压力加大，对内需关注度上升，货币政策重心重新转向需求管理，流动性环境得到大幅改善。利率债正是在这一背景下走牛的。　　因此，信用紧缩是上半年利率债走牛、信用债走熊的关键原因。判断未来债市收益率走势，把握信用环境的变化趋势仍是关键。　　今年以来，货币政策操作微调已较明显，货币市场流动性显著改善，但从宽货币到宽信用的过程出现了梗阻。6月份，我国新增信贷创5个月新高，但广义货币供给(M2)增速创了历史新低，社会融资余额增速亦再创新低，表明信用紧缩的局面还是在加重，当月金融数据引起了各方的较大关注。此后，“宽信用”似乎已确立为政策发力的方向。　　在表外转表内趋势下，信贷额度控制已有所放松，6月新增信贷大放量就是证据，而6月的变化只是开始，后续宽信贷可能性大增。与此同时，近几周有几则政策面消息进一步刺激了市场对宽信用的预期：一是央行窗口指导MLF支持信贷投放和信用债投资，二是资管新规过渡期整改要求有所放松，三是国务院常务会议强调保障融资平台合理融资需求。　　尽管“宽信用”前景难料，但市场预期已经出现了变化，信用债行情的反应可谓立竿见影。近两周，二级市场信用债收益率整体下行20-40BP。而如果宽信用逐渐成势，市场对经济基本面的预期将随之调整，上半年利率债走牛的逻辑也将因此发生动摇。如此，最近利率债行情陷入反复也就不难理解。　　利率债或转向牛陡行情　　不过，最近利率债表现也有分化，虽然长期限利率债相继陷入了滞涨，但中短期债券仍表现不错。就以国开债为例，自从跌破4.1%之后，10年期国开债收益率下行放缓，上周还有所反弹，但1年期国开债收益率仍持续下行，最新在3.05%左右，近1个多月下行了超过80BP。这一过程中，10年期与1年期国开债的期限利差从6月下旬约40BP左右的水平迅速扩大到接近110BP。机构认为，利率债或转向“牛陡行情”，收益率曲线仍有陡峭化空间。　　一方面，长债行情面临的制约逐渐增多。今年以来，利率债走牛的核心逻辑是信用紧缩反作用于经济增长，进而倒逼政策放松。如今随着货币政策、金融监管政策把握尺度适度调整，市场对宽信用的预期升温，长期利率债走牛的基础正发生动摇，虽然行情未必会很快结束，但是面临的不确定性加大，波动性在上升。同时，前期的上涨之后，长期限利率债的收益率水平已普遍降至历史均值附近。收益下降而不确定性上升，意味着风险收益比下降，对投资者相对吸引力有所下降。　　另外，三季度利率债供给压力不容忽视。三季度是利率债传统的供给旺季，今年由于上半年地方债发行偏慢，积压的供给压力较大。7月以来，地方债发行明显加快，预计后续发行规模还将进一步增加，今年三季度利率债供给压力可能比往年更大。进一步看，政府债、政策性金融债等利率债的供给主要集中在中长期品种上，这意味着中长期利率债的供给压力相对更大。再结合近期需求端变化看，未来长期限利率债供需关系可能相对偏弱。　　另一方面，市场对流动性预期乐观，中短期债券面临较好的市场环境。当前市场对宽信用前景的看法还有分歧，但不管是宽信用还是紧信用，各方对于宽货币的判断高度一致，市场对未来流动性预期乐观。典型的表现在于，近期3个月Shibor、同业存单等利率持续大幅下行。3个月Shibor自6月19日以来持续走低，7月30日最新报3.23%，已较6月中旬下行了超过110BP。业内人士表示，短债对流动性环境更为敏感，货币市场利率下行，通常也会带动短端债券收益率下行。　　海通证券最新固收周报指出，积极的财政政策需要实际宽松的货币政策配合，估计3次降准后6月末的银行超储率已升至2%的近两年高位，这意味着当前货币市场的资金非常充裕，短端利率仍有下行空间。另外，资管新规补充文件利好短债，未来债市或延续牛陡行情，短端利率下行为行情主线。　　其实对于信用债策略，有不少的机构也推荐以中短端套息交易为主。一则流动性充裕，资金成本较低且非常稳定，信用债息差收益可观；二则在信用市场并未根本改善的情况下，投资中短期债券相对安全。                                            (责任编辑：DF380)"
