"标题","正文"
"8月2日宁波顺泽丁腈橡胶价格稳定","　　8月2日，宁波顺泽丁腈胶装置6.5万吨/年装置正常生产。28、33系丁腈出厂价稳定，目前报20800元/吨附近。                                            (责任编辑：DF314)"
"8月2日中油东北顺丁橡胶价格稳定","　　8月2日，中油东北销售公司顺丁橡胶价格稳定，目前大庆顺丁报13400元/吨，锦州顺丁报13200元/吨，东北出库价。                                            (责任编辑：DF078)"
"8月2日中石化华南顺丁橡胶价格稳定","　　8月2日，中石化华南销售公司顺丁橡胶价格稳定，目前燕山顺丁报13500元/吨，华南库提价；茂名顺丁报13400元/吨，华南库提价。 　　                                            (责任编辑：DF386)"
"8月2日中石化华北顺丁橡胶价格稳定","　　8月2日，中石化华北销售公司顺丁橡胶价格稳定，目前齐鲁顺丁报13400元/吨，华北库提价；燕山顺丁报13320元/吨，华北库提价；茂名顺丁报13400元/吨，华北库提价。                                            (责任编辑：DF386)"
"天胶今日观点 橡胶左侧交易难度较大","　　天然橡胶弱势下挫，收于10220元/吨。国际橡胶研究组织IRSG数据显示，2017年全球橡胶产量总计2859万吨，比上年增加4.2%；其中合成橡胶产量为1505.1万吨，同比增加1.4%；全球合成橡胶产量在橡胶总产量中占比高达52.6%。近三年以来，全球合成橡胶产量和消费量增速均维持在1.5%—2.5%，但去年消费增长开始边际放缓。根据卓创统计，2018—2022年中国还有10套合成橡胶装置计划新建及扩建，预计到2022年全球合成橡胶产量将增长至1550万吨以上。随着天然橡胶价格的走弱，再度出现天胶倒挂合成胶的局面，理论上合成胶的替代作用对天胶应有所利多。然而实际上，这种替代效应是十分有限的，对盘面的提振不够强。以轮胎生产配方为例，天胶—合成胶替代空间仅有5%，即使企业最大限度地调整配方，也难以刺激对天然橡胶的采购需求。橡胶左侧交易难度较大，在20号标胶挂牌上市前，长期坚持急涨勿追，逢高沽空观点，运行区间(9600,12200)。                                            (责任编辑：DF386)"
"沪胶：空头力量增强","摘要            泰国减少植胶面积的消息未能推动胶价持续上行，随着新主力1901合约的诞生，沪胶连续3日反弹后，昨日在12300元/吨一线受到空头压制而回落，多头则需要在12000元/吨一线再次凝聚人气。                             　　  　　泰国减少植胶面积的消息未能推动胶价持续上行，随着新主力1901合约的诞生，沪胶连续3日反弹后，昨日在12300元/吨一线受到空头压制而回落，多头则需要在12000元/吨一线再次凝聚人气。 　　近一周来，沪胶1901合约总持仓量稳步放大，其中多空前20席位均出现大幅增仓现象。交易所的持仓数据显示，多头前20席位的持仓量从7月25日的43918手大幅增加至8月1日的52338手，累计增加8420手；空头前20席位的持仓量从7月25日的58205手增加至8月1日的72348手，累计增加14143手。目前，胶市基本面依然偏弱，长期利多因素难以化解短期的供需矛盾，多头信心不足，空头乘反弹发力。可以看到，近一周来，1901合约净空头寸再度回升，由7月25日的14287手增加至8月1日的20010手，净增5723手，增幅为40%。 　　单日持仓上，8月1日，沪胶1901合约前20席位呈现多空均增的现象，只是空头增持力度大于多头。其中，多头累计增加1156手，空头累计增加3407手。 　　具体来看，空头前20席位中，增持的席位有14家，减持的席位有6家。其中，银河期货席位、方正中期期货席位和南华期货席位增持力度居前，分别增加925手、641手和540手。同时，中信期货席位、海通期货席位、东证期货席位、华泰期货席位、瑞达期货席位、国泰君安期货席位、建信期货席位、中粮期货席位、大地期货席位和新湖期货席位增持力度也较为明显，分别增加487手、324手、352手、144手、149手、123手、159手、145手、152手和152手。增持方面，仅有永安期货席位、中信建投期货席位和申万期货席位减持略微明显，分别减少383手、197手和133手。 　　多头前20席位中，增持的席位有12家，减持的席位有8家。其中，新湖期货席位、方正中期期货席位、瑞达期货席位、和大地期货席位增持力度居前，分别增加620手、476手、321手和332手。同时，银河期货席位、华泰期货席位和五矿经易期货席位增持力度也较为明显，分别增加254手、146手和143手。减持方面，中信期货席位、国泰君安期货席位、海通期货席位和中国国际期货席位减持力度明显，分别减少475手、263手、251手和189手，其余席位减持力度均有限。 　　随着泰国减少植胶面积的利好效应被消化，沪胶空头开始发力。由于缺乏后续利好，多头继续推涨信心不足，预计沪胶1901合约维持弱势振荡走势。 　　(作者单位：宝城期货)                                            (责任编辑：DF318)"
"8月1日青岛地区天然橡胶价格小幅下调","　　8月1日，沪胶持续震荡，青岛地区现货胶报价小幅下调50-100元/吨左右：16年宝岛全乳胶报价9850-9900元/吨左右，金凤全乳报价9950-10000元/吨，中化全乳报价9950-10000元/吨左右，广垦全乳报价9950-10000元/吨左右；洪曼丽烟片胶报价12100-12150元/吨左右。                                            (责任编辑：DF120)"
"天然橡胶：期货弱势震荡 宏观趋向宽松","　　上海商品交易所沪胶期货主力合约1809开盘10330元/吨，收10220元/吨，较上一交易日，结算10285元/吨，跌85元/吨，跌幅0.82%，成交313512，持仓311428手。  　　现货市场：今日，天胶价格窄幅波动，期货方面，国家宏观经济面趋向宽松，沪胶缺乏明显指引，弱势震荡为主，现货方面，市场交投无明显改善，市场供应持续增长，库存高企状态延续。乳胶方面当前部分地区进口货源有限，受外盘价格影响，市场供应偏紧。预计天然橡胶横盘整理，关注市场消息面支撑。目前市场主流参考报价：华东国营16全乳胶参考报价在9950-10200元/吨；泰三烟片报价在12300-12400元/吨，越南3L报价10300-10500元/吨。                                            (责任编辑：DF381)"
"8月1日青岛中青橡天然橡胶价格小幅下调","　　8月1日，沪胶持续小幅震荡，青岛中青橡国际贸易有限公司天胶报价下调：16年宝岛全乳胶报价9850元/吨左右，金凤全乳报价10050元/吨左右，泰国洪曼丽烟片报价12150元/吨左右。                                            (责任编辑：DF314)"
"8月1日中石化华东顺丁橡胶价格稳定","　　8月1日，中石化华东销售公司顺丁橡胶价格稳定，目前燕山顺丁报13400元/吨，华东库提价；茂名顺丁报13400元/吨，华东库提价；扬子顺丁报13300元/吨，华东地区配送价。                                            (责任编辑：DF386)"
