"标题","正文"
"玻璃期价重心下移概率较大","　　 去年年底以来，沙河多条生产线集中停产，玻璃产能过剩局面大为改善。今年春节前后，玻璃市场非但没有表现出传统的淡季特征，现货价格反而创下了2011年以来新高。 　　由于玻璃行业利润可观，刺激生产线复产节奏加快，同时房地产黄金期已过，在房地产调控政策不断加码、棚改货币化降温影响下，平板玻璃需求必然减少，未来玻璃供应将逐步趋于宽松。 　　行业利润偏好 图为玻璃现货均价季节性走势　　“金九银十”是玻璃销售的传统旺季，从历年玻璃走势看，一般在8月初旺季行情便开始启动，今年也不例外，7月底沙河玻璃厂家集体报价上涨20元/吨，拉开了旺季帷幕。2016年以来，玻璃现货价格上一新台阶，同时下半年的价格走势要强于上半年。平板玻璃价格近年来表现较好，究其主要原因，一方面房地产市场表现较好，拉动玻璃需求；另一方面环保趋紧，玻璃行业产能收缩，使得平板玻璃供过于求局面大幅改善。 　　近两年玻璃行业利润较高，价格与库存的负相关性走低。即便是在春节期间的传统淡季，玻璃厂家也不惧库存增长压力，纷纷涨价；4月之后生产企业的降价去库存未见成效，反倒是涨价去库存效果更为明显。5月下旬以来，玻璃库存降速加快，近两个月已累计减少248万重量箱。据统计，目前国内玻璃生产企业库存累计为3171万重量箱，较去年同期下滑6.5%，生产线库存与在产产能的占比处于3.46%的年内最低水平。在此背景下，玻璃现货价格下跌空间有限，加之雨季和高温等不利天气的影响较为短暂，玻璃市场“金九银十”行情仍可以期待，库存或继续呈现季节性回落态势。 　　沙河是中国玻璃的生产贸易集散地，占据全国玻璃总产能的约16%。春节假期之后，沙河市场在保价销售策略的支撑下，不但补齐了前期跌幅，还创下了近7年来的价格高位。虽然二季度之后有所调整，但整体价格依然处于高位，7月底沙河重点玻璃企业库存累计只有367万重量箱，较3月初的价格高峰下降1/3。从期现价差走势来看，3月中旬之后基差明显扩大，以沙河5mm玻璃来计算，基差最大达到230元/吨。5月底，在行业会议频频涨价带动下，玻璃期价重心抬升，基差有所收敛。8—10月将是一年中玻璃需求最好的时节，玻璃销售逐步进入旺季。2017年年底，由于行业集中减产，1801合约创下近年来新高，但1901合约面对的市场供应较为宽松，期价料难以复制去年的强势。 　　生产成本增加 　　上半年以来，纯碱企业检修较多，据隆众资讯数据显示，1—6月纯碱市场的平均开工率为83.4%，较去年1—6月同比下滑4.3%，从产量上来看，上半年单月产量均小于去年同期，供给减少促使纯碱价格反弹。近两个月以来，纯碱库存急速攀升40万吨，致使纯碱价格回落20%。不过，总体来看，在环保力度加大背景下，市场开工率大幅提升概率不大。 　　虽然纯碱是平板玻璃生产的重要原料，占玻璃生产成本的20%，但在产业链中，平板玻璃企业的话语权明显偏强，纯碱市场则更多受到自身库存及下游的影响。今年二季度伊始，纯碱市场触底反弹，而同时平板玻璃价格却反其道而行，价格回落调整。正因为如此，平板玻璃利润从3月高峰回落。据悉，今年3月沙河燃煤平板玻璃利润每吨高达500多元，毛利润率超过30%，二季度由于纯碱价格有所抬高，玻璃生产成本随之上升，毛利润率回落至25%附近。 　　近两年，环保执法日益趋严，去年11月沙河多条生产线因不满足排污许可被关停，不仅如此，一些规模小、环保不达标的加工企业也常常无法正常开工。目前在产的生产厂家基本都加大了环保支出，通过使用脱硫脱硝装置来完成排放标准，近年新建的生产线多数燃烧天然气清洁能源。据了解，玻璃生产使用脱硫脱硝装备会增加60—70元/吨的运营成本，而受到煤改气影响，2017—2018采暖季天然气价格大幅攀升，呈现“气荒”行情。后半年，虽然像去年市场大规模停产的现象难以重演，但环保执法力度仍然是玻璃行业关注的重中之重，各企业为了保证生产，将继续加大环保支出，受此影响，后期玻璃行业或再度去利润。 图为燃煤玻璃生产利润情况　　产能复产加速 　　此前，平板玻璃被列为产能过剩行业，新建产能的审批较为困难。2018年以来，只有福建本溪一线新建生产线投产。在良好利润的刺激下，冷修产能复产步伐加快，目前共有13条生产线已陆续复产，其中，一半生产线的冷修周期在10个月以下，相比较去年全年复产14条生产线的速度明显加快。不过，去年因排污许可不达标被强制关停的河北9条生产线中，只有长红玻璃一线得到点火允许，并于6月下旬进行点火，其他生产线尚未取得排污许可，短期复产无望。“金九银十”是传统销售旺季，生产厂家一般会赶在此前进行点火，而当前企业盈利普遍较好更会加快生产线的复产节奏。据了解，7—10月累计有7000吨/天的产能陆续释放，占目前在产产能总量的4.5%，其中70%产能集中在7—8月投产，对旺季市场形成较大的考验。 　　浮法玻璃的窑龄最佳使用年限为5—8年，超过窑龄年限的玻璃生产线随时都有冷修可能。从近年玻璃行业发展历程来看，2010—2014年是平板玻璃的投产高峰，目前这些生产线已纷纷步入“老年”。当前在产的235条生产线中，2010年之后未曾冷修的生产线有33条，不算其中10条颜色玻璃，有23条浮法玻璃生产线窑龄超过8年没有冷修。但是，在较高的利润驱动下，厂家有持续生产的动力，会尽量延期冷修。只要有利润在，生产企业可能会尽量选择热修，不愿意承受冷修的成本。2017—2018采暖季，河北地区对玻璃行业提出限产15%的要求，其中包括生产和加工企业共计30家，以促进采暖季区域空气质量持续改善。在环保要求日益严格的背景下，在河北这样的环境敏感地带，今年冬季限产要求有望延续。不可忽略的是，限产针对的不只是生产企业，还包括加工厂家，而需求的同步下滑会弱化供给端限产的影响。 　　截至7月底，国内净增加玻璃产能5610吨/天，复产的生产线中产能分布较为分散，已将去年因环保而关停的沙河产能补齐，甚至超过去年同期产能310吨/天。就未来复产计划看，沙河本地产能变化不大，而华中、东北地区的产能复产增多，为了保持区域间的销售平稳，各地价格之间的联动性依然很强。整体上看，虽然环保监管依然趋紧，对玻璃生产厂家的影响力度不大，但在未来冷修产能意愿减弱、复产产能增加的背景下，后期玻璃供给增加无疑。 　　房地产调控不断 图为30个大中城市房屋成交面积　　受政策面和资金面的双重收紧，一二线城市消费者购房需求外溢，同时，棚改货币化安置比例不断提高，提升了三四线城市的房价。30大个中城市数据显示，近一年来，一二线城市房屋成交面积整体有所下行，而三线城市成交依然较为活跃，加快了房地产市场的去库存步伐。截至2018年6月末，商品房累计待售面积约55083万平方米，相比5月末减少927万平米，累计同比下跌14.7%；待售面积总量已回归至2014年7月水平。 　　2015—2017年货币安置化比例不断提高，货币化安置面积占全国住宅销售面积的比例从13.6%提升至21.3%，棚改货币化后，居民需要购置住房，同时会带动房地产相关商品的消费，尤其有利于三四线城市去库存。不过，随着近期国开行对棚改项目审批收紧，对棚改安置方式从强调货币化重回以实物安置为主，后期三四线城市去库存速度料逐步下降。同时，对于房价上涨较快的三四线城市，未来也将面临调控政策收紧的压力，打压投资性需求，让房屋回归居住属性。 　　国家统计局数据显示，自今年5月开始，国内房地产销售面积累计同比结束了2017年6月以来的下滑态势，连续两个月回升，而与玻璃需求较为同步的房地产竣工面积同比数据却在持续下滑，2018年1—6月，房屋竣工面积累计同比下降10.60%，延续了今年以来两位数的下滑趋势。下半年是房地产竣工高峰，据统计，7—12月房屋竣工面积累计值占全年总竣工面积的60%以上，也就是说，下半年尤其是四季度房屋竣工面积大幅增加，必然也会带动平板玻璃需求。近期不少玻璃加工贸易商已在陆续进行旺季备货，我们认为后期房地产需求仍将展现一定的旺季特征。不过，若房价继续大幅上涨，则面临进一步的调控收紧可能，房地产降温趋势难以避免，因此未来玻璃需求不宜过分乐观。 图为房地产数据与玻璃现货均价　　后市展望 　　5月底以来，随着玻璃行业会议的召开，各地现货市场得到提振，价格呈现小幅上行走势。目前临近传统旺季，下游备货需求将展开，玻璃厂家在低库存、高利润的背景下，更是倾向于抬高价格。从供给端来看，玻璃生产企业的复产意愿较强，后期多条生产线将会复产，尽管不少生产线窑龄已老，但在利润较好的情况下，厂家大概率会延迟冷修。由此分析，玻璃供给将明显增加，但相对于下游市场而言，目前一二线城市房价得到抑制，在因城施策的背景下，对于房价过高的非重点城市，未来将面临楼市调控升级政策，同时，三四线城市在棚改政策转变下，去库存速度也将大幅放缓。 　　下半年是房屋竣工高峰，玻璃需求将得到提振，预计贸易商的备货需求对玻璃期价形成有力支撑。然而，房地产总体的降温趋势已定，后市玻璃需求难以大幅增长。同时，环保仍然是玻璃市场的不可抗力因素。不过，我们认为在去年集中停产事件之后，各厂家已加大环保支出，未来因环保问题而导致生产线再度大面积停产的概率不大。2018—2019采暖季很大可能延续去年的限产政策，但玻璃的刚性生产决定了开工率难以大幅调整。受环保影响，玻璃生产成本将继续抬升，生产环节利润或压缩。 　　总之，当前现货厂家库存较低，在旺季季节性因素支撑下，玻璃期价有望保持强势，但换月之后市场高点预计难以再次突破1500元/吨。而随着供应趋于宽松，玻璃期价重心大概率下移。  　　(作者单位：弘业期货) 图为玻璃生产线库存与在产产能图为玻璃基差走势图为纯碱月产量图为2012年以来平板玻璃生产线变化图为玻璃生产线情况图为近年来平板玻璃产能增量　　                                            (责任编辑：DF318)"
"7月25日郑商所玻璃期货午盘报价","合约名称开盘价最高价最低价最新价涨跌成交量持仓量昨日结算FG18081580158014901490-4014441530FG18091487149114851486-1657561699101487FG19011407141314031404129364570861403FG19051368137513641369257221921367                                            (责任编辑：DF318)"
"玻璃平稳震荡","　　【现货】：交割厂库5mm白玻价格参考：河北安全1440，河北德金1432，河北迎新1410，河北长城1380，河北润安1520，湖北亿钧1540，武汉长利1600。(来源：卓创) 　　【供需及交易逻辑】据卓创了解，国内浮法玻璃市场成交平稳，价格大稳小动。华北市场价格暂稳，鑫利、元华计划明日提涨，市场成交平稳；华中玻璃市场报盘维稳，受需求制约，走货不快，实际成交价略有松动；华东玻璃市场运行较平稳，局部地区受降雨影响，走货放缓，个别厂库外玻璃价格偏低；华南市场交投清淡，企业稳价观望。玻璃在题材上新的刺激因素并不多，主要是依靠旺季背景支撑窄幅提价为主基调，虽然上方空间有限，但做空节奏也并不好介入，因此操作上更多的是建议多单提保护为主。近期扰动压制因素需注意同处在建材板块里的螺纹是否开始转向调整节奏，短线走势上或存在联动性，择机参与。 　　【操作建议】：旺季背景支撑，现货市场氛围维稳，多单保护参考1460-1475。                                            (责任编辑：DF318)"
"7月23日郑商所玻璃期货午盘报价","合约名称开盘价最高价最低价最新价涨跌成交量持仓量昨日结算FG18091476147914631467-7743801909521474FG19011396139613811386-314084614841389FG19051365136513561361-25421761361FG19061370137013701370-12161371                                            (责任编辑：DF318)"
"7月19日郑商所玻璃期货午盘报价","合约名称开盘价最高价最低价最新价涨跌成交量持仓量昨日结算FG180914751482146914814677001986161477FG19011388139713821396410674584241392FG19051356136413561364133619821363                                            (责任编辑：DF318)"
"玻璃走势再次渐强","　　【现货】：交割厂库5mm白玻价格参考：河北安全1417，河北德金1352，河北迎新1370，河北长城1391，河北润安1640，湖北亿钧1540，武汉长利1600。 　　【供需及交易逻辑】近日国内多数区域研讨会议精神意在提涨，但实际成交情况表现一般。盘中玻璃走势再次震荡显强，进一步增仓突破上月中旬高点，期市反应氛围表现良好。近期提振因素主要有两方面，一方面是旺季背景支撑，另一方面是同属建材板块里的螺纹给予了提振信心。目前国家对环保要求较高，“蓝天保卫战”规模要求扩大，预计环保成本与生产线投放在后期均会成为可炒作的支撑题材。操作上仍是以多单提保护持有为主。 　　【操作建议】：旺季背景支撑，现货市场氛围依旧维稳，多单保护参考1440-1465。                                            (责任编辑：DF318)"
"玻璃：预期与现实博弈 玻璃近月走势较强","　　 6月下旬以来，玻璃期价在小幅调整后在度震荡上行，但远近月合约走势略有分化，其中近月1809合约期间涨幅为4.3%，而远月1901合约涨幅则只有1.7%。目前看，期价收涨主要源于市场对三季度旺季预期尚存，且行业库存在淡季并未继续累计，对市场信心有所提振，处于平水状态的1809合约受到旺季现货价格上涨预期的带动而提前启动，但市场对远月1901合约仍较为谨慎，房地产端面临的不确定性及供给增加的趋势，均使玻璃远期的供需情况并不乐观，因此其走势明显弱于近月合约，两者价差也从58元扩大到91元。 玻璃1-9价差走势　　当前现货市场仍处于预期和现实的博弈阶段。生产企业为提振市场信心，而相继召开区域协调会议，挺价意愿较为明显。不过淡季影响仍在持续，近期持续的降雨及高温天气使终端需求较为疲软，加工企业订单增量有回落趋势，对原片采购相对谨慎，上游厂家实际出货情况一般，而行业库存的回落多为部分大厂处理淋雨玻璃所致。整体看，销售压力依然较大，部分厂家在会后涨价积极性不高，多以削减库存为主，市场信心的恢复仍需实际需求来实现。 　　短期看，玻璃供需矛盾尚有回旋余地。尤其是上半年多地棚改的积极施工，及房企加速推盘所带来的施工进度加快，均使下半年旺季预期有兑现的可能。但长期看，“紧信用”下房企资金偏紧问题将愈发严重，房地产施工周期拉长将成为常态，且随着时间推移，新开工也有回落趋势，因此对竣工的传导将进一步走弱。因此，总的看玻璃需求下滑的势头将会延续，短期上可期，长期难言乐观。而供给上，若利润维持当前水平，则产能增加趋势将会延续，长期看供给端的压力将逐步增加。 　　后市而言，旺季实际需求落地前，若无新扰动因素出现，则1809合约将维持高位震荡，可低位接多；但1901合约，由于需求的走弱的压力，及高利润下生产线复产积极性较高，使其面临一定下行压力，建议偏空操作；9、1正套在旺季前可持续关注。                                            (责任编辑：DF318)"
"玻璃：企业涨价后 现货和出库表现依旧一般","　　观点：近日华东和华北行业区域会议结束后，多数企业宣布上调价格，与会企业多认为，当前已经临近传统的销售旺季，且当前库存处于中低水平，加上环保和原材料价格上升，导致成本端提升明显，企业多提涨意愿浓厚。并打算于今日起，根据自身情况报价上涨。从会后情况来看，部分厂家上调20元/吨，但就实际而言，当前厂家出库压力依然存在，终端订单不足和天气因素对需求的压制较为明显，短期仍难有明显改观，建议观望为主。 　　策略：观望 　　风险点：房地产市场变化超预期；商品市场整体氛围                                            (责任编辑：DF318)"
"旺季预期尚存 玻璃期价延续偏强态势","　　经过小幅调整过后，6月下旬以来，玻璃期货再度震荡上行，但远近月合约走势略有分化，近月合约表现强于远月合约。分析人士表示，市场对三季度旺季预期尚存，且行业库存在淡季并未继续累积，对市场信心有所提振。但由于房地产端面临不确定性及供给端增加的趋势，使得玻璃远期供需情况并不乐观。因此，预计短期期价有望进一步走强，但中长期依然面临压力。　　近月强于远月　　周四，玻璃期货继续走升，主力1809合约收报1487元/吨，涨19元或1.29%；远月1901合约收报1399元/吨，涨7元或0.5%。　　“近期玻璃期价收涨主要源于市场对三季度旺季预期尚存，且行业库存在淡季并未继续累积，对市场信心有所提振，处于平水状态的1809合约受到旺季现货价格上涨预期带动而提前启动，但市场对远月1901合约仍较为谨慎，因房地产端面临不确定性及供给端增加的趋势，均使玻璃远期供需情况并不乐观，因此其走势明显弱于近月合约，两者价差也从58元扩大到88元。”方正中期期货分析师汤冰华表示。　　瑞达期货分析师表示，周三华东及华北地区举行2018年第三次区域协商会议，因市场临近消费旺季，各厂家提议上调价格消除成本上涨压力，会后京津翼和山东地区厂家上调价格20元/吨，而加工厂家和经销商订单需求不佳，调价操作难度较大，业者多持有观望态度。　　现货方面，当前仍处于预期和现实的博弈阶段。汤冰华表示，生产企业为提振市场信心，相继召开区域协调会议，挺价意愿较为明显。不过，淡季影响仍在持续，近期持续的降雨及高温天气使终端需求较为疲软，加工企业订单增量有回落趋势，对原片采购相对谨慎，上游厂家实际出货情况一般，而行业库存的回落多为部分大厂处理淋雨玻璃所致。　　短期有望进一步走升　　对于后市，瑞达期货分析师认为，受市场利好消息提振，昨日玻璃期货1809合约增仓并上冲创新高，下方考验20日系统性支撑，上方测试1510元/吨一线压力位，短期有望维持偏强运行。操作上，在1450元/吨附近轻仓买入，止损1430元/吨。　　不过，汤冰华则表示，当前销售压力依然较大，部分厂家在会后涨价积极性不高，多以削减库存为主，市场信心的恢复仍需实际需求来提振。短期来看，玻璃供需矛盾有回旋余地，尤其是上半年多地棚改的积极施工，以及房企加速推盘所带来的施工进度加快，均使下半年旺季预期有兑现的可能。但长期来看，“紧信用”下房企资金偏紧问题将愈发严重，房地产施工周期拉长将成为常态，且随着时间推移，新开工也有回落趋势，因此对竣工的传导将进一步走弱。总的来看，玻璃需求将会延续下滑势头。　　“短期玻璃期价行情可期，但长期难言乐观。预计在后市旺季实际需求落地前，若无新扰动因素出现，1809合约有望维持高位震荡，但1901合约由于需求走弱压力及高利润下生产线复产积极性较高，将面临一定下行压力。”汤冰华说。                                            (责任编辑：DF372)"
"玻璃现货市场挺价","　　【现货】：交割厂库5mm白玻价格参考：河北安全1417，河北德金1352，河北迎新1370，河北长城1391，河北润安1640，湖北亿钧1540，武汉长利1600。 　　【供需及交易逻辑】华南行业会议企业达成共同拉涨共识，广东、福建、海南绝大多数企业报涨1元/重量箱，市场涨价氛围浓厚；其他地区暂稳运行，出货稳定。华东、华北会议定于11日在秦皇岛召开，关注会议精神。可以预计，在目前旺季背景下，各区域会议精神继续挺价的可能性仍是较大，那么对市场氛围就会具有提振作用。期市盘面上，玻璃多头增仓上推，但力度稍显欠缺，对上月高点并没有形成突破，不过我们认为短期偏强震荡节奏会有维持，其建材板块内的螺纹表现强势，那么对其他建材品亦会形成带动，操作上仍是以多单提保护持有为主。 　　【操作建议】：旺季背景支撑，现货市场氛围依旧维稳，多单保护参考1440-1460。                                            (责任编辑：DF318)"
