"标题","正文"
"今日棉花价格行情走势 储备棉轮出时间延长郑棉短期或震荡运行","期货品种期货机构机构观点棉花&棉纱华泰期货储备棉轮出时限延长，国储棉库存将进一步降低市场对德州等棉花主产区干旱忧虑继续发酵，投资者对美棉产量和品质偏悲观。国内方面，随着抛储持续进行，国内棉花库存不断下降，制约棉花上涨的主要因素逐渐消失，国内棉花长期价格中枢将上移。2017/18年度轮储棉轮出销售时间延长一个月，此举将进一步加快了国储棉花的消耗。近期我国棉花供给相对充足，但长期存在缺口，抛储延长至9月底，增大近期棉花供给压力，但无法解决远期缺口问题，结合仓单和有效预报数量，我们认为远近月合约价差将有拉大的趋势。在长期策略上，继续保持多头思维，重点关注美印棉花产量情况。风险点：汇率风险、主产国干旱天气风险、替代品价格风险、国家政策风险中信期货观点：储备棉轮出时间延长郑棉短期或震荡运行信息分析：(1)棉花现货价格指数暂稳 。7月31日，中国棉花价格指数 3128B 为16199(0)元/吨；CotlookA 指数为 98.00(0)，折人民币 15703 元/吨。(2)郑棉注册仓单流入 ，有效预报增加。7 月 31 日，郑棉注册仓单 9676(+71)，有效预报 2282(+86)。(3)储备棉轮出成交率下滑 。中国棉花信息网消息，7 月 31 日，储备棉轮出成交 54.08%。平均成交价格 15032(+219)元/吨；折 3128 价格 16376(+135)元/吨。(4) 印度国内棉价保持坚挺。瑞嘉国际信息显示，印度国内 S-6 报价 48200卢比/candy，折 89.53 美分/磅。逻辑：国内方面，储备棉成交率提升，流通库存处于历史同期偏高水平，仓单+有效预报处于高位。国际方面，美棉优良率差于上年同期，结铃率高于上年同期；印度提高新年度 MSP，其国内棉价保持坚挺。综合分析，印度提高最低支持价格，抬高全球棉价底部；短期内，内盘仓单压力与外盘强势交错，市场对储备棉轮出时间延长反应平淡，郑棉或震荡运行。操作建议：观望兴业期货抛储延后至 9 月底，郑棉 9-1 正套组合继续入场综合看，中储棉昨日发出公告确认本年度国储棉轮出将延至 9 月 30 日，因此未来现货资源供应将维持充裕，现货价格亦将趋于稳定。近两月属棉花生长的关键时期，需重点关注新疆的天气状况；下游需求看，目前内外需求形势均不容乐观，重点关注 8 月底关税的具体落地情况。下游棉纱及坯布现货价格则维持坚挺，而近期粘短价格出现较为明显的下滑，涤短则因 PTA 上涨幅度有限预计将呈现震荡回落态势，加之环保限产印染行业对于坯布需求的不断减弱，需求整体转淡将对整体社会库存形成一定的压力；国际方面，隔夜ICE 期棉继续呈现小幅上涨，但仍未突破上方 90 美分关口。天气方面，美国西南棉区近期降雨量偏少，对旱情的缓解帮助不大，预计未来棉株优良率仍将不容乐观。而美元未来预期依旧偏强，对棉价整体反弹形成一定压制，因此后市或将延续区间震荡格局。昨日郑棉夜间受抛储轮出消息推动，多头大幅减仓，目前仓单+预报总量已超 47 万吨，整体压力未有明显改善，主力合约承压将随 9 月交割临近而愈发显著，建议郑棉稳健者买 CF809-卖 CF901 组合继续入场，激进者考虑未来潜在利多因素可继续持有卖CF901-买 CF905 反套组合。操作具体建议：买 CF809-卖 CF901 继续入场，策略类型为正套组合，持仓比例为 5%；持有卖 CF901-买CF905，策略类型为反套组合，持仓比例为 5%。国信期货美棉升至六周高位。12月合约上涨0.39美分，涨幅为0.44%。同时，德州天气干旱导致美棉优良率偏低，美棉短期预计维持偏强走势。夜盘郑棉高位震荡，储备棉轮出延长至9月底，短期利空但长期偏多，超允差棉花追偿导致实际储备棉库存量面临下调，同样利多长期。操作上建议多单谨慎持有，有效跌破17000点离场。弘业期货洲际交易所(ICE)期棉合约周二升至6月中以来最高水平。交投最活跃的12月合约收高0.39美分，结算价报每磅89.59美分。昨日国内郑棉主力1910合约在ICE期棉以及新疆产区天气的忧虑下高开高走，盘中高点创6月25日以来新高。最终大幅增仓八万七千多手、涨415元/吨。夜盘高开高走，未明显受储备棉抛储延期影响。美国主棉花主产区得州干旱引发市场担忧，美棉生长状况同比不佳，外盘基本面偏强。昨日稍晚，全国棉花交易市场和中国储备棉管理有限公司联合发布关于延长储备棉抛储至9月30号的公告。这将增加国内棉花供给，给棉价带来压力。国内纱线和坯布开工率下滑速度有所缓解，库存继续增加，坯布价格稳定，纱线价格略升，下游有回暖迹象。目前正值棉花生长关键期，天气的影响至关重要。在天气未有明显不利的前提下，不建议投资者追高。瑞达期货棉花现货 3128B 价格指数呈现先跌后涨的趋势；2017/2018 年度储备棉轮出第二十一周(7 月 30 日-8 月 3日)标准级销售底价为 15785 元/吨，较上周下跌 43 元/吨。截至7月27日，累计计划出库291万吨，累计出库成交174.2万吨，成交率为 60%；成交最高价 17700 元/吨，最低价 12700元/吨。总体储备棉成交有所升温，进入最后一个月轮出时间，预计在储备棉性价比的优势下，后期拍卖热情将延续高涨的可能。但是近期有关于轮出延期的传闻，若兑现的话，将对郑棉期价产生一定的利空。中下游方面：截至 7月 27 日，周纱线开机率下滑 0.4%至 65.1%，坯布开机率小幅下降 0.9%至 59.6%。纱线与坯布库存累计速度微幅加快。其跌幅较前期虽有所减缓，但是纺织需求仍处于传统淡季，预计纱线、坯布开机将继续下滑走势，坯布、纱线库存逐步积累继续。替代品涤纶短纤产销表现有所转好的预期，对棉价产生一定的利多；目前新棉处于生长关键期，决定了，棉花来年产量的多少；近期新疆传闻冰雹等对新棉市场形成一定的影响。操作上，短期建议郑棉 1901 合约可建立多单，上方测试 17350 元/吨压力。受原料成本的支撑，涤纶短纤价格坚挺带动棉纱上涨，短期建议棉纱期货 1810多单介入。以上观点仅供参考，不构成操作建议。                                            (责任编辑：DF318)"
"期市午盘：多数农产品期货上扬 郑棉涨超3%","摘要            【多数农产品期货上扬 郑棉涨超3%】东方财富网31日讯，期市午盘多数农产品上扬，棉花棉纱双双领涨，黑色系则维持强势，但涨幅有所收窄，焦炭维持2270元一线。                             　　东方财富网31日讯，期市午盘多数农产品上扬，棉花棉纱双双领涨，黑色系维持强势，但涨幅有所收窄，焦炭维持2270元一线。　　　　截至午盘，一号棉主力合约涨3.17%，报17270元/吨；棉纱主力合约涨2.42%，报25630元/吨。　　今日消息面：　　1.7月官方制造业PMI为51.2% 已连续24个月位于荣枯线上方　　2.新华社：做好地价房价联动调控的大文章　　3.错峰限产区域或扩至80城 限产减排再给钢企戴上绿色“紧箍”　　4.中央气象台首席预报员详解：本轮高温天气何时缓解　　今日晨会中，机构对棉花类期货纷纷发表不同看法，整理如下：　　国泰君安期货：棉花类区间震荡　　美棉生长优良率低引发市场忧虑。央行释放流动性利好商品整体板块，人民币贬值利好纺织品出口，对外棉进口构成一定成本支撑。国内新棉处于成长关键期，近期新疆降温利好新棉生长，新年度产量预期同比持平或略减，供需缺口客观存在。综合而言，短期盘面将维持窄幅震荡，中长线看涨。当前9、1价差-890，可继续买9卖1的正套操作。CF1901支撑位参考16500，阻力位参考17500。　　国信期货：美棉继续上涨 郑棉大幅攀升　　美国主产区干旱以及技术性买盘支撑，美棉维持涨势。12月合约上涨0.86美分，涨幅为0.96%。德州依旧干旱。截至7月29日当周，美棉优良率升至43%，较前一周上升4%，但同比大降。美棉短期维持强势。夜盘郑棉小幅高开后增仓大涨。美棉走升有所提振，新疆棉产区天气也引发关注，上涨得到资金支撑，短期走势偏强，但持续性存疑。操作上建议短线交易为主。　　大越期货：建议17000上方每隔100点建仓空单　　基本面方面，印度截至7月20日新棉种植927万公顷，低于去年同期1040万公顷。发改委滑准税进口配额80万吨发放非国营纺织企业。国储政策修改，只许纺织企业参与国储拍卖。中国农业部7月棉花供需平衡表18/19产量572万吨，17/18产量589万吨。6月进口棉花10万吨，环比减少23%，同比增加38%。中性。基差方面，现货3128b全国均价16199，基差-571，贴水期货；偏空。库存方面，中国农业部17/18年度7月预计期末库存762万吨；中性。由此得出，棉花基本面短期维持平衡，目前仓单巨大，社会库存偏大，市场并不缺棉花。夜盘棉花大幅上涨，冲破17000关口，基本面并无重大利多，预计持续上涨动能不强，建议17000上方每隔100点建仓空单，控制好仓位。　　中投期货：棉花将延续上涨趋势　　6月份棉花进口环比减少23%。自本月7日来，新疆大部分地区已经出现了持续35℃以上的高温，南疆棉花或推迟成熟。棉花供应较为充裕，后期关注美棉产量和全球库存。面积的增加与单产下滑有所抵消，因此乐观预计北疆总产量增加幅度7.4%左右。7月30日储备棉轮出销售资源30003.4493吨，实际成交12017.5722吨，成交率40.05%。持续影响棉花的需求，预计服装出口将持续低迷。纺织需求处于传统淡季，预计纱线、坯布开机将继续下滑走势，坯布、纱线库存逐步积累继续。操作上，整体商品受人民币贬值影响，短期内强势，PTA大涨提振聚酯价格，昨日夜盘大幅上涨，棉花将延续上涨趋势，建议偏强操作，回调买入。　　推荐阅读>>>　　热浪席卷全球 因担忧天气全球农产品价格飙升                                            (责任编辑：DF318)"
"31日棉花市场期货操盘策略","　　基本面上，美国德州干旱天气忧虑，资金流入技术面买盘增加。期货走势上，郑棉主连昨夜盘大幅上涨，涨445，涨幅2.66%，收于17185元/吨；ICE美棉昨日小幅上涨，涨0.85，涨幅0.96%，收于89.16美分/磅，预计郑棉主连或将维持趋势上行格局。                                            (责任编辑：DF318)"
"7月30日新疆中棉壳报价基本平稳","　　周一，棉壳市场价格稳中为主。受主产区棉油厂普遍停产限制，各地棉壳资源供应量多不大，但因为食用菌目前养殖利润空间有限，养殖户对棉壳采购情绪较弱，棉壳市场购销一直较为清淡，内地目前受成本及库存不大支撑，价格多持稳。而疆内棉壳仍是供大于需，局部持续商存有低价促销。短期来看，棉壳行情或将持续稳中弱势调整格局运行。　　具体如下：　　阿克苏中棉壳国产的分销报价为570元/吨，和27日的报价持平，7月27日无现货成交。                                            (责任编辑：DF318)"
"7月26日新疆皮棉报价基本平稳","　　7月26日，周四，总体而言，美棉价格从高位回落，但市场对德州等棉花主产区干旱预期一直没有消退，美棉优良率大幅低于上年，使投资者对美棉产量和品质偏悲观。与此同时，随着抛储持续进行，国内棉花库存不断下降，制约棉花上涨的主要因素逐渐消失，国内棉花长期价格中枢或将上移。短期内，国内棉花价格受国家政策影响处于弱势震汤，投资者应以保持观望为宜；从长期来看，投资者应保持多头思维。投资者可以逢低买入并长期持有多单。　　具体如下：　　阿克苏皮棉国产的分销报价为16250元/吨，和25日的报价持平，阿克苏恒信棉业有限公司；7月25日无现货成交。                                            (责任编辑：DF318)"
"新疆：棉花现货价格稳定 高温天气蚜虫泛滥","摘要            目前，现货市场价格稳定。北疆机采“双28”疆内报价16100-16200元/吨(公定)，兵团棉“双28”报价16800元/吨(含杂1.3，马值4.5)；内地库“双29”报价16700元/吨(公定)，存在议价空间；地产棉报价在14200-14700元/吨(带票，毛重，送货)，自提14000-14500元/吨，均较7月初保持稳定。                             　　 目前，现货市场价格稳定。北疆机采“双28”疆内报价16100-16200元/吨(公定)，兵团棉“双28”报价16800元/吨(含杂1.3，马值4.5)；内地库“双29”报价16700元/吨(公定)，存在议价空间；地产棉报价在14200-14700元/吨(带票，毛重，送货)，自提14000-14500元/吨，均较7月初保持稳定。 　　中央气象台发布高温黄色预警，25日南疆部分地区最高气温可达37-39摄氏度，局地40摄氏度以上；本周后期新疆南、北部山区及沿山地带将出现降雨天气，出现洪水及地质灾害的风险增大。 　　据北疆棉农反映，目前高温天气未出现较大影响，棉花长势正常。去年棉田铃重大，故产量较高，今年果枝数量同比减少1-2台/株，铃重和采摘期需看8月份天气情况。该棉农预计，今年产量很难达到去年的水平，目前对棉田影响最大的是蚜虫数量增加。据了解，今年棉花生长期新疆长时间气温偏低，温度回升后仅数天，又会出现阴雨天气，利于蚜虫繁殖。眼下棉农正积极防治虫害，局部棉田三天喷洒一次农药，导致田间管理费用上涨，植棉成本增加。 　　                                            (责任编辑：DF318)"
"7月25日陕西省棉短绒市场行情动态","　　7月25日，周三，国内棉短绒价格多维持稳定。棉短绒受下游长期需求不佳制约，行情仍保持弱势多稳局面。下游化纤厂和精制棉厂开工受限，采购面短绒不积极，令短绒行情发展受制。但目前油棉厂开工率较低，棉短绒供应量不断下降，使短绒价格下跌受限。　　具体如下：　　大荔伟恒棉短绒国产的停报，7月24日无现货成交。                                            (责任编辑：DF318)"
"7月25日新疆皮棉报价基本平稳","　　7月25日，周三，美棉新年度签约表现优良，预计美棉价将继续震荡走低。国内储备棉抛售维持低成交，抛储逐渐进入后期，预计竟拍热度将有所提升。下游坊织行业进入行业淡季，纺企采购积极性降低。国内市场暂无显著改变，郑棉延续调整。投资策略：观望或短线操作。　　阿克苏皮棉国产的分销报价为16250元/吨，和24日的报价持平，阿克苏恒信棉业有限公司；7月24日无现货成交。                                            (责任编辑：DF318)"
"棉花 外强内弱局面延续","　　7月以来，郑棉1901合约跌至16000元/吨附近反弹回升，至17000元/吨一线受阻，目前在16700元/吨上下徘徊。 　　全球棉价重心会上移 　　中长期看，棉价与库消比呈现明显反向关系，且在库销比走低的末端价格变动更剧烈。5月以来，全球棉花库销比持续降低，最新的USDA报告显示库销比大幅降低4.9个百分点至61.31%，这为全球棉价提供了支撑。全球棉花库销比下降的主要原因有两点：一是中国处于去库存后期，对外依赖度增加。二是2018/2019年度全球产不足需幅度扩大。在上述两大因素影响下，中长期看，全球棉价重心将会上移。 　　美棉卖出套保待平仓头寸处于高位 　　截至7月6日，美棉2018/2019年度的四个合约Unfixed On-Call Sales(卖出套保待平仓头寸)为12.5万手，处于历史同期高位，对应283.5万吨棉花。与此同时，2018/2019年度美棉预售达到136万吨，同比增加27%，占2018/2019年度预测总出口量(327万吨)的41.7%。在2018/2019年度全球库消比下降、美棉出口签售强劲、美棉优良率低于近几年水平的背景下，若美棉出口签售未出现持续大量毁约或卖出套保待平仓头寸大幅下降，则2018/2019年度美棉价格支撑较强。 　　国内棉花产量预期提升、仓单压力大 　　根据中国农业信息网、中国棉花协会7月中旬公布的信息显示，全国棉花2018/2019年度产量预期较之前有所提升，新疆产量或与上年度持平略增，而上一轮郑棉上涨行情正是由新疆减产预期所推动。仓单方面，受到基准交割地转移至产地及2017/2018年度供给充裕影响，2018年2月郑棉仓单创出历史新高，随后仍然一路攀升，而往年郑棉仓单自4、5月开始季节性下降，市场较为关注仓单对近月合约价格的影响。预计8月之后，郑棉仓单会产生时间贴水，且新花销售阶段老仓单资源会加快销售，预计11月及之后，郑棉仓单压力会在基础成交价或仓单升贴水下移背景下得到一定程度的释放。 　　综合来看，全球棉花库消比进一步下降对全球棉价形成一定支撑。预计外强内弱局面将延续。                                            (责任编辑：DF386)"
"7月19日郑商所棉纱期货午盘报价","合约名称开盘价最高价最低价最新价涨跌成交量持仓量昨日结算CY1810248902509024835250701753254343024895CY1901254352552525315255251602615225365CY190625350253502535025350-3702225720                                            (责任编辑：DF318)"
