"标题","正文"
"8月2日云南省16度棕榈油报价基本平稳","　　8月2日，周四，马来西亚棕榈油期货周三上涨逾1%，为连续第三日走高，技术性买盘带来支撑，目对印度雨季降水量恐低于正常水平的预期令市场人气偏多。一家民间气象预测机构周三称，印度2018年雨季降雨量可能低于预期，这使得市场对于印度农业产出和经济增速的相关担忧升温。今日连棕上涨，现货报价如下：　　云南昆明16度棕榈油调和油的出厂报价为5240元/吨，和1日的报价持平，益海；8月1日无现货成交。28度棕榈油SPMF的出厂报价为5080元/吨，和1日的报价持平，益海；8月1日无现货成交。                                            (责任编辑：DF120)"
"8月2日广西省24度棕榈油报价基本平稳","　　防城大海10度棕榈油调和的出厂报价为5200元/吨，和1日的报价持平，8月1日无现货成交。16度棕榈油调和油的出厂报价为4900元/吨，和1日的报价持平，8月1日无现货成交。24度棕榈油分提的出厂报价为4800元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF064)"
"8月2日山东省18度棕榈油报价基本平稳","　　8月2日，周四，马来西亚棕榈油期货周三上涨逾1%，为连续第三日走高，技术性买盘带来支撑，目对印度雨季降水量恐低于正常水平的预期令市场人气偏多。一家民间气象预测机构周三称，印度2018年雨季降雨量可能低于预期，这使得市场对于印度农业产出和经济增速的相关担忧升温。今日连棕上涨，现货报价如下：　　日照黄海18度棕榈油精炼的出厂报价为5000元/吨，和1日相比上涨了30元/吨，8月1日无现货成交。24度棕榈油进口(液)的停报，基差报价对连棕榈油1809+60(4816)元/吨(18年8月)，8月1日无现货成交。                                            (责任编辑：DF318)"
"8月2日天津市24度棕榈油报价基本平稳","　　8月2日，周四，马来西亚棕榈油期货周三上涨逾1%，为连续第三日走高，技术性买盘带来支撑，目对印度雨季降水量恐低于正常水平的预期令市场人气偏多。一家民间气象预测机构周三称，印度2018年雨季降雨量可能低于预期，这使得市场对于印度农业产出和经济增速的相关担忧升温。今日连棕上涨，现货报价如下：　　天津港24度棕榈油进口(液)的分销报价为4750元/吨，和1日相比上涨了40元/吨，8月1日无现货成交。                                            (责任编辑：DF350)"
"8月2日广东省18度棕榈油报价基本平稳","　　8月2日，周四，马来西亚棕榈油期货周三上涨逾1%，为连续第三日走高，技术性买盘带来支撑，目对印度雨季降水量恐低于正常水平的预期令市场人气偏多。一家民间气象预测机构周三称，印度2018年雨季降雨量可能低于预期，这使得市场对于印度农业产出和经济增速的相关担忧升温。今日连棕上涨，现货报价如下：　　深圳惠丰裕18度棕榈油分提的分销报价为4780元/吨，和1日相比上涨了40元/吨，8月1日无现货成交。                                            (责任编辑：DF078)"
"棕榈油：短期回落整理 反弹空间料受限","摘要            展望后市，在季节性增库存周期下，中短期棕榈油缺乏利好驱动，反弹空间料受限。近日棕榈油期货1901合约反弹至上方40日线压力附近，上行受阻，短期或有回落调整。                             　　近期在外围油脂市场强劲反弹的带动下，大连棕榈油期货凭借进口成本支撑从低位反弹，录得100多点的涨幅。然而，当前棕榈油仍受累于产地复产及需求萎靡，加之作为棕榈油第二大进口国的印度，进口需求在国内棕榈油高价水平下受到抑制，产地后期库存压力不减。　　展望后市，在季节性增库存周期下，中短期棕榈油缺乏利好驱动，反弹空间料受限。近日棕榈油期货1901合约反弹至上方40日线压力附近，上行受阻，短期或有回落调整。　　生产重回正轨　　棕榈油单产与降水量存在较大的相关性，在前期降水量良好的情况下，今年棕榈产量进一步增长将是大势所趋。马棕一季度产量不负众望地达到了450万吨，同比增长12.6%，大幅超出5年期平均水平，显示出复产情况良好。然而，该复产节奏却在随后的4—6月受到了较大干扰，马来西亚大选和斋月假期导致的工作日过少，令这几个月的产量出现连续下滑。　　随着6月中旬斋月的结束，7月工人重回种植园，棕榈油生产情况重回正轨，产量随即显示出了强劲的增长势头。SPPOMA数据显示，马棕7月1—25日产量环比增长27.61%，其中单产增长29.50%，出油率略降0.36%。MPOA数据则显示，马棕7月1—20日产量环比增长18%，其中马来西亚半岛增加22.1%，沙巴州增加10.7%，沙捞越增加11.0%。保守估计，马棕7月产量环比增幅将达到20%，对应的产量在160万吨以上，较6月133万吨的产量出现较大增长。直到10月，棕榈油产量或继续呈现季节性增长，供给将十分充裕。　　产地出口萎靡　　虽然棕榈油产量表现良好，但产地出口并不乐观。船运调查机构ITS和AmSpec发布的数据显示，马棕7月出口环比下滑1.38%—3.94%。马棕在6月113万吨同期历史低位的基础上下滑，显示出需求极度萎靡。　　今年年初，马来西亚政府宣布将4月毛棕油出口关税提高至5%，相比之下3月毛棕油出口关税为零，这也是自2015年4月以来首个不实行毛棕油零关税政策的月份，极大改善了马棕的出口竞争力。然而，全球植物油总需求增速是有限的，一段时间实施的零出口关税政策更多是促进需求国的提前采购，而不是促进总需求的扩张。马棕前期出口大幅增长透支了部分未来出口的潜力，并在随后的日子里通过萎靡的出口逐渐显现出来。　　植物油需求放缓　　印度在6月调整了植物油进口关税，将毛棕油、精炼油进口关税分别统一调整为35%、45%，表现为维持棕榈油不变，而上调豆油、菜油、葵油的进口关税。这一举措虽然增强了棕榈油的相对竞争力，但似乎对印度棕榈油需求并没有形成太多提振，因印度油脂整体需求出现回落。作为全球第二大植物油消费国，印度需求增速放缓对市场形成较大的不利影响。　　虽然当前全球植物油价格在多年低位徘徊，但进口关税的数次上调及卢比对美元贬值，仍令印度国内植物油价格呈现逆势上涨。印度国内批发市场主要植物油价格在过去的12个月里上涨16%—28%，其中精炼棕榈油价格高达680卢比/10公斤，相比去年同期增长28%。在偏高的植物油价格水平下，一方面，印度国内油籽压榨好转，植物油产出增加；另一方面，高价对印度国内植物油需求形成抑制。在这两个方面的作用下，印度植物油进口需求将被压缩，油世界已将2017/2018年度印度植物油进口需求下调至3年低位1470万吨，较上年减少70万吨。　　总体来看，当前棕榈油依然受限于基本面压制，短期缺乏更多利好因素驱动，预计反弹空间受限，但在进口成本增加及原油反弹提振PME需求的支撑下，短线亦难大跌，预计仍以区间振荡为主。近日棕榈油期货1901合约反弹至上方40日线压力附近，突破动能不足，短期或有回落调整，可尝试轻仓短空。　　(作者单位：中信建投期货)图为马来西亚棕榈油出口量                                            (责任编辑：DF318)"
"2018年8月1日天津最新棕榈油价格行情","　　2018年8月1日天津地区棕榈油价格行情：贸易商报价，24度棕榈油4720元/吨。                                            (责任编辑：DF392)"
"2018年8月1日主要地区棕榈油价格行情","　　天津地区：贸易商报价，24度棕榈油4720元/吨。 　　广州东莞：中储报价，24度棕榈油4880元/吨。                                            (责任编辑：DF392)"
"亚洲棕榈油现货市场价格行情保持稳定","　　周二，亚洲棕榈油现货市场价格保持稳定。 　　周二，2018年8月船期毛棕榈油的卖盘报价为2,190令吉/吨，和上一交易日持平，南马来西亚交货价格。 　　2018年8月交货的33度精炼棕榈油报价为每吨552.5美元/吨，和上一交易日持平；9月交货的33度精炼棕榈油报价为每吨557.5美元/吨，和上一交易日持平；10月到12月的报价为575美元/吨，和上一交易日持平；明年1月到3月份的报价为592.5美元/吨，和上一交易日持平，马来西亚港口的FOB报价。 　　2018年8月交货的24度精炼棕榈油报价为每吨555美元/吨，和上一交易日持平；9月交货的33度精炼棕榈油报价为每吨560美元/吨，和上一交易日持平；10月到12月的报价为577.5美元/吨，和上一交易日持平；明年1月到3月份的报价为595美元/吨，和上一交易日持平，马来西亚港口的FOB报价。 　　周二，马来西亚衍生品交易所(BMD)的棕榈油期货上涨，其中基准10月棕榈油期货收报每吨2194令吉，比上一交易日上涨3令吉。 　　消息面上，周二船运调查公司AmSpec Agri马来西亚公司称，今年7月1-31日期间，马来西亚棕榈油出口量为1,030,909吨，比6月份的1,073,224吨减少3.9%。 　　作为对比，2018年6月份马来西亚棕榈油出口量为1,073,244吨，环比减少10.32%。 　　其他消息包括，吉隆坡甲洞公司总经理李爱贤预计7月份马来西亚棕榈油产量将会增加。不过从8月起棕榈油产量不会很高。李爱贤预计2018年马来西亚棕榈油产量将低于2000万吨。去年马来西亚棕榈油产量为1990万吨。李爱贤称，现在存在劳动力短缺问题。之前的天气干旱导致今年生产形势有些扭曲。去年底和今年初的产量非常高。正常情况下，我们的棕榈油产量高峰期在8月和9月，不过今年可能推迟到来。 　　不过IOI公司总经理李耀祖(Lee Yeow Chor)预计棕榈油产量将于9月份达到高峰，7月份往后的棕榈油产量预计大幅增加，不过全年产量可能仅比2017年温和增长。 　　周二，令吉汇率报4.058令吉兑美元，上一交易日为1美元兑换4.055令吉。 　　注：1美元等于4.058令吉                                            (责任编辑：DF392)"
"棕榈小幅走高 上方面临4900关口","　　外盘走势：马来西亚BMD毛棕榈油期货周二微幅走高，自日内稍早触及的一周低位反弹，受美国豆油期货上涨及马币疲软支撑。BMD指标10月毛棕榈油期货合约上涨0.1%，报每吨2,194马币。日内稍早该合约曾触及每吨2,176马币，为7月25日以来最低位水平。 　　国内走势：棕榈油1901合约小幅走高，开盘4884元/吨，收盘4868元/吨，上涨0.45%，持仓量增加758至397996手。 　　消息方面：对两个行业组织和国有棕榈油研究公司的调查中值显示，印尼6月棕榈油出口预计为248万吨，低于5月的260万吨，6月产量料降至约345万吨，低于5月的375万吨，6月国内棕榈油使用量预计为994550吨，略高于上个月，6月棕榈油期末库存预计为434万。 　　现货方面：嘉里报价，24度棕榈油4750元/吨。中粮佳悦，24度棕榈油4770元/吨。东莞地区24度棕榈油报价4740元/吨。 　　观点总结：由于到港量不及预期，国内棕榈油库存小幅度下降，不过近期进口利润转好，买船增加，后期库存下降空间有限；7月份开始，棕榈油主产国生产有望加快，加之出口数据出现环比下滑迹象，库存积累风险较大；棕榈油基本面偏弱，可能拖累油脂价格走势。连棕榈油1901合约小幅走高，保持于5日均线上方反弹，短期面临4900元/吨整数关口压力，预计后市上涨空间有限，建议在4900元/吨附近轻仓试空，止损4950元/吨。                                            (责任编辑：DF381)"
