"标题","正文"
"甲醇主力逼近一年半以来高位 续涨空间有限","摘要            经过两日短暂调整之后，甲醇期货昨日再度发力上行，主力1809合约最高至3020元/吨，逼近一年半以来高位。分析人士表示，港口库存超预期下降，因此甲醇价格在化工板块氛围带动下再度上行。而随着企业检修高峰结束，8月甲醇供给将会增加，且传统下游仍处需求淡季，不过，低库存将存在一定支撑，预计甲醇期价整体将以偏震荡为主。                             　　经过两日短暂调整之后，甲醇期货昨日再度发力上行，主力1809合约最高至3020元/吨，逼近一年半以来高位。分析人士表示，港口库存超预期下降，因此甲醇价格在化工板块氛围带动下再度上行。而随着企业检修高峰结束，8月甲醇供给将会增加，且传统下游仍处需求淡季，不过，低库存将存在一定支撑，预计甲醇期价整体将以偏震荡为主。 　　期价再创阶段新高 　　昨日，甲醇期货低开高走，主力1809合约最高至3020元/吨，逼近一年半以来高位，盘终收报3018元/吨，涨60元或2.03%。 　　“周四甲醇期价再度走强，主要得益于对港口库存超预期下降的反应。”美尔雅期货分析师徐婧表示，甲醇港口现货紧张、库存低位一直是支撑价格的有利因素，市场预期的累库情况并未体现，因此，甲醇价格再度在化工板块氛围带动下上行。 　　深究其原因，徐婧表示，东南亚甲醇价格高位，使得港口甲醇转口量开始增多，40美元左右的价差驱使下转口至东南亚的甲醇船只增加。预计8月份还有两三万吨要过去，因此港口库存仍保持低位状态。 　　实际上，自7月份以来，甲醇期货整体呈现单边上涨行情。“这主要是因国内供应偏紧，库存低位支撑，下游烯烃装置的大量重启使得终端需求较多，同时受人民币贬值影响，甲醇国内外价差倒挂，进口较少。”建信期货研究员李捷表示。 　　供需格局错配 　　“在库存低位的大背景下，甲醇供需格局也体现出错配关系。”徐婧认为，需求端检修期结束后，下游烯烃装置的大量重启使得需求支撑变强。而从供应增量看，甲醇上半年新增产能仅三套，且6月新增的新奥装置出现问题而停车，因此对于供应增量的力度并不够。甲醇国内外价差的倒挂也使得其进口量较少。 　　对于后市，徐婧认为，短期来看，供应存量逐步增加，由于检修高峰已过，8月份检修装置较少且面临着前期检修装置的陆续重启冲击，甲醇开工率有望达到70%。而8月份仍为需求淡季，传统下游的开工率整体处于低位水平。新兴需求上，最大的焦点在于斯尔邦的检修情况，斯尔邦于7月20日开始检修，检修期限35-40天，因此烯烃需求也在8月份受到限制。 　　中长期来看，供应增量上预计仍有2-3套装置有望在下半年投放，而冬季最容易成为甲醇需求炒作的季节。去年爆发的醇基燃料需求还能否在今年有一个较好的增长，直接影响着供需平衡表的反应。预计甲醇燃料的需求后期将成为一个刚性需求，对于甲醇价格有较强的支撑，中长期看，甲醇应该会有一波冲高后下行的行情。 　　李捷也认为：“随着企业检修高峰结束，8月甲醇供给将会增加。虽然8月库存依旧处于低位，但由于供给和预计进口增加，下游斯尔邦检修等因素影响，库存有望积累。且传统下游处于需求淡季，对需求降低。在供需结构较弱的格局下，低库存将存在一定支撑，预计甲醇期价整体将以偏震荡为主。关注供给端和需求端的临时变动。”                                    (原标题：甲醇期价续涨空间有限)                                                (责任编辑：DF318)"
"甲醇：维持短空长多思路","摘要            7月，甲醇期货价格大幅上涨，突破前期振荡区间。从基本面看，内地装置检修叠加因关中数套大装置因环保停车降幅，主产区接近400万吨/年产能的甲醇装置受到影响，而浙江两套外购甲醇制烯烃装置在6月底前后重启，需求环比大幅收紧。8月，国内外多数装置稳定运行，而受江苏盛虹装置检修的影响，供需将再度转为宽松。9月之后，烯烃装置检修结束，传统需求也进入旺季，甲醇市场格局向好。                             　　 7月，甲醇期货价格大幅上涨，突破前期振荡区间。从基本面看，内地装置检修叠加因关中数套大装置因环保停车降幅，主产区接近400万吨/年产能的甲醇装置受到影响，而浙江两套外购甲醇制烯烃装置在6月底前后重启，需求环比大幅收紧。8月，国内外多数装置稳定运行，而受江苏盛虹装置检修的影响，供需将再度转为宽松。9月之后，烯烃装置检修结束，传统需求也进入旺季，甲醇市场格局向好。 　　前期供需两端均有利好 　　6月，华东地区两套烯烃装置检修。据卓创统计，港口甲醇库存较5月底增加16.84万吨。从库存结构看，新增库存主要在浙江，其多为下游库存，而江苏作为贸易库存的代表地区，增幅不到1万吨，由此来看，现货端依然紧张。 　　同时，外购甲醇制烯企业浙江兴兴、宁波福德的装置在6月底前后重启，阶段性需求1个月内大幅上升30万吨。另外，7月，内地装置检修量依然较大，主产区受影响的产能接近400万吨/年。在供需双重利好刺激下，甲醇主力合约大幅拉升，一举突破前期运行平台。截至7月底，华东、华南港口库存较6月下降两万吨。 　　近期国内外多数装置稳定运行 　　目前，欧洲有2—3套装置检修，其他装置普遍稳定运行；美国有175万吨/年的新装置运行稳定，预计将对8月国内进口量产生影响；马油大装置计划8月下旬检修。根据过去几年的经验，在中东、东南亚供应稳定的情况下，我国的进口量能到70万—75万吨/月。如果国内和美国的价差拉大，那么甲醇进口量能够到80万吨/月。预计7—9月，国内进口量呈上升趋势。其中，8—9月处于较高水平，接近75万吨/月。 　　8月，国内计划检修的装置不多，仅涉及神木化学、包钢煤化、世林合计110万吨/年的产能，尽管后期可能会有部分装置意外检修出现，但是整体供应损失量较7月大幅下降。 　　后期行情依然乐观 　　进口方面，东南亚甲醇价格维持高位，生物柴油对甲醇需求带来提振，可能会分流国内一部分进口量。国外新增产能方面，此前计划三季度投产的伊朗新装置目前未有明确消息，而随着美国可能对伊朗进行制裁，其年内投产的概率下滑。国内进口量在8—9月触顶之后，进一步增加的可能性较低。 　　国内方面，部分甲醇装置在入冬前依然有秋季检修。另外，随着北方煤改气政策的推进，今年冬天天然气供需依然趋于紧张，气头装置的开工率依然可能下滑。同时，环保、焦化限产对焦炉气制甲醇开工率也有限制。而需求端，4季度是醇基燃料需求旺季。因此，9月之后，随着烯烃装置检修重启，新兴需求恢复正常，传统需求进入旺季，甲醇行情乐观。 　　总体来看，甲醇操作维持短空长多思路，期货价格可能在8月中下旬前有所调整，关注主力合约逢低做多的机会。 (作者单位：银河期货)                                            (责任编辑：DF318)"
"甲醇：山东企业需要考虑什么？","　　2014年以来，随着我国对于环保、安检等方面的检查，山东地区甲醇产业也在面临深度调整。据中宇资讯统计，2014-2018年山东地区甲醇新增产能共计245万吨左右，其总产能由600多万吨成功突破至900多万吨，截至2018年6月，山东地区甲醇总产能在900万吨左右(主要以煤炭作为生产原料)，占全国总产能的11%左右，位居全国排名榜单第三位(前两名分别是陕西和内蒙古)，企业个数在49家左右，全国仅次于内蒙古。 2014-2018年山东地区甲醇新增产能统计表(万吨/年)年份公司名称新/扩建产能原产能总产能投产时间原料2014年山东联盟2550752014年11月煤阳煤平原100102014年8月煤金能科技100102014年8月煤2015年阳煤恒通200202015年12月煤2017年山东明水60401002017年7月煤华鲁恒升100701702017年9月煤2018年滕州凤凰2072922018年1月煤金能科技2010302018年3月焦炉气鲁西集团8010902018年8月煤　　数据来源：中宇资讯　　另据中宇资讯统计显示，山东地区甲醇生产企业规模超10万吨/年及以上的产能在830万吨左右(随着去年山东华鲁恒升100万吨/年及山东明水60万吨/年新建装置的投产，山东首次出现百万吨级企业)，占当地总产能的92%左右，较2014年增加近2个百分点，规模化程度有所增强。从地区分布看，山东甲醇产能主要集中在德州、枣庄、济宁、济南、潍坊和临沂，6个地级市产能占到该省的比例达到90%。虽然部分企业具有配套的下游装置(多以DMF、醋酸、MTO等为主)，但95%以上的企业以外销甲醇为主。　　从后期环保等政策及新建项目计划情况看，山东地区继续大批新建甲醇及相关装置的可能性较小，另外当地甲醇生产原料并无明显优势，且下游产品依旧以传统下游为主(主要集中在北方)。而目前部分下游企业在启用甲醇招标模式进行采购的同时自行采购部分原料进行生产，为此贸易环节竞争激烈，加之甲醇期货的影响、原油价格的变动、西北自身需求的增加，包括天气等其他众多因素的影响，多数业者对于山东甲醇市场的判断周期缩短，另外山东多数甲醇生产企业在销售自身产品的同时发展贸易业务，为此中宇认为，在生存环境变化、环保相关政策加大等因素影响下，技术升级、降低生产成本、提高产能利用率、健全经营模式、发展沿海优势等或许是当前乃至后期山东地区甲醇及相关企业所必须要考虑的重点。                                            (责任编辑：DF318)"
"7月31日山东明泉甲醇报价平稳","　　7月31日，山东明泉甲醇对外报2770元/吨，10+30+60万吨/年煤制甲醇装置正常运行。                                            (责任编辑：DF318)"
"甲醇1809：日内2950附近短多","　　1、基本面：供应存在增加预期，下游需求疲软和低廉的内陆货送到，沿海甲醇面临一定压力。偏空。 　　2、基差：现货3110，基差138，升水期货；偏多。 　　3、库存：江苏甲醇库存在26.48万吨，较上周缩减1.02万吨，偏多。 　　4、盘面：20日线向上，价格20日线上；偏多。 　　5、主力持仓：主力持仓空单，空减；偏空。 　　6、甲醇目前主要低库存和基差支撑价格，但随着套利货抵达，港口市场进入震荡。MA1809:日内2950附近短多，止损2920                                            (责任编辑：DF318)"
"甲醇：中国贸易的缩影—山东","省外甲醇运往山东部分地区运费参考表起点终点带票运费单位内蒙古鲁北150-350元/吨山西鲁北100-300元/吨河南临沂150-200元/吨鲁中北临沂150-200元/吨陕北鲁北120-350元/吨陕西关中临沂120-250元/吨　　注：以上数据为通常情况下参考值，在天气等突发因素下，较高、较低数值皆有。 　　上期我们分析到，山东甲醇产量(2017年达640万吨)一直位于全国前三的位置，但当地拥有全国最多的甲醇下游产品，其需求量远远超过当地供应(据中宇监测显示，每年供应缺口至少在100万吨以上)，极大程度上刺激了省外低价货源的流入。同时环渤海一带各大高速公路纵横交错，且恰巧位于西北—山东北部汽运车队往返的运输线路上，便于从山东运送汽柴油等的车辆到西北后回程运送甲醇，大大降低了甲醇运输成本，提高了省外货源冲击当地货源的竞争力，其中内蒙古、河北等地货源主要通过京藏高速等路线运输至当地，陕北、山西、河南等地货源主要通过青银高速等路线运输至当地。另有部分企业以其独有的铁路资质进行铁路运输。对于运费来说，因运输周期、货量多少、天气情况、油品市场等情况的不同而变化，且近几年来波动频率加快。而据中宇资讯监测显示，山东省外货源中80%以上主要来源于内蒙古、陕西、山西一带。另外，虽然山东位于我国沿海地带，拥有青岛港等码头，但因成本较高，历年来几无进口货到达，据中宇监测显示，仅仅在2015年分别在烟台港和日照港各自到达了1.1万吨、1万吨，主要来自伊朗、卡塔尔等。 　　对于山东省内而言，17个地级市中具有甲醇产销和贸易的占到12个，其中生产地主要集中在济南、潍坊、枣庄、临沂等地(包括联盟、兖矿集团等知名企业)，而需求地主要在东营、淄博、潍坊、临沂等地(主要以MTBE、甲醇制烯烃、甲醛等为主，而甲醇制氢需求量近两年蜂拥而上)，德州、淄博等地主要以甲醇贸易为主。在套利窗口开启情况下，部分鲁北货源会流入鲁南一带，同时鲁南部分货源亦会南下，流入江苏地区。通过以上不难看出，山东以其独特的自身优势将我国甲醇贸易演绎的淋漓尽致。                                             (责任编辑：DF318)"
"甲醇：高处不胜寒","　　 报告要点： 　　我们的观点 　　MA1809合约将面临一定压力，或将可能挑战2750元/吨的低位。 　　我们的逻辑 　　基差显示利多出尽。7月24日，甲醇期货大涨，而现货价格并没有变动，甚至还有小幅度下跌，相应的基差也从244元/吨缩小至177元/吨。这意味着现货并不支持甲醇期货上涨，甲醇利多已经达到极限。 　　供需两弱，甲醇利空来临。国内供应方面，前期检修的装置将会重启，因此国内供应压力将会增加。进口方面，目前7月份已知的到港量为47万吨，预期整个7月份的进口水平为65万吨，这环比6月有较大提升，我们预计8月份也会有此进口水平，进口压力继续增加。与此同时，随着MTO装置的检修以及中下游补库完成，需求端将会维持疲软，因此在需求疲软下，供应压力将导致甲醇偏弱运行。 　　期货贴水现货不能构成做多理由。从因果关系来讲，期货大幅贴水现货是现货强势的结果，期现下跌同样能收贴水。从交割制度上讲，交易所实行的非通用仓单制度导致甲醇交割地和买家目的地之间存在运费以及其他等费用差距。因此为补偿买家损失，期货总会贴水现货。 　　操作建议 　　MA1809合约可以反弹抛空，或有可能挑战2750元/吨的低位。 　　截至7月25日，MA1809合约收盘价为2924元/吨，较前期低点2688元/吨上涨了8.8%。我们认为，当前基差显示甲醇已经利多出尽，在未来供需两弱下，MA1809合约将会偏弱运行，或将可能挑战2750元/吨的低位。 　　1、利多已经达到极限基差显示利多已经达到极限。 　　一般而言，若行情处于牛市，则期现会一起上涨，并且现货上涨的幅度会大于期货，相应的基差会扩大，这表明现货基本面支持期货上涨。相反，若行情处于熊市，则期现会一起下跌，相应的基差会缩小，这表明现货基本面支持下跌。而在7月24日这一交易日，期货出现大涨，而现货价格并没有变动，甚至还有小幅度下跌，基差也从244元/吨收窄至177元/吨。这意味着现货并不支持甲醇上涨，甲醇利多已经达到极限。实际上，基本面也同样做出了证明。前期在大量甲醇装置检修预期下，甲醇中下游集中补库导致甲醇期货大涨。而当前已经到甲醇装置检修的尾声，甲醇中下游也已经补库完成，市场不存在供应短缺预期，这同样意味着利多已经达到极限。 　　2、利空即将来临 　　供需两弱，甲醇利空来临。国内供应方面，检修的甲醇装置即将重启，因此国内供应压力在逐渐增加。经过统计未来将会有526万吨的甲醇装置将会重启。进口方面，目前已知7月进口量为47万吨，预计实际数据将会在65万吨附近，高于6月份46万吨。这也就是说，外盘的压力在逐渐增加。我们预计8月份也会有此进口水平。与此同时，随着甲醇中下游的集中补库完成，以及MTO装置的检修，甲醇当前需求疲软。在需求疲软下，甲醇中下游不会主动补库，甚至会主动抛货于市场盘面，进而打压价格。据悉，当前市场上已经有MTO工厂的货物正在打压市场。而随着甲醇装置的重启，供应又会进一步增加，甲醇中下游更不会补库。在这种情况下，甲醇供应商只能通过不断降价才能出货以防止库存积累。实际上目前现货的疲软已经开始施压期货盘面。截至7月25日，山东南部折盘价2920元/吨，期货盘面收盘价2924元/吨，山东南部甲醇已经有利润抛货盘面。 　　3、期货贴水现货不构成做多理由 　　期货大幅贴水现货是现货强势的结果，即是结果也就无所谓的向上驱动。事实上，通过观察基差(现货-期货)，我们发现基差与现货价格相关性更强。我们使用2016-2018年的数据，发现甲醇主力合约基差与太仓港口现货价格的相关性达到82%，与期货主力价格相关性为62%。这表明引导基差变化的是现货价格，也就是说期货大幅贴水是现货强势的结果。既然如此，也可以通过期现下跌的方式收贴水。 　　甲醇交割制度决定期货天然贴水现货。从交割制度上讲，交易所实行的非通用仓单制度导致甲醇的交割地和买家目的地会存在运费以及其他等费用会有一个价差，而港口地区交割仓库之间并无升贴水差别，因此市场总会给出一定的贴水补偿买家。比如如果最后的交割地被配对在海企库，由于当地市场并没有消化甲醇的能力，因此甲醇买家需要期货价格给出一定的贴水，进而补偿买家转移甲醇到太仓库或其他地区所需要的费用。事实上，我们观察每一次甲醇期货交割时期货总会贴水太仓港口现货。因此，即时临近交割月，MA1809和太仓现货之间也会存在贴水。 　　4、结论：甲醇高处不胜寒 　　基差显示当前甲醇已经利多出尽，在未来供需两弱下，MA1809合约将会偏弱运行。操作上，MA1809合约可以反弹抛空，或将可能挑战2750元/吨的低位。                                            (责任编辑：DF318)"
"7月27日华南地区甲醛行情持稳","　　据生意社了解：华南地区甲醛市场持稳，当地企业主流报价在1690元/吨，原料甲醇窄幅下滑，甲醛企业持观望情绪。                                            (责任编辑：DF318)"
"现货市场重心下移 甲醇期价冲高遇阻","　　 在连续多日上涨并创出阶段新高后，甲醇期货主力1809合约近两日出现显著回调，最新收报于2912元/吨，较本周二高点跌70元/吨。分析人士表示，经过前期持续反弹后，甲醇期价缺乏继续进一步上行动能。此外，近期，现货价格重心走低以及装置重启，亦均期价承压。短期来看，期价有望继续承压调整。 　　期价减仓收跌 　　周四，甲醇期货继续回调，主力1809合约减仓走软，盘终收报2912元/吨，跌35元或1.19%，减仓34266手，成交730262手。 　　方正中期期货分析师夏聪聪表示，经过前期持续反弹后，甲醇期价缺乏继续进一步上行动能。此外，国内甲醇现货市场弱势整理，重心有所走低，亦令期价承压。 　　现货方面，据华泰期货数据显示，近期，内地市场甲醇现货价格报盘松动，西北多家工厂下调报价，成交跟进一般；鲁南区域内装置重启，需求偏弱，价格弱势运行；河北价格下行之后，成交有所好转；港口现货则随着纸货交割临近结束，量价齐跌。近日，关中、山东等地厂家装置开始逐步重启，区域内供给走向宽松，若继续成交乏力，则产区价格有下行风险。港口方面，前期受转口和外汇影响，价格较为坚挺，但近日部分伊朗货源流向东南亚，短期转口受限，加上斯尔邦已然检修，待近日纸货回补之后，港口甲醇亦有走弱预期，8月中旬之前，甲醇供增需减格局延续。 　　东吴期货分析师李元申表示，本周西北涨价后出货一般，在甲醇装置重启的背景下，供应偏多出现压力。供应面上，本周至月末，甲醇装置重启量大约300万吨/年，新增检修几无，产量增量会带来一定压力。此外，下游淡季来临，山东甲醇市场持续偏弱。 　　基本面支撑不足 　　从基本面来看，夏聪聪表示，甲醇装置开工基本恢复至正常水平，市场供应增加。西北主产区企业整体签单尚可，出厂报价下调。除了供给当地烯烃外，企业出货情况一般。此外，正值淡季，甲醇下游需求疲弱，采购节奏放缓。下游企业面对高成本压力，多适量逢低补货为主。另外，甲醇交投欠佳，实际放量有限。市场参与者信心不足，部分持货商恐慌性降低排货。且国际市场供应宽松，甲醇进口货源到港增加。 　　港口库存方面，目前，沿海地区甲醇库存缩减至57.05万吨，整体可流通货源预估在18.51万吨附近。初步估算，预计沿海地区7月20日至7月31日抵港的进口船货数量在14.6万吨-15万吨。 　　鉴于上述分析，夏聪聪认为，在基本面支撑不足的情况下，甲醇期价上方空间有限，3000元/吨一线阻力明显，不排除短期重心高位反复。建议前期多单逢高止盈，谨防盘面回调风险。 　　李元申也认为，目前，在MTO利润偏低情况下，甲醇价格存在压力，且主力1809合约临近交割，建议移仓至1901合约。总体上看，在甲醇市场供需格局宽松的背景下，期价将继续承压。                                            (责任编辑：DF318)"
"7月26日黑龙江亿达信甲醇对外报价平稳","　　黑龙江亿达信甲醇对外报2700元/吨，年产10万吨焦炉气制甲醇装置运行正常。                                            (责任编辑：DF318)"
