"标题","正文"
"侯雅婷：原糖弱势震荡 郑糖企稳","　　跟随商品偏弱走势，原糖小幅收阴。10月原糖价格下跌0.07美分，跌幅为0.7%。虽然原糖仍旧处于下跌趋势，但跌幅明显收窄，下跌动力也在减弱。夜盘郑糖小幅低开后企稳回升，现货虽然价格略有下降，但成交尚可，下游信心恢复，贸易商补库积极。郑糖回踩支撑后，现货配合下仍有反弹空间。操作上建议中线低位多单持有，有效跌破5050点减持。9-1正套持有，目标看至110。                                             (责任编辑：DF318)"
"白糖：价差收窄面临两重风险 甘蔗直补价格预计在60元/吨","摘要            取消保障关税豁免、人民币贬值等因素阻碍食糖内外价差的收窄。甘蔗直补政策出台前，食糖内外价差预计在2500元/吨上方波动。单从缩减内外价差这一目标来看，若要令价差重新降至2000元/吨，对应的甘蔗补贴价应在60元/吨。                             　　由于内外价差较大，我国食糖走私严重，干扰国内市场。走私节奏相对不可控，成为糖市动态平衡表中最大的不确定项。甘蔗直补是应对糖业困局的可行办法，其直接降低制糖成本，从而影响食糖价格。从缩减内外价差的角度看，直补价格预计在60元/吨。 　　走私是供需平衡表中的不确定因素 　　上半年，我国海关共侦办走私食糖犯罪案件26起，案值3.25亿元，查证涉案食糖5.13万吨，走私的驱动力是内外存在价差。我国食糖供需平衡表中，消费量相对固定、进口量可控、未来一两年产量变动不大，价格波动的最大干扰因素就是走私。 　　如何降低食糖内外价差、堵住走私，且确保国内不会大幅减产？国际上比较成熟的经验是实施甘蔗直补政策。6月以来，市场出现有关直补的传言，焦点是直补价格和实施时间。直补价格关系到糖价的运行空间，以50元/吨为例，按12%的甘蔗出糖率计算，吨糖成本将下降417元。我们从缩减内外价差的角度分析甘蔗直补价格。 　　内外价差变动经历了五个阶段 　　国内食糖价格长期高于国际市场，以郑糖和伦糖为例，2006年以来，二者价差呈现阶段抬升走势，大致可分为以下几个阶段： 　　第一阶段：2010年之前，内外价差基本在1500元/吨以内，最低出现在2008—2009年，当时差价不足500元/吨。 　　第二阶段：2010—2011年，内外价差从1000元/吨持续扩大，甚至超过2500元/吨，两年时间价差拉大约1500元/吨。 　　第三阶段：2012—2014年，内外价差缓慢收窄至2000元/吨下方，三年时间缩小约500元/吨。 　　第四阶段：2014年10月13日商务部宣布将配额外食糖纳入自动进口许可管理，2016年7月27日广西糖协向商务部提交食糖产业保障措施调查申请书，在此期间，内外价差先从2000元/吨快速扩张至3000元/吨，随后缩小至2300元/吨。 　　第五阶段：2016年7月27日—目前，内外价差同样经历了先扩大后收窄的过程，最高在3500元/吨以上，近期加速收窄在2650元/吨附近。 　　总体来看，两次食糖产业保护措施都促使内外价差走高，涨幅均在1000元/吨以上，后期即便回落，价差也高于措施出台前。当前，2650元/吨的价差距离配额外进口许可管理实施前还有650元/吨。 　　价差收窄面临两重风险 　　7月16日商务部宣布取消食糖保障关税豁免，对8月1日后进口的配额外食糖统一征收40%保障关税。配额外进口最低关税成本由50%上调到90%，势必刺激国内糖价上移，不利于国内糖价进一步向国际市场靠拢。另外，这样一来，走私糖的利润空间也随之增加。汇率方面，2季度美元兑人民币上涨5.6%，7月上涨3.0%以上。人民币贬值提高了食糖进口(包括走私)成本，抑制了国内糖价的下跌。 　　取消保障关税豁免、人民币贬值等因素阻碍食糖内外价差的收窄。甘蔗直补政策出台前，食糖内外价差预计在2500元/吨上方波动。单从缩减内外价差这一目标来看，若要令价差重新降至2000元/吨，对应的甘蔗补贴价应在60元/吨。 　　(作者单位：南华期货)                                    (原标题：甘蔗直补价格预计在60元/吨)                                                (责任编辑：DF318)"
"洲际交易所(ICE)原糖周三续跌至三年低位","　　洲际交易所(ICE)原糖周三续跌至三年低位，与整体商品市场走势一致。郑糖昨日夜盘受原糖影响，小幅震荡，价格变动不大。现货方面，南宁中间商报价5250-5270元/吨，仓库报价5240-5270元/吨，柳州中间商报价5260-5280元/吨，仓库报价5230-5260元/吨。从技术方面看，日线级别，MACD红柱缩小，快慢线金叉向上，KDJ死叉向下，均线保持空头排列。30分钟线上，MACD保持绿柱，快慢线接近金叉，KDJ死叉向下，10日线向下穿过60日均线。交易策略：日内交易为主。                                            (责任编辑：DF381)"
"白糖今日观点 SR901的前期空单可以持有","　　柳州中间商站台报价5260-5280元/吨；仓库报价5230-5260元/吨，报价不变，成交一般。夜盘美糖继续创出年内价格新低，供应依然十分过剩。6月单月泰国出口食糖共150万，其中原糖96.8万吨，同比增加143%。ISMA公布，印度18/19榨季产糖量预计增长10%，创下3550万吨历史新高。巴西中南部18/19榨季甘蔗压榨量料为5.57亿吨，低于之前预计的5.62亿吨，巴西中南部的糖产量预计2820万吨，低于之前预估的2905万吨。国际食糖过剩1100万吨。白糖市场供应面仍然充裕，而需求增长乏力。目前全球范围内天气比往年异常，影响农作物产量。中长期维持空头思路。操作上，SR901的前期空单可以持有，下方空间看至4500，反弹沽空操作。                                            (责任编辑：DF386)"
"郑糖增仓下跌看涨期权普跌","　　白糖期权主力合约概览 白糖期权SR901看涨期权C看跌期权P成交量日增仓涨跌幅收盘价行权价收盘价涨跌幅日增仓成交量420+246-9.84%275.04900128.0+67.32%+25244360916+432-8.69%215.55000167.0+57.55%+58825822368+14-9.35%160.05100206.5+41.92%+1501244　　行情介绍和分析 　　今日白糖期货合约SR901增仓下跌，收报5043元/吨，跌幅为-1.72%，成交量为70.35万手，持仓量为38.16万手，日增仓+18998手。近三年的5日、10日、20日和30日的历史波动率均值分别为10.94%、11.35%、11.63%和12.02%。 　　8月1日，白糖期权成交量5.72万手(按双边计算，下同)，持仓量16.71万手，成交额5742.89万元。成交量和持仓量的PC-Ratio分别为0.76和0.49，从成交量来看投资者偏好看涨期权，从持仓比率来看后市依然偏悲观。从持仓分布来看(考虑成交量，选取流动性较好的期权合约)，看涨期权在5700处有最大持仓量，说明在此有较强压制；看跌期权在4900有最大持仓量，显示此处有较强支撑。整体上，一月合约和五月合约成交量分别占所有合约的85.32%和12.40%，持仓量占比分别为71.43%和19.05%。白糖期货SR901所对应的期权合约系列成交量最大、流动性最好。 　　受标的白糖期货SR901合约增仓下跌影响，看涨期权普跌、看跌期权普涨。看涨期权中，SR901-C-4600领跌，跌幅达-10.88%，SR901-C-5200次之，为-10.59%；看跌期权中，SR901-P-4700领涨，涨幅达+79.75%，SR901-P-4800次之，为+78.90%。SR901系列平值期权隐含波动率收于16.53%，较前一交易日小幅上升。 　　郑糖SR901合约震荡下跌，期价下行至布林中轨；日线级别看，MACD处于0轴上方，红柱大幅下降；KDJ指标死叉向下，后续仍有下跌可能。国内方面，适逢季节性用糖高峰，现货端进行旺季采购，糖价前期维持上涨趋势。当前制糖集团报价持稳，总体成交一般，西部地区现货报价基本持稳，部分地区报价小幅上调；北部区域和东部区域报价小幅调整，部分批发市场合同价格震荡下调。因泰国出口大幅增加，缅甸、台湾、柬埔寨等国家和地区进口成品糖近30万吨，结合边境走私事件频发，后期国内现货销售压力预期上涨。建议对夏季销售预期谨慎乐观，期价前期反弹并非反转，长期看仍处熊市中期、增产中期。激进者短线可在5045-5070元/吨区间内逢高轻仓短空，止损5080元/吨，新进空单日内操作为主，不宜过分追低。期权操作上，方向性策略：逢高构建熊市看跌期权组合，即买入SR901P5100，同时卖出SR901P5000；波动率策略：波动率短期维持震荡，注意九月和一月份之间不合理期限结构，新单暂时观望或择机构建日历价差组合套利操作。                                            (责任编辑：DF381)"
"8月1日广西制糖企业报价下调20元","　　8月1日广西制糖企业、糖商报价小幅下调： 　　广西制糖企业厂内含税提货价小幅下调至5190元/吨，较30日报价下调20元，具体成交情况有待进一步观察。                                            (责任编辑：DF314)"
"8月1日吉林省食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　长春市食糖国产的出库报价为6200元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF120)"
"8月1日云南省食糖报价小幅上涨","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　云南昆明食糖国产的出库报价为5170元/吨，和31日相比上涨了60元/吨，7月31日无现货成交。                                            (责任编辑：DF120)"
"8月1日上海市食糖市场行情动态","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下： 　　上海港食糖国产的停报，7月31日无现货成交。                                            (责任编辑：DF358)"
"8月1日黑龙江食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　哈尔滨食糖国产的出库报价为6660元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF134)"
"8月1日天津市食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　天津港食糖国产的出库报价为5380元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF134)"
"8月1日山东省食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　济南市食糖国产的出库报价为5500元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF134)"
"8月1日北京市食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　北京市食糖国产的出库报价为5150元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF134)"
"8月1日贵州省食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　贵阳市食糖国产的出库报价为5450元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF134)"
"8月1日宁夏食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　银川市食糖国产的出库报价为5320元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF134)"
"8月1日新疆食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　乌鲁木齐食糖国产的出库报价为5550元/吨，和31日的报价持平，7月31日无现货成交。                                            (责任编辑：DF134)"
"8月1日四川省食糖报价基本平稳","　　8月1日，周三，国内各地白糖现货报价偏强整理。具体报价如下：　　成都市食糖国产的出库报价为5330元/吨，和31日相比上涨了30元/吨，7月31日无现货成交。                                            (责任编辑：DF134)"
"侯雅婷：原糖大幅下跌 郑糖陷入调整","　　原糖技术疲弱以及巴西雷亚尔走软打压，跌势加剧。10月原糖价格下跌0.27美分，跌幅为2.5%。技术卖盘放大了供应过剩引发的跌势，原糖下一支撑看至10.15美分一线。在原糖持续下跌后，夜盘郑糖小幅冲高后震荡下行考验支撑。现货在糖价企稳回升后成交恢复，后期表现仍是关键。外盘持续下跌后下方空间有限，只要国内销售旺季持续，郑糖将维持反弹。操作上建议中线低位多单持有，有效跌破5050点减持。9-1正套持有，目标看至110。                                             (责任编辑：DF318)"
"白糖今日观点 目前全球范围内天气比往年异常影响农作物产量","　　南宁集团站台暂无报价；厂仓报价5180-5280元/吨，报价不变，成交一般。夜盘美糖继续创出年内价格新低，供应依然十分过剩。6月单月泰国出口食糖共150万，其中原糖96.8万吨，同比增加143%。ISMA公布，印度18/19榨季产糖量预计增长10%，创下3550万吨历史新高。巴西中南部18/19榨季甘蔗压榨量料为5.57亿吨，低于之前预计的5.62亿吨，巴西中南部的糖产量预计2820万吨，低于之前预估的2905万吨。国际食糖过剩1100万吨。白糖市场供应面仍然充裕，而需求增长乏力。目前全球范围内天气比往年异常，影响农作物产量。中长期维持空头思路。操作上，SR901的前期空单可以持有，下方空间看至4500，反弹沽空操作。                                            (责任编辑：DF386)"
"洲际交易所(ICE)原糖周二触及三年最低","　　洲际交易所(ICE)原糖周二触及三年最低，因技术信号放大了供应过剩引发的跌势。郑糖昨日夜盘受原糖大跌影响，一改此前涨势掉转直下，9-1正套则再创新高。现货方面，南宁中间商报价5280-5310元/吨，仓库报价5200-5280元/吨，柳州中间商报价5290-5300元/吨，仓库报价5280元/吨。从技术方面看，日线级别，MACD红柱缩小，快慢线金叉向上，KDJ死叉向下，均线保持空头排列。30分钟线上，MACD绿柱扩大，快慢线死叉向下，KDJ死叉向下，均线多头排列。交易策略：昨日郑糖上攻失败，将再度进入调整行情中，日内交易为主。                                            (责任编辑：DF381)"
"18年7月31日ICE糖11号期货收盘报价","合约名称开盘价最高价最低价收盘价涨跌成交量持仓量昨日结算SB181010.8310.8510.4510.55-0.275110053419810.82SB190311.7711.7711.3811.48-0.262109629056111.74SB190512.0112.0111.611.69-0.2883257608711.97SB190712.2512.2511.7811.88-0.2725794437312.15SB191012.412.412.0512.16-0.2410144042112.4SB200312.9512.9512.6712.78-0.213191322312.99SB2005131312.812.89-0.1826261913.07SB2007131312.912.99-0.165263413.15SB201013.213.2213.1213.22-0.140205713.36SB210313.613.6313.5213.63-0.140104113.77                                            (责任编辑：DF392)"
