"标题","正文"
"8月2日LLDPE为9550.00元/吨","　　8月2日，LLDPE参考价为9550.00元/吨，与8月1日持平。                                            (责任编辑：DF380)"
"DCE玉米冲高回落 中线多单继续持有","　　国内盘面：周四DCE玉米C1901合约冲高回落，终盘报1851元/吨，下跌2元/吨，跌幅0.11%，持仓量减少1560手至654784手。玉米淀粉CS1809合约偏弱运行，波动区间2258-2275元/吨，最终报收于2263元/吨，跌9元/吨，跌幅0.40%，持仓量132314手，减仓4382手。 　　外盘走势：芝加哥期货交易所(CBOT)美玉米期货主力12月合约小幅上涨，截至北京时间15:55，报380.4，涨幅0.26%。 　　消息面：1、8月2日国家临储玉米交易结果：计划投放3990108吨，实际成交1102424吨，成交率27.62%，最高价1680元/吨，最低价1350元/吨，成交均价1539元/吨。从7月份开始，成交率基本维持在20%-30%，竞拍者理性参与，预计临储拍卖对市场不会造成大的冲击。2、8月2日，国际粮船从美湾至中国口岸海运费为42美元/吨；巴西至中国口岸海运费为31美元/吨。 　　现货方面：锦州港地区新粮主流收购价水分15%以内1720元/吨，平舱价1763-1768元/吨，较昨日持平；吉林四平地区玉米淀粉出厂价格为2300元/吨，较昨日持平。 　　总结：近期临储玉米拍卖成交率保持稳定，主产区天气原因可能影响新玉米产量但目前并不确定，而未来深加工产能的释放使得对于玉米需求预期较好，预计未来走势偏多。技术上，玉米1901合约冲高回落，上方仍存压力；淀粉1809合约偏弱运行、淀粉1901合约强于淀粉1809合约，关注近两日1901合约是否向上突破。操作上建议，玉米1901合约多单继续持有；淀粉方面，建议以操作1901合约为主，以短多交易为主。                                            (责任编辑：DF381)"
"塑料：后期呈振荡走势","摘要            受需求回暖提振，近期塑料市场有所反弹。后期，考虑到供应增加和成本下滑，塑料价格或呈振荡走势。7月以来，棚膜需求转旺，贸易商、下游企业低位补货热情升温，PE价格走高。而技术上看，塑料价格仍然处于下行通道中，1901合约是否能够站上9560元/吨存疑。                              图为PE库存(单位：吨)　　提要 　　受需求回暖提振，近期塑料市场有所反弹。后期，考虑到供应增加和成本下滑，塑料价格或呈振荡走势。 　　7月以来，棚膜需求转旺，贸易商、下游企业低位补货热情升温，PE价格走高。而技术上看，塑料价格仍然处于下行通道中，1901合约是否能够站上9560元/吨存疑。 　　需求逐渐回暖 　　6月，需求不佳，塑料价格持续下行。不过，在创出1年来的新低后，下游企业逢低补货热情回升，棚膜需求的逐步好转进一步强化了这种补库行为。目前，下游包装膜开工率稳定；棚膜开工负荷为23%，虽然偏低，但是呈现持续上升态势。因此，随着棚膜消费旺季的到来，塑料需求逐渐增加。 　　需求回暖，PE供应偏紧，库存有所下降。截至7月26日，华东石化的PE库存为50265吨，较7月初的高点下降9535吨，降幅为15.94%；华东仓库的库存为12.6万吨，较7月初的高点下降两万吨，降幅为13.70%；社会库存为217965吨，较7月初的高点下降35485吨，降幅为14%。由于库存偏低，市场上的补库意愿进一步提升，从而刺激甲醇价格上涨。 　　检修装置陆续重启 　　前期，塑料价格偏低，企业效益不佳，加之消费处于淡季，很多PE生产企业在6月底7月初选择装置检修，涉及的产能达到626万吨/年。不过，在消费回暖、价格上涨后，检修装置大面积复产，剩下的一部分装置也将在8月初复产。8月，仅有大庆石化76万吨/年的装置计划停产。 　　需要注意，近期人民币贬值，进口乙烯及塑料制品成本攀升，后期进口量或有下降。 　　原油和煤炭易跌难涨 　　进入8月，成品油消费临近尾声，需求对原油价格的支撑作用减弱。另外，美国活跃钻井数量不断增加，产量持续高企，美原油价格上涨乏力。中东方面，虽然对伊朗的制裁影响该国的出口，但是OPEC其他成员国正在努力增加产量，原油运行重心大概率下移。 　　煤炭方面，夏季用电高峰也临近尾声，煤电企业的库存开始累积，煤炭价格大幅下挫。 　　原油和煤炭都易跌难涨，PE成本势必下降。 　　后市预测 　　综上所述，棚膜消费旺季临近，加之买涨不买跌心理促使下游拿货，塑料需求正在回升。不过，前期检修装置陆续复产，供应增加将缓解目前供应偏紧的问题。同时，上游原油和煤炭价格都有走弱趋势，成本对塑料市场的支撑减弱。基于上述判断，塑料价格不具备大幅上涨的基础，近期的行情要以短时反弹来对待价格。 　　(作者单位：金石期货)　                                            (责任编辑：DF318)"
"7月31日镇海炼化PE全密度装置转产动态","　　镇海炼化PE全密度装置计划今日转产2320，目前装置运行正常。该装置设计产能为45万吨/年。                                            (责任编辑：DF318)"
"7月31日扬子石化LLDPE装置转产动态","　　中国石化扬子石油化工有限公司LLDPE装置计划今日转产7042，目前装置正常运行，该LLDPE装置产能20万吨/年。                                            (责任编辑：DF386)"
"7月28日天津联合LLDPE装置动态","　　中国石油化工股份有限公司天津分公司LLDPE装置产9085，装置运行正常，该装置产能12万吨/年。                                            (责任编辑：DF120)"
"7月28日扬子石化LLDPE装置动态","　　中国石化扬子石油化工有限公司LLDPE装置产7042，目前装置正常运行，该LLDPE装置产能20万吨/年。                                            (责任编辑：DF120)"
"7月28日广州石化LLDPE装置动态","　　中国石油化工股份有限公司广州分公司PE装置一线产7042，二线产2001，目前装置生产正常。该装置LLDPE产能20万吨/年。                                            (责任编辑：DF134)"
"技术解盘：塑料稳步回升 PVC缓慢攀升","　　塑料稳步回升 　　6月底，塑料期货1809合约在下探至8900元/吨整数关口获得支撑后止跌反弹，迎来一波振荡上涨行情，自8900元/吨一线稳步回升至9450元/吨附近。目前距离前期高点(5月9日9635元/吨)仍有一段距离。 　　从均线系统来看，5日、10日和20日均线保持良好的多头排列姿态，由于短期价格脱离5日均线，昨日在9450元/吨一线上方调整压力显现。在MACD指标方面，红柱实体持续出现，且DIFF和DEA指标维持多头上升趋势，并回升至零值上方运行，表明多头力量不断增长并占据主导地位。预计未来塑料1809合约仍有进一步上涨空间。 　　PVC 缓慢攀升 　　6月下旬以来，PVC期货1809合约告别急跌模式，期价转入缓慢的振荡上行节奏，期价重心稳步上移。近日，1809合约期价在攀升至7000元/吨一线附近时，受到上轨线压力回调，不过回撤空间较为有限，下方多条均线维持多头排列趋势，并对期价形成良好的支撑作用。目前5日和10日均线上移至6900元/吨附近，而20日和40日均线则上移至6880元/吨一线，60日均线也位于6860元/吨左右，对期价形成有力的支撑。 　　在MACD指标方面，红柱实体持续出现，且DIFF和DEA指标也在零值上方运行，表明多头力量仍占据一定优势。预计后市PVC1809合约期价仍将维持振荡偏强态势。 　　(宝城期货陈栋)                                            (责任编辑：DF318)"
"7月25日LLDPE为9505.56元/吨","　　7月25日，LLDPE参考价为9505.56元/吨，与7月1日(9266.67)相比，上涨了2.58%。                                             (责任编辑：DF120)"
