"标题","正文"
"贺维：聚烯烃短期延续震荡走强","　　据悉多套装置计划检修，标品货源供应趋紧，下游农膜开工提升，市场供需预期改善。短期石化挺价利好，加之板块共振联动，烯烃或延续震荡走强，关注套利窗口开启后进口增量压力，建议短多操作。                                             (责任编辑：DF318)"
"聚丙烯多空力量发生变化 追多过程需谨慎","摘要            受库存偏低和需求回暖的提振，聚丙烯期货价格自7月初以来持续上涨。8月2日，突破9650元/吨的压力位，向上的空间被打开。                             　　受库存偏低和需求回暖的提振，聚丙烯期货价格自7月初以来持续上涨。8月2日，突破9650元/吨的压力位，向上的空间被打开。 　　量仓方面，截至8月2日，聚丙烯1809合约与1901合约的总成交量为362144手，较7月6日反弹开启时增加172752手，增幅为91.21%；总持仓量为536002手，较7月6日增加2726手，增幅为0.51%。整体来看，聚丙烯价格的上涨伴随着成交的放大和持仓的稳定，说明目前多空分歧依旧较大，后期的波动也会较大。 　　换手率方面，8月2日，聚丙烯1809合约与1901合约整体换手率为0.6756，而7月6日为0.3551。换手率大幅上升，进一步验证了聚丙烯市场交投的活跃。 　　资金存量方面，截至8月2日，聚丙烯1809合约与1901合约的保证金存量为25.41亿元，较7月6日增加1.09亿元，增幅为4.47%。由于持仓量变化不大，聚丙烯资金存量增幅有限，整体动能没能显著提高。 　　主力持仓方面，截至8月2日，聚丙烯多头前20席位的持仓量为203601手，空头前20席位的持仓量为208329手，净多持仓量为-4728手，而7月6日多头前20席位的持仓量为147715手，空头前20席位的持仓量为144614手，净多持仓为3101手。经过近1个月的上涨，聚丙烯市场多空力量发生变化，说明主力多头正在减持或者改持空单。 　　仓单方面，截至8月2日，聚丙烯期货共有765手仓单，仓单量较低，抛压有限。 　　从技术面来看，聚丙烯价格形成突破，量能方面没有减弱的迹象，后市有望继续上涨。不过，考虑到主力多空力量已经发生变化，聚丙烯价格上涨并不是一蹴而就，持有多单或者追多的过程中需要谨慎。                                             (责任编辑：DF318)"
"8月1日汇丰石化丙烯报价上调","　　8月1日，山东汇丰石化有限公司丙烯今日最新报价上调100至8950元/吨，实单可商谈。                                            (责任编辑：DF318)"
"PP1809合约震荡整理","　　地缘政治影响减缓，俄罗斯和欧佩克产量增加，欧美原油期货回跌，欧美原油期货单月跌幅为两年来最大。周二(7月31日)纽约商品期货交易所西得克萨斯轻油2018年9月期货结算价每桶68.76美元，比前一交易日下跌1.37美元，跌幅2.0%；伦敦洲际交易所布伦特原油2018年9月期货结算价每桶74.25美元，比前一交易日下跌0.72美元，跌幅1.0%。期货方面，昨日聚烯烃震荡整理。基本面来看，供给处于高位，需求比较稳定，供需矛盾不大，月末库存去化良好。L1809合约，开盘报9465元/吨，收9435元/吨，跌0.47%。 　　技术面来看，L1809合约震荡整理，多日上涨后，上行动能有所减弱，关注下方十日线支撑，操作上，建议前期多单逢高减持；PP方面，1809合约开盘报9605元/吨，收9606元/吨，涨0.10%。技术面上，PP1809合约震荡整理，MACD红柱开始走平，警惕短期或有回调风险，操作上，前期多单继续持有。                                            (责任编辑：DF318)"
"聚丙烯（PP）粒料：利润向好支撑 市场存上行动力","摘要            虽目前处于需求淡季，但国内聚丙烯粒料市场不乏利好支撑。首先，国际原油高位支撑塑料市场。其次，装置检修高峰、社会库存回落供应端偏紧，而近期人民币贬值，出口窗口打开，需求端缓解，市场供需格局好转再度支撑市场。而市场重心持续走高后，国内聚丙烯主要来源的利润亦是增长明显利好市场。                             　　虽目前处于需求淡季，但国内聚丙烯粒料市场不乏利好支撑。首先，国际原油高位支撑塑料市场。其次，装置检修高峰、社会库存回落供应端偏紧，而近期人民币贬值，出口窗口打开，需求端缓解，市场供需格局好转再度支撑市场。而市场重心持续走高后，国内聚丙烯主要来源的利润亦是增长明显利好市场。  　　本月各原料来源的聚丙烯利润均有不同程度增涨。其中油制聚丙烯平均利润在1581元/吨，环比上月增涨6.32%。月内油市多空交织，令原油等风险类资产承压，加之美元的反弹加大油价下行，但来自供应端的担忧，令油价得到提升，月内原油价格环比上月小幅走低，进而油制聚丙烯利润走高但幅度有限。煤制聚丙烯月内平均利润提升幅度有限，受安全和环保检查影响，煤矿开工受阻，而目前正值需求旺季，供不应求格局令煤炭价格仍处于高位以至月内煤制聚丙烯利润环比上月提升0.64%。而甲醇受制于下游消费不佳月内价格承压，甲醇制聚丙烯利润环比提升明显。 　　中宇资讯预计后期国内聚丙烯粒料市场有望冲高。神华宁煤、神华新疆、大庆石化、大庆炼化等装置均有检修计划，市场供应面货将继续偏紧。同时传统需求旺季即将来临，下游或提前备货，终端需求预期好转，市场供需格局预期向好支撑行情上行。相应聚丙烯利润面亦有所变化。 　　油市供应端忧虑持续，预计后期油市继续整理为主，油制聚丙烯利润或因PP价格的走高而有所提升但幅度有限。煤炭方面，生产利润可观，环保检查结束之后，符合环保要求的露天煤矿积极复产且旺季需求较大支撑煤炭价格，煤炭价格有望维持高位，煤制聚丙烯下月利润预计变动有限。而甲醇方面，西北地区的供应逐渐增加，套利空间将会逐渐开启。但甲醇下游消费不好，市场对高价有抵触，因此甲醇偏高的价格难以维持。甲醇制聚丙烯利润有望继续走高。                                            (责任编辑：DF318)"
"聚丙烯震荡格局有望打破","摘要            6月26日低位以来，聚丙烯期货主力1809合约呈现震荡上行态势，并于本周一最高上冲至9650元/吨，突破了前期高位，累计涨幅达6.97%。但放长时间线看，聚丙烯期货整体仍处于震荡格局之中。分析人士表示，供应处于稳定偏释放阶段，终端需求不足，但目前PP绝对库存低，短期处于下有支撑，上有压力的震荡格局。长期看，下半年需求受季节性影响大概率好于上半年，或可作为多头品种配置。                             　　 6月26日低位以来，聚丙烯期货主力1809合约呈现震荡上行态势，并于本周一最高上冲至9650元/吨，突破了前期高位，累计涨幅达6.97%。但放长时间线看，聚丙烯期货整体仍处于震荡格局之中。分析人士表示，供应处于稳定偏释放阶段，终端需求不足，但目前PP绝对库存低，短期处于下有支撑，上有压力的震荡格局。长期看，下半年需求受季节性影响大概率好于上半年，或可作为多头品种配置。 　　传统检修旺季支撑价格 　　据数据显示，2018年6月份我国PP产量环下降5.49%在155.62万吨，同比增加10.91%。1-6月累计供应量为1153万吨，累计同比增4.78%。从装置检修看，宁波福基40万吨装置7月18日检修至8月底，神华宁煤60万吨装置计划8月1日到9月30检修。检修力度较6月份减少。 　　南华期货分析师袁铭指出，和往年一样，二三季度依然是传统检修旺季，今年二季度检修相对集中，从三季度开始，检修就比较松散，但对行情仍有一定支撑。下半年还需关注油化工装置利润情况，今年随着油价的一路攀升，油化工装置利润情况受到一定影响，以PP为例，按现在的PP价格测算，如果布油上涨至83美元左右，装置就会出现亏损，可能会导致下半年出现检修时间加长或计划外检修增多的情况。 　　“国内新增产能方面，上半年投产的仅有中海油二期，下半年实际影响市场的仅有延安延长，而久泰能源与宁夏宝丰两套装置主要影响明年的供应量，今年国内新增产能对供应影响有限。”袁铭表示。 　　据海关统计，2018年6月PP粒进口总量38万吨，同比增加15.12%；1-6月累计进口228.85万吨，累计同比减少6.08%。 　　袁铭指出，近年来由于国内PP产能投产较多，整体呈现进口量下降，出口量增加的态势，进口依赖程度逐年降低，预计2018年PP进口依赖度仅有14%，且PP进口窗口也长期处于关闭状态，无论通用料还是高端料对国内价格影响都相对有限。下半年可能会长期受制于人民币贬值压力，进口窗口仍将长期处于关闭状态。 　　下半年表现可期 　　“上周PP社会库存减少4.9%，临近月底，贸易商为完成销售计划开单积极。由于进口及预期进口偏低，届时，其港口库存也将会下降。库存压力不大。”南证期货分析师师秀明表示。 　　本周国内聚丙烯下游行业整体开工率在61%，与上周持平；其中塑编行业开工率为64%，共聚注塑为60%，BOPP为58%。 　　师秀明认为，供需看，供应处于稳定偏释放阶段，终端需求不足，导致货源流通不起来，塑编袋价格和注塑价格提不起来，终端抑制价格传递；但目前PP绝对库存低，由于原油上涨，进口价格和油制烯烃利润变低，对PP又有支撑，故PP下跌也难。PP今年就是下有支撑(原油)，上有压力(终端消费)的震荡格局。 　　袁铭表示，总需求走弱，但刚性需求仍在，配合投机性需求，下半年需求好于上半年。短期来看，下游需求处于淡季，价格仍有回调需求，但长期来看，下半年供应端受回料缺口影响，整体偏紧。整个产业链库存目前也处于合理水平，虽全年需求较往年有走弱态势，但刚性需求仍在，且下半年需求受季节性影响以及投机性需求存在的可能，大概率好于上半年，再配合原料端甲醇、原油等保持强势，PP下半年可作为多头配置选择。                                            (责任编辑：DF380)"
"PP：预计维持震荡偏强走势","　　1、基本面：当前需求淡季， bopp产能过剩利润持续下行，粉料价格上涨，国内PP厂家开工率85%稳定，库存水平相比往年偏低，pp8月计划检修较多，供应方面紧于pe的情况会维持，同时受人民币贬值影响，预期进口成本上升，煤化工拍卖成交率83.1%，华东成交9580，华南成交9410，整体拍卖较昨日涨120左右，偏多； 　　2、基差： PP华东现货9560，基差-41，贴水期货0.43%，中性； 　　3、库存：石化厂家库存67万吨，偏多 　　4、盘面： PP 1809合约20日均线向上，收盘价位于20日线上，偏多； 　　5、主力持仓：PP主力持仓净空，同时减空，偏空； 　　6、结论：PP预计维持震荡偏强走势，PP1809日内9550左右逢低做多，9500止损；                                            (责任编辑：DF318)"
"7月24日大商所聚丙烯期货开盘报价","合约名称开盘价最高价最低价最新价涨跌成交量持仓量昨日结算pp18089335933593359335-230-3589565pp1809944794909447946464352104057849400pp190193849425938494065051901217969356pp19059279929992729272171016109255                                            (责任编辑：DF318)"
"调研报告：聚烯烃市场短期货源偏紧","摘要            近期石化厂家资源偏紧，PP拉丝货源较为紧张，贸易商和下游加工厂库存处于较低位置。此前市场库存压力较大的PE高压品种，近期出货都明显好转。以市场格局而言PP拉丝当前表现为缺货、线性货源紧张，而PE高压则是询盘增加，出货好转，此前一直缺货的低压管材、PP共聚虽然缺货略有缓解，但仍然处于偏强格局。进口方面，5月进口量将会是年内高位，近期由于人民币汇率贬值，导致进口亏损，进口明显减少。部分贸易商认为当前处于市场淡季已经有缺货情况，如果后市旺季到来又没有进口盘压制，市场空间可能会被打开。                             　　 报告要点： 　　近期石化厂家资源偏紧，PP拉丝货源较为紧张，贸易商和下游加工厂库存处于较低位置。此前市场库存压力较大的PE高压品种，近期出货都明显好转。以市场格局而言PP拉丝当前表现为缺货、线性货源紧张，而PE高压则是询盘增加，出货好转，此前一直缺货的低压管材、PP共聚虽然缺货略有缓解，但仍然处于偏强格局。进口方面，5月进口量将会是年内高位，近期由于人民币汇率贬值，导致进口亏损，进口明显减少。部分贸易商认为当前处于市场淡季已经有缺货情况，如果后市旺季到来又没有进口盘压制，市场空间可能会被打开。 　　1、华中某贸易商 　　目前货源较为紧张的是PP拉丝，我们已经有2周左右的时间没能从石化厂家那里拿到足量拉丝货源，基本就是没有PP拉丝开单。PP共聚货源还能开到一点。PE方面，此前一直压力较大的高压现在也卖的不错，有的贸易商已经提前半个月完成了本月开单量。由于石化双雄那拿不到足量的货，大家都只能去抢煤化工的货源了。下游客户今年资金状况普遍较为紧张，但是回款还算比较正常。 　　2、华东某贸易商A 　　PP拉丝缺货这事我们也有感受。资源的确紧张。不过能不能引起市场大幅反弹，甚至突破近两年的高位就不一定了。市场资源的紧张大概有1-2周了，这个事如果是在2016年或者2017年的同期，估计市场价格早就飞天了。但是今年市场缺货以后成交不温不火。市场反弹以后当天报价稍微高一点就不好卖了。也就是说我们当前缺货并不是因为卖的火爆带来的市场缺货，更多是检修后遗症。最近市场反弹了，大家拿不到紧俏资源，只能是拿点不太紧俏的，比如高压。最近高压的走货的确是在好转的，但是库存压力大也是真实的。只是当前的高压的压力比起前一个月来说好了很多。库存方面比较低，今年操作上都是这种模式，现在聚烯烃市场贸易商普遍都是低库存模式加一点期货对冲操作。 　　3、华东某贸易商B 　　PE目前来说货源还算可以，不能叫缺货应该是供需两淡。缺货那是供给跟不上，需求很强烈。但是现在供给和需求都表现平淡的模式。所以虽然最近市场反弹了，虽然市场的确资源都不多，但是价格涨幅不大，成交量也很小。现在市场波动非常小，这就导致很多套利商几乎没有了操作空间。过去期货升水200-400元/吨，大量套利上买现货卖期货，导致期现波动都非常剧烈。现货市场只要有点供给缺口，价格立刻出现大幅上涨。但是现在期现价差，月差都是在很小的范围内波动，套利窗口非常窄，这就导致此前大量的期现套利资金离开了这个市场。所以市场操作的主体就变成了传统贸易商，这部分可能还在盘面做了空头保护，下游加工厂。这些需求都是刚性需求。刚性需求的波动很小，他们也没有能力也没有意愿去加大库存赌行情。所以现在现货市场的确是货源偏紧，紧俏的低压管材、PP共聚、PP拉丝等为甚。但是目前贸易商仍然卖不到好价格，也卖不出量。市场是供给收缩需求也在收缩的格局。 　　4、华东BOPP厂家 　　BOPP上半年至今一直都不好做。上面被PP挤压，下面被胶带挤压。小的厂家已经亏的快干不下去了，然后为了抢客户资源，延长账期，迎合下游资金紧张的需求。开工上今年开工是普遍萎缩的情况，因为下游胶带环保一直查的很严，需求不好，上游PP价格4月以后也较强势。 　　5、我们的观点 　　短期聚烯烃价格将会处于偏强格局，8月底左右前达到5月高位时期价格概率很大，甚至PP这样的强势格局品种有可能会达到年初高位的可能，核心在于当前供给端收缩，部分品种货源紧张格局短期内看不到改观的可能。虽然中长期看，我们仍然不太看好，但是我们需要面对现实。后市多空的转变需要看到市场成交的持续下滑、厂家库存不再持续下降、基差开始走弱，月差走弱等等因素。09合约上空头机会有限，后市关注01合约上的做空机会。09合约多头核心是货少、旺季、下游存在刚性补库。但是在01合约上未来的核心将会转变为供给端四季度处于扩张态势、需求端市场刚性补库动力越来越弱。                                            (责任编辑：DF318)"
"丙烯大涨下游倒挂 机会与风险并存","　　 两天的时间，山东丙烯价格就涨了250元/吨到8550-8600元/吨的水平，仅周一就上涨了220元左右，这涨幅一公布出来，市场人士跟炸了锅一样，都在问一个问题：“丙烯又疯了吗，怎么涨了这么多？” 　　对于本周的市场，我们预期到了上涨，但没有预期到这个涨幅，一天200多的上涨对近期的市场来说着实夸张，也许供应面偏紧，生产企业有推涨成分，但同样也反应了市场的气氛，下游抢货的心理，丙烯此波上涨是否存炒涨气氛？此价格是否有支撑？ 　　从目前的下游企业利润来看，PP粒料粉料价差200元，按理说粉料出货应该有保障，但夏季高温，粉料处需求淡季，交投偏淡，另外丙烯价格攀升至8600的高位，苦于成本压力，粉料企业积极跟涨丙烯，但价格涨至9000元关口，终端刚需买盘开始抵触，采购也不积极，心态趋向谨慎，观望情绪升温，粉料出货一般。正常情况下，聚丙烯与丙烯的价格差在400-600元/吨，现在山东丙烯出厂价8550-8600元/吨，粉料价格8980-9000元/吨，价差400元，也就是说粉料处于利润贴成本线(丙烯自产)或倒挂100-200的情况，山东部分粉料企业开始打算减产、停车，丙烯需求或将下降。 　　环氧丙烷，山东价格在11800元/吨，原料丙烯8550-8600元/吨，氯醇法环氧丙烷成本在9000元/吨左右，利润在2700元/吨附近(液氯倒贴500-700元/吨，算上液氯，环氧丙烷利润在3200元/吨以上)，环氧丙烷利润可观，所以对原料丙烯价格上涨承受力也比较强，不过华泰14号停车，金岭一车间将停车10天，二车间将停车11天，届时丙烯需求量将减少700吨/天。 　　丁辛醇，华北有PDH企业受环保检查的影响，丙烯装车受限，其下游客户供应减少或短时暂停，为维持其自身装置正常生产，有丁辛醇下游加大了山东丙烯采购量，本来山东丙烯自身不少地炼集中检修，供应量本就减少了2000吨左右，加上新丙烯腈装置投产等一系列利好推动下，丙烯价格推涨明显。而丁辛醇的利润也发生了变化，截止目前丁醇价格在8000元/吨，辛醇价格9100元/吨，其利润在800元/吨左右，所以对丙烯的承受力度也是可以的。 　　东北、山东、华东丙烯供应面稍紧，生产企业库存低，虽目前丙烯市场风险性较小，心态也尚可，中宇资讯预计短线丙烯不排除仍存调涨空间，但幅度或将收窄，毕竟得考虑下游聚丙烯，部分PO装置检修及外盘船货到港情况。若利好出尽，利空消息开始升温，谨慎丙烯高位回落风险。                                            (责任编辑：DF318)"
