"标题","正文"
"利好驱动 沪铅有望走强","摘要            一方面，随着环保要求越来越严格，再生铅供应将受到影响；另一方面，再生铅企业利润不高，生产积极性弱，再生铅供应或增加不明显。以上因素将给铅价带来一定的支撑。                             　　 　　 一方面，随着环保要求越来越严格，再生铅供应将受到影响；另一方面，再生铅企业利润不高，生产积极性弱，再生铅供应或增加不明显。以上因素将给铅价带来一定的支撑。 　　近日，受市场担忧氛围影响，沪铅呈现振荡偏弱走势。展望后市，虽然目前下游铅酸蓄电池市场依然呈现旺季不旺的特征，而且环保检查已经结束，再生铅企业有所复产，但是境内外库存依然处于低位。随着环保要求越来越严格，再生铅供应将受到影响，这将为铅价带来一定的支撑。 　　环保检查将更加频繁 　　夏天是铅酸蓄电池市场的传统消费旺季，但是由于环保趋严，加之汽车市场表现不及去年同期，今年铅酸蓄电池市场呈现旺季不旺的特征。据卓创资讯，铅酸蓄电池市场终端消费表现欠佳，且行业内品牌竞争激烈，蓄电池企业生产依旧偏谨慎。以上因素对铅价的提振有限。 　　虽然从6月初开始的“环保检查回头看”已经告一段落，但是在打好蓝天保卫战的大背景之下，环保检查也将更加频繁，环保要求也将更加严格。近期，生态环境部新闻发言人表示，生态环境部将严格落实《打赢蓝天保卫战三年行动计划》、健全法规制度和科技标准体系、加强督察执法、深化环境治理体系改革。在督察执法方面，将继续开展中央环境保护督察“回头看”，开展重点区域大气污染防治，强化督察，依法严惩重罚生态环境违法犯罪行为。“环保检查回头看”行动在后期或再次举行，届时再生铅供应将再度受到影响。 　　再生铅企业利润薄弱 　　虽然环保检查告一段落，有利于再生铅企业的复产，但是目前再生铅企业利润微薄，炼厂开工并不积极。据上海有色网报道，多地再生铅炼厂开工积极性受挫，部分地区小型炼厂因无利可图已减产或停工，其中贵州地区再生精铅供应量减半，由前期约800吨/日降低至约400吨/日。再生铅企业开工不旺，再生铅产量将难以增加，对铅市的供应利空影响有限。 　　废电瓶方面，据了解，本周市场整体货源量偏少，高温、暴雨等天气因素影响部分商家回收，且旧电池淘汰率低影响供应。江苏、河南地区废电瓶价格均有上涨，再生铅生产成本被抬高，利润缩窄。 　　库存处于低位 　　在7月17日上期所铅期货库存达到13036吨后，仓单库存逐步下降，截至7月28日，上期所铅期货库存为8800吨，处于偏低水平。而库存小计为12147吨，亦未摆脱低水平，这将对铅价形成一定的支撑。 　　外盘方面，截至7月28日，LME铅库存为127325吨，依然处于近5年来的低位。值得注意的是，进入7月中旬开始，外盘注销仓单逐步增加，7月28日为62825吨，占库存的49.34%。注销仓单占比高，说明外盘库存存在下降可能，虽然目前铅锭进口窗口打开，但是由于外盘库存并不多，能够流入国内的铅锭可能也比较少。外盘库存处于低位，利好伦铅，也间接利好沪铅。 　　综上所述，虽然目前环保检查结束，但在政策影响下，后市环保检查或趋于频繁，目前境内外库存均处于低位，铅价可能存在支撑。另外，再生铅企业利润不高，生产积极性受到影响，再生铅供应或增加不明显。预计沪铅主力合约1809在18200元/吨附近或有支撑，若环保检查再起，则有走强可能。 　　(作者单位：广州期货) 图为铅库存走势                                            (责任编辑：DF318)"
"长江有色：铅市空头主导  20日铅价或下跌","　　受股市疲软打压，隔夜国际金属全线下挫，伦铅延续弱势收跌1.64%创下近13个月低位，市场空头主导，期铅上方仍有阻力，预计今现铅下跌。 　　美国股市疲软，隔夜国际金属全线下挫，伦铅延均线上下震荡，整理走势偏弱，开盘报2170美元/吨，高点报2184.5美元，低点2095美元，尾盘收于2134.5美元，跌35.5美元，跌幅1.64%；成交量4628减少201手，持仓量113941手减少1575手；沪铅主力1809合约收于18335元/吨，跌115元，跌幅0.62%。 　　今日现货铅价行情预估：隔夜国际金属全线下挫，伦铅延续弱势报于近13个月低位，市场空头主导，短期沪铅上行动力不足，近期以震荡盘整为主，下游成交持续清淡，无法支撑铅价，预计今日铅价下跌。(长江有色金属网研发团队 0592-5668838)                                            (责任编辑：DF318)"
"机构论市：有色期货品种多数收跌 沪锌、沪镍、沪铅收跌2%","摘要            沪指收报2798.13点，跌0.57%，成交额1240亿；深成指收报9285.16点，跌0.35%，成交额1846亿；创业板收报1621.63点，涨0.29%，成交额704亿；今日有色期货品种多数收跌，沪锌、沪镍、沪铅收跌2%，原油期货收跌5%。                             　　沪指收报2798.13点，跌0.57%，成交额1240亿；深成指收报9285.16点，跌0.35%，成交额1846亿；创业板收报1621.63点，涨0.29%，成交额704亿；今日有色期货品种多数收跌，沪锌、沪镍、沪铅收跌2%，原油期货收跌5%。　　金属：沪铜1809合约低开震荡收星，等待反弹试空为主；沪锌1809合约震荡增仓下行，显示空头继续打压，压力21000，反弹试空为主；　　贵金属：国内黄金1812合约小幅低开震荡收十字星线， 270一线支撑， 60日均线压力，调整支撑可以轻仓买入下破严格止损；白银1812合约低开下探，日线60日均线承压，支撑3700，低位震荡思路；　　黑色：螺纹钢1810合约低开减仓震荡，尾盘收星线，短期继续关注3900支撑有效性，短期压力4000，短线参与；铁矿1809合约高开减仓下探，短期压力466，支撑暂看450，短线参与；　　化工：国内原油1809合约跳空低开低走，短期继续关注480附近支撑有效性，压力511，反弹后参与；橡胶1809合约低开冲高回落，短期支撑10050，短线参与；L1809合约低开下探，支撑9100，压力9380，日内参与；PP1809合约低开下探，压力9430，支撑9300，短线参与；TA1809合约低开下探，压力5974，反弹后参与；　　农产品：国内豆粕1901合约平开减仓反弹，收在3100整数关口之上，短期关注此线支撑有效性，回调参与反弹；菜粕1809合约高开反弹，短期关注2500一线支撑，压力2600，回调参与反弹为主；棕榈油1809合约高开震荡收星，短期关注4600一线支撑有效性，压力4900，短线反弹思路对待；　　其它：商务部自2018年8月1日起，取消不适用名单，对所有配额外食糖进口统一适用保障措施。白糖1809合约高开高走反弹，压力5100，暂且观望；玉米1901合约减仓收小阴线，预计短期继续测试1760一线支撑有效性，短期不建议追高，回调参与反弹为主；玻璃1809合约减仓小幅收阴，1500一线可以轻仓试空上破止损。                                            (责任编辑：DF318)"
"江西蓄企环保减停产 再生铅炼厂复工再推迟","　　上周，随着中央环保督查组的撤离，江西地区蓄电池企业逐步复工，部分还原铅及再生精铅炼厂亦开始恢复生产，当地已恢复再生精铅供应量约200吨/日。另外，当地还原铅及再生精铅炼厂上周多表示计划将于7月上旬恢复生产。 　　而近日，当地环保自查风声再起，部分铅蓄电池企业上周五开始再次进入停产状态，预计此次环保检查将持续至7月25号左右。据SMM调研了解，一方面由于下游蓄电池企业减停产，当地铅消费将受限，另一方面担忧当地环保检查殃及冶炼企业，当地再生铅炼厂复工时间将再推迟。某再生精铅炼厂估计最早7月底才有望恢复生产，已复工炼厂表示将视环保推进情况谨慎生产，不排除有停工的可能。                                            (责任编辑：DF318)"
"全球有色金属全线重挫 沪锌逼近跌停伦铜跌超3%","摘要            【全球有色金属全线重挫 沪锌逼近跌停伦铜跌超3%】东方财富网11日讯，国内期市有色金属全线重挫，沪锌盘中两次触及跌停，尾盘再次打开跌停，至收盘仍跌超5%，沪铜亦是跌超3%。                             　　东方财富网11日讯，国内期市有色金属全线重挫，沪锌盘中两次触及跌停，尾盘再次打开跌停，至收盘仍跌超5%，沪铜亦是跌超3%。　　截至收盘，沪锌跌5.58%，报20545元/吨；沪铜跌3.37%， 48120元/吨；沪铅跌2.63%，报19045元/吨；沪镍跌2.04%，报109370元/吨。沪铝跌1.20%，报14010元/吨。　　值得注意的是，全球期铜均大幅下挫，截至发稿，伦铜跌3.14%，报6145.50美元/吨，纽COMEX铜跌3.22%，报274.85美分/榜。　　东方财富期货上线了！用手机炒期货来源：东方财富Choice数据　　股市方面，沪指今日跳空下行，收盘大跌1.76%，再度失守2800点关口，收报2777.77点；深成指大跌1.97%，险守9000点关口，收报9023.82点。两市合计成交3411亿元，行业板块全线下跌。　　今日消息面>>>　　1.管涛：美国拟对2000亿中国产品征税或对金融市场带来短期情绪影响 但无需高估　　2.特斯拉超级工厂落户上海临港 规划年产50万辆纯电动车　　3.供给侧改革成效显著 水泥化工行业公司业绩超预期　　4.CPI连续3月处于“1时代” 温和通胀为货币政策边际调整留空间　　5.20部门罕见联合发文！ 扩大进口再加码谁是受益者？　　6.唐山限产风暴再次来袭！期钢冲刺3900元/吨　　内盘评论>>>　　供需偏弱料牵制沪 铜期价反弹空间　　分析人士表示，美元高位回调以及经历大幅回调后自身存在技术反弹需求支撑，令铜价获得支撑。不过，考虑到宏观预期偏弱以及供需转淡压力仍存，短期沪铜反弹空间或受限。　　需求疲软制约 铝价后市难以上涨　　分析人士表示，经过前期连续回调，短期沪铝已经调整到位，令期价获得喘息。不过，考虑到需求不足牵制，短期沪铝或将维持震荡为主。　　基本面不佳 双焦期价面临下行压力　　2018年，在需求下行、产能缩减的情况下，预计双焦期货将出现较2017年底部抬升、中枢下移、波动降低走势。首先，在GDP增速放缓的新常态之下，宏观面房地产销售情况难以维持2017年的盛况，但预计会保持平稳增长，因此需求端大体会维持稳定。其次，2018年煤炭去产能进入巩固阶段，按照“十三五”淘汰8亿吨煤炭产能规划，因此难形成亏损性成本坍塌。最后，2018年钢材利润、焦化利润在去产能背景下难于出现塌方，否则亦不利于去产能的进行。因此，对焦煤、焦炭全年的判断维持谨慎乐观，依照季节性进行波段操作。　　沪锌今日观点 锌价继续持有前期空单　　因基本面欠缺亮点，锌为绝对的空头配置，锌价亦跌跌不休，锌价继续持有前期空单。                                            (责任编辑：DF318)"
"铝土矿价格再涨 电解铝库存止跌","　　铝：铝土矿价格再涨，电解铝库存止跌。 　　期货市场，沪铝活跃合约收盘价14165元/吨，环比涨0.6%；LME3月铝收盘价2103.5美元/吨，环比涨0.81%，沪伦比值回落至6.734.LME铝库存111.53万吨，环比增加0.93万吨；沪期铝仓单73.67万吨，环比降0.33万吨。 　　现货方面成交价格13960-14000元/吨，上涨60元/吨；广东南储报14040-14140元/吨，上涨100元/吨；两地价差110元/吨。华东市场上游正常出货，市场成交基本集中在中间商交投，下游企业按需采购；华南市场上游少量出货，中间商和下游企业多观望。市场淡季来到，整体下游接货积极性不高。库存方面，国内现货电解铝库存方面环比增加0.1万吨，铝锭现货数据176.6万吨；数据显示国内电解铝现货库存182.8万吨，与上周四相比减少0.6万吨。 　　铝业要闻： 　　山西铝土矿价格再度上涨40元/吨，接近500元/吨(不含增值税和资源税的出厂价)。河南铝土矿价格本月上涨20元/吨，与历史最高的490元/吨仅差35元/吨。目前山西、河南氧化铝厂已经有到贵州采购铝土矿，虽然贵州省严禁矿石流出本省，但高利润驱使下，难阻矿石的流出。然而，环保检查的长期严格执行，山西、河南铝土矿价格还有上涨可能性。同时，国内氧化铝价格止跌回升，全国现货均价2767元/吨，较上周上涨27元/吨。叠加上氧化铝厂陆续声明减产。河南香江万基铝业氧化铝生产线减产，停了一条80万吨的生产线，影响产量1700吨/天。此外，中铝山西部分氧化铝生产线弹性生产，涉及产能77万吨。同时，山东地区七月魏桥预焙阳极定价降100，目前出厂价格3100元/吨左右，阳极厂生产接近盈亏平衡线，不排除减产挺价。 　　俄罗斯海关数据显示，俄罗斯1-5月铝出口增加，累计铝出口量为1,337.0吨，去年同期出口量为1,283.6吨。 　　主要逻辑：铝价回归基本面。从基本面角度来看，我们认为目前国内电解铝成本将随着氧化铝等价格上涨而回升；而铝下游消费符合预期，逐步进入淡季，国内期货及现货、LME库存回落幅度减弱，向上驱动力不足，国内铝价筑底运行。今日预计沪铝将震荡运行。 　　操作方面：建议观望，或可尝试逢低做多，亦或者将铝作为近期多头配置进行对冲。 　　                                            (责任编辑：DF318)"
"自然资源部谈全国矿产资源：供应形势严峻、任务艰巨","摘要            在今日举行的自然资源部新闻发布会上，自然资源部矿产资源保护监督工作小组召集人鞠建华指出，总体上看，我国矿产资源国情没有变，矿产资源重要地位没有变，资源环境约束趋紧没有变，矿产资源供应形势十分严峻，任务十分艰巨。我国矿产资源消费量和生产量都居世界首位，是矿业大国，但不是矿业强国。                             　　在今日举行的自然资源部新闻发布会上，自然资源部矿产资源保护监督工作小组召集人鞠建华指出，总体上看，我国矿产资源国情没有变，矿产资源重要地位没有变，资源环境约束趋紧没有变，矿产资源供应形势十分严峻，任务十分艰巨。我国矿产资源消费量和生产量都居世界首位，是矿业大国，但不是矿业强国。　　自然资源部今日召开新闻发布会，介绍2017年全国矿产资源储量的最新数据情况。会上有记者问：请介绍下我国矿产资源形势如何？　　鞠建华介绍，矿产资源是经济社会发展的重要物质基础，长期以来，我国家矿产资源勘查开发为我国经济社会发展起到了重要支撑作用，做出了重要贡献。目前，我们经济由高速增长转向高质量发展阶段，对矿产资源安全高效供应提出了新的更高要求，也面临新挑战。总体上看，我国矿产资源国情没有变，矿产资源重要地位没有变，资源环境约束趋紧没有变，矿产资源供应形势十分严峻，任务十分艰巨。主要表现四方面。　　一是近年来多数矿产查明资源储量保持增长态势，但增速明显放缓，增长动力不足。过去5年来，全国累计地质勘查投入4800多亿元，找矿突破战略行动取得重要成果，新发现大型矿产地218处，中型矿产地261处，新增亿吨级油田8个、千亿方级气田14个。但是受到全球矿业深度调整的影响，我国矿产勘查开发投入已是连续4年下降，累计降幅达40%。大部分矿种查明资源储量增速明显放缓，如2017年石油新增探明地质储量连续两年降至10亿吨以下，天然气新增探明地质储量同比降低两成，铁矿石和铜矿等增幅也明显放缓。　　二是矿产资源开发支撑了经济社会发展，但许多大宗矿产对外依存度不断攀升，进口成本加大。近年来，我国主要矿产品产量出现下降或增速减缓，一些战略性新兴矿产开发相对滞后。目前，铬(95%)、钴(90%)、金(79%)、锂(75%)、铜(73%)、镍(72%)、铁矿石(73%)、石油(67%)等重要矿产品对外依存度不断攀升，我国已超过美国成为世界最大原油进口国，战略性新兴产业发展所需要的钴、镍、锂等矿产对外依存度和进口集中度都很高。随着国际矿产品价格回暖，我国矿产品进口成本大幅上升。因此，要不断推动国际矿业合作，做到资源优势互补。　　三是矿产品价格触底回升，但勘查开发社会投资积极性不高。矿业固定资产投资连续两年下降，矿业市场活力还没有得到根本性改善。2016年以来主要矿产品价格有触底回升的趋势，但由于种种因素，矿产品市场依然没有真正回暖、市场活力不足，社会投资欲望不高。2017年，地质勘查投入资金775.68亿元，与上年基本持平。其中，油气矿产地勘投资577.90亿元，同比增长9.6%；非油气矿产地勘投资197.78亿元，同比下降20.2%。2017年我国矿业固定资产投资9209亿元，与2016年相相比下降了10.8%，矿业利润率(8.6%)略高于工业行业平均水平(6.3%)。　　四是矿产资源开发利用水平有所上升，但发展不均衡不充分，矿山建设水平参差不齐。通过多年的努力，我国矿业规模结构得到优化，大中型矿山比例达到13%以上，资源利用效率有所提高，中石油、中石化、中海油、中国铝业、中国五矿等一批大型企业已跻身世界最大的资源型矿业企业行列，白云鄂博铁稀土矿、攀枝花钒钛磁铁矿、贵州瓮福磷矿等矿山综合利用水平已达到世界先进水平，但一些老矿山和中小型矿山存在科技创新能力不强、优势矿产未能充分发挥资源效益，矿产资源粗放利用、矿山环境问题依然突出，我国矿产资源消费量和生产量都居世界首位，是矿业大国，但不是矿业强国。                                            (责任编辑：DF318)"
"周末宏观消息平静 沪铅日内或触低反弹","　　 隔夜，伦铅开于2360.5美元/吨，亚洲时段，市场交投略显平淡，受沪铅跳水拖累，盘初伦铅高位回落，拉低日内均线，后基本于日均线上下波动，进入欧洲时段，伦铅惯性走弱，一度探低至2314美元/吨后企稳，隔夜美指持续走弱，一度击穿94美元关口，伦铅受提振快速拉升，冲高至2358美元/吨，回补部分隔夜跌幅，最终报于2344美元/吨，跌22.5美元/吨，跌幅0.95%，持仓减44手至110110手。伦铅报收长下影，暂缓市场情绪，周末没有消息面较为平静，周初或存在反弹的可能，但由于伦铅下行趋势尚存，预计反弹高度有限。 　　隔夜，沪铅1808合约跳空低开于19535元/吨，隔夜基本沿日均线窄幅运行，期间受伦铅走高带动，沪铅突破上行，但由于市场做多情绪偏弱，逢高空头打压，沪铅冲高至19675元后回落，最终报于19625元/吨，跌15元/吨，跌幅0.08%，持仓量减670手至63128手。沪铅于19500元的平台再度获得支撑，预计日内在利空消息落地后，市场存在反弹的动力。                                            (责任编辑：DF064)"
"铝锌铅镍：空单减仓","　　一、走势回顾 　　上海期铝价格小幅下跌。主力9月合约，以14030元/吨收盘，下跌25元，跌幅为0.18%。成交117924手，持仓量增加2068手至249654手。 　　上海期锌价格跌幅较大。主力8月合约，以22370元/吨收盘，下跌740元，跌幅为3.20%。成交504964手，持仓量增加8278手至175402手。 　　上海期铅价格下跌。主力8月合约，以19905元/吨收盘，下跌240元，跌幅为1.19%。成交66506手，持仓量减少4396手至67514手。 　　上海期镍价格出现一定幅度下跌。主力9月合约，以112660元/吨收盘，下跌2820元，跌幅为2.44%。主力合约成交960048手，持仓量减少21442手至371006手。　　二、现货价格　　 　　A00铝 13940 +80 　　铅 21050 -150  　　0#锌 23380 -400  　　镍 114250 -1450 　　三、综合资讯 　　1、欧元区6月服务业PMI终值 55.2，四个月新高，预期 55，初值 55；5月终值53.8。欧元区6月综合PMI终值 54.9，预期 54.8，初值 54.8；5月终值54.1。 　　2、媒体：三大德国汽车巨头联手力推欧美汽车贸易零关税。 　　3、央行货政委委员刘世锦：去杠杆初见成效，中国进入稳杠杆阶段。央行旗下媒体：货币政策既没有放水，也没有紧缩。　　四、操作建议　　 　　有色金属夜盘探低回升，沪铝表现较强。操作建议铝短空注意保护利润，铅锌镍空单减仓持有。　　期市有风险，以上建议为分析师个人观点，操作应谨慎参考！　　                                             (责任编辑：DF318)"
"有色金属期货2018年上半年总结---镍 铅 锌 锡篇","　　镍　　伦敦金属交易所(LME) 3个月期镍的价格在2015年暴跌了42.57%，在2016年又上涨了15.98%。在2017年，镍价上涨21.90%。在第一季度，购买仍在继续，镍的价格上涨了7.97%，使它成为2018年前三个月LME表现最好的金属。镍在第2季度的表现再次领先于有色金属板块，在三个月的时间里上涨了12.76%。截至6月29日收盘，镍价今年上半年累计上涨21.75%。　　俄罗斯是镍的主要生产国，但中国是全球镍产量的领先者。镍价上涨的原因是，去年夏季中国对镍的需求支撑了市场，扩大了供需缺口。全球经济增长看好镍的价格，镍是不锈钢生产的关键原料。中国的环境监管导致全球储备急剧下降。　　在LME，镍库存从第一季度末的320 586吨降至6月29日的272616吨，较2017年底减少了47970吨，即14.96%。今年上半年，LME的库存减少了逾9万吨。库存大幅下降是导致2018年镍价上涨的一个因素。　　铅　　铅是2014年表现最差的有色金属，下降了17.65%，但在2015年是表现最好的有色金属，2015年仅下降了3.36%。2016年上涨11.14%。2017年，铅价上涨了25.31%，令人难以置信。第一季度，铅的价格下降了3.60%，但第二季度的涨幅为1.04%。铅在2018年上半年下降了2.60%。伦敦金属交易所三个月期铅价在2018年6月29日收于每吨2435美元。　　铅是一种交易量很小的金属，在铅市场上，价格和库存都有可能被操纵。LME的铅库存为131,625吨，较第二季的季度环比增加2,350吨。全球经济的不断增长和对电池的需求对铅的价格起到了支撑作用。到目前为止，中国是世界上最大的铅生产国和消费国，也是市场上最大的市场参与者。铅一直受到油价下跌的影响，因为2016年油价下跌时，电动汽车电池需求减少，但随着电动汽车需求增加，纽约商品交易所(NYMEX)原油价格升至每桶74美元上方，为铅提供了支撑。铅是一种很有前途的金属，因为它在电池方面的消耗量在全球市场上持续增长。　　锌　　2015年锌价下跌25.8%。2016年，锌是LME表现最好的金属，涨幅为59.53%。在2017年上涨27.54%。在第一季度，锌的回报率增长了0.64%。然而，在第二季度，它跌到了每吨3000美元以下，每季度的价值缩水了12.09%。锌价在2018年前六个月下降了11.53%。伦敦金属交易所(LME) 3个月期锌远期合约在2018年6月29日收于每吨2,909美元。在2月份达到多年高点之后，由于库存增加和中国需求疲软，第二季度锌的价格暴跌。由于近几个月的高价格，锌精矿的供应一直在增加，而且这种趋势可能会继续下去。来自中国和秘鲁的新产量令锌价承压，而贸易紧张局势升级导致需求下降，导致锌价大幅下跌。由于矿产品供应不足，锌市场一度紧张，但价格上涨给市场带来了新产量，锌价又回落至每吨3000美元以下。LME库存从第一季度末的212,825吨增至第二季度末的249,300吨，过去三个月增加了36475吨。锌库存在2017年第四季度大幅下降，但在2018年全年一直在攀升。　　锡　　在LME交易的锡是最不稳定、流动性最差的金属。2015年锡价下跌25.13%。2016年，锡是表现第二好的有色金属，上涨了44.10%。2017年，锡是有色金属行业唯一的落后者，去年亏损5.4%。第一季度锡价上涨6.31%，但第二季度下跌7.13%。到2018年为止，世界上最大的锡生产国和消费国中国的锡产量下降了1.26%。根据目前的生产和消费水平，全球锡市场应该会出现轻微的过剩。印尼的产量正在下降，但在世界其他地区，产量却在上升。每吨2万美元以上的锡价格在整个2017年都处于危险之中，但中国的经济增长为价格提供了稳定和支持。然而，锡在第二季度末再次跌至这个水平以下，其他一些有色金属表现疲软。LME的库存为3065吨，在第二季度增加了1005吨。尽管锡市场可能会出现少量盈余，但市场的流动性不足总是有可能导致价格大幅波动。投资者和交易员远离锡市，因为锡市的买卖价差很大，而且对价格差距也很敏感。LME三个月期锡远期合约6月29日收于每吨19,550美元。　　第三季度的展望　　第二季美元上涨5.05%，美元走强可能令伦敦金属交易所交易的金属价格承压。然而，自从大多数工业大宗商品在2015年末和2016年初达到显著底部以来，这些工业大宗商品取得了长足进展。美国利率上升增加了持有库存和多头头寸的成本，这也拖累了价格。　　未来几周和几个月，贸易问题可能会主导工业金属的价格走势。在我们进入2018年第三季度和下半年之际，工业大宗商品行业正处于高风险时期。　　在我们进入2018年第二季度之际，大宗商品市场的有色金属领域存在着一些看涨和看跌的因素。然而，最近在伦敦金属交易所交易的金属价格一直看跌。未来几周和几个月，我们可能会看到大量价格波动。　　在伦敦金属交易所交易的每一种有色金属都有不同的供需基本面。一些金属处于亏损状态，一些则存在过剩库存。从宏观经济的角度来看，这些战略性金属都是基础设施的重要基石，与此同时，美国基础设施建设的前景，如果政府能够在立法机构获得支持和投票，将为该行业提供额外的需求，可能提振价格。我们进入第三季度时，所有市场都处于混乱和紧张的时刻，有色金属也不例外。　　作为钢铁主要原料的铁矿石价格第二季度下跌0.25%，2018年迄今下跌9.78%，而在2017年下跌10.02%。7月铁矿石期货合约第二季收于每吨64.73美元，在三个月期间接近持平。铁矿石是钢铁生产的主要原料。预计第三季度钢铁市场将出现大量价格波动。　　原材料市场的工业大宗商品部门面临着诸多因素，这些因素可能会导致第三季度的价格波动。美元正面临上行风险，美国的利率正在上升到2018年底，量化宽松政策将在欧洲终结。尽管经济增长仍是一个支撑因素，但最重要的变数将是未来几周和几个月的贸易问题。新闻周期可能会对LME的金属和其他工业大宗商品，以及所有资产类别的市场产生很大影响。我将带着对这一行业的高度警惕的眼光进入第三季度，我相信，在第三季度和2018年下半年，我们会看到很多惊喜和价格波动。　　                                            (责任编辑：DF318)"
