"标题","正文"
"2018年8月2日国内6063铝棒现货库存","　　：                                             (责任编辑：DF318)"
"铝今日观点 14000元/吨附近对盘面有较强支撑作用","　　昨日LME铝大跌1.25%，至2052.00美元/吨，沪铝指数下跌0.45%，收于14481元/吨，夜盘回调至14418元/吨。LME铝现货贴水20.25美元/吨，前一交易日为贴水19美元/吨，昨日长江有色均价较沪铝指数结算价贴水214元，前一日贴水266元，现货贴水幅度有所缩小。8月1日LME铝锭库存减少1150吨至1195150吨。7月30日，国内铝锭社会库存合计169.7万吨，较周一减少2.4万吨。吕梁市和山西省政府再度发布有关去产能消息，政策去产能预期仍在升温。环保整治趋紧，铝土矿供给趋紧，氧化铝厂商利润受损实行弹性生产，河南氧化铝均价目前持稳至3005元/吨，电解铝成本支撑继续加强，部分高成本铝企面临亏损境地开始减产；国内外铝锭库存继续延续下降趋势，对铝价形成支提振，从市场走势看，14000元/吨成本附近对盘面有较强支撑作用，铝价在连续反弹后出现一定调整，预计调整空间不大。密切关注三季度新增产能投放情况。                                            (责任编辑：DF386)"
"铝土矿供应偏紧上游成本支撑渐强 贵州铝产业链调研报告","　　2018年7月18日至20日，笔者(申万期货)参加了对贵州地区铝产业的调研活动。调研对象为贵州省的主要铝生产和下游加工企业。调研重点在于了解现阶段贵州的铝土矿供应情况和贵州的铝产业发展现状，对了解近期市场原料情况和中期的价格走势有较大的意义。调研的形式包括座谈会、工厂走访等。 　　通过调研，对贵州地区的企业经营状况、原料供应、核心问题等现阶段市场主要关注的热点问题有了较深入的了解，为铝期货行情的研究提供了较好的参考依据。根据调研结果，铝市场下方支撑强劲，不过上涨幅度同样受大环境制约。 　　预计后市铝价格低位震荡运行为主。价格下方和上方的约束均较强，产业利润将在较长一段时间内维持偏低水平，可以结合原料价格和企业利润水平来判断阶段性行情。操作上建议铝期货未来以逢低买入为主，目前原料价格条件下铝价于13000-14000元/吨有强支撑。 　　一、调研背景 　　今年二季度以来，受北方地区环保趋严影响，山西、河南等地铝土矿开采受限制较大，原料供应逐步收紧，矿石价格稳步走高，北方产区铝土矿的外购比例不断增加。近一个月以来，这种趋势进一步加剧。受铝土矿价格上涨以及电解铝价格疲软挤压，北方多处氧化铝产能陆续宣布弹性生产，市场对后市铝土矿的供应担忧逐步提升。另一方面，从资源角度看，贵州地区铝土矿资源较丰富，产量较好，近期对北方地区的销售不断提升。且其地处西南，有“煤海”之称，煤炭资源量丰富，适合电解铝产业发展，但实际上其电解铝产能增长在全国却并不突出，未来随着国内铝土矿供应的趋紧以及氧化铝产能的不断提升，贵州或将迎来新的发展机遇。 　　在此背景下，上海钢联组织了贸易公司、期货公司以及私募投资人员于2018年7月18日至20日对贵州地区的主要铝生产加工企业进行了走访调研，整个行程以贵阳为中心，陆续走访了遵义、清镇、安顺等地的铝产业上游至下游的多家企业，以座谈交流的形式对贵州地区铝土矿资源情况和铝产业现状做了深入了解，基本理清了贵州地区铝产业的整体情况、实际运行中遇到的问题以及未来的发展趋势，为判断中国铝行业未来整体走势提供了重要依据。 　　二、调研分析 　　通过调研，我们对行业的经营状况、市场变化、竞争格局等诸多方面有了更深入的了解，为铝期货未来行情的研究提供了较好的参考。下面对所调研内容进行总结和分析： 　　1、铝土矿短期供应尚可，后期外流量或有限：今年以来，由于北方地区环保要求继续趋严，山西、河南等铝土矿生产大省的矿山开采受影响较大，导致厂家纷纷南下采购铝土矿。贵州地区铝土矿储量丰富、产量较大，因此吸引了重庆、河南、山西等省的买家。贵州的铝土矿大部分是一水硬铝石，且目前开采的多以井下矿为主，成本较低，但由于环保政策的趋严，尽管产量收缩相比北方较好，成本也在逐步抬升，尤其在新矿山建设上反应较为明显。从现有资源储量上看，铝土矿长期供应存在一定缺口，在目前的价格条件下，贵州地区的大量低品位矿石开采经济性不佳，产量难以得到释放。实际生产中，目前贵州地区的铝厂铝土矿储量基本在1-2个月之间，相比以往略有下降，但考虑到贵州地区雨季已过，因此预计未来铝土矿供应整体不至于出现大幅紧张的情况。 　　至于目前市场比较关注的铝土矿外流问题，现阶段北方地区自贵州采购的矿石以高品位矿为主，考虑到地方政府的政策逐步收紧，预计后期不会出现矿石资源大幅外流的情况，因此现阶段的北方铝土矿紧张局面预计仍将持续。未来矿石的进口和北方产量的恢复或将成为指导铝土矿价格走势的关键因素。 　　2、氧化铝发展受限，未来产能维持稳定：氧化铝产能方面，中铝贵州目前已完成160万吨氧化铝的建设，后续三年内将继续建设200万吨，完成总量的360万吨的计划。中铝贵州公司目前矿石供应尚可，但随着后期项目的逐步推进，长期来看在保证项目持续运行的前提下资源存在较大缺口。遵铝方面，目前运行氧化铝产能80万吨，实际产量经改造后接近110万吨，主要供本公司使用，外销量约30万吨，资源储量按现有用量计算可使用约10年。目前用来生产氧化铝的矿石原料少量自产，外购为主。华锦方面，目前一期产能在160万吨，矿石资源主要来自中铝公司和周边地区采购，氧化铝产品除自用外多销售周边，运输以汽运为主。 　　经交流我们了解到目前市场的氧化铝价格尽管对于贵州地区产能仍有一定利润，但整体利润率不高，据此推测目前盛传的北方地区部分中铝氧化铝和魏桥氧化铝产能停产的可信度较高。总体看来，尽管贵州地区整体的铝土矿资源丰富，但受目前氧化铝利润率不高影响，长期来看可开采矿石资源不足，贵州省内未来的氧化铝产能增加预计有限。 　　3、西南“煤海”，电力瓶颈制约产业竞争力：尽管拥有丰富的煤炭资源，我们在调研中发现贵州地区的电解铝企业却承受着行业中偏高的电力成本。在交流中我们得知大部分的贵州电解铝企业用电价格均由当地政府统一与发电单位以及电网进行协商，目前企业的实际用电价格约在0.4元/度上下，因此竞争力偏低，在目前的电解铝价格水平下行业整体亏损严重。部分企业在座谈中表示今年的电价谈判仍在进行中，但电价不存在大幅下调的可能。 　　造成贵州地区铝企业用电成本居高不下的原因主要有三个：首先是贵州地区的煤矿以中小型居多，近两年受供给侧改革影响，中小煤矿大量关停，地区煤价大幅攀升，目前已位于全国前列，电厂发电成本大增，导致下游企业用电成本不断抬升。第二，贵州地区煤炭资源含硫量高，在环保标准日趋严格的情况下，高硫煤炭在使用中的环保成本大幅增加，从客观上加剧了电力价格的上涨。最后，贵州地处高原，不利于自备电厂建设，叠加国家近期对自备电厂政策性收紧，因此大多数企业均使用网电，电网企业的强势导致贵州地区的过网费相对偏高，因此多数企业用电成本居高不下。 　　4、碳素外购为主，自产动力不足：碳素方面，贵州地区大多数电解铝企业的碳素原料均为外购，主要采购自河南和山东地区。由于环保标准愈发严格，未来企业投产碳素的动力不会很大，因为从原料采购来看，对于贵州地区的碳素生产企业来说符合环保标准的石油焦距离较远，贵州位于高原山地，铁路运输不便，且散货转运损耗较大，成本较高；而附近地区的石油焦则含硫量较高，在目前的环保要求下，利润空间大幅压缩。在目前自产利润不足的情况下部分企业建设碳素厂的计划已出现停滞。尽管未来随着技术进步不排除能够在下游的电解环节控制硫排放，但短期看贵州碳素自产比例不会有明显增加。 　　5、年内下游销售良好，需求整体较好：相对上游企业普遍亏损的情况，调研中发现下游企业的经营明显乐观。以恒佳铝业为例：该公司与2013年投资建设，原料以当地的铝液为主，主要产品是空调铝管和铝棒，产品主要销往广东和湖南地区，长单数量不多，贵州本地销量很低。据企业负责人介绍，目前企业的产品的利润较好，且订单需求较去年有明显增加，旺季过后需求仍未见明显回落。贵州的另一家企业正合铝业成立于2003年，主要销售铝棒、挤压材等铝制品，每月约消耗铝液1万吨，总用铝量约在1.2万吨左右。产品主要销往广东、湖南、福建等地，贵州本地销售量占比约在10%左右。目前企业利润良好，订单充足，企业整体流动性良好。出于对后市的看好，企业未来可能进一步扩大生产。 　　6、铝产业上游整体低迷，产业链整合是主要方向：据了解，铝锭价格的长期低迷使得贵州地区的铝厂均计划向产业链下游延伸。以中铝贵州为例，其目前自产铝液的转化率在80%-90%，产品种类多样，未来有计划进一步开发下游产品。中铝遵义方面，其生产的铝液目前主要是由当地园区企业消化，企业自身也有进一步向下游延伸的意愿，但目前尚未确定具体计划。 　　三、行情分析 　　综合本次调研，电解铝市场下方支撑强劲，短期上涨空间或将逐步打开。具体来看： 　　1、铝土矿的供应方面，后期贵州地区的铝土矿恐不足以持续补充北方的缺口，增产和扩大进口是主要的解决途径；另一条路则是中铝、锦江等氧化铝生产商选择的弹性减产之路。从成本和实际生产情况看，弹性减产实施的可能性较高，短期内氧化铝加工利润的提升预计将成为主要趋势，但如果铝土矿供应的问题长期得不到解决，最终的结果仍将是矿石价格的上行带动下游整体生产成本的提升。 　　2、从贵州地区的情况看，氧化铝的利润已经被铝土矿价格走强大幅挤压，鉴于北方铝土矿的供应问题，可以预见全国氧化铝生产企业的日子都不会好过。从目前的产能建设情况看，市场对这种状况早就有了预期。据统计，未来两年计划建设的大量氧化铝产能主要集中在广西、辽宁的港口地区，这意味着进口铝土矿将越来越多的成为国产氧化铝的主要原料。短期内在矿石资源得不到充分满足的情况下，预计氧化铝重心将逐步上移，但中长期上涨空间有限。 　　3、碳素方面，贵州地区的碳素多以外采为主，今年国内碳素的供应情况较去年已经明显好转，加上去年冬季限产的教训，今年碳素企业的排放标准已经大幅提升，冬季限产的产能数量可以预见将显著降低，碳素的价格整体保持温和概率较大。 　　4、电解铝方面，无论是通过自行计算还是调研走访，我们都能得出贵州地区电解铝行业大面积亏损的结论，其中造成亏损的最主要原因就是居高不下的电力价格，这一状况短期内或无法改变，只要煤炭价格继续高位，电网强势的状况不发生根本性变化，地方政府的居中协调都难以起到根本性的作用。尽管电力成本高企，贵州电解铝企业的现金流仍能勉强保持平衡，主要得益于当地的资源优势，短期内如果北方市场的铝土矿供应不能得到改善，目前企业经营中的基本平衡或将继续维持，减产尚未到来。考虑到其它主产区的成本当显著低于贵州地区，我们预计电解铝的产量短期内不会出现明显下降，价格还有下降的空间，但整体空间不会太大，价格一旦下跌下方支撑会越来越强。 　　综合考虑，我们认为电解铝价格仍将保持低位运行，主要压力来自于国内庞大的社会库存。上行风险则在今年冬季限产尤其是限产对魏桥600万吨电解铝产能的认定和执行标准以及发改委的自备电厂治理方案，操作策略上建议背靠14000元/吨一线逢低买入为主，区间操作。(王云飞) 　                                            (责任编辑：DF386)"
"沪铝冲高底气不足","摘要            今年以来，国内外经济金融形势复杂，我国经济面临下行压力。近日国务院常务会议要求，积极财政政策要更加积极，稳健的货币政策要松紧适度，支持扩内需调结构促进实体经济发展。宏观预期边际改善给商品市场带来提振，有色金属普遍回暖。沪铝供需相对平衡，成本抬升推动沪铝振荡上行，但淡季来临，短期沪铝继续走强动力不足。                             　　今年以来，国内外经济金融形势复杂，我国经济面临下行压力。近日国务院常务会议要求，积极财政政策要更加积极，稳健的货币政策要松紧适度，支持扩内需调结构促进实体经济发展。宏观预期边际改善给商品市场带来提振，有色金属普遍回暖。沪铝供需相对平衡，成本抬升推动沪铝振荡上行，但淡季来临，短期沪铝继续走强动力不足。 　　氧化铝上涨助推铝价回升 　　近期，海外氧化铝价格回升明显，印度公司更是出现591美元/吨成交高价，巴西海德鲁氧化铝厂复产时间推迟至四季度，海外市场供应短缺支持氧化铝价格走强。截至7月30日，澳洲氧化铝FOB报价515美元/吨，我国氧化铝出口窗口持续开启。6月我国氧化铝出口量11.8万吨，创2002年以来新高，7月仍有订单，后续出口量仍然乐观。 　　此外，山西、河南地区铝土矿供应持续偏紧，铝土矿价格上涨推升氧化铝生产成本，部分氧化铝厂继续实施弹性生产。在多重利多因素下，氧化铝重回3000元/吨只是时间问题。 　　氧化铝进入上行通道使得电解铝成本显著抬上，据我们的成本模型，近年来铝价运行区间基本在成本区域。截至7月底，吨铝低中高位理论完全成本分别为13350元/吨、14050元/吨、14700元/吨。当前铝价处于成本中位偏高水平，在成本走高支撑下，铝价后市仍有上升空间。 　　短期需求较难带来有效支撑 　　从供应端来看，截至7月下旬，我国电解铝有效产能为4613万吨，运行产能3715万吨，开工率80.54%，运行产能较年初增加约140万吨，与去年同期相比仍有近80万吨差距。总体来看，供应缓慢增加，新产能投放速度远低于预期，全年产量增速可能不足2%。 　　从需求方面看，出口是今年我国铝消费的最大亮点，在沪伦比偏低、人民币走弱背景下，6月未锻造铝及铝材出口51万吨，为历史次高水平，前6个月出口量同比增长12.8%。但进入夏季，下游铝型材以及铝板带箔企业开工率下降，主要仓库周度出库量下降至14万吨左右，淡季效应逐渐体现。根据上海有色网数据，截至7月30日，我国铝锭社会库存为178万吨，预计近期去库存速度将继续放缓，或在当前水平有所反复，铝价继续走强缺少需求的有力支撑。 　　综合来看，国内铝市场供需相对平衡，氧化铝上涨使得电解铝成本明显上升，但需求淡季将限制铝价上升高度。若铝厂利润持续增加，铝价或面临回调。预计短期沪铝将在成本支撑下保持偏强振荡，等待宏观利好或行业政策驱动，操作上建议遇回调逢低买入。                                            (责任编辑：DF381)"
"7月31日氟化铝(干法)为10442.86元/吨","　　7月31日，氟化铝(干法)参考价为10442.86元/吨，与7月1日(10814.29)相比，下降了3.43%。                                             (责任编辑：DF120)"
"沪铝上行仍存压力 收阴蓄能等待突破","　　沪铝1809合约早间开于14510元/吨，开盘短暂摸低14480元/吨，随即反升拔高14545元/吨，但14500元/吨上方压力仍较重，日盘阶段沪铝基本顺沿5日均线缓慢滑低，重心下移，但依然处于上周高位水平，站稳5日均线，围绕60日均线反复，收报14430元/吨，跌70元/吨，跌幅0.48%，成交量增1188手至3866手，持仓量减9052手至256956手。今日沪铝收阴，晚间关注外盘变动指引以及多空的拉锯，预计晚间仍处于蓄能突破中。                                            (责任编辑：DF120)"
"沪铝冲高回落 短期反弹受阻","　　外盘走势：今日亚市伦铝承压续跌，其中截止北京时间16:26,3个月LME铝报2059美元/吨，日微跌0.89%，目前伦铝仍有效运行于均线交织处，短期下跌风险有所减弱，上方反弹阻力关注2100美元/吨。 　　现货方面：据SMM报道，8月1日上海成交集中14350-14360元/吨，对当月贴水70~50元/吨，无锡成交集中14350-14360元/吨，杭州成交集中14350-14360元/吨。持货商出货力度维持稳定，贸易商接货意愿保持活跃，现货贴水收窄，但双方关于价格的僵持度提升，意味着现货贴水在换月流程前进一步缩窄的难度增大，下游企业采购量较稳定，整体成交较活跃。 　　内盘走势：沪铝主力合约1809冲高回落，显示上方抛压较重，为四日来首次下跌，表现远弱于其他基本金属，交投区间为14615-14425元/吨，尾盘收于14430元/吨，日跌0.76%。期限结构方面，沪铝延续近低远高正向排列，其中沪铝1809合约和1810合约的正价差缩窄至75元/吨。 　　市场因素分析：亚市美元指数振荡反弹，现交投于94.6附近，目前市场静待本周美联储议息会议，寻求更多加息信号。此外，今日人民币兑美元中间价报6.8293，贬值速度明显放缓，接近于去年6月27日来的新高。 　　行情研判：8月1日沪铝1809冲高回落至14430元/吨，表现弱于其他基本金属。但近期国内铝社会库存持续减少，仍利于铝价反弹。建议沪铝1809合约可背靠14320元之上逢低多，入场参考14420元附近，目标关注14600元/吨。                                            (责任编辑：DF381)"
"市场看涨氛围浓厚 沪铝录得大阳","　　隔夜伦铝开于2080美元/吨，亚洲时段，伦铝宽幅震荡运行，截止15:00伦铝报2087美元/吨。进入欧洲交易时段，伦铝波动加剧。夜盘伦铝继续维持宽幅震荡，伦铝高位一度摸得2094美元/吨，低位一度触得2068美元/吨。夜盘因受美指走强影响，上方压力较大，从技术面看，虽然伦铝已位于5日均线以上，但伦铝因美指走强拖累继续维持宽幅震荡，料日内运行2070~2100美元/吨。  　　隔夜沪铝主力开于14455元/吨，开盘后沪铝便向上寻求突破，高位摸得14575元/吨，位于所有均线之上，亚洲时段震荡收于14540元/吨。夜盘沪铝低开于14525元/吨，沪铝延续强势，开盘后便继续拉涨，高位刷新至14615元/吨，后引得空头入场，盘末震荡收于14515元/吨。持仓量减3966手至262042手。沪铝指数减仓990手至716748手。沪铝已突破至所有均线以上，沪铝主力将到达14500以上的新平台，料日内运行14500~14650元/吨。现货贴水100~60元/吨。                                            (责任编辑：DF385)"
"8月1日常熟鸿嘉氟氟化铝停车","　　常熟市鸿嘉氟科技有限公司氟化铝停车中，开车时间未定。                                            (责任编辑：DF381)"
"8月1日河南地区氟化铝价格暂稳","　　河南地区氟化铝价格暂稳，主流报价在9200-10000元/吨，库存低位，大部分厂家表示现在无货，货源紧张。后期价格暂无调整计划。                                            (责任编辑：DF381)"
