"标题","正文"
"锌价今日观点 日内或企稳运行于21000-21800元/吨附近","　　沪锌主力1809合约再次走强，震荡上行，探高至21725元/吨，涨幅1.25%。夜盘再次走低，收于21260元/吨。日内炼厂正常出货，市场以出货为主，贸易商调价意愿不强，挺价观望，下游淡季效应演绎至极致，实际消费疲弱，其中进口锌因货量原因调价速度较慢，而调价贸易商低升水成交尚可，市场分歧较突出。库存低位，津粤两地均有不同程度增加，两地炼厂均有不同程度到货；另一方面，下游淡季拿货意愿不强，难以带动市场消库。沪锌收阳，冲破布林道中轨压制，下方5,10日线粘连提供一定技术支撑，后续走高仍略有压力，日内或企稳运行于21000-21800元/吨附近。                                            (责任编辑：DF386)"
"8月1日上海期货交易所锌锭仓单统计","　　8月1日，上海期货交易所期货锌库存7730吨，库存无变化。其中上海地区库存6671吨，库存无变化；广东地区库存178吨，库存无变化；江苏地区库存881吨，库存无变化；浙江地区库存为0吨，库存无变化。                                            (责任编辑：DF386)"
"01日铜锌镍冲高回落 明日将整体探底回升","　　【基本面】墨尔本8月1日消息，伦敦期铜周三微幅下跌。伦敦金属交易所(LME)三个月期铜下跌0.31%至每吨6280.5美元，7月累计下跌4.9%。上海期货交易所主力期铜1809合约上涨0.32%至每吨49940元。必和必拓旗下智利埃斯孔迪达(Escondida)铜矿工会成员周三前将完成对最终版本薪资合约的投票。一位工会领袖周一表示，工会料将拒绝该矿企提出的最终版本薪资合约，发动罢工的可能性升高。智利Caserones铜矿主要工会的会长周二称，该工会已经拒绝了该矿运营方Lumina Copper提出的最终版本薪资合约，工人已经投票批准罢工。嘉能可(Glencore)周二下调了铝和煤炭年产量预期。但上半年铜产量同比增加8%，钴产量增加31%，因刚果民主共和国业务出现增长。　　【走势预测】铜锌镍近期整体走强，如期反弹，连续反弹之后本周伊始行情同步走弱回落，铜、锌更是大幅下跌，昨日行情再度走强，回升反复，今日盘面先强后弱，冲高回落，现在行情陷入宽幅调整，大海预计明日铜锌镍将探底回升。　                                            (责任编辑：DF386)"
"沪锌冲高回落 多空交投谨慎","　　外盘方面：今日伦锌承压下滑，交投区间为2621-2564美元/吨。截止北京时间15:16，3个月伦锌报2570美元/吨，日跌2.5%。持仓方面，截止7月31日，伦锌持仓量为27。6万，日增884手，显示随着锌价震荡走高，多头增仓入场。　　内盘走势：沪锌主力1809合约冲高回落，多空交投谨慎。日内交投于21725-21280元/吨，尾盘报收21485元/吨，较上一日收盘价涨0.37%。期限结构方面，沪锌延续近高远低的负向排列，沪锌1809合约和1810合约的负价差缩减至190元/吨。 　　行情研判：8月1日沪锌主力1809合约冲高回落至21485元/吨，多空交投谨慎。期间沪锌库存连续下降6周至年内最低位对锌价构成有力支撑，但锌市下游正处消费淡季，上行不易。操作上建议沪锌1809合约可于21200-21700元/吨之间高抛低吸，止损各250元/吨。                                             (责任编辑：DF381)"
"7月31日上海期货交易所锌锭仓单统计","　　7月31日，上海期货交易所期货锌库存7730吨，库存减少150吨。其中上海地区库存6671吨，库存减少150吨；广东地区库存178吨，库存无变化；江苏地区库存881吨，库存无变化；浙江地区库存为0吨，库存无变化。                                            (责任编辑：DF376)"
"8月1日国内废锌市场报价行情","　　8月1日，山东地区废锌市场报价上涨，其中杂锌(生活锌)报价10050-10250元/吨，报价上涨100元/吨；锌合金锭(化油器)报价14000-14200元/吨，报价上涨100元/吨。 　　8月1日，河北地区废锌市场报价上涨，其中杂锌(生活锌)报价10100-10300元/吨，报价上涨100元/吨。 　　8月1日，天津地区废锌市场报价上涨，其中破碎锌(85-86%)报价16600-16800元/吨，报价上涨300元/吨；锌合金(3#料)报价23100-23300元/吨，报价上涨400元/吨；锌合金(5#旧料)报价20450-20650元/吨，报价上涨300元/吨。 　　8月1日，江苏地区废锌市场报价上涨，其中破碎锌(85-86%)报价16550-16750元/吨，报价上涨300元/吨；锌合金(3#料>95%)报价23000-23020元/吨，报价上涨400元/吨；锌合金(5#旧料>95%)报价20500-20600元/吨，报价上涨300元/吨。 　　8月1日，浙江地区废锌市场报价上涨，其中破碎锌(85-86%)报价16500-16700元/吨，报价上涨300元/吨；锌合金(3#料)报价23050-23250元/吨，报价上涨400元/吨；锌合金(5#旧料)报价20400-20600元/吨，报价上涨300元/吨。 　　8月1日，清远地区废锌市场报价上涨，其中破碎锌(85-86%)报价16600-16800元/吨，报价上涨300元/吨；锌合金3#料报价23100-23300元/吨，报价上涨400元/吨；锌合金(5#旧料)报价20450-20650元/吨，报价上涨300元/吨。                                            (责任编辑：DF381)"
"8月1日广东南储有色现货华东地区锌锭价格上涨","　　8月1日广东南储有色现货市场(华东区域)锌锭报价上涨，目前0#锌报21750—21950元/吨，均价21850元/吨，较上一交易日价格上涨350元/吨；1#锌报价21650-21850元/吨，均价21750元/吨，较上一交易日价格上涨350元/吨。以上均为含税价。                                            (责任编辑：DF052)"
"8月1日上海华通锌锭价格上涨","　　8月1日上海华通有色金属现货市场锌锭报价上涨，目前0#锌报21850-21950元/吨，均价21900元/吨，与上一交易日价格上涨350元/吨；1#锌锭报价21700-21800元/吨，均价21750元/吨，与上一交易日价格上涨350元/吨。以上价格为含税价。实单以协商为准。                                            (责任编辑：DF381)"
"8月1日广东南储有色现货华南地区锌锭价格上涨","　　8月1日广东南储有色现货市场(华南区域)锌锭报价上涨，目前0#锌报21560—21860元/吨，均价21710元/吨，较上一交易日价格上涨400元/吨；1#锌报价21490-21790元/吨，均价21640元/吨，较上一交易日价格上涨400元/吨；锌锭(驰宏)报价21860元/吨，较上一交易日价格上涨400元/吨。以上均为含税价。                                            (责任编辑：DF381)"
"下游消费疲软 锌出多接少成交偏淡","　　南储华东0#锌锭21850元，涨350；1#锌锭21750元，涨350。上海市场，炼厂出货意愿有所改善。早市贸易商多以询价为主，进口预期施压，贸易商报价较迟缓。少数贸易商挺价出货，仅部分长单需求响应。定价后贸易商以出货为主，部分商家压价收货，成交陷入僵持。下游逢涨且因消费淡季影响，仅维持刚需采购。今日未见明显进口货源到货流通，维持消耗日前到货存量。市场整体出多接少，成交不及昨日。0#秦锌、豫光、麒麟等对1808报升水60至120元；双燕升90至130元；进口报升水60至80元，国产锌成交在21740至21940元/吨。 　　南储华南0#锌锭(高价)报21860元，涨400；1#锌锭报21790元，涨400。升贴水报价(对次月)：升350，跌20。广东市场，下游消费依然乏淡且价格上涨采兴受抑制，市场到货增加给市场情绪增加压力，商家积极出货早间仍多对南储价交投，月差波动较大使对当月和次月报价出现较大价差，观望情绪浓升水报价承压下调，但调价无明显提振作用，成交不畅部分停止调价转交长单，整体成交偏淡。0#蒙自、麒麟、慈山、铁峰等主流报对1809升 310至400元，进口YP报1808升50至80元左右，国产锌成交在21800至21900元/吨左右。                                            (责任编辑：DF385)"
