"标题","正文"
"马来西亚现货锡报价8月1日","　　吉隆坡8月1日消息：马来西亚现货锡价格周三下跌50美元，报每吨20,050美元，成交量为43吨。前一日为24吨。                                            (责任编辑：DF318)"
"镍：菲总统将禁止露天采矿 不锈钢价格稳定运行","　　镍：菲总统将禁止露天采矿，不锈钢价格稳定运行。 　　期货市场，沪镍收111680元/吨，跌0.47%；伦镍收13895美元/吨，环比涨0.83.LME镍库存25.62万吨，环比减0.13万吨；沪镍仓单1.61万吨，环比减0.02万吨。 　　现货市场，俄镍较无锡主力1808合约升水100元/吨，金川镍较无锡主力1808合约升水1000元/吨左右；金川出厂报价11.3万元/吨。市场俄镍减少，与金川镍价差收窄。临近月末下游采购偏谨慎，现货成交较淡。 　　不锈钢市场，无锡地区304依然持平，冷轧民营产品主流在15300-15400元/吨；太钢、酒钢国营系价格在15650-15750元/吨；张浦价格在15900-16000元/吨；热轧方面，无锡又再小涨拉涨50，民营基本走在了15100元/吨的价格。 　　宏观方面： 　　2018年上半年中国全社会用电量32291亿千瓦时，同比增长9.4%，增速比去年同期提高3.1个百分点，创6年来新高。 　　行业要闻： 　　据51不锈钢，菲律宾总统杜特尔特近日表示，将在12月份公布是否禁止露天采矿的决定。总统认为，露天采矿造成环境的破坏，并且这种破坏是不可逆转的。由于目前总统尚未有实质性行动，菲律宾各矿区出货正常。 　　主要逻辑：电解镍进口处于盈亏线附近，市场对流通货源边际宽松的预期持续；同时需求端减弱，进入不锈钢需求传统淡季，叠加硫酸镍端镍消费回落，镍价承压；但年内电镍供应缺口确定的态势下，镍价深跌可能性不大。我们预计短期电镍价格将震荡运行。 　　操作建议：观望为主，风险偏好大者建议逢低多。 　　警惕风险点：进口盈亏窗口。                                            (责任编辑：DF318)"
"马来西亚现货锡价格上涨140美元 成交量为89吨","　　马来西亚现货锡价格周一上涨140美元，报每吨19,980美元，成交量为89吨。前一日为77吨。                                            (责任编辑：DF318)"
"各大机构锡评","　　成交快报：今锡锭报14.4-14.6万，云锡市场价14.55万左右，出厂价：云锡14.7万，云山云亨云祥14.55万，云象14.48万，南山14.45万，赣锡14.4万。 　　锡：美元兑欧元周三下滑，此前美国和欧盟领导人在华盛顿发布的联合声明中同意缓和双方的贸易冲突。过去六个月，美元走强，部分就是因为全球贸易关系恶化。美国利率上升也带动了对美元的需求。美国和欧盟同意在贸易磋商进行时不再进一步实施关税。美国总统特朗普和欧盟执委会主席贾克表示，他们还将致力于消除非汽车工业产品的关税和补贴。LME三个月期锡上涨0.3%，报每吨19750美元。上海现货锡报价：143500-145000元/吨，持平，较沪锡主力1809合约贴水2000元/吨到贴水500元/吨，云南锡业公司报云锡146500元/吨，贸易商报云山云象等144500元/吨，南山金龙等143500元/吨。今日现货锡价较昨日持平，贸易商报价坚挺。现货价位偏低，抑制了冶炼厂的出货欲望，且沪锡库存呈继续下滑态势，锡锭市场供过于求的局面得到部分改善，对锡价形成利好。                                            (责任编辑：DF318)"
"7月25日上期所锡期货午盘报价","合约名称开盘价最高价最低价最新价涨跌成交量持仓量昨日结算sn1808146610146610146610146610---146610sn1810145160145160145160145160--2145160sn1811145550145550145550145550--2145550sn1812144940144940144940144940---144940sn1902147500147500147500147500---147500sn1903147020147020147020147020---147020sn1904146220146220146220146220--2146220sn1906146160146160146160146160--2146160sn1907147710147710147710147710---147710                                            (责任编辑：DF318)"
"7月23日上期所锡期货午盘报价","合约名称开盘价最高价最低价最新价涨跌成交量持仓量昨日结算sn1808146610146610146610146610200022144610sn1809145400145980144700144790-4601384227148145250sn1810145670145670145670145670--4145670sn1811146070146070146070146070--2146070sn1812145450145450145450145450---145450sn1901147400148120146950147080-36011148614147440sn1902148250148250148250148250---148250sn1903146990146990146990146990---146990sn1904146960146960146960146960--2146960sn190514902014923014902014923011906196148040sn1906146510146510146510146510--2146510sn1907147230147230147230147230---147230                                            (责任编辑：DF318)"
"自然资源部谈全国矿产资源：供应形势严峻、任务艰巨","摘要            在今日举行的自然资源部新闻发布会上，自然资源部矿产资源保护监督工作小组召集人鞠建华指出，总体上看，我国矿产资源国情没有变，矿产资源重要地位没有变，资源环境约束趋紧没有变，矿产资源供应形势十分严峻，任务十分艰巨。我国矿产资源消费量和生产量都居世界首位，是矿业大国，但不是矿业强国。                             　　在今日举行的自然资源部新闻发布会上，自然资源部矿产资源保护监督工作小组召集人鞠建华指出，总体上看，我国矿产资源国情没有变，矿产资源重要地位没有变，资源环境约束趋紧没有变，矿产资源供应形势十分严峻，任务十分艰巨。我国矿产资源消费量和生产量都居世界首位，是矿业大国，但不是矿业强国。　　自然资源部今日召开新闻发布会，介绍2017年全国矿产资源储量的最新数据情况。会上有记者问：请介绍下我国矿产资源形势如何？　　鞠建华介绍，矿产资源是经济社会发展的重要物质基础，长期以来，我国家矿产资源勘查开发为我国经济社会发展起到了重要支撑作用，做出了重要贡献。目前，我们经济由高速增长转向高质量发展阶段，对矿产资源安全高效供应提出了新的更高要求，也面临新挑战。总体上看，我国矿产资源国情没有变，矿产资源重要地位没有变，资源环境约束趋紧没有变，矿产资源供应形势十分严峻，任务十分艰巨。主要表现四方面。　　一是近年来多数矿产查明资源储量保持增长态势，但增速明显放缓，增长动力不足。过去5年来，全国累计地质勘查投入4800多亿元，找矿突破战略行动取得重要成果，新发现大型矿产地218处，中型矿产地261处，新增亿吨级油田8个、千亿方级气田14个。但是受到全球矿业深度调整的影响，我国矿产勘查开发投入已是连续4年下降，累计降幅达40%。大部分矿种查明资源储量增速明显放缓，如2017年石油新增探明地质储量连续两年降至10亿吨以下，天然气新增探明地质储量同比降低两成，铁矿石和铜矿等增幅也明显放缓。　　二是矿产资源开发支撑了经济社会发展，但许多大宗矿产对外依存度不断攀升，进口成本加大。近年来，我国主要矿产品产量出现下降或增速减缓，一些战略性新兴矿产开发相对滞后。目前，铬(95%)、钴(90%)、金(79%)、锂(75%)、铜(73%)、镍(72%)、铁矿石(73%)、石油(67%)等重要矿产品对外依存度不断攀升，我国已超过美国成为世界最大原油进口国，战略性新兴产业发展所需要的钴、镍、锂等矿产对外依存度和进口集中度都很高。随着国际矿产品价格回暖，我国矿产品进口成本大幅上升。因此，要不断推动国际矿业合作，做到资源优势互补。　　三是矿产品价格触底回升，但勘查开发社会投资积极性不高。矿业固定资产投资连续两年下降，矿业市场活力还没有得到根本性改善。2016年以来主要矿产品价格有触底回升的趋势，但由于种种因素，矿产品市场依然没有真正回暖、市场活力不足，社会投资欲望不高。2017年，地质勘查投入资金775.68亿元，与上年基本持平。其中，油气矿产地勘投资577.90亿元，同比增长9.6%；非油气矿产地勘投资197.78亿元，同比下降20.2%。2017年我国矿业固定资产投资9209亿元，与2016年相相比下降了10.8%，矿业利润率(8.6%)略高于工业行业平均水平(6.3%)。　　四是矿产资源开发利用水平有所上升，但发展不均衡不充分，矿山建设水平参差不齐。通过多年的努力，我国矿业规模结构得到优化，大中型矿山比例达到13%以上，资源利用效率有所提高，中石油、中石化、中海油、中国铝业、中国五矿等一批大型企业已跻身世界最大的资源型矿业企业行列，白云鄂博铁稀土矿、攀枝花钒钛磁铁矿、贵州瓮福磷矿等矿山综合利用水平已达到世界先进水平，但一些老矿山和中小型矿山存在科技创新能力不强、优势矿产未能充分发挥资源效益，矿产资源粗放利用、矿山环境问题依然突出，我国矿产资源消费量和生产量都居世界首位，是矿业大国，但不是矿业强国。                                            (责任编辑：DF318)"
"马来西亚锡市：现货锡上涨30美元 成交量增至55吨","　　据道琼斯7月9日消息，马来西亚现货锡价格周一收盘上涨30美元，报每吨19,400美元。　　成交量自上周五的36吨增加至55吨。                                            (责任编辑：DF318)"
"有色金属期货2018年上半年总结---镍 铅 锌 锡篇","　　镍　　伦敦金属交易所(LME) 3个月期镍的价格在2015年暴跌了42.57%，在2016年又上涨了15.98%。在2017年，镍价上涨21.90%。在第一季度，购买仍在继续，镍的价格上涨了7.97%，使它成为2018年前三个月LME表现最好的金属。镍在第2季度的表现再次领先于有色金属板块，在三个月的时间里上涨了12.76%。截至6月29日收盘，镍价今年上半年累计上涨21.75%。　　俄罗斯是镍的主要生产国，但中国是全球镍产量的领先者。镍价上涨的原因是，去年夏季中国对镍的需求支撑了市场，扩大了供需缺口。全球经济增长看好镍的价格，镍是不锈钢生产的关键原料。中国的环境监管导致全球储备急剧下降。　　在LME，镍库存从第一季度末的320 586吨降至6月29日的272616吨，较2017年底减少了47970吨，即14.96%。今年上半年，LME的库存减少了逾9万吨。库存大幅下降是导致2018年镍价上涨的一个因素。　　铅　　铅是2014年表现最差的有色金属，下降了17.65%，但在2015年是表现最好的有色金属，2015年仅下降了3.36%。2016年上涨11.14%。2017年，铅价上涨了25.31%，令人难以置信。第一季度，铅的价格下降了3.60%，但第二季度的涨幅为1.04%。铅在2018年上半年下降了2.60%。伦敦金属交易所三个月期铅价在2018年6月29日收于每吨2435美元。　　铅是一种交易量很小的金属，在铅市场上，价格和库存都有可能被操纵。LME的铅库存为131,625吨，较第二季的季度环比增加2,350吨。全球经济的不断增长和对电池的需求对铅的价格起到了支撑作用。到目前为止，中国是世界上最大的铅生产国和消费国，也是市场上最大的市场参与者。铅一直受到油价下跌的影响，因为2016年油价下跌时，电动汽车电池需求减少，但随着电动汽车需求增加，纽约商品交易所(NYMEX)原油价格升至每桶74美元上方，为铅提供了支撑。铅是一种很有前途的金属，因为它在电池方面的消耗量在全球市场上持续增长。　　锌　　2015年锌价下跌25.8%。2016年，锌是LME表现最好的金属，涨幅为59.53%。在2017年上涨27.54%。在第一季度，锌的回报率增长了0.64%。然而，在第二季度，它跌到了每吨3000美元以下，每季度的价值缩水了12.09%。锌价在2018年前六个月下降了11.53%。伦敦金属交易所(LME) 3个月期锌远期合约在2018年6月29日收于每吨2,909美元。在2月份达到多年高点之后，由于库存增加和中国需求疲软，第二季度锌的价格暴跌。由于近几个月的高价格，锌精矿的供应一直在增加，而且这种趋势可能会继续下去。来自中国和秘鲁的新产量令锌价承压，而贸易紧张局势升级导致需求下降，导致锌价大幅下跌。由于矿产品供应不足，锌市场一度紧张，但价格上涨给市场带来了新产量，锌价又回落至每吨3000美元以下。LME库存从第一季度末的212,825吨增至第二季度末的249,300吨，过去三个月增加了36475吨。锌库存在2017年第四季度大幅下降，但在2018年全年一直在攀升。　　锡　　在LME交易的锡是最不稳定、流动性最差的金属。2015年锡价下跌25.13%。2016年，锡是表现第二好的有色金属，上涨了44.10%。2017年，锡是有色金属行业唯一的落后者，去年亏损5.4%。第一季度锡价上涨6.31%，但第二季度下跌7.13%。到2018年为止，世界上最大的锡生产国和消费国中国的锡产量下降了1.26%。根据目前的生产和消费水平，全球锡市场应该会出现轻微的过剩。印尼的产量正在下降，但在世界其他地区，产量却在上升。每吨2万美元以上的锡价格在整个2017年都处于危险之中，但中国的经济增长为价格提供了稳定和支持。然而，锡在第二季度末再次跌至这个水平以下，其他一些有色金属表现疲软。LME的库存为3065吨，在第二季度增加了1005吨。尽管锡市场可能会出现少量盈余，但市场的流动性不足总是有可能导致价格大幅波动。投资者和交易员远离锡市，因为锡市的买卖价差很大，而且对价格差距也很敏感。LME三个月期锡远期合约6月29日收于每吨19,550美元。　　第三季度的展望　　第二季美元上涨5.05%，美元走强可能令伦敦金属交易所交易的金属价格承压。然而，自从大多数工业大宗商品在2015年末和2016年初达到显著底部以来，这些工业大宗商品取得了长足进展。美国利率上升增加了持有库存和多头头寸的成本，这也拖累了价格。　　未来几周和几个月，贸易问题可能会主导工业金属的价格走势。在我们进入2018年第三季度和下半年之际，工业大宗商品行业正处于高风险时期。　　在我们进入2018年第二季度之际，大宗商品市场的有色金属领域存在着一些看涨和看跌的因素。然而，最近在伦敦金属交易所交易的金属价格一直看跌。未来几周和几个月，我们可能会看到大量价格波动。　　在伦敦金属交易所交易的每一种有色金属都有不同的供需基本面。一些金属处于亏损状态，一些则存在过剩库存。从宏观经济的角度来看，这些战略性金属都是基础设施的重要基石，与此同时，美国基础设施建设的前景，如果政府能够在立法机构获得支持和投票，将为该行业提供额外的需求，可能提振价格。我们进入第三季度时，所有市场都处于混乱和紧张的时刻，有色金属也不例外。　　作为钢铁主要原料的铁矿石价格第二季度下跌0.25%，2018年迄今下跌9.78%，而在2017年下跌10.02%。7月铁矿石期货合约第二季收于每吨64.73美元，在三个月期间接近持平。铁矿石是钢铁生产的主要原料。预计第三季度钢铁市场将出现大量价格波动。　　原材料市场的工业大宗商品部门面临着诸多因素，这些因素可能会导致第三季度的价格波动。美元正面临上行风险，美国的利率正在上升到2018年底，量化宽松政策将在欧洲终结。尽管经济增长仍是一个支撑因素，但最重要的变数将是未来几周和几个月的贸易问题。新闻周期可能会对LME的金属和其他工业大宗商品，以及所有资产类别的市场产生很大影响。我将带着对这一行业的高度警惕的眼光进入第三季度，我相信，在第三季度和2018年下半年，我们会看到很多惊喜和价格波动。　　                                            (责任编辑：DF318)"
"基本金属涨跌互现 沪锡低位反弹1.18%","　　路透伦敦6月29日 - 期锌周五下跌，本季度表现为2015年来最差，投资者对中国冶炼厂计划减产10%，以应对低价和处理费用的报导表示怀疑。中国最大的锌冶炼厂称，将不会参与周四报导的减产，市场对於其它冶炼厂是否会完全遵守产生质疑。“如果减少冶炼厂产量，精炼锌的采购将放缓，但这没有发生，”ING商品策略师Oliver Nugent称。但他补充道，过去几周抛售锌的速度有些过度。伦敦金属交易所(LME)期锌价格 CMZN3 下跌1.5%，报2,854美元，本季度急挫12%，为2015年第三季度以来的最差季度表现。三个月期铜 CMCU3 收高0.1%，报每吨6,626美元，但本季度下跌1%。期镍 CMNI3 收高0.7%，报14,890美元，本季度表现为2017年末季以来最佳。期铅 SPBcv1 收高0.5%，报2,410美元，本季度升0.6%，因中国整治环境污染。期锡 CMSN3 收高0.8%，报19,750美元，稍早触及12月底以来最低，期铝 CMAL3 收跌1%，报2,133美元，稍早触及4月初以来最低。　　二、现货市场概述 　　▲ SHMET现货 　　铜：美国股市周五收高，受耐克 NKE.N 急升和银行股上涨提振，但三大股指本周周线下跌。金价周五从六个月低位反弹，因美元走软触发低吸买盘，但金价本周和本月势将下跌，且分析师称，很多投机客仍持有黄金空头头寸，使金价很容易进一步走低。美元兑欧元周五跌至三日低位，此前欧盟领袖就移民问题达成一致，缓解了德国总理梅克尔的压力，但美元仍将录得六个季度以来的最佳季度表现。LME三个月期铜收高0.1%，报每吨6,626美元。上海现货铜报价在51150-51280元/吨，持平，贴水150元/吨-贴水70元/吨。今日铜现货市场询报盘较为积极，但受月初及周初影响，早间持货商报价心态谨慎价格偏高，几无成交，随后持货商迅速调价，出货意愿较强，截至11点，贴水报价有所回落，但整体成交价格较上周五仍小幅上扬，成交表现尚可。　　铝：油价周五上扬，因投资人担心美国制裁伊朗会令需求增加之际，全球市场的供应大幅减少。美国长债收益率周五下跌，收益率曲线触及逾10年来最平，此前公布的数据显示，美国5月消费者支出增长低于分析师预估。LME三个月期铝收跌1%，报2,133美元。上海现货铝锭报价13890-13930元/吨，跌90元/吨，贴水80元/吨-贴水40元/吨。今日沪铝现货市场升贴水报价整体较上周五基本持平，受长江均价报价较低影响，下游接货意愿较强，但持货商则不愿低价成交，加之盘面止跌回调，持货商出货积极性降低，因此整体成交较为清淡。　　铅：美国长债收益率周五下跌，收益率曲线触及逾10年来最平，此前公布的数据显示，美国5月消费者支出增长低于分析师预估。油价周五上扬，因投资人担心美国制裁伊朗会令需求增加之际，全球市场的供应大幅减少。LME三个月期铅收高0.5%，报2,410美元，本季度升0.6%。上海现货铅报价21090-21190元/吨，跌50元/吨，升水800元/吨-升水900元/吨。铅市今日现货报价跟随盘面小跌，持货商报货较为一般，下游询盘情况也较为清淡，市场少量成交也以散单为主。　　锌：金价周五从六个月低位反弹，因美元走软触发低吸买盘，但金价本周和本月势将下跌，且分析师称，很多投机客仍持有黄金空头头寸，使金价很容易进一步走低。据有关行业人士称，中国大型锌冶炼厂减产或许仍不足以令该行业在长期内摆脱困境，因镀锌行业需求疲弱且锌库存攀升在拖累价格。中国最大的锌冶炼厂称，将不会参与周四报道的减产，市场对于其它冶炼厂是否会完全遵守产生质疑。LME三个月期锌下跌1.5%，报每吨2,854美元，本季度急挫12%，为2015年第三季度以来的最差季度表现。上海现货锌报价0#锌23260-23360元/吨，跌110元/吨，升水80元/吨-升水180元/吨，1#锌23200-23300元/吨，跌110元/吨，升水20元/吨-升水120元/吨。上周五期锌夜盘走低，直至今晨才有所反弹，持货商早间报盘积极，但下游采购继续观望，询盘较少，市场成交寥寥。第二交易时段盘面继续回升，刺激市场交投氛略有提升，日内少量成交。　　锡：美元兑欧元周五跌至三日低位，此前欧盟领袖就移民问题达成一致，缓解了德国总理梅克尔的压力，但美元仍将录得六个季度以来的最佳季度表现。美元指数本季度仍有望上涨逾5%，主要受助于货币政策间的差异，即美国联邦储备理事会(FED/美联储)将比其它主要央行更快地进行货币政策正常化。中国人民币录得纪录最大月度跌幅。LME三个月期锡收高0.8%，报19,750美元，稍早触及12月底以来最低。上海现货锡报价：143500-145000元/吨，涨500元/吨，较沪锡主力1809合约贴水2400元/吨到贴水900元/吨，云南锡业公司报云锡145500元/吨，贸易商报云山云象等144500元/吨，南山金龙等143500元/吨。今日现货锡价小幅上涨，LME库存走高继续打压伦锡走势，国内流通货源充足，部分下游企业逢低采购，现货成交一般。锡供需面宽松，短期锡价或维持低位震荡。　　镍：油价周五上扬，因投资人担心美国制裁伊朗会令需求增加之际，全球市场的供应大幅减少。伊朗目前日产量为约470万桶，或占全球总产量的接近5%，多数出口到中国和印度等急需能源的国家。在北美，加拿大的Syncrude产油设施发生故障影响了逾30万桶/日的供应，运营商Suncor Energy SU.TO 表示问题可能至少在7月持续。LME三个月期镍收高0.7%，报14,890美元。今日上海现货镍报价：116600-116900元/吨，涨500元/吨，金川镍现货较无锡1807合约升水400元/吨，较沪镍主力1809合约升水150元/吨，俄镍现货较无锡1807合约升水100元/吨，较沪镍主力1809合约贴水150元/吨。今日现货镍价小幅上涨，贸易商升水报价略走弱，环保回头看临近尾声，但镍铁厂复产缓慢，下游不锈钢厂检修的企业陆续复产，精炼镍持续去库存，镍价以高位震荡为主。                                            (责任编辑：DF318)"
