"标题","正文"
"锰硅：期价或大概率偏强震荡盘升","　　1、基本面：现货市场可流通资源延续紧张之态，刚需释放迎峰期，供货商挺价意愿依旧较强。原料市场上来看，上周港口锰矿市场运行稍有起色，本周钢厂招标继续推展，需求陆续释放下或继续盘整向好运行；偏多。 　　2、基差：现货价格8400，基差266，现货升水期货；偏多。 　　3、库存：仓单0张，大多工厂以执行钢厂订单为主，基本无现货对外零售；偏多。 　　4、盘面：20日线向上，期价在20日线上方运行；偏多。 　　5、主力持仓：主力持仓净多，多增；偏多。  　　6、结论：现货市场中随着新一轮钢招的进行，让本已紧张的现货资源更加紧缺，随着招标的推展以及需求的释放，期价或大概率偏强震荡盘升。锰硅1809:8050多，止损8000。                                            (责任编辑：DF318)"
"锰硅价格进一步下跌的空间有限","　　1、基本面：近期有消息传出，宁夏地区将迎来新一轮环保，与此同时，广西受限电影响，企业库存依旧偏紧。钢厂招标将陆续增多，市场现货资源仍旧不多，大部分工厂多以订单生产为主，市场信心将有望获得一定支撑；偏多。 　　2、基差：现货价格8300，基差398，现货升水期货；偏多。 　　3、库存：仓单19张，665吨，大多工厂以执行钢厂订单为主，基本无现货对外零售；偏多。 　　4、盘面：20日线向下，期价在20日线下方运行；偏空。 　　5、主力持仓：主力持仓净多，多减；偏多。  　　6、结论：现货面随着前期市场支撑陆续削弱，硅锰现货市场理性盘整运行。锰矿方面，受人民币汇率持续下跌，矿商进口成本进一步增加，锰矿暂时难有过多降价幅度，锰硅价格进一步下跌的空间有限。锰硅1809:7800附近多，止损7750。                                            (责任编辑：DF318)"
"唐山一线调研 了解限产最真实的讯息及影响","摘要            为响应国家打赢蓝天保卫战，实现绿水蓝天的环保计划，河北唐山等地限产消息不断，对整个黑色商品造成了不小的影响。淡季下的成材供需仍维持紧平衡结构，铁矿石一度承压，一德黑色小组围绕限产情况进行了调研（7月17-18日），试图挖掘市场最真实的讯息及影响，并围绕调研提炼出总结和策略。                             　　调研背景 　　为响应国家打赢蓝天保卫战，实现绿水蓝天的环保计划，河北唐山等地限产消息不断，对整个黑色商品造成了不小的影响。淡季下的成材供需仍维持紧平衡结构，铁矿石一度承压，一德黑色小组围绕限产情况进行了调研(7月17-18日)，试图挖掘市场最真实的讯息及影响，并围绕调研提炼出总结和策略。 　　实际限产量预估：根据2018年前5月唐山地区生铁和粗钢的日产数据来看，最高在5月份分别达到36万吨和40万吨，最低值为1-2月份，处于采暖季，二者平均水平分别为28万吨和30万吨。此次调研我们了解到唐山地区实际限产力度有可能与去年采暖季相仿，那么最终实际影响到铁水日均减量约8万吨，粗钢日均减量约10万吨，对应矿石日均减量约12.8万吨，焦炭日均减量约4万吨。 　　1、生产方面：据唐山部分钢厂反馈，此次限产力度不可小觑，，限产时间为2018.7.20-8.31(43天)，竖炉、烧结和高炉分别限50%，迁安地区限30%，遵化限40%，主要限的带钢。有钢厂16、17日开会决定在20号左右停炉。 　　2、原料采购：今年环保时有扰动，某钢厂厂内烧结矿库存维持在一个常量，变化不大， 大概10天以上，因粉矿供应比较充足，基本上维持按需采购。某钢厂国贸公司表示唐山钢厂烧结矿库存全停的有20天，50%限的也有5-7天库存，外采烧结矿主要来自秦皇岛和黄骅。对于品种差的态度迥异，某钢厂表示依然青睐于低铝资源，认为PB粉难有起色，巴西矿溢价难以深跌。某贸易商表示卡粉、BRBF资源资源集中，山东地区依然紧俏，唐山部分钢厂因高溢价已计划更改配比，PB粉性价比显现，且需求回暖，但要看到库存去化，才能对价格产生较大的驱动。各方都表示，高炉限产导致块矿需求也将减少，加之纽曼块库存回升，高溢价难持续。 　　3、非采暖季限产：目前废钢生产环节占比20%左右，限产后废钢占比不会大幅增加，原因是：与铁水比价不合适，目前是淡季，正常生产是对利润最好的保障。目前尚未有官方红头文件流出，但经过我们前后两次调研下来，唐山限产已经属于非官方既定事实，整体限产力度跟去年采暖季相当。7月20号之后，关注官方发声，但从采暖季效果看，此次唐山限产对实际产量的影响有待观察。 　　4、关于利润：唐山此次限产主要集中于带钢生产区，焦化厂限产力度不及高炉，矿石供应充足，原料整体承压，成材整体利润仍有望扩大，主要在于热卷端。PB粉落地利润亏损10元左右，烧结矿利润200-300元/吨，国内精粉较进口精粉有200元左右的价差优势。 　　策略预判 　　1、在高炉限产大概率落实的情况下，预期钢厂产量将被压制，尤其带钢(热卷)，在维持当前需求水平的条件下，卷螺供需紧平衡结构难以打破，供需缺口有可能进一步扩大，单边仍以回调买入近月为主。 　　2、限产高压下，原料需求被压制，尤其矿石，钢厂利润有望继续扩大，逢回调做扩。此次唐山限产主要影响的是板带，而从目前的数据来看，卷螺差有缩小驱动，但因为唐山限产对板带影响较大，徐州复产主要是建材，如果后期唐山限产及徐州复产落实到位，预计热卷供应的收缩力度更大，存在改变当前驱动的可能，因此对卷螺差不建议追空，关注预期兑现。 　　风险点：高炉限产不及预期、需求崩塌。 　　3、铁矿石现货方面，纽曼块库存快速回升，且溢价高企，唐山高炉限产同样削减块矿需求，其高溢价存在向下修复动能。一度被低估的PB粉，自7月以来，澳矿发运大幅回落，PB粉库存连续两周下滑，月内库存仍有望下滑，供应边际发生好转，叠加力拓已将PB粉的铝指标控制在2.2以内，预计8月到港，其价格及与其他品种价差存在修复驱动，值得关注。 　　风险点：高炉限产不及预期、PB粉需求大幅回落。 　　调研正文 　　A钢厂 　　1、硅锰方面 　　唐山地区的钢厂限产对合金的需求，逻辑上是与减产力度成正比，其合金的需求缩减量，在于钢厂的执行力度及部分电炉复产情况，还需跟踪对比后期的粗钢产量数据。 　　2、成材方面 　　(1)唐山地区竖炉、烧结和高炉都限50%，迁安30%，遵化40%。本厂铁水产量影响50%，粗钢产量影响30%以上。 　　(2)唐山限产限的大部分是带钢，型钢少量，带钢缺，滦县、丰润、丰南等区域都出带钢，所以现在做多卷的预期比较强。限产力度跟采暖季差不多，焖炉没有意义，费焦炭。 　　(3)0库存，按需生产。 　　(4)铁路专用线在建，成材销往南方走水运，周边汽运为主。 　　3、原料方面 　　(1)预期焦企现货还得降200左右。 　　(2)矿石等着看20号以后限产执行力度，现在钢厂矿石随用随采。 　　(3)卡粉、BRBF和混合粉比较吃香，PB粉指标改善与用矿倾向关系不大，PB粉供应量充足，难有改观，漂货价格倒挂，限产将减少块矿需求，配矿比较稳定，超特因为品质问题配比由30%降到了20%，混合粉质量好于超特。卡粉占比8-9%，掺氧化铁加一些辅料，不用金布巴。 　　(4)精粉主要从唐山当地采购，造球成本是用精粉干基价加50元左右减去块矿价格，50元属于正常水平。 　　(5)认为矿石在55-60美金震荡，大概率到60美金以下。 　　B钢厂 　　1、成材方面 　　(1)针对20号限产还没有正式官方文件。但以做好相关调整准备工作。 　　(2)钢厂0库存，厂内存放库存为未提库存。限产后，对钢价是一个强有力支撑，对冲淡季需求相对较弱的不利因素。表示对第三季度持乐观态度。 　　2、矿石方面 　　(1)唐山钢厂烧结矿库存全停的有20天，50%限的也有5-7天库存。 　　(2)烧结矿主要采自安丰，宏兴，佰工等秦皇岛钢厂，这些钢厂由于限产和去产能，烧结产能是要大于炼钢产能的，售价900多元，成本700多元。 　　(3)前期金步巴在唐山比较受欢迎，但近几月Fe品位变动较大。 　　(4)块矿多使用南非块，库存10万吨，可用45天左右，表示目前块矿港口库存充足，但市场都还是高价货。 　　C钢厂 　　1、目前纽曼块溢价高，库存回升，高炉限产也会影响块矿需求，预计溢价难以继续上行。 　　2、块矿筛分费大概7元，筛后粉比PB粉贵20-30元，比标准纽曼粉便宜20-30元。 　　3、山东那边钢厂需求以卡粉及巴混低铝矿为主，资源比较集中。唐山这边钢厂对高溢价已经开始觉得划不来，计划更改配比。PB粉的需求已经起来很多，但仍然受到库存的拖累，后面能否逆转，需要看PB粉去库存速度，目前看不到发货下滑，高炉又限产，驱动偏弱。 　　4、认为铁矿被低估，跌不动，FMG成本在430元左右，品味低的成本不一定就低，原始矿品成本很低，但比国内高，通过选矿和混矿，完全成本并不低。 　　A矿贸商 　　1、力拓PB粉铝指标下降，品质有改善，估计8月到货，PB粉对麦克和金布巴等价差面临调整。 　　2、唐山限高炉后，整体铁品味大概要提到55-56%，之前是54-55%。 　　3、国内球团较进口球团倒挂200元左右，内矿受环保影响，产量释放不足，价格坚挺，较进口球团仍有优势。 　　4、目前海漂货PB粉落地利润亏损十几块。                                            (责任编辑：DF318)"
"7月16日金属硅日评：低品位硅价小幅回升","　　今日个别低品位硅价小幅调涨，其中不通氧553#硅黄埔港成交区间11400-11500元/吨，天津港在11300-11500元/吨。硅厂挺价意愿坚定，且因为短期订单充裕的原因，不通氧553#硅报价普遍上调，目前港口不通氧553#硅报价在11500-11700元/吨。硅厂表示，今年电力成本同比偏高，若继续按照之前的低价销售则要亏本。                                            (责任编辑：DF318)"
"锰硅1809：7700-8000区间操作","　　1、基本面：钢招主流价格明朗之后，下游客户陆续进场采购，但对于持货商想进一步上挺市价的接受意愿不强，以及环保影响已有走弱趋势，有部分合金厂计划复产，供应端增加是硅锰上涨的一个很大的压力；偏空。 　　2、基差：现货价格8300，基差534，现货升水期货；偏多。 　　3、库存：仓单94张，3290吨，大多工厂以执行钢厂订单为主，基本无现货对外零售；偏多。 　　4、盘面：20日线向上，期价在20日线下方运行；中性。 　　5、主力持仓：主力持仓净多，多减；偏多。  　　6、结论：现货市场虽报价坚挺，但前期低位货使得当前现货市场成交谨慎，而原料锰矿方面同样面临价高成交偏少局面。目前现货较期货主力合约有一定的升水，存在期货修复贴水的可能，当前价位不宜追空。锰硅1809:7700-8000区间操作。                                             (责任编辑：DF318)"
"建立期货虚拟工厂 企业实现灵活经营","　　“服务实体经济在路上”——铁合金篇　　引言　　在调结构、转变增长模式的经济新常态下，硅铁行业一直处于一个进入门槛较低，小、散、乱的局面。绝大多数硅铁企业属于民营企业，小而散，产能的扩张和缩减无序，在价格上涨过程中，产能扩得快、增得快。由于下游企业钢厂在定价权上处于绝对优势地位，铁合金企业的生存模式随着行业饱和及宏观经济下滑风险面临着严峻考验。而青海中力硅业股份有限公司较早地认识到这一潜在风险，大力支持发展期货业务，充分利用轻资产、高流动性特点，与现货经营优势互补、搭配运营，有力保障了企业稳健发展。　　行业“冰川”已解冻　　众所周知，硅铁的生产原料是硅石，实际就是一种“石头”，原料的成本不高，主要成本是在电费上，生产一吨硅铁需要耗费7800度—8000度电。生产环节的工艺并不是特别复杂，由于进入门槛不高，导致其产能一直处于过剩状态，这是行业的第一个特点。第二个特点是国有资本介入少，绝大多数属于民营资本，且小而散，导致产能的扩张和缩减处于一个无序状态。在价格上涨过程中，产能扩得快、增得快。第三个特点是下游企业钢厂在定价权上处于绝对优势地位。硅铁和硅锰在钢铁产业链中被称为炼钢的味精(冶炼1吨钢大约需要14公斤硅锰)，硅铁目前是国内大宗商品中为数不多的需要上游送货上门的品种，并且钢厂对铁合金厂的结算，主要以承兑汇票为主，而且即使承兑汇票，也是延期支付。　　“由于上述三个特点，硅铁行业发展一直面临双重压力，不但要应对外部来自下游的挑战，同样要面对来自行业内部产能扩张的挑战。2016年以前，硅铁的价格已经连续下跌了很多年，行业也经历了幅度最大的一轮洗牌。硅铁期货上市的时间是2014年8月8日，这个时间点恰好处在现货市场价格下跌过程中，也是行业的洗牌过程。”青海中力硅业股份有限公司(下称中力硅业)总经理吴海波告诉期货日报记者。　　据了解，不少企业在这轮洗牌中已淘汰出局，2014—2015年是铁合金行业最艰难的两年，价格一路下跌，企业从盈利转为亏损，行业洗牌力度加大，特别是2015年12月，整个硅铁和硅锰企业的开机率为历史低位，产量严重下滑，市场几乎无货可寻。主营业务失血不止，整个行业步入“冰川期”。吴海波说，在此期间，企业开始关注铁合金期货，并且结合企业现状，走上产融结合的道路。　　铁合金期货上市以来，经历了一个较长时间的蛰伏期。中力硅业从2014年硅铁期货调研开始，就一直参与其中，据吴海波介绍，中力硅业是第一批开户参与硅铁期货的生产加工企业。在刚开始的参与中，中力硅业对“远期”卖货产生了浓厚兴趣，这是企业对期货市场最初的认识，中力硅业是把期货市场当成了另一个销售市场。　　“而随着对硅铁期货更深的参与，中力硅业进一步认识到企业参与期货市场是为了转移和规避自身现货经营的风险，对期货杠杆有了切身并且直观的感受。”吴海波表示，中力硅业在硅铁期货成交低迷时，宁可不做让账户休眠，也不做其他品种。企业的生产经营本来就承担着巨大的价格风险，尤其是硅铁市场，连续多年的萎靡使得价格连续下跌，行业正处在一个洗牌期，企业连自身的经营风险都转移不出去，做其他不懂的品种更是自寻绝路。　　在华信期货兰州营业部总经理葛振栋看来，规避风险做对冲的时候，不能只看绝对价格，更要关注市场大环境和价格的大趋势。套期保值，不是一定要等到有利润的价格再来卖，也不是一定要交货。铁合金期货刚上市时，给出了为数不多的正向市场卖出套保机会。中力硅业参与的数量并不多，随着时间的推移，期现倒挂的局面一直维持，企业也就一直观望。　　“当时我的想法是，期货价格比现货价格还低，怎么能在期货市场上卖呢？可是随着2015年整年的下跌，我们逐步意识到期现倒挂是一种常态，不可以把期货市场简单理解为一个销售市场，对企业而言，它是一个风险对冲市场。现货市场的经营风险、价格风险，应该通过期货市场对冲出去，应该利用期货市场做空机制来缩小现货跌价带来的损失。”吴海波认为，套不套保跟趋势有关系，跟绝对价格没有必然的关系。当企业面临价格下跌风险的时候，第一时间是找个市场把这个下跌风险对冲出去，而不是非要等一个比现货价高或者差不多的期价，把期货市场当作完全的现货销售市场。　　运用铁合金期货日趋成熟　　2017年春节过后，硅铁期货迎来了一波幅度不小的上涨，虽然维持时间不长，且很快就跌回原形，但是，从上涨开始前钢厂和贸易商的到处寻货，到价格上涨之后产能恢复的情况来看，由于受硅铁价格连年下跌影响，价格上涨之后产能恢复相当谨慎，供应整体偏紧的格局并没有出现实质性改变，市场传导给企业的压力越来越大。　　吴海波告诉期货日报记者，整个6月和7月，中力硅业均是满负荷生产，当月订单早早排满，但是采购商询价不断。怎么办呢？如果扩大生产，采购设备再点火，周期太长，面临的风险比停产企业复产的风险还大，在此情况下，扩大生产不如租用已经停产的产能，而租用已停产的产能不如在期货市场上买货，在反反复复的对比下，中力硅业决定在期货市场上采购，以满足订单需求。　　吴海波介绍，当时企业内部商讨了几种策略。策略一：扩大生产。但是，周期太长，并且由于硅铁整体产能严重过剩，一旦价格回到下跌周期，新增产能的花费又相当于白扔了，因此这是下策。策略二：租用停产企业的设备。这是行业内比较流行的做法，你经营不善我来经营，一直以来租厂的情况也不少见。但是，受中力硅业人力资源限制，经营和管理人员人数有限，特别是租厂之后，原料采购、电费安排、人员工资的安排都需要付出大量的财务成本，需要现金周转，不容易落实。策略三：在期货市场采购，既然期货市场可以交割，就能采购到实物，就能变相满足“生产”的需求。　　“当时，中力硅业内部争论很大。毕竟期货对于大西北的企业来说是个新生事物。企业到底能不能从期货上建立库存，到底能不能采购到现货，到底能不能和下游放大订单签死合同(签了订单就必须供货)。”吴海波说，如果交割，需要准备资金以及价格波动不利时需要准备保证金，对此企业和会员单位进行了反复沟通，也进行了反复测算。最终在和下游不放大订单签死供货合同原则下，决定接货后走贸易渠道。入市采购的意见占了上风，中力硅业高层认为这是满足额外采购订单的最安全的办法。　　吴海波介绍，入市采购、建立近月虚拟库存的另外一个重要原因在于期现价格倒挂，期货价格低于现货价格。于是在7月底8月初，企业根据订单需求，在主力合约建立了大约2000吨虚拟库存，以补充满足8月和9月订单以外的询盘需求。8月上半月，硅铁期货经历了上市以来最为凌厉的上涨走势，和春节后出现的低价相比，期货价格涨幅接近翻番。但是对比同时期的现货价格，期价的上涨幅度仍然相对保守。在价格整体上涨的上半年(除了3月初，硅铁出现过时间不长的正向市场，期价高于现价)，大多数时间都是现货价高于期价，尤其是最疯狂的8月，基差一度达到1400元/吨(基差=现货价格-期货价格)，这也从一个侧面说明这一轮上涨完全是由基本面供应相对短缺造成的，完全是现货引领期货，现货价引领期价，期价属于被动跟涨。　　在期现价格同时上涨的情况下，中力硅业取得了很大的浮盈。随着交割月的临近，期价逐步向现货价靠拢，但是由于现货价格一直高于期价，卖出保值的空头无人愿意注册仓单(期价一直低于现货价)，所以临近交割日，多空出现了对峙局面。由于企业原来建立虚拟库存的思路就是要从期货市场交割采购现货，但中力硅业发现货还没有采购也还没有销售就已经赚取了丰厚的利润，在交易所控制风险以及交割还需要支付一定成本的情况下，其选择获利退出，平仓了结。　　1709合约交割结束后，中力硅业对过去两个月的操作进行了总结。8月上旬，现货市场价格的上涨速度和幅度远远大于期价，这从基差的一路拉大就能看得出来，现货市场价格甚至出现过一天1000元/吨的涨幅，对于有涨跌停板限制的期价来说，简直不可思议。但是，在市场疯狂过后，现货价格下跌同样来得很快，9月初，现货价一口气跌回到上涨前的位置，如果采用新扩产能或者租用其他企业设备的办法，企业在这波行情中将面临巨大风险。“在现货资源紧缺供应偏紧，而新扩产能和租用产能这种远水不解近渴的情况下，在期货市场建立一定数量的虚拟库存，是一种风险相对较小的扩大经营的办法。”吴海波深有体会地说。　　利用期市建立虚拟工厂　　有时候，产不足需、订单大于自身产能，是企业不得不面对的一个现实，而如何解决由产能过剩带来的阶段性供不应求的现状是企业必须考虑的一个问题。据期货日报记者了解，中力硅业利用期货市场来实现扩大产能的目的，实际上是新建了虚拟工厂。生产企业不去对自己的产能进行卖出保值，而进行买入操作，不能说没有风险。但是这种风险的大小还是要视企业的具体情况来定，包括企业规模、经营环境、企业自身发展需要等诸多因素。如果一个企业产能很大，产量也很大，在价格下跌、开机不足的情况下进行买入操作，是很难让人理解的。中力硅业的产能很小，一台炉子月产1000吨，2016年以来，随着硅铁整体价格的逐步抬高，企业本身就有扩张的需求。而对于什么时候新建厂房、新买炉子生产，心里也很矛盾，毕竟过去几年洗牌的情景历历在目。在宁夏中卫、甘肃以及青海，“折了腰”到现在也没重新开张的厂子比比皆是。建新厂是一件风险巨大的事，而面对五六年的跌势之后，终于出现止跌企稳、有利可图的价格，企业还能按兵不动吗？企业经营的目的是为了赚取利润，而不是为了规避风险。规避风险只是实现利润的手段之一，而不是最终目的。在对比建立实际工厂和虚拟工厂的种种利弊之后。中力硅业决定在价格企稳上涨有利润可图的情况下，建立虚拟工厂。　　“在价格下跌过程中，建立虚拟工厂和建立实际工厂面临的风险其实是一样的。把控虚拟工厂不再放大风险的关键点在于，建立实际工厂计划新扩的产能有多少(企业能处理销售的新增产能有多少)，买入建立的虚拟库存就有多大。”吴海波说，比如，计划新建产能1000吨/月，那么每个月得多销售1000吨，一个季度得多销售3000吨，单主力合约上虚拟库存的数量不宜超过3000吨。目前硅铁期货主力合约有1月、5月、9月。以9月合约为例，9月买入交割回来的现货需要在未来3个月销售完，每月多销售1000吨，9月合约的虚拟库存不宜超过3000吨，至于明年2月、3月、4月的新增产能或者虚拟库存何时建，需要根据价格趋势在来年的主力合约上择机再建，情况不好可以不建，这就是虚拟工厂更灵活的地方。　　实际上，这1000吨新增量，企业是可以从现货市场销售掉或者处理掉的，如果贸然放大，企业在不利情况下销售不掉或者处理不掉，那企业面临的风险无形中就越放越大了。　　据吴海波介绍，建立虚拟工厂的好处主要有以下三点：第一，建实际工厂所有的事项，包括选址、厂房、工人工资、原料、电费等，都会被期货市场一个简单的买入操作所代替，可以节约下大量的时间和精力，来研究市场价格和如何销售。第二，只要把握好“产量”，虚拟工厂的风险和实际工厂的风险是一样的。但在风险发生后，如价格下跌造成亏损后，虚拟工厂比实际工厂更容易处理。虚拟工厂平仓后亏损或者接货后销售亏损，亏损当期了结。而实际工厂一旦亏损到无法运转停顿下来，就会变成一堆废铁，一文不值，因为这个行业的产能过剩是十分严重的，只能看着它头疼。第三，针对硅铁这种本身价格波动率大、价格波动范围也偏大的小品种，需要一种更为灵活的产能进入与退出机制。　　谈及企业利用期货市场规避风险的操作经验，吴海波建议，不管是扩大产能、建立虚拟工厂还是卖出保值、对冲风险，企业一定要围绕自己的生产经营来布局。中力硅业建立虚拟工厂背后的原因是其本身就有扩大产能的需求，所以在期市买入、扩大产能的风险是和建立实际工厂的风险来做权衡对比。并且虚拟工厂建立虚拟库存的头寸一定要和计划建立实际工厂的产能对比，不能超越自己计划的销售能力。卖出套期保值对冲风险重势不重价，尤其是在大宗商品期货市场绝大多数品种常年处于反向市场的情况下，一定不能计较价格。　　据记者了解，鉴于硅铁行业一直处于一个进入门槛较低，小、散、乱的局面，中力硅业未来对于新建产能处于保守态度。即使租用已停产的厂子，某种程度上比付出真金白银新建厂子可能面临的风险要小，所以建立虚拟工厂是在价格处在上涨趋势中重点考虑的操作。2017年以来，中力硅业虽然参与期货市场的频率不高，但是节奏掌握得比较好。这主要有两方面原因：一是企业的操作都是由自身的经营需求出发，已经做好了价格波动不利于自己的充分准备；二是企业在常年累月的现货经营中，对价格的波动具有一定的敏感性。　　“未来，随着市场参与结构的完善和期现结构的完善，我们计划在基差交易、跨月套利、跨品种套利方面也做一定的探索和尝试。”吴海波信心满满地说。                                            (责任编辑：DF318)"
"多空因素交织 铁合金市场波动加剧","摘要            近两年铁合金“双兄弟”无疑成为商品市场的耀眼“双子星”，受钢铁行业供给侧改革大潮带动，铁合金市场关注度不断提高，期货交易活跃度不断提升，为产业客户提供了良好的套保条件，进而带动产业资金参与套保避险，由此而形成良性循环格局。探究其产业逻辑，钢材供应缺口尚存，钢厂生产积极性较高，铁合金需求平稳上升，中长期呈现重心逐步上移趋势。而由于铁合金自身产业分布较为集中，近年来随着环保压力的不断加大，对供给端产生明显的扰动，导致价格频繁出现大幅波动。                             　　近两年铁合金“双兄弟”无疑成为商品市场的耀眼“双子星”，受钢铁行业供给侧改革大潮带动，铁合金市场关注度不断提高，期货交易活跃度不断提升，为产业客户提供了良好的套保条件，进而带动产业资金参与套保避险，由此而形成良性循环格局。探究其产业逻辑，钢材供应缺口尚存，钢厂生产积极性较高，铁合金需求平稳上升，中长期呈现重心逐步上移趋势。而由于铁合金自身产业分布较为集中，近年来随着环保压力的不断加大，对供给端产生明显的扰动，导致价格频繁出现大幅波动。　　钢厂高利润常态化　　铁合金需求直接挂钩粗钢产量，在高利润刺激和终端需求平稳支撑下，粗钢产量稳步增长。因此，中长期来看，铁合金需求仍有继续增长的空间。虽然粗钢产量不断创新高，促使供应缺口不断缩小，但是截至二季度，库存在季节性淡季依然持续下滑，也表明螺纹钢供应缺口尚存，需求平稳也进一步刺激供给良性增长，换而言之也就是铁合金需求平稳增长。　　供给侧改革作为国家战略，自去年二季度开始，去产能初见成效，钢企开始出现较为稳定的盈利，未来几年将继续巩固钢铁供给侧改革的成果，尤其是环保会成为行政去产能之后的重要抓手，其对于供应端的影响不容小觑。随着国家对于环境保护的不断重视，其对供应端的扰动或存在超预期的可能，在此背景下，今年螺纹钢市场供应缺口将继续存在，高利润仍有持续走高的可能，这将抬升钢铁原料、包括铁合金的溢价空间。　　原料上涨空间可期　　产能相对过剩、叠加小而散的产业结构对价格形成压力。铁合金行业是一个产能过剩的行业，以硅铁合金为例，受高限产政策影响，2017年全年平均开工率仅23.6%，而在没有环保因素影响的2016年，硅铁合金厂开工率也仅为28.6%，如此低开功率依然能够满足钢厂需求，由此可见，铁合金市场为产能相对过剩的行业。　　自2017年开始，环保压力不断加大，铁合金企业频繁遇到限产，近期的环保回头看行动再次激发市场的做多热情。硅石、兰炭价格不断抬升，虽然两者在总成本中占比不大，但是在供需相对紧平衡的市场，从情绪方面同样促使硅铁厂稳步提高价格。因此，目前的硅铁成本仍在上涨趋势中。　　锰硅合金同样受环保因素影响较大，较为突出的是西南地区，由于限产企业较多，6月合金厂生产硅锰为高价位锰矿，形成成本支撑，锰矿环比8月有所上涨，但锰矿库存有所累积，硅锰合金厂复产较多。总之，多空因素交织，硅锰合金依然处于高位振荡态势。　　综上所述，政府环保政策所引发的成本上移，成为铁合金持续振荡上涨的主要驱动因素，同时近期建筑终端需求平稳，叠加钢厂高利润，后市原料上涨将有较大的空间。　　(作者单位：国泰君安期货)                                            (责任编辑：DF318)"
"铁合金：利多刺激不足 双硅空单离场","周四，硅铁1809合约低开上行。内蒙古72#现金含税价6500-6850元/吨，较上一交易日涨150元/吨。北方代表性钢厂终已落定7月份硅铁招标价格，为7180元/吨，数量5703吨。大多厂家仍处于排单生产中，市场并不更多利好，鉴于今日螺纹库存表现理想的前提下，黑色系后期或带动走强，短线建议空单获利离场。周四，锰硅1809合约低开高走。硅锰6517#市场报价维持在8000-8100元/吨附近，较上一交易日持平。现货市场资源较为短缺，钢厂招标价给予支撑，在环保政策愈演愈烈的前提下，整体厂商开工率维持较低水平。锰矿石港口报价稳中走高，成本支撑重心上移。技术面上，期价在7800元/吨附近获得支撑，短期空单可获利离场。                                            (责任编辑：DF318)"
"锰硅1809：7700-8000区间操作","　　1、基本面：钢招主流价格明朗之后，下游客户陆续进场采购，但对于持货商想进一步上挺市价的接受意愿不强，以及环保影响已有走弱趋势，有部分合金厂计划复产，供应端增加是硅锰上涨的一个很大的压力；偏空。 　　2、基差：现货价格8300，基差478，现货升水期货；偏多。 　　3、库存：仓单112张，3920吨，大多工厂以执行钢厂订单为主，基本无现货对外零售；偏多。 　　4、盘面：20日线向上，期价在20日线下方运行；中性。 　　5、主力持仓：主力持仓净多，多增；偏多。  　　6、结论：现货市场虽报价坚挺，但前期低位货使得当前现货市场成交谨慎，而原料锰矿方面同样面临价高成交偏少局面。目前现货较期货主力合约有一定的升水，存在期货修复贴水的可能，当前价位不宜追空。锰硅1809:7700-8000区间操作。                                            (责任编辑：DF318)"
"7月4日硅锰市场全国主要地区报价持稳","品名规格价格(元/吨)地区备注硅锰合金65178000-8100河南现金含税硅锰合金65178000-8100山西承兑含税硅锰合金65178150-8250陕西承兑含税硅锰合金65178250-8350贵州承兑含税硅锰合金65178250-8350广西承兑含税硅锰合金65178150-8250甘肃承兑含税硅锰合金65178150-8250宁夏承兑含税硅锰合金65178150-8250内蒙承兑含税                                            (责任编辑：DF318)"
