"标题","正文"
"8月2日新疆棉花市场行情动态","　　喀什市皮棉国产的出厂报价为15950元/吨，和1日的报价持平，喀什实信棉业；8月1日无现货成交。                                            (责任编辑：DF350)"
"棉花今日观点 PTA大涨提振聚酯价格","　　储备棉轮出延期使储备棉仓储进一步下降，9月共计19个交易日，依旧按照60%成交率计算，9月拍储成交量约为35万吨左右，即至2018年9月底储备棉库存仅剩272万吨。棉花供应较为充裕，后期关注美棉产量和全球库存。面积的增加与单产下滑有所抵消，因此乐观预计北疆总产量增加幅度7.4%左右。8月1日储备棉轮出销售资源30008.8081吨，实际成交16537.0022吨，成交率55.11%。预计服装出口将持续低迷。近期涤纶和粗布现货价格上涨较快，拉动化纤和棉花行业看涨心态。操作上，整体商品受人民币贬值影响，短期内强势，PTA大涨提振聚酯价格，棉花将延续上涨趋势，建议偏强操作，回调买入。                                            (责任编辑：DF386)"
"8月1日国内棉花现货价格小幅上涨","　　8月1日，国内现货棉花(3218B)市场均价为16185.86元/吨，较上一交易日价格上涨7.29元/吨，报价区间为15900-16438元/吨。 　　8月1日，储备棉轮出成交均价14929元/吨，下跌103元/吨，折3128价格16351元/吨，下跌25元/吨。                                            (责任编辑：DF386)"
"截止到8月1日NYBOT棉花库存20308包","　　截止到8月1日，NYBOT可交割的2号期棉合约库存为20308包，前一交易日为20424包。                                            (责任编辑：DF386)"
"棉花不建议投资者追高","　　洲际交易所(ICE)期棉合约周二升至6月中以来最高水平。交投最活跃的12月合约收高0.39美分，结算价报每磅89.59美分。昨日国内郑棉主力1910合约在ICE期棉以及新疆产区天气的忧虑下高开高走，盘中高点创6月25日以来新高。最终大幅增仓八万七千多手、涨415元/吨。夜盘高开高走，未明显受储备棉抛储延期影响。 　　美国主棉花主产区得州干旱引发市场担忧，美棉生长状况同比不佳，外盘基本面偏强。昨日稍晚，全国棉花交易市场和中国储备棉管理有限公司联合发布关于延长储备棉抛储至9月30号的公告。这将增加国内棉花供给，给棉价带来压力。国内纱线和坯布开工率下滑速度有所缓解，库存继续增加，坯布价格稳定，纱线价格略升，下游有回暖迹象。目前正值棉花生长关键期，天气的影响至关重要。在天气未有明显不利的前提下，不建议投资者追高。                                            (责任编辑：DF318)"
"8月1日新疆皮棉报价基本平稳","　　8月1日，周三，美国主棉花主产区得州干旱引发市场担优，美棉生长状况同比不佳。外盘基本面偏强。昨日稍晚，全国棉花交易市场和中国储备棉管理有限公司联台发布关于延长储备棉抛储至9月30号的公告。这将增加国内棉花供给，给拥价带来压力。国内纱线和坯布开工率下滑速度有所缓解，库存继续增加，坯布价格稳走，纱线价格略升，下游有回暖迹象。目前正值棉花生长关键期，天气的影响至关重要。在天气未有明显不利的前提下。不建议投资者追高。　　具体如下：　　阿克苏皮棉国产的分销报价为16250元/吨，和31日的报价持平，阿克苏恒信棉业有限公司；7月31日无现货成交。                                            (责任编辑：DF318)"
"今日棉花价格行情走势 储备棉轮出时间延长郑棉短期或震荡运行","期货品种期货机构机构观点棉花&棉纱华泰期货储备棉轮出时限延长，国储棉库存将进一步降低市场对德州等棉花主产区干旱忧虑继续发酵，投资者对美棉产量和品质偏悲观。国内方面，随着抛储持续进行，国内棉花库存不断下降，制约棉花上涨的主要因素逐渐消失，国内棉花长期价格中枢将上移。2017/18年度轮储棉轮出销售时间延长一个月，此举将进一步加快了国储棉花的消耗。近期我国棉花供给相对充足，但长期存在缺口，抛储延长至9月底，增大近期棉花供给压力，但无法解决远期缺口问题，结合仓单和有效预报数量，我们认为远近月合约价差将有拉大的趋势。在长期策略上，继续保持多头思维，重点关注美印棉花产量情况。风险点：汇率风险、主产国干旱天气风险、替代品价格风险、国家政策风险中信期货观点：储备棉轮出时间延长郑棉短期或震荡运行信息分析：(1)棉花现货价格指数暂稳 。7月31日，中国棉花价格指数 3128B 为16199(0)元/吨；CotlookA 指数为 98.00(0)，折人民币 15703 元/吨。(2)郑棉注册仓单流入 ，有效预报增加。7 月 31 日，郑棉注册仓单 9676(+71)，有效预报 2282(+86)。(3)储备棉轮出成交率下滑 。中国棉花信息网消息，7 月 31 日，储备棉轮出成交 54.08%。平均成交价格 15032(+219)元/吨；折 3128 价格 16376(+135)元/吨。(4) 印度国内棉价保持坚挺。瑞嘉国际信息显示，印度国内 S-6 报价 48200卢比/candy，折 89.53 美分/磅。逻辑：国内方面，储备棉成交率提升，流通库存处于历史同期偏高水平，仓单+有效预报处于高位。国际方面，美棉优良率差于上年同期，结铃率高于上年同期；印度提高新年度 MSP，其国内棉价保持坚挺。综合分析，印度提高最低支持价格，抬高全球棉价底部；短期内，内盘仓单压力与外盘强势交错，市场对储备棉轮出时间延长反应平淡，郑棉或震荡运行。操作建议：观望兴业期货抛储延后至 9 月底，郑棉 9-1 正套组合继续入场综合看，中储棉昨日发出公告确认本年度国储棉轮出将延至 9 月 30 日，因此未来现货资源供应将维持充裕，现货价格亦将趋于稳定。近两月属棉花生长的关键时期，需重点关注新疆的天气状况；下游需求看，目前内外需求形势均不容乐观，重点关注 8 月底关税的具体落地情况。下游棉纱及坯布现货价格则维持坚挺，而近期粘短价格出现较为明显的下滑，涤短则因 PTA 上涨幅度有限预计将呈现震荡回落态势，加之环保限产印染行业对于坯布需求的不断减弱，需求整体转淡将对整体社会库存形成一定的压力；国际方面，隔夜ICE 期棉继续呈现小幅上涨，但仍未突破上方 90 美分关口。天气方面，美国西南棉区近期降雨量偏少，对旱情的缓解帮助不大，预计未来棉株优良率仍将不容乐观。而美元未来预期依旧偏强，对棉价整体反弹形成一定压制，因此后市或将延续区间震荡格局。昨日郑棉夜间受抛储轮出消息推动，多头大幅减仓，目前仓单+预报总量已超 47 万吨，整体压力未有明显改善，主力合约承压将随 9 月交割临近而愈发显著，建议郑棉稳健者买 CF809-卖 CF901 组合继续入场，激进者考虑未来潜在利多因素可继续持有卖CF901-买 CF905 反套组合。操作具体建议：买 CF809-卖 CF901 继续入场，策略类型为正套组合，持仓比例为 5%；持有卖 CF901-买CF905，策略类型为反套组合，持仓比例为 5%。国信期货美棉升至六周高位。12月合约上涨0.39美分，涨幅为0.44%。同时，德州天气干旱导致美棉优良率偏低，美棉短期预计维持偏强走势。夜盘郑棉高位震荡，储备棉轮出延长至9月底，短期利空但长期偏多，超允差棉花追偿导致实际储备棉库存量面临下调，同样利多长期。操作上建议多单谨慎持有，有效跌破17000点离场。弘业期货洲际交易所(ICE)期棉合约周二升至6月中以来最高水平。交投最活跃的12月合约收高0.39美分，结算价报每磅89.59美分。昨日国内郑棉主力1910合约在ICE期棉以及新疆产区天气的忧虑下高开高走，盘中高点创6月25日以来新高。最终大幅增仓八万七千多手、涨415元/吨。夜盘高开高走，未明显受储备棉抛储延期影响。美国主棉花主产区得州干旱引发市场担忧，美棉生长状况同比不佳，外盘基本面偏强。昨日稍晚，全国棉花交易市场和中国储备棉管理有限公司联合发布关于延长储备棉抛储至9月30号的公告。这将增加国内棉花供给，给棉价带来压力。国内纱线和坯布开工率下滑速度有所缓解，库存继续增加，坯布价格稳定，纱线价格略升，下游有回暖迹象。目前正值棉花生长关键期，天气的影响至关重要。在天气未有明显不利的前提下，不建议投资者追高。瑞达期货棉花现货 3128B 价格指数呈现先跌后涨的趋势；2017/2018 年度储备棉轮出第二十一周(7 月 30 日-8 月 3日)标准级销售底价为 15785 元/吨，较上周下跌 43 元/吨。截至7月27日，累计计划出库291万吨，累计出库成交174.2万吨，成交率为 60%；成交最高价 17700 元/吨，最低价 12700元/吨。总体储备棉成交有所升温，进入最后一个月轮出时间，预计在储备棉性价比的优势下，后期拍卖热情将延续高涨的可能。但是近期有关于轮出延期的传闻，若兑现的话，将对郑棉期价产生一定的利空。中下游方面：截至 7月 27 日，周纱线开机率下滑 0.4%至 65.1%，坯布开机率小幅下降 0.9%至 59.6%。纱线与坯布库存累计速度微幅加快。其跌幅较前期虽有所减缓，但是纺织需求仍处于传统淡季，预计纱线、坯布开机将继续下滑走势，坯布、纱线库存逐步积累继续。替代品涤纶短纤产销表现有所转好的预期，对棉价产生一定的利多；目前新棉处于生长关键期，决定了，棉花来年产量的多少；近期新疆传闻冰雹等对新棉市场形成一定的影响。操作上，短期建议郑棉 1901 合约可建立多单，上方测试 17350 元/吨压力。受原料成本的支撑，涤纶短纤价格坚挺带动棉纱上涨，短期建议棉纱期货 1810多单介入。以上观点仅供参考，不构成操作建议。                                            (责任编辑：DF318)"
"棉花今日观点 短期内强势","　　6月份棉花进口环比减少23%。自本月7日来，新疆大部分地区已经出现了持续35℃以上的高温，南疆棉花或推迟成熟。棉花供应较为充裕，后期关注美棉产量和全球库存。面积的增加与单产下滑有所抵消，因此乐观预计北疆总产量增加幅度7.4%左右。7月31日储备棉轮出销售资源30018.0208吨，实际成交16235.2282吨，成交率54.08%。预计服装出口将持续低迷。近期涤纶和粗布现货价格上涨较快，拉动化纤和棉花行业看涨心态。操作上，整体商品受人民币贬值影响，短期内强势，PTA大涨提振聚酯价格，棉花将延续上涨趋势，建议偏强操作，回调买入。 　　                                            (责任编辑：DF386)"
"参评人数增加 研究报告价值提升","　　2018年度郑州商品交易所高级分析师评选活动截至7月31日报名结束，共有252人报名参评，比去年参评人数增加了25%，各品种参评人数同去年相比均有所增加。分品种看，白糖46人、棉花34人、甲醇33人、PTA30人、菜系27人、动力煤25人、期权22人、硅锰14人、玻璃13人。 　　据了解，2018年度参评分析师不仅人数有所增加，参与人员结构也更广泛，除了有期货经营机构的分析师参与之外，还有许多现货企业、投资公司、交割库以及贸易商参与评选，非期货公司的参评分析师占到总人数的20%，评选活动市场影响力进一步扩大。 　　来自上海鸿凯投资有限公司的甲醇分析师杨艳丽向期货日报记者表示，她是从朋友处获悉该评选活动，今年也是第一次参加。“去年参加的朋友对评选活动评价很高，我也想来这里和大家一起交流学习一下。”同时她认为，“目前市场上很少有对期货分析师的界定和评价，而交易所举办的评选活动，应该是市场上最权威、最有含金量的，所以很值得去参与争取一下。” 　　去年获得“高级分析师”称号的边舒扬已算是参与评选的“老人”了，在他看来，期货分析师最主要的工作是做好投资者以及现货企业的引导工作，通过不同方式与不同的投资者交流，更好地服务投资者、服务市场，而参加郑商所高级分析师评选，是对自己研究工作的一个检验和考核，可以鞭策自己不断提高研究水平。 　　另外，2018年度郑商所高级分析师评选延续去年的评选规则，就目前的情况来看，今年参评分析师上传的研究成果不仅数量有所增加，质量也更显专业水平。截至7月31日报名结束，255名参评分析师中，已有123名上传了自己的研究报告，共计911篇文章，平均每位参评分析师上传7篇文章，比去年同期上传数量明显增加，截至目前上传最多的分析师已经达到48篇文章，最高得分者已达105分。 　　从参评分析师上传的研究成果可以看出，今年参加评选的分析师的研究报告种类更全面，专业水平更强。近期，棉花出现突破行情，参加评选的李若兰向记者分析了这波行情：“之前棉花一直处于振荡等待方向的时期，但由于美国天气干旱，美棉出现上涨行情，拉动郑棉夜盘实现突破。现在国内外行情联动较强，受美棉影响，近期来看棉花向上虽有资金支持，但空间不是很大。”作为期货分析师，每日不仅要了解期货品种行情走势，外盘和现货价格变化也都要随时了解并及时分析变化的原因，形成文字报告反馈给投资者，进而给出操作建议。“这是分析师的日常本职工作，每日要关注的信息很多，不能忽略任何一个信息点，还要通过多看书、与同行交流等途径不断提高自己的专业水平。”李若兰说。 　　白糖分析师边舒扬认为，想要做好期货分析师首先要研究透彻交易所的品种合约，只有合约吃透了，才能全面地了解涉及品种变化的各种因素。其次要对品种的供需情况、历史过往行情深入研究和对比。平时也要多读多看业内专家、行业大咖的观点和研究报告，同时多写多练，慢慢形成自己的风格。 　　据目前为评选打分的品种专家介绍，本届评选参与人数多，竞争也更激烈，他从目前打分情况来看，给参评分析师提出一些建议：研究报告种类要多样化，要避免重复上传，上传公开课课件的同时一定要上传视频，而上传期权类的研究报告时要注意品种的选择。                                            (责任编辑：DF318)"
"棉花公证检验量528.65万吨（截止到2018年7月30日24点）","　　截止到2018年7月30日24点，2017棉花年度全国共有1030家棉花加工企业按照棉花质量检验体制改革方案的要求加工棉花并进行公证检验，检验量达到23372173包，528.6571万吨，其中新疆796家，检验量达22106187包，500.1769万吨；内地234家加工企业，公证检验达1265986包，28.4802万吨。                                            (责任编辑：DF318)"
