"标题","正文"
"8月2日云南省一级豆油报价基本平稳","　　云南昆明三级豆油进口压榨的出厂报价为5620元/吨，和1日相比上涨了20元/吨，益海；8月1日无现货成交。一级豆油进口压榨的出厂报价为5670元/吨，和1日相比上涨了20元/吨，益海；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日湖北省43蛋白豆粕报价基本平稳","　　中粮祥瑞43蛋白豆粕进口压榨的出厂报价为3160元/吨，和1日相比上涨了20元/吨，基差报价对连豆粕1901+160(3349)元/吨(18年10月﹑11月﹑12月)，8月1日现货成交价为3120元/吨，成交了3000吨。46蛋白豆粕进口压榨的出厂报价为3310元/吨，和1日相比上涨了30元/吨，8月1日无现货成交。                                            (责任编辑：DF064)"
"8月2日湖北省大豆净粮报价基本平稳","　　黄冈市大豆净粮4.5筛的车板报价为4400元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日云南省塔豆报价基本平稳","　　近期安徽地区大豆凭借价格优势备受市场喜爱，但主要是为一、二级大豆，囤豆仍走货迟缓，下游几无人问津。据悉，当前安徽豆发往云贵川地区以及河北、山东等地，覆盖面积相当广，挤占部分进口豆和东北豆份额；而湖北早熟豆，虽然说外观不错，但做成豆制品质量不及去年，市场采购并不积极，贸易商也未囤货，价格维持虚高，预计后期新豆大量下来以后，市场行情或有改观。当前安徽地区一级豆收购价3640-3720元/吨，最好的收到3900元/吨；外发装车价格在3860-3920元/吨，好一点的发到4020-4040元/吨。二级豆收购价格分小贩和农户，农户普遍在3000元/吨，小贩高一些在3200元/吨左右，品质好的最高收到3500元/吨；外发装车价在3640-3720元/吨，市场上量较快，利润也相当可观。 　　昆明市塔豆4.5筛过塔的分销报价为4140元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日广东省43蛋白豆粕报价小幅下跌","　　富之源43蛋白豆粕进口压榨的出厂报价为3130元/吨，和1日相比下跌了50元/吨，3130统计意向；8月1日现货成交价为3120元/吨，成交了1000吨。                                            (责任编辑：DF381)"
"8月2日广西省大豆油市场行情动态","　　8月2日(周四)，CBOT大豆类期货周三下跌。新作11月大豆期货收跌17.25美分，报901.75美分。新作12月豆粕合约收跌5.4美元，报每短吨336美元。新作12月豆油合约收跌0.35美分，报每磅28.95美分。今日美豆小跌，美豆油小涨，连豆油小涨，现货报价如下：　　防城九三三级豆油进口压榨的停报，基差报价对连豆油1809-250(5392)元/吨(18年8月)，8月1日无现货成交。一级豆油进口压榨的停报，基差报价对连豆油1809-200(5442)元/吨(18年8月)，8月1日无现货成交。                                            (责任编辑：DF358)"
"简讯：8月2日江苏省泰州汇福43蛋白豆粕2次报价基本平稳","　　2018年8月2日，隔夜美豆下跌，预计短期震荡下行，关注890美分支撑；夜盘连粕横盘整理，现货总计成交5.68万吨，较上一日减少5.19万吨，成交量连续第二日大幅下滑，昨日有个别厂家放价销售，效果并不明显，预计短期内连粕震荡下行，1809合约下方关注3100元附近支撑，1901合约下方关注3150元附近支撑。今日各地油厂具体报价如下：　　连云港益海43蛋白豆粕进口压榨的出厂报价为3080元/吨，和1日相比下跌了30元/吨，8月1日现货成交价为3100元/吨，无成交                                            (责任编辑：DF307)"
"8月2日天津市豆粕市场行情动态","　　天津九三43蛋白豆粕进口压榨的停报，基差报价对连豆粕1809-50(3111)元/吨(18年8月)，8月1日无现货成交，基差成交对连豆粕1809-30(3131)元/吨(18年8月)，无成交。45蛋白豆粕进口压榨的停报，基差报价对连豆粕1809+30(3191)元/吨(18年8月)，8月1日无现货成交。46蛋白豆粕进口压榨的停报，基差报价对连豆粕1809+50(3211)元/吨(18年8月)，8月1日无现货成交。                                            (责任编辑：DF381)"
"简讯：8月2日黑龙江四级豆油报价基本平稳","　　8月2日(周四)，CBOT大豆类期货周三下跌，因担心美国和全球最大大豆进口国。新作11月大豆期货收跌17.25美分，报901.75美分。新作12月豆粕合约收跌5.4美元，报每短吨336美元。新作12月豆油合约收跌0.35美分，报每磅28.95美分。今日美豆小跌，美豆油小涨，连豆油小涨，现货报价如下：　　宾西禹王四级豆油国产压榨的出厂报价为6100元/吨，和1日的报价持平，8月1日无现货成交                                            (责任编辑：DF307)"
"8月2日辽宁省大豆油市场行情动态","　　大连九三三级豆油进口压榨的停报，8月1日无现货成交。一级豆油进口压榨的停报，基差报价对连豆油1809-10(5632)元/吨(18年8月)，8月1日无现货成交，基差成交对连豆油1809+30(5672)元/吨(18年8月)，无成交。                                            (责任编辑：DF381)"
