"标题","正文"
"8月2日安徽省早籼米报价基本平稳","　　星期四。海关总署数据显示，2018年6月份我国进口大米17万吨，同比减少14万吨，减幅为44.6%。为2014年以来同期大米进口的最低值。1-6月我国累计进口大米177万吨，同比减少36万吨，减幅为16.8%。国内稻米库存充足，陈粮充斥市场，短期内提振的可能性不大。　　各地具体市场表现方面，其中：　　正泰米业中晚籼米国产的出厂报价为4200元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF318)"
"8月2日湖南省早籼米报价基本平稳","　　星期四。海关总署数据显示，2018年6月份我国进口大米17万吨，同比减少14万吨，减幅为44.6%。为2014年以来同期大米进口的最低值。1-6月我国累计进口大米177万吨，同比减少36万吨，减幅为16.8%。国内稻米库存充足，陈粮充斥市场，短期内提振的可能性不大。　　各地具体市场表现方面，其中：　　胜达米业早籼米国产的出厂报价为3600元/吨，和1日的报价持平，早优；8月1日无现货成交。中晚籼米国产的出厂报价为3840元/吨，和1日的报价持平，晚优；8月1日无现货成交。                                            (责任编辑：DF318)"
"本周湖南邵阳稻谷价格行情","　　据市场监测显示，本周湖南省邵阳地区城乡稻谷市场行情和购销价格企稳，城乡居民与种粮大户自行购销2018年产的早籼稻新稻谷成交价为130元/百斤，但交易量不大；2017年产的早籼稻零售均价(下同)125元/百斤，优质中、晚籼稻稻谷137元/百斤，中、晚稻糯谷170元/百斤，均与上周持平。                                            (责任编辑：DF318)"
"本周湖南邵阳大米价格行情","　　据市场监测显示，本周湖南邵阳地区大米市场购销价格趋稳。城乡居民自行购销2018年产的早稻新米成交价为2.50元/斤，但交易量不大；2017年产的中、晚稻糯米零售均价(下同)3.30元/斤，中、晚籼稻米2.30元-2.40元/斤，米质优、口感好的中、晚籼稻米为2.50元-2.60元/斤，早籼稻米2.20元/斤，饲喂畜禽的饲料米1.80元-2.00元/斤，均与上周持平。                                            (责任编辑：DF318)"
"中储粮湖南分公司考察早稻收购工作","　　7月30日上午，中储粮湖南分公司副总经理张重咏一行来到湘阴县考察调研早稻收购工作，副县长方腊初参加。　　今年，全省早稻最低收购价政策执行时间为8月1日至9月30日，中晚稻为10月10日至次年1月31日。2018年全县水稻播种面积130.2万亩，早稻平均亩产448公斤，总产27.82万吨，预计社会商品粮量15-18万吨，收购量在14万吨以上。粮食年储备量在23万吨左右，目前还有库存15.3万吨。　　调研组对我县早稻收购工作给予肯定，认为我县收购工作准备充分，管理规范，秩序井然。调研组强调，粮食收购一定要做到应收尽收，切实调动农民种粮积极性，严格执行国家粮食收购价格政策，及时付清粮款，不能打白条，不能压级压价，切实把保护农民利益落到实处。要加强入库质量把控，落实监管措施，防控各类风险。                                            (责任编辑：DF318)"
"7月31日江西九江稻米市场行情","　　30日，江西九江地区2017年早稻市场价2500元/吨左右，粳稻到站价2900元/吨，中晚稻出库价2580元/吨；行情低迷。                                            (责任编辑：DF318)"
"农业快讯：截至25日主产区夏粮和早籼稻收购进度","　　截至7月25日主产区夏粮和早籼稻收购进度 　　截至7月25日，主产区小麦累计收购3396.9万吨，同比减少1841.3万吨，其中：河北收购297.4万吨，同比减少53.7万吨；江苏收购872.3万吨，同比减少259.4万吨；安徽收购368.3万吨，同比减少428.6万吨；山东收购579万吨，同比减少76.7万吨；河南收购713.3万吨，同比减少945.9万吨；湖北收购109.8万吨，同比减少91万吨。 　　主产区早籼稻累计收购117.2万吨，同比增加80万吨，其中：浙江16.8万吨，同比增加8.1万吨；安徽3.3万吨，同比增加3.3万吨；福建1万吨，同比增加0.5万吨；江西71.8万吨，同比增加70.2万吨；湖北2.8万吨，同比减少2.4万吨；广东17.6万吨，同比减少1.4万吨；广西3.9万吨，同比增加1.7万吨。主产区油菜籽累计收购81.6万吨，同比减少13.5万吨。 　　G20农业部长会议在布宜诺斯艾利斯召开 　　7月27日，二十国集团(G20)农业部长会议在阿根廷布宜诺斯艾利斯召开。G20所有成员、部分嘉宾国和国际组织派代表出席会议。本次会议以“可持续的粮食未来”为主题，围绕土壤健康、农业信息技术、粮食损失和浪费、农业贸易投资、抗生素耐药性等议题展开讨论，并通过了《G20农业部长宣言》。 　　农业农村部副部长余欣荣率团出席会议并发言。他表示，本次会议主题与2016年中国主办的农业部长会议主题一脉相承。面对全球农业新形势和新挑战，中国将全面贯彻新发展理念，与各国携手推动实现2030年可持续发展议程。 　　余欣荣强调，绿色是农业的底色，是农业可持续发展的成色，农业绿色发展是包括中国在内的世界各国农业发展的战略性、长期性目标任务。他呼吁，各方在农业领域进行新的“绿色革命”，以尊重自然为前提，统筹经济、社会、生态效益，深入调整农业结构、生产方式和生活方式，用绿色发展方式实现金色丰收。希望各方携手加强农业科研和创新合作，为全球农业可持续发展提供新动能。 　　我国农业结构向优态势明显 　　国家发改委7月30日发布报告称，今年是乡村振兴战略实施开局起步之年，上半年我国农业农村经济发展稳中向好，尤其农业结构向优态势明显。同时，农村产业融合加快发展，农村发展新动能正在增强。多位业内专家接受上证报记者采访时也认为，供给侧结构性改革推动了我国农业的绿色发展。报告显示，随着农业供给侧结构性改革深入推进，农业结构向优态势明显，预计早稻面积减少600万亩，同比减少7%左右，大豆面积增加900多万亩，同比增加7%。                                            (责任编辑：DF318)"
"7月30日江西九江稻米市场行情","　　7月30日，江西九江地区2017年早稻市场价2500元/吨左右，粳稻到站价2900元/吨，中晚稻出库价2580元/吨；行情低迷。                                            (责任编辑：DF318)"
"7月30日湖南邵阳稻谷价格行情","　　湖南省邵阳地区城乡稻谷价格稳定，城乡居民与种粮大户自行购销2018年产的早籼稻新稻谷成交价为130元/百斤，与上日持平。                                            (责任编辑：DF318)"
"修改合约规则适应实体经济需求 “冬病夏治”边缘化期货品种“入伏”","摘要            “这些品种之前我都不看，但最近价格波动比较大，成交量也起来了，我才把它们加入到自选品种里重点关注了。”资深期货投资人安女士说。                             　　“这些品种之前我都不看，但最近价格波动比较大，成交量也起来了，我才把它们加入到自选品种里重点关注了。”资深期货投资人安女士说。　　安女士口中所说的品种，因长期交投十分清淡，被业内称作为“冷品种”，包括燃料油、豆二、线材、油菜籽、普麦、稻谷期货、胶合板期货等。不过，最近，燃料油、豆二、稻谷期货等品种出现复活势头，不仅成功吸引资金关注，还有“走红”的迹象。　　分析人士表示，近年来，交易所经过不断深入调研，寻找症结所在并采取改进措施，显著提升了燃料油、豆二期货交投，建议交易所继续做好其他“冷品种”维护工作的同时积极做出改变，以便更好地服务实体经济。　　细心呵护谨慎参与　　对于刚刚逃出“冷宫”的品种，在投资方面有何建议？　　程小勇表示，对于逐渐转暖的期货“冷品种”投资来说，一方面，需行业加大对产业链的分析和调研，以便通过供需基本面来捕捉投资机会；另一方面，需对修改合约后的规则进行充分了解，不要进行过度投机。否则，可能会导致好不容易焕发活力的“冷品种”再次遭遇严厉调控，这样既不利于服务产业，也不利于企业进行风险对冲。 　　浙商期货研究中心能化高级研究员朱展天也认为，投资者在参与这些品种交易时要谨慎。在“冷品种”逐步转暖发展的过程中，期货品种的交易量将伴随着现货市场的风险管理需求而增大，现货市场的情况也将反应在期货市场上。因此，投资者需结合期现货市场的情况，做好风险管理。　　这对于其他仍处于“冷宫”的品种来说，有何借鉴意义？　　“燃料油、豆二期货的再次活跃，主要在于期货合约规则的改变，燃料油更换了交割品种，而豆二期货则是调整了交割质量标准。对于那些仍旧不活跃的期货品种，建议交易所以及相关部门积极进行调研论证。”朱展天表示，以线材为例，品种设计落后于经济发展，且交割品为高线，但在实际生产和贸易流通中，普线较为普遍，加之螺纹钢期货冲击，导致线材持仓量和交易量不断下降。因此，对于不活跃期货品种，交易所需做好品种维护工作的同时积极做出改变，听取现货企业意见，提高企业与投资者的参与度，更好地服务实体经济。 　　在程小勇看来，燃料油期货、豆二期货合约修改合约、规则等重新激发活力，对于其他“冷品种”来说，具有很强的借鉴意义。根据现货供需结构变化、产需变化，修改合约文本、标的、质量标准和交割区域等有利于“冷品种”品种重生。例如，胶合板和稻谷期货成交不活跃，同样存在合约设计不合理问题。不过，部分商品由于品级等无法统一或者现货市场化不够，导致无法设计成为标准化期货合约是当前成交不活跃的最大原因。　　谁唤醒了“睡美人” 　　何种因素促使期货“冷品种”逃出冷宫？　　“从燃料油、豆二期货合约起死回生来看，修改、优化合约或者调整交割品种是拯救‘冷品种’的有效方法。”程小勇表示。　　以燃料油期货为例，程小勇表示，原先的燃料油期货合约标的物为发电用燃料油，修改后的燃料油期货合约为保税380燃料油(报税船用燃料油)。船供油市场大体可以分为内贸完税船供油市场和保税船供油市场两类。随着我国对外贸易的稳定增长，作为远洋运输的重要消费品，保税380船用燃料油已逐渐成为市场的主要消费品种，内贸船用燃料油不足以反映燃料油市场的价格变动。2009年起，受燃料油加征消费税影响，现货市场消费结构发生变化，发电用燃料油期货市场规模随之逐渐萎缩，原先燃料油的期货品种服务实体企业的功能无法有效实现。因此，保税380船用燃料油挂牌交易之后，吸引了产业客户积极参与，投机也随之增多。 　　浙商期货研究中心能化高级研究员汪文林表示，与原油期货类似，国内380燃料油期货可以有国外成熟的市场作借鉴。目前，新加坡燃料油市场为全球380燃料油的定价中心，其拥有庞大的燃料油现货市场、普氏公开市场和纸货市场。由于国内对新加坡燃料油保持较高的进口依存度，加上地理位置因素，可以使内外盘保持非常高的联动性，因此对于形成合理的期货价格有一定的指引意义，也可以提升市场认知度，方便投资者理性参与交易。因此，对于期货中的“冷品种”来说，实质在于市场的接受度不够高，受政策约束小，而易于贸易环节流通、市场认知度高的品种更容易活跃，对于驱使期货品种的活跃性有较高的影响。 　　对于豆二期货来说，浙商期货研究中心农产品高级研究员向博表示：“此前豆二期货不活跃的主要原因是交割不通畅，使得许多国内压榨企业不得不选择在芝加哥商品交易所(CBOT)市场上进行套保，但这种方式受到汇率、海运费、升贴水等影响，在实际操作过程中也会遇到较多的麻烦。目前，流入我国的进口大豆数量节节攀升，快要达到一亿吨了，进口大豆已成为压榨的主要原料，而数量不到两千万吨的国产大豆基本上不作为压榨使用。”　　在这种情形下，提高豆二期货活跃度势在必行，通过检疫部门和大商所的共同努力，自2017年5月31日，1805合约开始采用新合约规则，使得进口大豆的期货交割变得简洁、便利，交割制度、交割标准、交割区域，包括合约月份等都有所优化，使得其与现货市场联系得更加紧密。　　“修改后的豆二期货合约符合了现货企业的风险管理需求，产业客户因此积极参与。”程小勇表示。　　从交投方面来看，向博表示：“从今年初开始，豆二期货活跃度就有所起色，而这次外部扰动事件更是加快了其活跃的步伐，成交量方面已超过豆一期货。但就目前而言，投机盘还较多，相信有着大量的客户群和现货量作为基础，叠加国家政策支持，在持仓量和交割量方面超过豆一期货也只是时间问题。”　　“冷品种”逆袭记　　“国内原油期货上市后，一直想参与进去，无奈账户资金有限，直到7月中旬保税380燃料油期货上市，才有幸参与了一把！”投资者初先生向记者说道。　　与初先生一样，近半个月时间以来，不少投资者将目光聚焦在保税380燃料油期货上，以期通过参与燃料油期货实现曲线投资原油期货，因此，燃料油期货已被称为“小原油”期货。　　自7月16日国内保税380燃料油期货上市以来，成交量急剧放大。截至7月27日，燃料油期货累计成交量达300.28万手，持仓量为13.49万手。　　值得一提的是，7月25日，燃料油期货主力1901合约一度创下上市以来新高水平3203元/吨，当日成交量达85.45万手，持仓量升至逾13.14万手，双双创下上市以来最高水平。 　　不仅如此，7月后半月以来，农产品中稻谷期货也呈现活跃之势，早籼稻、粳稻、晚籼稻期货主力合约均出现冲高回落，其中早籼稻、粳稻期货一度涨停。截至7月27日，早籼稻期货成交量、持仓量分别为3480手、1456手，较7月16日的16手、104手出现显著增长；晚籼稻期货成交量、持仓量分别为34574手、8882手，7月16日当日为254手、440手；粳稻期货成交量、持仓量分别为1210手、650手，而7月16日分别零手、2手。 　　豆二期货交投亦逐渐转暖。截至7月27日，豆二期货成交量为29.66万手，持仓量为15.84万手，而去年7月27日，该合约成交量、持仓量均为零手。 　　“从保税380燃料油期货挂牌交易和去年大商所调整豆二期货合约规则之后的交易情况来看，原先成交清淡或者基本上没有成交的品种再次焕发了新机。”宝城期货金融研究所所长程小勇向中国证券报记者表示，这样的情况反映出原先的期货合约并不能够反映现货市场结构，或者合约设计不合理，满足不了现货市场的风险管理需求。                                            (责任编辑：DF309)"
