"标题","正文"
"热卷：4100-4200区间内逢低做多","　　1、基本面：热卷当前现货基本面一般，唐山限产政策特别是上周短期停产消息影响，产能受到较大抑制，短期供应压力减弱，最新社会库存再次回落，钢厂库存则继续反弹积累；中性。 　　2、基差：热卷现货价4260，基差88，现货略升水期货；中性 　　3、库存：全国33个主要城市库存211.25万吨，环比减少0.71%，同比减少4.01%，偏多。 　　4、盘面：热卷主力在20日线上方，20日线朝上；偏多 　　5、主力持仓：热卷主力持仓空增；偏空。 　　6、结论：本周首日期货价格仍维持高位震荡，现货价格走平，目前价格处于短期高位不宜直接追多，操作上热卷1810建议短线在4100-4200区间内逢低做多。                                            (责任编辑：DF318)"
"热卷：继续上涨空间不大","　　1、基本面：热卷当前现货基本面一般，但受环保政策特别是唐山新一轮限产政策影响，产能受到较大抑制，短期供应压力减弱，不过最新社会库存和厂库继续反弹积累；中性。 　　2、基差：热卷现货价4230，基差179，现货升水期货；偏多 　　3、库存：全国33个主要城市库存212.77万吨，环比增加2.47%，同比减少4.12%，中性。 　　4、盘面： 热卷主力在20日线上方，20日线朝上；偏多 　　5、主力持仓：热卷主力在20日线上方多减；偏多。 　　6、结论：昨日期货价格高位有所回落，但现货价格基本走平，目前短期继续上涨空间不大，有小幅调整需求，不过总体仍以多头为主，操作上建议短线在4000-4100区间内逢低做多。                                            (责任编辑：DF318)"
"热卷：短线在4030-4130区间内逢低做多","　　1、基本面：热卷当前现货基本面一般，但受环保政策特别是唐山新一轮限产政策影响，产能受到较大抑制，短期供应压力减弱，不过最新社会库存和厂库继续反弹积累；中性。 　　2、基差：热卷现货价4230，基差150，现货升水期货；偏多 　　3、库存：全国33个主要城市库存212.77万吨，环比增加2.47%，同比减少4.12%，中性。 　　4、盘面： 热卷主力在20日线上方，20日线朝上；偏多 　　5、主力持仓：热卷主力在20日线上方多减；偏多。 　　6、结论：本周首日继续维持高位，且有所上涨，但目前短期继续上涨空间不大，操作上建议短线在4030-4130区间内逢低做多。                                            (责任编辑：DF318)"
"西安热轧：价格平稳 成交一般","　　17日西安市场热轧板卷价格平稳，市场成交较淡。截止发稿时，主导钢厂普卷主流价格4350元/吨，开平板主流价格4300元/吨左右，厚规格如10mm、12mm开平板价格略高，低合金卷板主流价格4470元/吨。 　　今日，西安市场热轧板卷价格保持平稳，无太大变化。从市场上了解到，自从价格上涨之后，西安地区仅是上涨那两天出货相对尚好，后期成交继续走弱。现在每日大户商家出货量仅在一二百吨，小户商家更少。一方面，是目前国家环保政策趋严，一些小的机械加工企业受此影响停工，市场需求减少。另一方面，则是目前已经到了夏季，本身天气炎热，工程进度缓慢，需求更加下降。面对如今清淡的市场行情，西安市场商家多是采取减少订货，来规避市场风险。如此一来，本地市场资源量也就越来越少，库存量继续下降。据不完全统计，现在西安市场热轧板卷库存量约在1.8万吨。 　　综合来看，预计短期内，西安市场热轧板卷价格多是以稳为主，商家需谨慎。                                            (责任编辑：DF318)"
"热卷：短线3800-4000区间逢低做多","　　1、 基本面：热卷当前现货基本面一般，但受环保政策特别是唐山新一轮限产政策影响，产能受到较大抑制，短期供应压力减弱，市场心态提振；偏多。 　　2、 基差：热卷现货价4210，基差282，现货升水期货；偏多 　　3、 库存：全国33个主要城市库存208.35万吨，环比增加1.08%，同比减少7.62%，中性。 　　4、 盘面：热卷主力在20日线上方，20日线向上；偏多。 　　5、 主力持仓：热卷主力持仓多翻空；偏多。 　　6、结论：本周受唐山限产消息影响热卷期现货价格反弹至前期高位，预计本周行情仍以震荡偏强为主，短线3800-4000区间逢低做多。                                            (责任编辑：DF318)"
"宁波热卷：暂稳观望","　　11日，热卷期货震荡运行，市场报价暂稳观望。截至发稿，4.5-11.75*1500mm宁钢、鞍钢、日照主流报价4260-4280元/吨，日照宽卷报价4300元/吨，2.0-3.0*1250mm宁钢、通钢、鞍钢报4340-4480元/吨，与上一交易日价格相比持平。周初唐山地区限产消息影响，期货大幅上涨，现货也迎来了止跌反弹的机会。出货方面，周一、周二出货顺畅，市场交易氛围良好。综上所述，宏观不稳定因素对期货影响较大，预计短期内市场价格震荡运行。                                            (责任编辑：DF318)"
"热卷：基本面不如螺纹","　　1、 基本面：热卷本月总体表现强于往年同期，汽车挖掘机销量均好于预期，但7月预计增速将有所逐步下滑，受近期环保政策出台影响，市场信心有所提振；中性。 　　2、 基差：热卷现货价4200，基差338，现货升水期货；偏多 　　3、 库存：全国33个主要城市库存208.35万吨，环比增加1.08%，同比减少7.62%，中性。 　　4、 盘面：热卷主力在20日线下方，20日线向下；偏空。 　　5、 主力持仓：热卷主力持仓多翻空；偏空。 　　6、结论：本周热卷期现货价格继续走平，期货价格受环保因素影响有所反弹，但库存继续反弹，基本面不如螺纹，本周短线建议3800-3900区间操作。                                            (责任编辑：DF318)"
"重庆冷轧：需求较差 价格下跌","　　4日重庆市场冷轧板卷价格震荡偏弱运行，主流成交一般。截至发稿时：攀钢1.0mm*1000*2000的冷轧板报4550元/吨，1.0mm*1250*C冷轧板卷报4540元/吨；柳钢1.0mm*1250*C冷轧板卷报4520元/吨。　　今日重庆地区冷轧小幅下跌，商家心态恐慌。目前重庆地区需求较差，库存较高，加上重庆地区进入高温天气，下游陆续将开始休高温假，对目前重庆偏弱的冷轧需求更是雪上加霜，商家出货压力较大，市场出现竞相降价出货的情况。预计明日重庆地区冷轧价格或将震荡偏弱为主。                                            (责任编辑：DF318)"
"热卷：建议3800-3950区间操作","　　1、 基本面：热卷本月总体表现强于往年同期，汽车挖掘机销量均好于预期，但本月开始需求有所逐步下滑，且热卷产能增长大于螺纹，库存本周继续反弹；偏空。 　　2、 基差：热卷现货价4230，基差304，现货升水期货；偏多 　　3、 库存：全国33个主要城市库存206.13万吨，环比增加2.47%，同比减少12.97%，中性。 　　4、 盘面：热卷主力在20日线上方，20日线向上；偏多。 　　5、 主力持仓：热卷主力持仓多增；偏多。 　　6、结论：上周热卷期货价格在回调之后有小幅反弹，目前基本面逐渐走弱，库存持续增加，后续反弹空间不大，建议3800-3950区间操作。                                            (责任编辑：DF318)"
"银川热轧：暂稳观望 市场出货尚可","　　28日银川市场热轧板卷暂稳观望，目前现货约4250元/吨，较昨日基本持平。另外，今日包头区域热轧约4150元/吨，较昨日涨20元/吨。但本地市场出货尚可，且卷板库存略大，市场仅是持稳报价。截止发稿时，市场上酒钢、八钢产4.75mm热轧板卷现在主流报价在4250元/吨左右，2.75mm热轧卷板主流报价4420元/吨左右。　　今日远期市场全天偏强运行，现货市场出货尚可，今日主流区域卷板价格持稳运行，河北、天津等区域主流价格维持在4150-4200元/吨左右。资源方面，目前市场卷板库存偏高，规格基本齐全。银川本地市场出货尚可，多数商户出货100吨左右。资源方面，据悉，目前市场资源主要以酒钢、八钢资源为主。据不完全统计，现货市场库存量保持在0.45万吨左右，与上周同比有小幅增加，主要是前期酒钢及八钢资源发货。另外，从需求面来看，今年银川区域板材需求尚可，主要是今年宁夏区域风电投资陆续恢复。综合来看，目前银川市场库存较以往依然偏高。预计短时间内仍以暂稳运行为主。　　综合来看，受市场库存压力依然偏高及需求恢复的影响下，预计短期内现货市场以震荡运行为主。                                            (责任编辑：DF318)"
