"标题","正文"
"8月2日燃料油为4611.43元/吨","　　8月2日，燃料油参考价为4611.43元/吨，与8月1日持平。                                            (责任编辑：DF380)"
"7月30日宁波中燃燃料油报价平稳","　　生意社获悉，7月30日，宁波中燃船舶燃料有限公司燃料油180cst自提低硫报价4650元/吨，高硫报价4600元/吨，燃料油120cst自提低硫报价4700元/吨，高硫报价4650元/吨，企业走货正常。                                            (责任编辑：DF062)"
"7月30日秦皇岛中燃燃料油报价平稳","　　生意社获悉，7月30日中国船舶燃料供应秦皇岛公司燃料油180cst油库自提，低硫报价4700元/吨，高硫报价4650元/吨，燃料油120cst油库自提，低硫报价4800元/吨，高硫报价4750元/吨，企业走货正常。                                            (责任编辑：DF062)"
"修改合约规则适应实体经济需求 “冬病夏治”边缘化期货品种“入伏”","摘要            “这些品种之前我都不看，但最近价格波动比较大，成交量也起来了，我才把它们加入到自选品种里重点关注了。”资深期货投资人安女士说。                             　　“这些品种之前我都不看，但最近价格波动比较大，成交量也起来了，我才把它们加入到自选品种里重点关注了。”资深期货投资人安女士说。　　安女士口中所说的品种，因长期交投十分清淡，被业内称作为“冷品种”，包括燃料油、豆二、线材、油菜籽、普麦、稻谷期货、胶合板期货等。不过，最近，燃料油、豆二、稻谷期货等品种出现复活势头，不仅成功吸引资金关注，还有“走红”的迹象。　　分析人士表示，近年来，交易所经过不断深入调研，寻找症结所在并采取改进措施，显著提升了燃料油、豆二期货交投，建议交易所继续做好其他“冷品种”维护工作的同时积极做出改变，以便更好地服务实体经济。　　细心呵护谨慎参与　　对于刚刚逃出“冷宫”的品种，在投资方面有何建议？　　程小勇表示，对于逐渐转暖的期货“冷品种”投资来说，一方面，需行业加大对产业链的分析和调研，以便通过供需基本面来捕捉投资机会；另一方面，需对修改合约后的规则进行充分了解，不要进行过度投机。否则，可能会导致好不容易焕发活力的“冷品种”再次遭遇严厉调控，这样既不利于服务产业，也不利于企业进行风险对冲。 　　浙商期货研究中心能化高级研究员朱展天也认为，投资者在参与这些品种交易时要谨慎。在“冷品种”逐步转暖发展的过程中，期货品种的交易量将伴随着现货市场的风险管理需求而增大，现货市场的情况也将反应在期货市场上。因此，投资者需结合期现货市场的情况，做好风险管理。　　这对于其他仍处于“冷宫”的品种来说，有何借鉴意义？　　“燃料油、豆二期货的再次活跃，主要在于期货合约规则的改变，燃料油更换了交割品种，而豆二期货则是调整了交割质量标准。对于那些仍旧不活跃的期货品种，建议交易所以及相关部门积极进行调研论证。”朱展天表示，以线材为例，品种设计落后于经济发展，且交割品为高线，但在实际生产和贸易流通中，普线较为普遍，加之螺纹钢期货冲击，导致线材持仓量和交易量不断下降。因此，对于不活跃期货品种，交易所需做好品种维护工作的同时积极做出改变，听取现货企业意见，提高企业与投资者的参与度，更好地服务实体经济。 　　在程小勇看来，燃料油期货、豆二期货合约修改合约、规则等重新激发活力，对于其他“冷品种”来说，具有很强的借鉴意义。根据现货供需结构变化、产需变化，修改合约文本、标的、质量标准和交割区域等有利于“冷品种”品种重生。例如，胶合板和稻谷期货成交不活跃，同样存在合约设计不合理问题。不过，部分商品由于品级等无法统一或者现货市场化不够，导致无法设计成为标准化期货合约是当前成交不活跃的最大原因。　　谁唤醒了“睡美人” 　　何种因素促使期货“冷品种”逃出冷宫？　　“从燃料油、豆二期货合约起死回生来看，修改、优化合约或者调整交割品种是拯救‘冷品种’的有效方法。”程小勇表示。　　以燃料油期货为例，程小勇表示，原先的燃料油期货合约标的物为发电用燃料油，修改后的燃料油期货合约为保税380燃料油(报税船用燃料油)。船供油市场大体可以分为内贸完税船供油市场和保税船供油市场两类。随着我国对外贸易的稳定增长，作为远洋运输的重要消费品，保税380船用燃料油已逐渐成为市场的主要消费品种，内贸船用燃料油不足以反映燃料油市场的价格变动。2009年起，受燃料油加征消费税影响，现货市场消费结构发生变化，发电用燃料油期货市场规模随之逐渐萎缩，原先燃料油的期货品种服务实体企业的功能无法有效实现。因此，保税380船用燃料油挂牌交易之后，吸引了产业客户积极参与，投机也随之增多。 　　浙商期货研究中心能化高级研究员汪文林表示，与原油期货类似，国内380燃料油期货可以有国外成熟的市场作借鉴。目前，新加坡燃料油市场为全球380燃料油的定价中心，其拥有庞大的燃料油现货市场、普氏公开市场和纸货市场。由于国内对新加坡燃料油保持较高的进口依存度，加上地理位置因素，可以使内外盘保持非常高的联动性，因此对于形成合理的期货价格有一定的指引意义，也可以提升市场认知度，方便投资者理性参与交易。因此，对于期货中的“冷品种”来说，实质在于市场的接受度不够高，受政策约束小，而易于贸易环节流通、市场认知度高的品种更容易活跃，对于驱使期货品种的活跃性有较高的影响。 　　对于豆二期货来说，浙商期货研究中心农产品高级研究员向博表示：“此前豆二期货不活跃的主要原因是交割不通畅，使得许多国内压榨企业不得不选择在芝加哥商品交易所(CBOT)市场上进行套保，但这种方式受到汇率、海运费、升贴水等影响，在实际操作过程中也会遇到较多的麻烦。目前，流入我国的进口大豆数量节节攀升，快要达到一亿吨了，进口大豆已成为压榨的主要原料，而数量不到两千万吨的国产大豆基本上不作为压榨使用。”　　在这种情形下，提高豆二期货活跃度势在必行，通过检疫部门和大商所的共同努力，自2017年5月31日，1805合约开始采用新合约规则，使得进口大豆的期货交割变得简洁、便利，交割制度、交割标准、交割区域，包括合约月份等都有所优化，使得其与现货市场联系得更加紧密。　　“修改后的豆二期货合约符合了现货企业的风险管理需求，产业客户因此积极参与。”程小勇表示。　　从交投方面来看，向博表示：“从今年初开始，豆二期货活跃度就有所起色，而这次外部扰动事件更是加快了其活跃的步伐，成交量方面已超过豆一期货。但就目前而言，投机盘还较多，相信有着大量的客户群和现货量作为基础，叠加国家政策支持，在持仓量和交割量方面超过豆一期货也只是时间问题。”　　“冷品种”逆袭记　　“国内原油期货上市后，一直想参与进去，无奈账户资金有限，直到7月中旬保税380燃料油期货上市，才有幸参与了一把！”投资者初先生向记者说道。　　与初先生一样，近半个月时间以来，不少投资者将目光聚焦在保税380燃料油期货上，以期通过参与燃料油期货实现曲线投资原油期货，因此，燃料油期货已被称为“小原油”期货。　　自7月16日国内保税380燃料油期货上市以来，成交量急剧放大。截至7月27日，燃料油期货累计成交量达300.28万手，持仓量为13.49万手。　　值得一提的是，7月25日，燃料油期货主力1901合约一度创下上市以来新高水平3203元/吨，当日成交量达85.45万手，持仓量升至逾13.14万手，双双创下上市以来最高水平。 　　不仅如此，7月后半月以来，农产品中稻谷期货也呈现活跃之势，早籼稻、粳稻、晚籼稻期货主力合约均出现冲高回落，其中早籼稻、粳稻期货一度涨停。截至7月27日，早籼稻期货成交量、持仓量分别为3480手、1456手，较7月16日的16手、104手出现显著增长；晚籼稻期货成交量、持仓量分别为34574手、8882手，7月16日当日为254手、440手；粳稻期货成交量、持仓量分别为1210手、650手，而7月16日分别零手、2手。 　　豆二期货交投亦逐渐转暖。截至7月27日，豆二期货成交量为29.66万手，持仓量为15.84万手，而去年7月27日，该合约成交量、持仓量均为零手。 　　“从保税380燃料油期货挂牌交易和去年大商所调整豆二期货合约规则之后的交易情况来看，原先成交清淡或者基本上没有成交的品种再次焕发了新机。”宝城期货金融研究所所长程小勇向中国证券报记者表示，这样的情况反映出原先的期货合约并不能够反映现货市场结构，或者合约设计不合理，满足不了现货市场的风险管理需求。                                            (责任编辑：DF309)"
"7月27日上海中燃燃料油报价平稳","　　7月27日，上海中燃船舶燃料有限公司燃料油180cst自提低硫报价4680元/吨，高硫报价4630元/吨，燃料油120cst自提低硫报价4730元/吨，高硫报价4680元/吨，企业走货正常。                                            (责任编辑：DF314)"
"7月27日舟山中燃燃料油报价平稳","　　7月27日，中燃舟山船舶燃料供应公司燃料油180cst油库自提，低硫报价4500元/吨，高硫报价4450元/吨，燃料油120cst油库自提，低硫报价4550元/吨，高硫报价4500元/吨，企业走货正常。                                            (责任编辑：DF314)"
"7月27日秦皇岛中燃燃料油报价平稳","　　7月27日中国船舶燃料供应秦皇岛公司燃料油180cst油库自提，低硫报价4700元/吨，高硫报价4650元/吨，燃料油120cst油库自提，低硫报价4800元/吨，高硫报价4750元/吨，企业走货正常。                                            (责任编辑：DF314)"
"7月27日盘锦鹏瀚燃料油报价平稳","　　7月27日，盘锦鹏瀚石油化工科技有限公司燃料油180cst自提低硫报价4350元/吨，高硫报价4300元/吨，燃料油120cst自提低硫报价4400元/吨，高硫报价4350元/吨，企业走货正常。                                            (责任编辑：DF314)"
"7月27日大连中燃燃料油报价平稳","　　7月27日，中国船舶燃料供应大连公司燃料油180cst自提低硫报价4850元/吨，高硫报价4790元/吨，燃料油120cst自提低硫报价4950元/吨，企业走货正常。                                            (责任编辑：DF314)"
"7月27日宁波中燃燃料油报价平稳","　　7月27日，宁波中燃船舶燃料有限公司燃料油180cst自提低硫报价4650元/吨，高硫报价4600元/吨，燃料油120cst自提低硫报价4700元/吨，高硫报价4650元/吨，企业走货正常。                                            (责任编辑：DF314)"
