"标题","正文"
"8月1日现货黄金、白银、原油、外汇短线交易策略","摘要            周三(8月1日)亚洲时段，美元指数暂时在布林线中轨下方徘徊，隔夜探底回升后，短线下行风险有所减弱，市场将观望晚间的经济数据和美联储利率决议；现货黄金仍在低位徘徊，短线走势缺乏明显方向；原油市场，API库存的意外大幅增加令市场对供给增加的担忧升温，油价面临进一步下行风险。                              　　周三(8月1日)亚洲时段，美元指数暂时在布林线中轨下方徘徊，隔夜探底回升后，短线下行风险有所减弱，市场将观望晚间的经济数据和美联储利率决议；现货黄金仍在低位徘徊，短线走势缺乏明显方向；原油市场，API库存的意外大幅增加令市场对供给增加的担忧升温，油价面临进一步下行风险。　　8月1日金融市场热点：　　1、美国7月份ADP就业数据；　　2、美国7月ISM制造业PMI数据；　　3、英国7月Markit制造业PMI；　　4、EIA原油库存和美国产量变化；　　5、美联储利率决议(次日凌晨)；　　6、国际贸易相关消息。　　8月1日现货黄金、白银、原油、外汇短线走势分析　　1、美元指数：　　解析：首先晚间将迎来美国ADP就业数据、ISM制造业PMI数据，目前市场预期虽然可能差于前值，但仍处于较高水平，只要数据不是特别差于预期，很难对美元产生较大的利空影响。　　其次，市场将重点关注次日凌晨的美联储利率决议，市场预期美联储可能会偏向鹰派，强化9月加息的信号，这有望给美元提供支撑。　　日线级别：震荡，MACD信号模糊，KDJ死叉有被破坏的迹象并有望在较低位置结成金叉，短线略微偏多，初步阻力在布林线中轨94.62附近，进一步阻力在上周高点94.91附近，布林线上轨阻力在95.32附近，至少需要顶破该位置，才能向上打破近期的震荡走势。　　下方继续关注布林线下轨93.93附近支撑，若意外失守该位置，则增加下行风险。(美元指数日线图)　　4小时级别：震荡，MACD和KDJ重新结成金叉，汇价初步收复布林线中轨，短线略微偏多，有望上探布林线上轨94.92附近阻力，如果进一步上破，则可能会重新上探前期高点95.65附近阻力。　　下方继续关注布林线下轨94.09附近支撑，若意外失守该位置，则增加下行风险；另外10均线94.39附近也存在一些支撑，若失守该位置，则削弱短线看涨信号。(美元指数4小时图)　　阻力：94.75；95.91；95.32；95.65；96.02；　　支撑：94.39；94.09；93.93；93.70；93.16。　　结论：震荡，短线略微偏多。　　2、现货黄金：　　解析：临近美联储利率决议，市场存在较强的观望情绪，考虑到近期美国数据整体依然比较乐观，美联储可能会为9月份加息做一些铺垫，这有望给美元提供支撑，并对金价形成压制；不过，还需要留意利率决议后空单回补的可能性，技术面金价整体仍处于低位震荡，短线走势并不明朗。　　日线级别：低位震荡；MACD低位粘合，底背离后勉强金叉运行，KDJ低位粘合，金叉信号较弱，金价上方还受到下行趋势线的压制，中线下行风险仍未完全消除，不过隔夜金价探底回升后略微削弱了短线下行风险，金价仍有可能重新试探近期震荡区间的上轨1236附近阻力，能否上破该有待观察。　　下方继续关注近期低点1211.42附近支撑，若跌破该位置，则可能会分别试探1204.91和1200整数关口附近支撑。(现货黄金日线图)　　4小时级别： 震荡，短线方向比较模糊，可以留意布林线轨道1216.88-1230.74区域的突破情况。(现货黄金4小时图)　　阻力：1227.27；1230.74；1236.54；1245.09；　　支撑：1216.88；1211.42；1204.91；1200.00。　　汇通网短线操作建议：观望。　　3、现货白银：　　日线级别：低位震荡，MACD初步结成金叉，但银价依然受到下行趋势线的压制，短线方向依然模糊，建议留意15.16-15.67区域的突破情况，前者是7月19日创下的近一年低位，后者是近两周高点和20日均线的双重阻力所在。　　相对而言，冲高回落的可能性略高，有可能会假突破16.67附近阻力后再重回跌势，7月5日高点阻力在15.90附近，若意外上破该位置，则增加短线看涨信号。(现货白银日线图)　　4小时级别：震荡，技术指标信号模糊，建议留意布林线轨道15.35-15.60区域的突破情况。(现货白银4小时图)　　阻力：15.67；15.90；16.04；16.23；　　支撑：15.30；15.16；15.00；14.90。　　结论：短线震荡，中线依然偏空。                                            (责任编辑：DF318)"
"白银：短期还将继续磨底","　　1、基本面：今日日本央行将公布利率决议及展望报告，此前日本央行月内第三次干预。预期将调整货币政策；中性 　　2、基差：白银期货3688，现货3613，基差-75，贴水期货；偏空 　　3、库存：上海期货库存1375886千克，减少1913千克；偏多 　　4、盘面：20日均线向下，k线在20日均线下方；偏空 　　5:主力持仓：白银主力空增；偏空 　　6、结论：美元走弱，小幅上涨，继续在3700震荡，但未站稳3700，短期还将继续磨底，AG1812:3700短线做多，3680止损                                            (责任编辑：DF318)"
"FOMC可能会对利率“保持不变” 美联储成本周“最无趣”央行","摘要            周四凌晨2:00，美联储将公布利率决议。BBH认为FOMC很可能“会对利率保持谨慎态度”。道明证劵表示，七国集团中的部分央行本周将会路面，美联邦公开市场委员会可能不一定是市场上最有新闻价值的。交易者将关注哪些银行是强硬的，因为这会影响美元，从而影响黄金。                             　　布朗兄弟哈里曼公司BBH在周一(7月30日)发布的报告中表示，联邦公开市场委员会FOMC很可能“会对利率保持谨慎态度，而不会在本周的公报中发布任何新的措辞，这将”打击对政策持续逐步正常化的预期。 　　BBH称，为期两天的会议将于周二开始，政策声明将于周三下午公布。 “事实上，声明本身只需要微小的调整，”BBH说。 “它对6月份提供的经济的总体评估不需要进行大量调整以保持其相关性。其风险判断可能会保留大致平衡前景。” 　　BBH补充说，政策制定者可能会承认贸易紧张局势升级给经济带来一些风险。 “由于联邦公开市场委员会将等到9月下旬会议再次加息，届时会有最新预测和新闻发布会，因此几乎没有异议。然而，区域主席对经济特征的异议还有一些先例。亚特兰大联储主席Bostic似乎是投票FOMC成员中最担心倒转曲线风险的人，可能是这样一个潜在的候选人。” 　　道明证券在周一(7月30日)发布的报告中表示，七国集团中的部分央行本周将会路面，美联邦公开市场委员会可能不一定是市场上最有新闻价值的。交易者将关注哪些银行是强硬的，因为这会影响美元，从而影响黄金。 　　道明称，日本央行，英国央行和美联储政策制定者都会举行会议。 　　“因为市场对日本央行和英国央行的影响有所期待，美联储可能是本周最无趣的故事。” 　　“我们认为日本央行不会提供任何有意义的政策转变，尽管政策上已经无法实施，日本央行的下一步行动就是减少而不是实施更多刺激措施。。。。。。。预计英国央行将加息，但英镑将不得不应对英国脱欧的头条新闻和更广泛的美元趋势。我们认为美元已经达到峰值的乐观态度，使英镑有一些受益于加息的空间，特别是估值看起来很干净。”                                            (责任编辑：DF318)"
"白银投资晨报：美联储决议前美指踌躇不前 白银走势或陷入胶着","摘要            周一(7月30日)亚市盘中，现货白银盘震荡交投于15.48美元附近，银价上周整体走势震荡，跌势放缓，因美元指数涨势暂停。本交易日，美元指数仍是白银走势的主要驱动因素，因此投资者需重点关注美国6月季调后成屋签约销售指数月率。                             　　周一(7月30日)亚市盘中，现货白银盘震荡交投于15.48美元附近，银价上周整体走势震荡，跌势放缓，因美元指数涨势暂停。本交易日，美元指数仍是白银走势的主要驱动因素，因此投资者需重点关注美国6月季调后成屋签约销售指数月率。 　　技术面分析： 　　美元 　　本周将公布美联储利率决议，从市场预期来看，美联储此次无望加息。从技术面来看，自6月份以来，美元指数与MACD形成一个顶背离形态，这在一定程度上暗示，美元存在进一步回调的可能，而时间节点很有可能在美联储决议之后，不过深度的回调需跌破94整数关的支撑。本交易日，美元指数整体倾向震荡。 　　白银 　　天图显示，现货白银跌势放缓，云图显示，先行B线走势趋平，下行云跌势有放缓的迹象。此外，MA均线也出现一些好转的迹象，5日均线有上穿10日均线的趋势。MACD有构成零轴之下金叉的迹象，且下行动能也极大的收缩。不过白银的持续反弹还需等待更多信号的验证。 　　4小时图显示，银价正在测试60周期均线的压制，短线涨势可能受到一定的阻碍。MACD显示下行动大幅收缩，不过，MA均线显示，整体走势暂无明显方向，且银价正处于云层当中，短线或以震荡为主。 　　操作建议： 　　建议离场观望 　　基本面利好因素： 　　1、美股上周五收盘下跌，因大型科技公司发布疲弱业绩，导致科技板块大幅走低。标普500指数收盘下跌18.62点，跌幅0.66%，报2818.82点；纳斯达克指数收盘下跌114.80点，跌幅1.46%，报7737.42点；道琼斯指数收盘下跌76.00点，跌幅0.30%，报25451.06点。 　　2、上周五公布的美国第二季度PCE物价指数年化季率初值为1.8%不及预期的2.5%。 　　3、美国6月批发库存月率初值为0，不及预期的0.3%。 　　基本面利空因素： 　　1、美国商务部周五公布数据显示，美国第二季度实际GDP年化季率初值增长4.1%，虽不及预期增长4.2%，但仍为2014年以来最佳表现。 　　2、上周五公布的美国7月密歇根大学消费者信心指数终值为97.9，好于经济学家预期的97.1。 　　北京时间8:17，现货白银报15.48美元/盎司。                                            (责任编辑：DF318)"
"欧元倒“V”逆转提振美元  地缘风险缓和下白银大跌","　　 周四(7月26日)公布的两大重要经济数据表现不佳，但美元走势并未受到影响，在欧洲央行利率决议后再度走强，白宫高官和特朗普对GDP数据的乐观评论也给美元带来提振，美元指数收于94.78，涨幅0.59%，现货白银承压大跌1.46%。 　　周五(7月27日)亚市早盘，现货白银震荡上涨，目前录得15.390美元/盎司，涨幅0.33%。 　　欧银按兵不动欧元倒“V”逆转 　　昨晚欧洲央行在利率决议上如期按兵不动，维持三大基准利率不变，至少至2019年夏季。欧洲央行还将维持每月300亿欧元购债规模至2018年9月，2018年9月后将每月购债规模降至150亿欧元，并将于2018年12月结束购债。 　　随后欧洲央行行长德拉基召开的新闻发布会也没有出现任何新鲜内容，欧元在德拉基讲话过程中上演“倒V”反转，提振美元。 　　德拉基在会上表示，央行并未讨论再融资，且无需改变利率前瞻性指引。不过，关于此前欧洲央行的加息时间存在各个语言版本的解读问题，德拉基强调称，只有英文版本的声明才能传达欧洲央行的信息。 　　美经济数据表现不佳 　　美国至7月21日当周初请失业金人数录得21.7万人，略高于预期的21.5万人；美国6月耐用品订单月率录得1%，远低于预期的3.0%，对美元影响不大。                                             (责任编辑：DF318)"
"7月27日现货黄金、白银、原油、外汇短线交易策略","摘要            周五(7月27日)美元指数暂时在一周高位附近徘徊，欧洲央行的偏鸽派利率决议和市场对美国GDP的乐观预期给汇价提供支撑，美元在GDP数据出炉前略微偏多；现货黄金勉强守住1220关口，整体仍处于低位震荡走势；原油市场，油价本周一直试图上攻，但即使EIA原油库存传来利好，油价仍承压于70整数关口，中线面临重回跌势的风险。                                　　周五(7月27日)美元指数暂时在一周高位附近徘徊，欧洲央行的偏鸽派利率决议和市场对美国GDP的乐观预期给汇价提供支撑，美元在GDP数据出炉前略微偏多；现货黄金勉强守住1220关口，整体仍处于低位震荡走势；原油市场，油价本周一直试图上攻，但即使EIA原油库存传来利好，油价仍承压于70整数关口，中线面临重回跌势的风险。 　　7月27日金融市场热点： 　　1、美国二季度GDP数据； 　　2、特朗普和国际贸易相关动态； 　　3、欧洲央行利率决议的影响发酵； 　　4、英国脱欧谈判相关消息； 　　5、美国原油钻井数据变化。 　　7月27日现货黄金、白银、原油、外汇短线走势分析 　　1、美元指数： 　　解析：欧洲央行行长德拉基讲话与6月份并无太大区别，整体措辞依然偏向鸽派，给美元上涨提供机会，而且市场对美国二季度GDO数据的预期非常乐观，有望录得2006年来最佳表现，这也给美元提供支撑，市场将关注数据的具体表现。 　　日线级别：震荡，汇价上一交易日在94整数关口附近获得支撑后展开反弹，目前收复了布林线中轨94.62阻力，KDJ死叉和MACD死叉都有被破坏的迹象，削弱了短线看空信号，上方继续关注7月19日低点94.90附近注，如果升破该位置，则有望分别试探95.32和95.65阻力，分别是布林线上轨和上周高点阻力所在。 　　下方布林线中轨已经转化为初步支撑，布林线下轨支撑在93.92附近，若意外跌破该位置，则增加下行风险。 (美元指数日线图)　　4小时级别：震荡，汇价在布林线下轨受到支撑后展开反弹，目前正好面临布林线上轨阻力，而且K线出现了一根十字星，削弱了短线上涨动能，关注布林线中轨94.51附近支撑，如果失守该位置，则汇价可能会重新试探布林线下轨94.14附近支撑。 　　上方关注布林线上轨94.88附近阻力，如果升破该位置，则有望开启新一轮涨势。 (美元指数4小时图)　　阻力：94.90；95.32；95.65；96.02； 　　支撑：94.51；94.06；93.79；93.16。 　　结论：震荡，留意94.51-94.90区域突破情况，短线偏多。 　　2、现货黄金： 　　解析：金价本周基本处于震荡走势，由于市场对美二季度GDP数据的预期比较乐观，这令金价承压，但市场对该预期已经有所消化，下方仍有一定的逢低买盘，金价需要突破1218-1236的震荡区间才能选择进一步的方向。 　　日线级别：震荡，KDJ低位金叉信号有被破坏的迹象，MACD低位金叉已经被破坏，金价受到下行趋势线压制，短线重回跌势的风险有所增加，关注7月24日低点1218.07附近支撑，如果失守该位置，则增加下行风险；进一步支撑在7月19日低点1211.42附近。 　　上方关注下行趋势线阻力，目前大约在1230.70附近，若意外顶破该位置，则削弱短线下行风险，另外10日均线1227.61附近也存在一些阻力；强阻力依然在7月13日低点1236.53附近。 (现货黄金日线图)　　4小时级别：低位震荡，MACD和KDJ死叉运行，短线略微偏向下行，关注布林线下轨1219.16附近支撑，如果失守该位置，则可能会重新试探前期低点1211.42附近支撑。 　　上方关注布林线中轨1226.78附近阻力，如果金价坚守下轨支撑后反弹至该位置上方，则可能会重新试探布林线上轨1234.21附近阻力。 　　中线走势建议留意1218.07-1236.53区域的突破情况。 (现货黄金4小时图)　　阻力：1226.78；1230.70；1236.53；1239.12；1245.09； 　　支撑：1221.00；1218.07；1215.63；1211.42；1204.91。 　　汇通网短线交易策略：观望；激进的逢高做空，破位谨慎追空。                                            (责任编辑：DF318)"
"黄金行业：或迎来重大转折期","摘要            2018年，注定是不平静的一年。国际国内宏观环境复杂，数字革命、人工智能等新的机遇与逆全球化思潮等挑战相互交织，全球经济也将迎来新一轮的大发展、大变革、大调整。在此背景下，黄金再度引起市场关注。7月25日，由中国黄金协会与世界黄金协会共同主办的2018(第三届)中国国际黄金大会(下称大会)对当下黄金行业存在的机遇和面临的挑战展开了激烈讨论。                             　　2018年，注定是不平静的一年。国际国内宏观环境复杂，数字革命、人工智能等新的机遇与逆全球化思潮等挑战相互交织，全球经济也将迎来新一轮的大发展、大变革、大调整。在此背景下，黄金再度引起市场关注。7月25日，由中国黄金协会与世界黄金协会共同主办的2018(第三届)中国国际黄金大会(下称大会)对当下黄金行业存在的机遇和面临的挑战展开了激烈讨论。　　期货日报记者查阅资料了解到，近年来，多国央行持续扩大黄金储备，俄罗斯已连续四年增加黄金储备，并于今年2月超越中国成为全球第五大黄金储备国。此外，土耳其、哈萨克斯坦也在大量增加黄金储备。据中国黄金协会最新统计数据，截至2018年上半年，我国官方黄金储备为1842.57吨，为全球第六大黄金储备国。　　面对多个国家积极“吸金”，作为备受追捧的标的，投资者如何去挖掘黄金投资领域的机遇呢？放眼全球来看，美联储加息政策、叙利亚局势、伊核协议等错综复杂的国际因素都增加了黄金价格的不确定性。而我国随着金融去杠杆的深入，人们对各类投资理财均持观望态度，手握现金成为大众首选。同时，由于黄金价格长期窄幅振荡，特别是美元指数的强势表现，导致一些投资者对金价上涨缺乏信心。但世界黄金协会美国地区董事总经理约瑟夫·卡瓦托尼在大会上接受媒体采访时表示，投资人在面对地缘政治和市场动荡风险的时候，更希望选择稳定的资产，而具备高价值、高收益和高流动性的黄金就是不错的选择。同时，卡瓦托尼也表示，他已经发现有更多的机构投资人和散户都愿意考虑将黄金纳入自己的资产组合中。　　“近期，股票市场不算景气，房地产市场贯彻执行‘房子是用来住的，而不是用来炒的’总方针，P2P平台又‘爆雷’不断，把现金一直拿在手中肯定不是办法，因此，黄金投资产品成为人们避险和保值增值的投资选择，国内高端消费的持续复苏及二三线城市消费需求迅速崛起，将刺激黄金消费的增长。”一位黄金机构负责人向记者说。　　国务院发展研究中心与世界黄金协会联合发布的《中国黄金市场未来发展方向建议报告》预测，未来三十年，黄金供应可能会稍有减少，相反，在一个更加富裕、中产阶级人数更多且更加互联互通的世界里，金饰需求很可能将持续增长，同时，潜在的经济风险会让投资者继续被黄金所吸引。这意味着黄金行业在未来三十年仍将生机勃勃。　　机遇与挑战并存，国务院安全生产委员会成员、专家咨询委员会主任、中国黄金协会名誉会长王德学表示，一定要加大科技创新力度，加强关键技术的科技攻关，推进智能化开发，强化行业标准建设，提高产业发展的科技支撑能力；一定要牢固树立安全发展、绿色发展的理念，遵守国家安全环保法律法规和政策规范，加强安全环保工作，促进行业绿色、安全、健康发展；一定要改善管理、补齐短板、提质增效、扩大规模、再上水平；一定要致力于开发手段与水平、管理手段与水平、治理模式与格局的现代化；一定要加快“走出去”步伐，进一步推动黄金矿业的对外合作和黄金市场的国际化，讲究诚信，优势互补，合作共赢，共同开创全球黄金产业发展光辉灿烂、更加美好的明天。                                            (责任编辑：DF318)"
"白银技术分析：白银多头早盘再度发力 银价短线倾向看涨","摘要            周四(7月26日)亚市盘中，现货白银短线持续反弹，因美元指数回落继续逼近94整数关。小时图银价已经升破了200小时均线的阻力，短线走势看涨，但是从中长期来看，银价还未能确定持续反弹趋势，投资者需关注本周欧银决议以及美国GDP等数据，从而观察美指接下来将宽幅震荡还是展开中期回调。                             　　周四(7月26日)亚市盘中，现货白银短线持续反弹，因美元指数回落继续逼近94整数关。小时图银价已经升破了200小时均线的阻力，短线走势看涨，但是从中长期来看，银价还未能确定持续反弹趋势，投资者需关注本周欧银决议以及美国GDP等数据，从而观察美指接下来将宽幅震荡还是展开中期回调。 　　美元指数现测试60日均线的支撑，从技术面来看，美指已经转为看空，有效跌破94整数关将打开进一步下跌的空间，这很可能暗示美指的中期涨势将要结束。此外，投资者普遍不看好第三季度美指的走势，尤其是进入8月份，美指还将受到季节性因素的打压。本周最后两个交易日时美元指数分水岭，如果能够守住60日均线，那么美指仍有进一步走高的可能，反之则意味着美指将开启一波中期回调。 　　技术面解析： 　　天图显示，现货白银整体跌势暂缓，银价短线正在冲击23.6%回撤位。技术指标目前正在积极区域转变，MACD有零轴之下金叉的趋势，且下性动能持续收缩，这支持银价的反弹。此外，MA短期均线跌势暂停，5日均线掉头朝北且RSI也持续震荡上行。不过，从云图来看，下行云走势依旧较为疲软，且转折线仍未出现明显止跌的迹象，因此投资者需对白银的反弹抱以警惕。 　　4小时图显示，银价短线倾向反弹，RSI持续走高逼近超买水平，MACD显示上行动能不断扩大。目前银价受到60周期均线的支撑，且MA均线称反弹趋势，这暗示白银短线有进一步上行的空间。 　　日内观点：震荡上行 　　周内观点：看涨 　　关键阻力：15.67、15.85、15.98 　　关键支撑：15.43、15.31、15.15                                            (责任编辑：DF318)"
"白银晨报：欧美贸易协定落定美元重创 白银多头有望迈出关键一步","摘要            周四(7月26日)亚市盘中，现货白银盘小幅反弹至15.60美元附近，因美元指数持续下跌。由于欧盟和美国达成贸易协议，超出市场的普遍预期，因此美指大跌逼近94关口。目前，技术指标已经开始转为支持银价反弹，不过，暂时还不能确定银价能否持续上涨，投资者仍需关注周四欧银决议以及周五的美国GDP数据。                             　　周四(7月26日)亚市盘中，现货白银盘小幅反弹至15.60美元附近，因美元指数持续下跌。由于欧盟和美国达成贸易协议，超出市场的普遍预期，因此美指大跌逼近94关口。目前，技术指标已经开始转为支持银价反弹，不过，暂时还不能确定银价能否持续上涨，投资者仍需关注周四欧银决议以及周五的美国GDP数据。 　　技术面分析： 　　美元 　　美元指数现测试60日均线的支撑，从技术面来看，美指已经转为看空，有效跌破94整数关将打开进一步下跌的空间，这很可能暗示美指的中期涨势将要结束。此外，投资者普遍不看好第三季度美指的走势，尤其是进入8月份，美指还将受到季节性因素的打压。本周最后两个交易日时美元指数分水岭，如果能够守住60日均线，那么美指仍有进一步走高的可能，反之则意味着美指将开启一波中期回调。 　　白银 　　天图显示，现货白银进入反弹趋势，但是即将面临23.65这一初步阻力在15.67美元附近的压制。从技术指标来看，RSI震荡上行逼近中轴附近，尽管云图下行云走势依旧疲软，但是MACD有零轴之下金叉的趋势，且MA短期均线跌势也暂缓。这暗示银价有反弹的动力，但是未能完全排除下行的风险。 　　4小时图显示，银价目前交投于60周期均线上方，有望继续反弹。而5周期均线在升破40周期均线之后目前有望上穿60周期均线。银价目前已经进入云层当中，如果白银能够23.6%回撤位那么将进一步公布短线的涨势。 　　操作建议： 　　本交易日倾向逢低做多，15.55美元轻仓做多，止损15.50美元附近。 　　基本面利好因素： 　　1、美国与欧洲达成贸易协议为欧元及英镑带来支撑，加上市场避险情绪降温，美元指数大跌。 　　2、美国6月季调后新屋销售年化总数为63.1万户，不及经济学家预期的66.9万户，而美国6月季调后新屋销售年化月率为-5.3%，不及预期的-2.9%。 　　美国5月FHFA房价指数月率为0.2%，不及经济学家预期的0.3%。 　　3、德国7月Markit制造业PMI初值为57.3，大幅好于经济学家预期的55.5。 　　基本面利空因素： 　　1、标普500指数收盘上涨25.32点，涨幅0.9%，报2845.72点；道琼斯工业平均指数收盘上涨172.98点，涨幅0.69%，报25414.92点；纳斯达克指数收盘上涨91.28点，涨幅1.16%，报7932.05点。 　　2、美国7月Markit制造业PMI初值为55.5，好于经济学家预期的55.1。 　　3、10年期美国国债收益率小幅上升至2.97%。一周前为2.9%。 　　北京时间8:17，现货白银报15.47美元/盎司。                                            (责任编辑：DF318)"
"多重因素发酵 白银有望上探3800元/千克","摘要            贸易摩擦激化一方面为美国经济蒙上阴影，令美联储9月加息预期下滑，另一方面也促使避险情绪提升，资金向避险资产聚拢。叠加白银ETF持仓的屡创新高，白银短期上探3800元/千克可期。                             　　贸易摩擦激化一方面为美国经济蒙上阴影，令美联储9月加息预期下滑，另一方面也促使避险情绪提升，资金向避险资产聚拢。叠加白银ETF持仓的屡创新高，白银短期上探3800元/千克可期。 　　特朗普表示不希望美联储加息 　　特朗普表示美联储加息不应操之过急，欧央行量化宽松仍在继续，美联储连续加息行动导致美元欧元利差扩大，驱使美元独强。特朗普寄希望于美元汇率走弱，以增强美国商品竞争力，从而促进出口，抵消贸易摩擦的悲观预期。结合7月公布的美国6月就业数据我们发现，虽然非农就业人口增幅向好，季调后就业人口增加21.3万，但失业率却出现令人失望的回升，录得4.0%，同时平均时薪年率仅上涨2.7%不及预期。薪资增速波澜不惊，暗示未来通胀压力温和，叠加特朗普政府的贸易政策，将对就业和经济构成不稳定因素。 　　失业率上扬，薪资增速乏善可陈，暗示美国经济韧性下滑，若再失去一个相对宽松的货币导向，美国经济或面临失速危险。并且特朗普后续庞大的基建扩张计划也需要较为宽松的货币政策支撑。 　　短期国内白银市场供需失衡 　　上半年白银生产受环保限产影响产量下降。一季度受到寒冷天气及春节假期影响，国内银精矿主产地西北地区普遍停产休假，致使国内银精矿供应较为紧张，部分白银冶炼企业选择在春节后检修以待国内供给恢复，其他冶炼厂则积极采购国外精矿以弥补国内供给不足。 　　二季度环保风暴再起，白银主产区河南、云南受到环保“回头看”影响，冶炼厂纷纷被动限产，白银产量下滑推升现货升水。而且上半年银价低位徘徊，持货商出货意愿不高，存在一定惜售情绪。另一方面，虽然近期国际银价出现大幅下滑，但国际白银ETF持仓却持续增加，说明多头增持意愿较强。 　　总体来看，白银期价有望上探3800元/千克。                                    (原标题：白银有望上探3800元/千克)                                                (责任编辑：DF318)"
