"标题","正文"
"8月1日唐山国义建筑钢材盘中涨价信息","　　8月1日，唐山国义建筑钢材出厂价格调整，具体调整如下： 　　1、高线出厂价涨20元，HPB300材质8-10mm高线出厂价格4260元/吨，6.5mm加价40元/吨，含铬材质加价110元/吨，5.5mm加价120元/吨；Q195材质同价，HPB235材质减价10元/吨 　　2、盘螺出厂价涨20元，现8-10mm三级盘螺出厂价格4370元/吨，6mm加价130元/吨，抗震材质加价30元/吨；含铬材质加价70元/吨；以上价格为含税过磅。                                            (责任编辑：DF381)"
"沥青：预计近期沥青价格将震荡偏强","　　1、基本面：本周仅西南地区沥青价格上涨120元/吨，因降雨天气减少，出货量增加，主力炼厂两次推涨沥青价格；其他地区沥青价格基本稳定，部分炼厂成交保持优惠。近期国内部分地区沥青需求略有回升，但需求整体改善还比较有限，推涨价格动力不足。此外，尽管东北及山东部分炼厂的部分产能转至焦化，但近期焦化需求及价格走低，对沥青资源分流减弱。目前大部分地区沥青价格走稳，部分炼厂尚在执行前期合同，之余静等下游需求释放。中性。 　　2、基差：现货3285，基差-35，贴水期货；偏空。 　　3、库存：本周库存较上周上升1%为41%；中性。 　　4、盘面：20日线向上，期价在均线上方运行；偏多。 　　5、主力持仓：主力持仓净多，多增；偏多。 　　6、结论：预计近期沥青价格将震荡偏强。Bu1812:3370附近多单减持。                                            (责任编辑：DF318)"
"沥青：3336附近多单减持","　　 1、基本面：本周国内各地区沥青价格基本稳定，部分炼厂成交依然保持优惠。北方地区，华北及山东等地需求及出货依然清淡，沥青价格走势较弱，部分价格仍将保持低位震荡走势。南方地区，近期降雨天气减少，加上部分地区环保政策略有放宽，沥青需求有所回升，炼厂出货有改善，但需求集中释放仍需时日，贸易商采购积极性尚未提高，部分炼厂出货仍保持前期优惠政策，市场主流成交仍以底部价格为主。由于8月份南方雨季将结束，且进口沥青资源有减少的可能，以及受限于马瑞原油供应减少，部分地炼沥青产量可能缩减，市场供需面有向好趋势，近期部分炼厂或逐渐取消优惠政策，沥青价格有反弹的可能。偏多。 　　2、基差：现货3285，基差37，升水期货；偏多。 　　3、库存：本周库存较上周下跌1%为40%；中性。 　　4、盘面：20日线向上，期价在均线上方运行；偏多。 　　5、主力持仓：主力持仓净多，多减；偏多。 　　6、结论：预计近期沥青价格将震荡偏强。Bu1812:多单持有，3336附近多单减持。                                            (责任编辑：DF318)"
"07月15日沥青3402.20元/吨 60天上涨13.38%","　　沥青07月15日最新价格3402.20元/吨，最近60天上涨13.38%。 　　相关生产商有：国创高新(002377) 宝利国际(300135) 上海石化(600688)等。                                            (责任编辑：DF318)"
"沥青期价将继续维持在支撑位附近震荡","　　国际油价周五上涨约1%，因挪威和伊拉克的罢工行动打击供应，此前利比亚港口重新开放，且市场认为尽管美国进行制裁，伊朗仍可能出口一些原油。NYMEX8月原油期货收涨0.68美元或1%，结算价报每桶71.01美元。布伦特原油期货收高0.88美元或1.2%，结算价报每桶75.33美元。沥青夜盘期价探底回升，最低一度跌至3234元，目前3200-3250元的核心支撑区域依然有效，对于在该支撑位补回多单的投资者今日依然可以持有，今日期价将继续维持在支撑位附近震荡，止损暂设在3200元关口。                                            (责任编辑：DF318)"
"沥青暂缺乏上行动力","　　国际油价周四收盘几近持平，全天在涨跌中展开拉锯，因交易商正权衡供应面所释放的信号。NYMEX8月原油期货收跌0.05美元或0.1%，结算价报每桶70.33美元。布伦特9月原油合约上涨1.05美元或1.4%，结算价报每桶74.45美元。 　　沥青夜盘期价维持低位震荡，目前依然维持在3250元一线关口震荡，由于油价持续低位震荡，沥青暂缺乏上行动力，今日有望继续低位震荡走势，昨日如在3250元一线补回多单，今日可继续持有，止损暂设在3200元关口。                                            (责任编辑：DF318)"
"沥青：炼厂库存仍维持低位","　　近期沥青受到国内外原油市场下跌氛围的拉动有所价格有所走弱，沥青期货主力1812合约7月12日下午收盘下午收盘价3268元/吨，较前一日结算下跌52元/吨，跌幅1.57%。相较于原油跌幅扩大至7%的水平，沥青期价跌幅较小，炼厂利润修复仍是主线。从百川资讯昨日公布的当周炼厂开工率和库存数据来看，焦化料受到汽柴油价格的拉动有所走强，消化东北高标号沥青库存，带动全国整体库存走低。而重交沥青的主产区华东和山东地区的开工率和库存仍维持相对低位(30%-40%)，炼厂在沥青淡季以消化库存位置。 　　建议：短期区间震荡走势，逢低做多1812合约。 　　风险：委内瑞拉局势冲击油价减产联盟恢复原油产量                                            (责任编辑：DF318)"
"道路沥青：上半年价格涨势“犀利”下半年能否再创佳绩？","摘要            2018上半年国内道路沥青市场价格上涨势头犀利屡创佳绩，在众多利好因素支撑中外盘原油期货行情强势持续走高自然首当其冲，国内道路沥青生产企业高成本不断增长下，市场买涨氛围浓厚持续长达3个月之久创近四年上半年最好开局，同时沥青期货市场行情亦惊喜连连。与此同时，1-3月份进口沥青总数量较去年同期增长幅度高达21.60%，其中1月进口量创近十年高点。以下将从价格走势、产量变化、进出口情况、政策导向等方面来解读2018上半年道路沥青市场哪些新气象。                             　　2018上半年国内道路沥青市场价格上涨势头犀利屡创佳绩，在众多利好因素支撑中外盘原油期货行情强势持续走高自然首当其冲，国内道路沥青生产企业高成本不断增长下，市场买涨氛围浓厚持续长达3个月之久创近四年上半年最好开局，同时沥青期货市场行情亦惊喜连连。与此同时，1-3月份进口沥青总数量较去年同期增长幅度高达21.60%，其中1月进口量创近十年高点。以下将从价格走势、产量变化、进出口情况、政策导向等方面来解读2018上半年道路沥青市场哪些新气象。　　由图所示，2018年1-6月份整体价格走势较去年同期维持高位，据中宇资讯数据显示，2018上半年国内沥青均价2956元/吨，较去年同期2861元/吨，上涨95元/吨，涨幅达3.32%，其中价格走势分水岭主要在5-6月份，2018年同期价格继续呈现上升势头，而2017同期则出现下探行情，究其原因不外乎三个方面，首先，2018上半年外盘原油期货价格一路高歌上行且在5月中下旬价格创近几年新高，国内沥青生产企业以及贸易商看涨后期走势情绪高涨。其次，由于沥青市场价格上涨幅度较原油期货拉涨速率相对滞后，导致多数炼厂整体开工率偏低，尤其是2-4月份期间，部分主要沥青生产企业计划开工时间不断延时。最后，相较于生产沥青盈利状况来看，生产焦化料则更加备受主营及民营炼厂所青睐，导致沥青市场供应维持趋紧局面产量提升相对缓慢。　　据中宇资讯数据统计显示，2018年1-5月份产量总数为965.78万吨，较去年同期930.65万吨，增加35.13万吨，涨幅达3.77%，其中2018上半年沥青产量处于稳步增长态势最高点出现在5月份，仅2月份由于春节效应影响下，整体沥青产量较去年同期出现明显下滑。其次地方炼厂以318.02万吨占据头名，二三名分别为中石化、中石油。随着近几年国内地方炼厂加工进口原油权以及原油配额政策放开，中石化集团产量霸主地位自2016年开始易主，尤其是地方炼厂加工进口马瑞原油数量出现大幅增长沥青产量提升显著，而中石油集团则依靠代加工业务开展，整体沥青产量继续维持增长态势，主要以东北、部分山东炼厂为主，中海油集团则因产业链升级、产品多元化发展导致沥青产量增长有限，但主要以高端沥青方向发展为主。　　据图所示，我国沥青进出口格局以输入型，相较于庞大的进口量，出口沥青数量基本可以忽略不计。另据中宇资讯数据监测显示，2016-2017年中国进口沥青数量达到999万吨，其中占总表观消费量16.72%左右，由于进口沥青与国产沥青存在原油原料与加工工艺上的差别，进口沥青在加工改性沥青过程中，比国产沥青指标更加稳定，因此进口沥青数量逐年呈现递增态势发展，在与国产沥青价格相当的情况下，更容易得到国内进口商和下游用户的青睐。　　从进口数量份额占比来看，海关数据显示，2018年1-3月份中国进口沥青主要来源国以韩国、新加坡、马来西亚为主，占总进口量99%左右，其中韩国以占比77%独占鳌头，韩国炼油工业较为发达，但基本被寡头企业垄断，其中主要沥青生产厂家是sk公司、双龙炼油厂和GS加德士公司，其次二三名为别新加坡、马来西亚，其中值得注意是新加坡沥青进口情况，据中宇资讯了解，中国进口新加坡沥青主要来自壳牌、埃索(埃克森美孚旗下品牌)和SPC(新加坡炼厂)，且以壳牌沥青数量居多。　　据中国交通运输统计2018年1-5月份，公路水路完成固定资产投资7312亿元，同比增长4.4%，完成全年1.8万亿元任务目标的40.6%，进度较去年同期加快1.7个百分点。其中，公路建设完成投资6808亿元，同比增长4.9%，高速公路投资保持较快增长，增速达14.7%，农村公路投资增长6.6%，普通国省道下降8.0%；水运建设完成投资368亿元，同比下降11.3%。据中宇资讯分析，目前国内公路建设主要任务仍集中在中西部地区为主，尤其是西藏、四省藏区、新疆南疆四地州和四川凉山州、云南怒江州、甘肃临夏州等“三区三州”倾斜，而国内沥青产能分布来看仍以中东部沿海、山东等地区为主，其中西藏地区沥青资源主要以东北中石油主供为主，西南地区以华南、华东、西南本地炼厂为主，西北地区则主要以山东、部分华南、华东主营炼厂供应为主，但由于今年环保高压政策以及6、7月份“梅雨季节”影响下，“三区三州”地区沥青需求提升相对缓慢。　　中宇资讯预测，下半年国内道路沥青市场价格再创新高可能性仍存，虽然第三季度伊始7月份开端，国内道路沥青市场供需交投氛围出现明显放缓迹象，且部分地区价格出现大幅所动，市场低价资源充斥，贸易商回笼资金速度加快，但按照往年需求峰值变化来看，一般8-11月份将进入国内道路施工旺季，终端需求将会达到一年内的最高，因此7月份国内道路沥青市场需求下降其季节性影响不容忽视，“梅雨季节”导致华东、华南、西南等地区道路施工进展停滞不前，社会沥青库存量高筑属于正常表现，而且今年国务院出台的《打赢蓝天保卫战三年行动计划》中首度明令禁止以化工原料名义出售调和油组分，以及禁止以化工原料勾兑调和油。受此影响，国内柴油市场第三、四季度供应过剩局面或有所改善，而8-9月份国内禁渔期将逐渐解禁，船柴市场需求进入旺季，或导致炼厂生产焦化料积极性提升，进而分流国内生产企业在沥青旺季时期大幅提升产量增长空间。此外原油方面目前市场普遍认为油市趋于再平衡、三季度油市供应或存在偏紧的可能，而全球经济运行平稳、能源需求稳健，再加上其他地缘风险等不定因素影响，利好利空因素交织，预计下半年国际油市趋于整理，国际油价震荡中坚挺的可能性较大。因此综合来看，第三季度国内道路沥青市场价格走势仍存继续攀升动力，而进入第四季度国内道路沥青市场需求将逐渐降温，随着天气转冷北方地区道路施工进入尾声，尤其是西北地区沥青需求地萎缩严重，而仅靠南方沥青需求支撑则略显“势单力薄”。                                            (责任编辑：DF318)"
"沥青多头力量略胜一筹","摘要            11日，沥青期货主力1812合约高开后，在多头增仓推动下，期价继续走强。之后，部分多头获利回吐，期价快速下挫并跌破3300元/吨一线。此时，空头借机离场，期价止跌并略有回升。午后，多头再度发力，日内期价以涨势报收。                             　　11日，沥青期货主力1812合约高开后，在多头增仓推动下，期价继续走强。之后，部分多头获利回吐，期价快速下挫并跌破3300元/吨一线。此时，空头借机离场，期价止跌并略有回升。午后，多头再度发力，日内期价以涨势报收。 　　交易所多空持仓前20席位数据显示，1812合约出现多、空同增态势。其中，多头增持7830张，空头增持2347张，多头增持幅度更大。 　　具体来看，1812合约前20席位多头中，增持多单的席位达到13个。其中，增持幅度超过1000张的席位有5个，方正中期席位当日骤增近3000张多单。减持多单的7个席位中，除国投安信席位大幅减持2865张表现抢眼外，其余席位减持幅度均集中在700张以内。 　　在前20席位空头中，增持空单的席位仅有8个。其中，银河期货席位和申万期货席位增持幅度均超过1000张，但最高不超过2000张。减持空单的12个席位中，整体调整幅度较小，均集中在700张以内。 　　值得注意的是，当日排行榜前20名席位中，有7个席位在持仓上做出多、空同向调整操作。其中，方正中期席位在大幅增持2903张多单的同时仅增持559张空单，净空单减少至1927张；海通期货席位在大幅增持2551张多单的同时仅增持671张空单，净多单增加至2623张；中信建投席位在多头持仓上的增持幅度亦大于在空头持仓上的增持幅度。以上数据显示，这部分席位对后市更倾向于乐观。 　　相反，申万期货席位当日在增持232张多单的同时大幅增持1746张空单，净多单减少至3494张；银河期货席位在增持443张多单的同时增持1771张空单，净空单增加至5992张；中信期货席位和徽商期货席位虽做出多、空同减操作，但这部分席位在多头持仓上的减持幅度大于在空头持仓上的减持幅度。以上数据显示，这部分席位对后市更倾向于悲观。 　　另外，位居多、空排行榜首的永安期货席位，当日在增持967张多单的同时减持134张空单，净多单增加至20270张；国泰君安席位在增持418张多单的同时减持394张空单，净多单增加至5473张；华泰期货席位在增持819张多单的同时减持659张空单，净多单增加至4815张。以上数据显示，这部分席位对后市较为乐观。 　　通过观察主力持仓动向，笔者发现，当日前20席位排行榜中，多头增持幅度更大。且从席位多、空持仓调整的方向和力度上看，多头力量略胜一筹，后市期价振荡重心有望进一步抬升。                                            (责任编辑：DF318)"
"沥青：预计近期沥青价格将有上行动力","　　1、基本面：本周山东沥青价格下跌50元/吨，西南价格下跌100元/吨，其他地区价格稳定。近期华东、西南、华中等地降雨天气增多，沥青需求受到打压，且环保督查仍未结束以及资金紧张，使得部分道路施工受到影响，沥青市场整体需求低迷，而炼厂资源供应变化不大，社会库存消耗缓慢，市场供需均较弱。预计短期需求及出货难有改善，部分价格仍将低位成交。但目前原油价格高位震荡，部分炼厂生产处于亏损，沥青生产积极性不大，资源没有放量趋势，且马瑞原油8月供应将减少，部分地炼沥青供应量有望减少。同时，7月进口沥青近期到货有所减少，均利好国产沥青。此外，7月下旬或8月南方雨季或逐步结束，沥青需求或开始回暖，届时价格有上行动力。偏多。 　　2、基差：现货3310，基差-10，贴水期货；中性。 　　3、库存：本周库存较上周下跌2%为43%；中性。 　　4、盘面：20日线向上，期价在均线上方运行；偏多。  　　5、主力持仓：主力持仓净多，多减；偏多。 　　6、结论：预计近期沥青价格将有上行动力。Bu1812:空单离场。                                             (责任编辑：DF318)"
