"标题","正文"
"8月2日常州地区PVC市场行情暂稳","　　8月2日常州地区PVC市场行情暂稳，前5型电石料主流6970-7050元/吨。参考报价：宜化7020元/吨，伊犁河6970元/吨，中泰7070元/吨，北元7050元/吨，天业7050元/吨，天湖7型7100元/吨，天辰8型7150-7200元/吨，乙烯法低价货源送到报在7200-7300元/吨，部分高价货源在7400-7500元/吨，实单可谈。                                            (责任编辑：DF381)"
"8月2日杭州地区PVC市场行情暂稳","　　8月2日，杭州地区PVC市场行情暂稳。目前5型电石料主流6970-7050元/吨。参考报价：三联6970元/吨，宜化7000元/吨，榆社7000元/吨，中泰7050元/吨，天业7070元/吨，北元/天业3/8型7200元/吨，乙烯法韩华送到7300-7400元/吨，齐鲁、大沽各型号送到7150-7250元/吨，实单可商谈。                                            (责任编辑：DF381)"
"昨日PVC主力1809 合约高开后高位震荡 收于7045元/吨","　　昨日PVC主力1809 合约高开后高位震荡，收于7045元/吨 (+10 0.14%)，持仓有所回升，现持170530手。现货方面根据卓创统计，电石法华东6965-7038 (-4)， 华南7020-7075(0)，华北6867-6950(0)，乙烯法华东7320-7350(0)，华南7200-7250(0)，华北6985-7020 (0) ，电石价格稳定。昨日国内PVC现货市场价格异常稳定，成交氛围平平，下游询盘及采购气氛一般。短期贸易商仍保持较强挺价意愿，部分上游价格小幅上调，但接单一般，企业出货主要以前期预售为主，库存持续地位，总体销售压力不大。下游刚需采购为主，补库意愿不强，贸易商观望情绪浓厚。据数据显示，PVC整体开工84.21%，环比上升7.15%，供应持续确定性增加，但本周社会库存34.06万吨，环比上升1.1%，近日处于下游淡季，但始终没有迎来库存拐点，“淡季不淡”基本确定，距离旺季越来越近，个人认为后期上涨概率较大。目前期货多空有所分歧，现货交投僵持，参与者观望心态浓厚，预计短期内PVC市场仍将以高位震荡为主。                                            (责任编辑：DF381)"
"8月2日PVC为6857.50元/吨","　　8月2日，PVC参考价为6857.50元/吨，与8月1日(6840.83)相比，上涨了0.24%。                                            (责任编辑：DF380)"
"08月01日英力特PVC价格为6750元","　　08月01日宁夏英力特河滨冶金有限公司关于PVC的报价为6750元/吨。PVC的出产地为宁夏；PVC的属性：牌号：SG5。该报价有效期为1天。                                            (责任编辑：DF372)"
"08月01日四川金路PVC价格为7000元","　　8月01日四川省金路树脂有限公司关于PVC的报价为7000元/吨。PVC的出产地为四川；PVC的属性：牌号：SG5。该报价有效期为1天。                                            (责任编辑：DF372)"
"08月01日内蒙君正PVC价格为6800元","　　08月01日内蒙古君正化工有限责任公司关于PVC的报价为6800元/吨。PVC的出产地为内蒙古；仓储地为山西省；PVC的属性：牌号：SG5。该报价有效期为3天。                                            (责任编辑：DF372)"
"08月01日山东信发PVC价格为6850元","　　08月01日山东信发化工有限公司关于PVC的报价为6850元/吨。PVC的出产地为山东；仓储地为山东省；PVC的属性：牌号：SG5。该报价有效期为3天。                                            (责任编辑：DF372)"
"08月01日盛华化工PVC价格为6800元","　　08月01日河北盛华化工有限公司关于PVC的报价为6800元/吨。PVC的出产地为河北；PVC的属性：牌号：SG5。该报价有效期为3天。                                            (责任编辑：DF372)"
"08月01日山西榆社PVC价格为6900元","　　08月01日山西榆社化工股份有限公司关于PVC的报价为6900元/吨。PVC的出产地为山西；PVC的属性：牌号：SG5。该报价有效期为3天。                                            (责任编辑：DF372)"
