"标题","正文"
"持仓分析：期指空头占优","　　周四，军工股连续领跌、全板块全线回调下，沪指早盘低开后大幅下挫超3%，午后在大基建板块拉动下，沪指跌幅有所收窄，最终收跌2%报2768.02点，成交金额较上日有所放大。截至收盘，沪深300、上证50和中证500指数涨跌幅分别为-2.22%、-2.01%和-2.14%，对应期指主力合约涨跌幅分别为-2.84%、-2.77%、-2.79%。期现价差方面，沪深300、中证500指数期货贴水小幅扩大，分别为25.96点和49.61点，上证50指数期货贴水基本持平为5.31点，市场情绪仍显谨慎。 　　量能方面，三大期指总持仓和总成交量表现不一。期指IF总持仓微减33手至51954手，总成交量增加883手至34871手；IH四合约合计减仓279手至23657手，总成交量增加1190手至21330手；IC四合约合计增仓250手至45960手，总成交大幅增加3627手至20552手。整体来看，IF和IH在周三大幅增仓后开始出现减仓，且周四均收长下影线的阴线，表明空头开始获利离场，但仍处于主导地位；IC增仓下行，多空对决激烈，短线空头仍占上风。 　　净持仓方面，中金所公布的数据显示，合并IF1808和IF1809合约，IF多空双方均减仓，IF减仓216高于空头减仓148手，使得净空头上升至5071手；IH多头减仓304手高于空头减仓204手，IH净空头升至921手；合并IC1808和IC1809合约，IC多减空增，IC净多头寸转为净空头寸213手。从净持仓表现来看，IF和IH多空均减仓，且多头减仓幅度高于空头减仓幅度，IC空增多减，反映主力资金多头信心仍显不足，期指难言调整结束。 　　综合分析，IF、IH减仓下行，期指空头开始离场，但从净持仓数据来看，多头信心仍显不足，预计期指延续调整。IC增仓下行，空头积极增仓，多头平仓离场，期指仍有下行可能。  　　(作者单位：福能期货)                                    (原标题：期指空头占优)                                                (责任编辑：DF358)"
"利多效应逐步显现 股指中期反弹仍可期","　　受消息面利空因素影响，股市近两日出现大幅下跌。总体看，在经历了大幅回撤之后，整体指数估值处于相对低位，股指的安全边际提高。目前国内经济结构逐步好转，流动性边际改善，为市场带来了喘息机会。预计政策效应将逐步显现，指数中期反弹仍可期。 　　经济预期的改善，主要来自于货币政策、财政政策和监管政策出现的变化。 　　货币政策方面，国务院常务会议提出，稳健货币政策要松紧适度，保持适度社会融资规模和流动性合理充裕。今年上半年央行连续三次定向降准，且在近期开展了5020亿元1年期中期借贷便利(MLF)操作补充中长期流动性，创下历史新高，使得市场对后期流动性预期有所改观，而这一变化也在市场利率中得到了体现，其中银行间质押回购隔夜利率近期最低降至1.9521%，创2016年2月以来最低水平，Shibor中长端利率自6月22日之后呈现持续下行态势，全线下行至4%水平以下，短端利率也达到了2016年3月以来最低水平，市场流动性得到了显著改善。同时，长短端国债收益率期限差呈现明显回升态势，显示市场对于前期经济悲观预期有所改善。 　　中共中央政治局7月31日召开会议，会议提出，坚持实施积极的财政政策和稳健的货币政策，提高政策的前瞻性、灵活性、有效性。财政政策要在扩大内需和结构调整上发挥更大作用。要把好货币供给总闸门，保持流动性合理充裕。把补短板作为当前深化供给侧结构性改革的重点任务，加大基础设施领域补短板的力度，增强创新力、发展新动能，打通去产能的制度梗阻，降低企业成本。这对A股市场中的周期股产生利好，企业融资成本的降低，会进一步提升企业利润，前期央行窗口指导银行购买低评级信用债，降低了企业刚性兑付的风险，使得股市的风险偏好回升。 　　资管新规细则落地，尤其是对于分类管理、明确公募理财可投非标等政策的实施，可促进市场流动性提高，也令市场对于金融去杠杆的政策预期有所改善。 　　从股市本身来看，估值水平持续在低位振荡，整体安全边际较高，沪深两市指数均面临着一定机遇，且从板块盈利来看，价值和成长板块今年表现均好于去年同期水平，预计后期两市整体波动率将趋于一致。 　　就期指而言，7月三组期指贴水幅度较前期显著收窄，其中活跃合约的三组指数贴水幅度几乎转为升水结构，IF、IH和IC活跃合约贴水幅度分别为-0.09%、0.13%和-0.07%，且2倍的IH/IC当月合约比值较前期有小幅下降，至0.967，显示指数间的分化在收窄，且指数波幅趋同。从技术面看，上证指数7月中突破2900点关口，短期均线系统有多头转向。但进入8月之后，市场在近两个交易日出现了下跌行情，将7月的反弹空间全部抹平，两个交易日IF、IH和IC加权指数分别下跌4.86%、4.41%、4.27%。我们认为，从中期来看，国内政策效应将逐步显现，指数中期反弹可期。 　　(作者单位：上海中期)                                            (责任编辑：DF358)"
"郑眼看盘：杀跌程度令人意外 市场机会大于风险","最新价：2752.76涨跌额：-15.26涨跌幅：-0.55%成交量：11148万手成交额：1134.80亿元换手率：0.33%上证指数行情??领涨个股??大盘资金流向??7*24小时快讯??进入上证指数吧领涨行业1、煤炭采选涨幅：2.9%上涨：32家下跌：0家领涨股：平庄能源涨幅：10.06%2、港口水运涨幅：1.14%上涨：21家下跌：5家领涨股：长航凤凰涨幅：10.09%　　 周四A股继续大跌，截至收盘，上证综指跌2.00%至2768.02点，深证综指跌2.40%至1512.05点，中小板、创业板综指分别跌2.28%、2.34%。盘面上，绝大多数品种杀跌，且多数个股成交有所放大，暗示有恐慌盘涌出。　　这波杀跌的诱因，一是投资者修正了之前政策宽松方面的预期，二是外部贸易忧虑情绪升温。这次中央对楼市的定调确实是比较严的，由于地产股牵涉到的品种实在太多，股指很容易受到拖累。如果不是基建这一分支表现较好，大盘跌幅可能会更大。　　大盘跌到这个程度，我个人感到很意外。我原先以为大盘已经基本企稳，接下来就是筑底，因A股估值水平确实已经很低了。许多公司已经跌出了投资价值，要么是市盈率很低，要么是市净率很低，部分个股股价甚至已经破净。虽然市场中仍有许多绩差股，可当前资金面边际改善也是不争的事实。　　总的来说，大盘跌势虽猛，但我觉得现阶段是机会大于风险的。这波杀跌与6月份大不相同，“闪崩”股并没有大量涌现，暗示当前杀跌受投资者信心不足影响较大。　　当内外部环境不太安定时，A股的“政策市”倾向会较平时强得多，投资者对此应有充分预期。由种种迹象看，政策面应不会坐视股市续跌。不排除会有后续利好跟进，如释出更多流动性。　　不过，由以往经验看，政策对股市的影响是会有滞后效应的。如1997年股市过热，当时就出了利空政策，但股市仍比较顽强，直到后来利空越来越密集，股市才最终被摁了下来。昨上午官媒就有利好评论，虽然暂时没起到明显作用。但等市场冷静下来后也许就会不太一样，政策利好最终将大概率影响到股市。                                            (责任编辑：DF387)"
"持仓分析：期指空头再占据主动","　　本周股指出现调整，周三更是加速下行。截至收盘，沪深300、上证50和中证500指数跌幅分别为2.0%、2.16%、1.61%，对应股指期货当月合约跌幅分别为2.55%、2.46%、1.6%，对应贴水为24.19点、5.25点、30.57点。从贴水力度看，IF明显扩大，IH也从升水再度转贴水，IC贴水微幅收敛。从绝对数看，IF和IC处于较高贴水，市场情绪略微转弱迹象。 　　上周三期指全线减仓，随后终结了反弹走势，进入调整节奏。期指最近五个交易日有三个交易日呈现同步增仓，只有一个交易日同步微幅减仓，说明在最近的调整中空头占据主动。周三分时图显示三大期指从上午10点半就开始增仓，并且是单边回落，盘中几乎没有反弹，说明空头主导力量较强。这对短期走势形成不利，说明调整并不充分。从中期持仓变动看，前期的反弹过程中资金进场犹豫成为反弹最大的担忧，进入下跌不断吸引资金进场，或导致反弹行情终结的概率增大。 　　中金所公布的前20大席位中，IF净空头寸从5170手下降到4510手，IH净空从727手扩大到751手，IC净多从249手扩大到673手。从净持仓变动数据看，IF和IC数据并不差，较周二的转弱的数据得到一定扭转，只有IH的空头压力持续温和增加。从多空具体变动数据看，IF多头增仓1560手大于空头增仓1389手，IC多头增仓396手大于空头减仓28手，所以出现净持仓改善，IH多头增仓345手略微小于空头增仓361手，空头略占优。 　　主力席位分析，前20席位IF多头有7个席位增仓超过100手，空头只有5个席位增仓超过100手。IH多头席位表现平淡，空头分歧较大。IC最大的亮点是中信期货席位减空329手，增加多头177手。 　　综上所述，尽管多头全力抵抗，但是未能顶着空头加码形成的压力，说明市场短线较为脆弱。不过，从净持仓和主力席位看，多头有抄底迹象，空头也分歧较大，可能会加大短期的振荡。 　　(作者单位：中信期货)                                    (原标题：期指空头再占据主动)                                                (责任编辑：DF358)"
"技术解盘：IF关注支撑 十债重启升势","　　IF 关注支撑　　IF近期成交量和持仓量整体呈现缩量调整态势，显示市场当前仍维持振荡攀升格局。短期均线系统呈现多头排列，5、10日均线对期价指导意义不强。MACD指标快慢线在0轴下金叉上行，正柱状线呈现冲高回落。RSI指标在50轴上方拐头下行。综合看，期价短线呈现回调，中期关注20天均线支撑。操作上，可以在20天均线企稳时伺机参与多单。　　IC 再度回探　　IC在上周二突破底部头肩形颈线位置5150，随后出现连续6个交易日缩量回调，期价再度测试20天均线支撑，5、10天均线再次死叉下行，短线压制期价进一步反弹。MACD指标快慢线在0轴下金叉上行，正柱状线逐渐衰减。RSI指标在50轴附近死叉下行。综合看，期价短线回调确认之前密集区支撑。操作上，可在5000做防守适量参与多单。　　十债重启升势　　十债上周期价先抑后扬，并在本周二收复20天均线。从日线结构上看，期价在95.3—96.2区间高位振荡概率较大。短期均线对期价指支撑较强。MACD指标快慢线在0轴上死叉下行，负柱状线开始衰减，RSI指标重新站上50轴强势区以上金叉运行。综合看，期价调整企稳，有望展开反弹。操作上，可在95.3防守，轻仓做多。 (中原期货李卫红)                                            (责任编辑：DF358)"
"股指下行压力增加 IC后市表现或相对偏强","图为2018年7月PMI数据　　提要 　　PMI连续24个月扩张，后期难以为继，后期PMI数据或更显悲观。在经济转型的历史转折时期，资产价格的回落是不可避免的，股指易跌难涨。 　　股指在5月社融数据悲观的情况下，于6月19日破位下行，上证指数跌至2691.02点的年中低位，短时间内跌幅达到10%。7月6日以后，在央行通过公开市场连续净投放基础货币的情况下，股指展开反弹。在市场缺少实质性利好的条件下，股指的反弹无力。8月1日，三大股指短线破位，结束了7月6日以来的反弹行情。从技术形态上，IC更显横盘弱势。 　　从技术形态上，建议IF、IH关注前期低点附近的支撑力度，IC关注横盘破位下行的突破进场沽空机会。 　　企业利润压缩，基本面利空后市。2015年开始的供给侧改革中，淘汰落后产能本质上是限制产能扩张、限制市场供给，从而抬升市场均衡价格，后期又叠加了环保限产，进一步抬升商品成本，刺激市场均衡价格循环抬升。经过两年的市场消化，供给侧改革带来的红利已经消耗待尽，随着产能利用率的提高，还是产能过剩的市场格局。环保限产的成本压制必然在供给侧改革的后期为股市带来成本压力，从而限制股市的上涨。 　　2018年上半年社会融资开始降低，货币环境难为股市托底。上半年社会融资规模增量累计为9.1万亿元，比上年同期少2.03万亿元。从结构看，上半年对实体经济发放的人民币贷款占同期社会融资规模的96.3%，同比高22.5个百分点；企业债券占比11.2%，同比高14.5个百分点。这组数据的本质就是我们对实体经济的货币支持很大，企业发债力度也比较大，但是表现在股市上的结果是上证指数从年初的3587点，下跌到7月6日的2691点，降幅24.97%。在股市下降的过程中，我们的经济体还叠加央行的降准和公开市场的净投放。在这样的货币环境中，股市保持的是振荡下跌。如果代表买方市场的资金供应趋紧，市场会因为买方的弱势而下跌。展望2018年的下半场，资金环境恰好是趋紧的。资料显示，房地产的还债高峰在6月正式开启。房地产8月将有227亿元债务到期，今年四季度房地产债务到期压力进一步增大，需要准备共计877亿元资金来兑付到期的债券。房地产的压力是巨大的，银行、居民、众多上市公司都与房地产高度相关。尽管现在还不是最悲观的时候，但是“明斯基时刻”总会到来。 　　PMI连续3个月回落，连续24个月的扩张已经不可持续。2018年7月，中国制造业采购经理指数(PMI)为51.2%，比上月回落0.3个百分点，高于临界点。PMI已经连续24个月保持扩张，今年数据的最高值出现在5月的51.9，低于去年9月的52.4。股市会在市场预期的前景下导致股市需求曲线向下位移，股指的价格重心也将下移。 　　经济转型必然伴随危机，我们需要重视的是在中国经济转型过程中，PMI指数会在50下方运行很长时间。如果PMI指数每个月平均回落0.3个点，那么2019年1月将迎来PMI的数据危机，中国正好进入传统的元旦春节时期，春节过后又正是市场冷清的时刻。 　　在经济转型的历史转折时期，资产价格的回落是不可避免的，尤其是产能过剩行业的资产价格回落基本是必然的经济现象。股市中的淘金机会或许是轻资产重科技、核心创造、金融、医疗生物等。传统制造业、高债务、高污染、过剩产能等都是风险板块。从三大股指的结构来看，未来IC将是表现最好的品种。展望8月，三大股指将振荡走低，重点关注前期低点的技术性支撑能力。应避免远月合约的长线多单操作，近月做多要严格风控。 　　(作者单位：美枫阁投资)                                            (责任编辑：DF358)"
"郑眼看盘：“七翻身”并未出现 8月形势有转机","最新价：2751.03涨跌额：-16.99涨跌幅：-0.61%成交量：11224万手成交额：1143.03亿元换手率：0.34%上证指数行情??领涨个股??大盘资金流向??7*24小时快讯??进入上证指数吧领涨行业1、煤炭采选涨幅：2.87%上涨：32家下跌：0家领涨股：平庄能源涨幅：10.06%2、港口水运涨幅：1.13%上涨：21家下跌：5家领涨股：长航凤凰涨幅：10.09%　　周二A股牛皮震荡，成交量创阶段新低。截至收盘，上证综指涨0.26%至2876.40点，深主板、中小板、创业板综指均微幅下跌。　　当前大盘可谓涨跌两难。一方面，肯“割肉”的投资者越来越少；另一方面，愿意介入股市的增量资金也比较有限。两相作用之下，无需太多买盘大盘也能维持平衡。　　科技股最近表现不太好，有人认为是受到了美股影响。我认为，A股科技股走弱还有至少以下几个原因：第一是科技股之前几年上涨过多，如今业绩却跟不太上；第二是已损及部分科技公司；第三是之前几年科技股在并购高潮时积累的商誉泡沫较多；第四是市场对基建投资的预期大为提升，从科技股上抽走了部分资金。　　医药股是另一焦点。昨医药板块持续震荡，但并没有明显涨跌。正处风口浪尖的美年健康昨大幅低开后最多时跌7.32%，但收盘时已完全收复失地，反而微涨0.31%。　　美年健康周一晚间已郑重辟谣，其语气斩钉截铁。从市场表现来看，多空博弈激烈，最终看多一方略占上风。这暗示市场当前互信基础已经比较脆弱，稍有风吹草动，个股便容易剧烈震荡。因此，我仍坚持认为，投资者应规避一些相对容易出问题或者引起公众质疑的品种。　　7月已结束，所谓“七翻身”并未出现，但大盘总算企稳了。进入8月，我猜测大盘会有些向上动能。政策面宽松已有时日，8月政策效应可能会更明显。此外，多数上市公司将在8月公布中报，目前不少公司业绩预期良好。最后，A股“入摩”权重翻番在即，8月或是机构布局的关键节点。不利一面自然也是有的。　　纯从博弈角度讲，我认为可考虑尝试做多。                                            (责任编辑：DF064)"
"技术解盘：IF重心上移 十债重启升势","　　IF 重心上移 　　IF在7月6日放量探底成功，展开持续长达13个交易日的反弹行情，其间虽有调整，整体重心上移格局未变。近期成交量和持仓量呈现温和放大态势，显示市场的交易热情逐渐好转。短期均线系统呈现多头排列；MACD指标快慢线在0轴下金叉上行，正柱状线呈现冲高回落；RSI指标在50轴上方运行。综合看，期价短线呈现回调，中期反弹依然稳固。操作上，可以20天均线作防守回调参与多单。 　　IC 回抽确认  　　IC在上周二突破底部头肩形颈线位置5150，随后出现连续5个交易日缩量回调，期价守住20天均线，预示多头趋势仍未破坏。均线系统多头排列格局稍有收敛，MACD指标快慢线在0轴下金叉上行，正柱状线短线衰减；RSI指标在50轴附近死叉粘合运行。综合看，期价短线回调确认之前密集区支撑。操作上，可以5000做防守适量参与多单。 　　十债重启升势 　　十债在7月20日以放巨量阴线终结之前的振荡上行格局，期价跌破20天均线，最低触及重要关口95.3附近得到买盘支撑。上周期价先抑后扬，并在周二收复20天均线。从日线结构上看，期价在95.3—96.2区间高位振荡概率较大，短期均线对期价指导意义不强。MACD指标快慢线在0轴上死叉下行，负柱状线开始衰减，RSI指标重新站上50轴强势以上。综合看，期价调整企稳，有望展开反弹。操作上，可以95.3作防守，轻仓做多。 (中原期货李卫红)                                            (责任编辑：DF358)"
"日经VI指数小幅降低","　　上周日经225指数期货价格比前一周下跌40日元至22680日元，连续上涨两周后，周初显现下跌。目前日元走软，刺激市场对日本国内企业业绩的期待上升，支撑市场。日本央行本周将召开金融政策会议，据悉将讨论调整长期利率目标与改变其购买的上市交易基金(ETF)组成结构。长期利率调整预期使得利率上升，导致日元升值。若利率上升，差价利润也会提升，因此金融类股坚挺上扬。日元升值压制出口类股。日本央行可能将增加东京证券交易所股价指数(TOPIX)相关ETF购买量，减少日经指数相关ETF购买量。大型日经股指成分股被抛售，同时日经225指数期货亦被抛售，TOPIX期货被买入。 　　日经225指数期货交易方面，高盛和摩根士丹利不断卖出，成为此周卖方第一、第二位。除周初大量买进的荷兰银行成为此周买方领头羊以外，美林、法国兴业银行和摩根大通走向超买趋势。TOPIX期货下半周大量卖出的法国巴黎银行和美林成为卖方第一和第二位。法国兴业银行等海外机构不断卖出。摩根士丹利不断买进，高盛大量买进，成为买方上位，海外机构的交易显眼。 　　日经恐慌指数(VI)相比前一周小幅降低0.38点(2.25%)。日本央行金融政策调整预期，使VI指数周初上升至近两周高位18.85点。随后，VI指数在小范围内有所波动。瑞信对于日经指数期货的买入趋势暂告一段落。前期多家媒体报道瑞信正在加强对冲基金业务，或是瑞信停止买超的因素之一。日经杠杆指数基金引起的野村卖盘连续浮现也可能影响到瑞信政策。瑞信的持仓已大增，市场对于瑞信的持向有待关注。若瑞信转向大量卖出政策，或将成为引起波动的因素之一，可能导致日经VI的上升。  　　本周初需要关注即将召开的日本央行金融政策会议。日本央行将研究在ETF资产购买上的配置，受此影响，上周投机性买卖增加。如果日本央行结束负利率政策，或决定减少目前6万亿美元规模ETF购买的话，可能引起负面作用。但市场普遍认为日本央行政策不会大变。日本国内财报高峰期到来，个股的交易或更加活跃。以业绩良好的企业为主导，市场趋势可能将坚挺，致日经指数期货上扬。本周预估价为22500日元至23500日元。                                            (责任编辑：DF358)"
"近期市场情绪较前期有所好转 IH多合约逆势维持升水","　　昨日，A股三大股指持续弱势调整，开盘小幅拉升后震荡走低，IH多合约依旧维持升水态势。业内人士表示，从基差方面看，近期市场情绪较前期有所好转。就三大期指来看，IH主力合约频现升水，相对而言，市场比较看好以上证50指数为代表的蓝筹股后市表现。　　截至昨日收盘，三大期指走势分化，上证50指数涨幅0.64%，对应的主力合约上涨0.55%；沪深300指数和中证500指数分别下跌0.17%和1.22%，对应主力合约下跌0.43%和2.01%。　　从基差上看，IH合约表现较抢眼。上周五收盘，IH四张合约出现了罕见的齐齐升水现象。截至昨日收盘，IH多合约升水态势依旧延续，IH当月、下季和隔季合约分别升水0.89点、1.29点和2.49点。　　东证期货研究所分析师李智祥表示，IH多合约升水的主要原因是后市预期较强的金融和基建板块在上证50指数中所占权重较大，且金融和基建板块两个板块近期受到资管新规细则落地、货币政策边际出现变化预期等因素提振。而IF和IC两大期指近期仍受医药等前期涨幅较大板块走弱的影响，短期内走势大概率将弱于IH。　　值得注意的是，IH隔季合约的价差高于IH主力合约，李智祥表示，现在除了IH下月合约处于贴水状态，且远月合约的升水幅度逐个递增，这也是市场预期较强的表现。　　弘业期货金融研究院表示，目前看来，市场紧张情绪虽有所放缓，市场的强势有较强的结构性，上证50指数短期强势特征更为明显，但从市场整体量能及板块轮动来看表现相对平淡，主要指数或还在反弹节奏中，特别是基础设施板块更多是受政策超预期影响的超跌反弹。　　李智祥也认为，市场还没有整体性走强，只有受政策影响确定性相对较大的基建和金融板块得到了提振。　　展望后市，多位受访研究员表示，虽然目前后市预期有所回暖，但主要指数的中长期调整目前还未完全结束。中长期来看，在外部主要风险因素未散的前提下，市场仍有回落或震荡风险。由于风险偏好容易出现大幅波动，期指振幅或将扩大。　　国泰君安期货衍生品研究所研究员毛磊认为，近期期指市场处于反弹阶段，反转还未出现，短期处于震荡偏强阶段。不过，政策面托底力度加大，市场信心将回升。                                    (原标题：IH多合约逆势维持升水)                                                (责任编辑：DF380)"
