"标题","正文"
"美国大豆压榨企业的6月大豆压榨量料为1.688亿蒲式耳","　　在美国农业部(USDA)月度油籽压榨报告出炉前，调查均值显示，美国大豆压榨企业的6月大豆压榨量料为506.4万吨，或1.688亿蒲式耳。                                            (责任编辑：DF318)"
"欧盟油菜籽产量预测数据进一步下调到1995万吨","　　巴黎7月30日消息：战略谷物公司发布报告，进一步下调2018年欧盟油菜籽产量预测值，因为北欧产量下调，尤其是法国、德国、波兰和丹麦。　　战略谷物公司将今年欧盟油菜籽产量预测数据下调到1995万吨，低于7月初的2110万吨，也低于5月初预测的2220万吨。　　最新的产量数据将比上年的2200万吨减少9.5%，这意味着2017/18年度的过剩供应将在2018/19年度所消化。　　德国、法国和波兰是欧盟三大产区，春季和夏季天气炎热干燥，影响到欧盟油菜籽作物生长，而此前作物已经受到寒冷多雨天气的破坏。　　战略谷物公司预计2018年欧盟油菜籽播种面积为679万公顷，略高于早先预测的674万公顷，比上年增加1.4%。平均单产预计为2.94吨/公顷，低于早先预测的3.13吨，比上年减少10.7%。                                            (责任编辑：DF318)"
"8月1日郑商所菜籽油期货午盘报价","合约名称开盘价最高价最低价最新价涨跌成交量持仓量昨日结算OI18096296630762526291-11653381845826302OI19016512652164626503-141480643386266517OI19056621662865746623-34846534886626                                            (责任编辑：DF318)"
"7月30日云南省普通油菜籽报价基本平稳","　　7月30日，南方新菜籽市场价格稳中偏弱，油脂行情不好，菜籽收购的不多，走货困难，其中成都、绵阳、德阳净菜籽收购价在2.72-2.78元/斤，毛货在2.55-2.6元/斤；湖北仙桃、宜昌少，毛货收2.35-2.4元/斤，净货2.55元/斤。云南罗平净货2.7元/斤。安徽肥西县新菜籽毛货到厂价2.3元/斤，水杂11以内，单项水分9个以内，净货出2.5元/斤。江苏地区菜籽毛货收购价2.1元/斤，贸易商烘干或通风晾晒后，出厂价2.42元/斤。　　各地具体市场表现如下：　　曲靖市普通油菜籽国产的收购价格为5500元/吨，和27日的报价持平，净货含油38-39；7月27日无现货成交。                                            (责任编辑：DF318)"
"7月29日油菜籽与菜籽油比价指数为124.24","　　7月29日油菜籽与菜籽油商品比价指数为124.24，与昨日持平，较周期内最高点127.41点(2018-04-01)下降了2.49%，较2016年01月03日最低点74.64点上涨了66.45%。(注：周期指2015-01-01至今)                                            (责任编辑：DF318)"
"7月30日菜籽油早盘开盘上涨","　　郑州商品交易所(CZCE)菜油期货主力OI1901合约，截止到9:00，开盘6519元，最新6538元，涨30元，最高6542元，最低6510元，昨结6511元。                                            (责任编辑：DF318)"
"青、蒙油菜异军突起 产业迎来新变局","摘要            近年来，油菜种植区与菜油、菜粕的主销区开始从传统的长江流域如湖北、湖南等地向青、蒙、川、渝等地转移，同时进口产品对国产油菜籽、菜油、菜粕的挤压不断加强，国产油菜籽及其下游产业企业生存困难。面对生存问题，青、蒙、川、渝等地油菜产业企业利用地理位置优势，特别是青、蒙等地油菜产业企业充分发挥品质优势，并主动利用期货等工具，不断降低经营风险与成本，最终闯出一条新出路。                             　　近年来，油菜种植区与菜油、菜粕的主销区开始从传统的长江流域如湖北、湖南等地向青、蒙、川、渝等地转移，同时进口产品对国产油菜籽、菜油、菜粕的挤压不断加强，国产油菜籽及其下游产业企业生存困难。面对生存问题，青、蒙、川、渝等地油菜产业企业利用地理位置优势，特别是青、蒙等地油菜产业企业充分发挥品质优势，并主动利用期货等工具，不断降低经营风险与成本，最终闯出一条新出路。 　　7月中上旬，期货日报记者对青、蒙两地2018年春播油菜生产情况进行了实地调研，并走访了大宋农业公司、文泰粮油公司、呼伦贝尔合适佳食品有限公司、海拉尔农垦集团、满洲里恒升粮油进出口公司等相关企业及部分农场、农户。 　　从调研情况来看，青、蒙春播油菜正在异军突起，稳中有增的种植面积打下了扎实的市场发展基础，规模化、机械化、良种化的生产模式提高了市场竟争力，专业化、高品质化、品牌化的产品开发策略打开了高端食用油市场销路，产业企业积极灵活地运用期货工具与市场平台创造了稳步发展的外部环境。 　　油菜面积稳中有升 生产成本逐渐下降 　　青、蒙两地具有典型的高寒、干旱、日照时间长、昼夜温差大等内陆性气候特征，是春播油菜的最佳生态适宜区，也是我国仅有的几个油菜规模化种植地区。近十几年来，青、蒙油菜种植面积呈现稳中有增态势，油菜籽年产量保持在数十万吨以上。由于两地生产的油菜籽质量好、含油量高，每年都呈现供不应求的局面。 　　国家粮油信息中心信息处处长张立伟告诉期货日报记者，随着临储菜油收购政策的取消，国内菜油市场明显地呈现出多元化发展的特征。近年来，虽然一些油菜传统种植区的产业企业规模缩小，市场份额被挤占，但青、蒙、川、渝等地油菜产业却蓬勃发展起来，不但种植面积稳步增加，种植成本也逐年降低，当地农民种植油菜的收入也稳步增长。 　　究其原因，这与青、蒙、川、渝等油菜产区具有特殊的地理位置与气候，特别是与当地居民喜食菜油有很大关系，当然这也离不开当地油菜产业企业不断提高经营水平，不断开发新产品，并把具有特殊香味与营养成分的菜油销往全国各地有很大关系。 　　记者在调研中发现，青、蒙地区的油菜田不是像内地那样这边一小块那边一块种植的，而是大片大片田地连在一起种植。由于地广人稀，在青、蒙地区，一家农户种植数千亩油菜是一件很平常的事。在种植上了规模以后，农民更乐意于在油菜的播种、收割等生产环节使用大型机械。在这种情况下，当地农民种植油菜的成本逐年下调，收益稳步提高，让农民保持了较高的种植积极性。 　　“规模化种植与大型机械的使用令青、蒙产油菜籽及其下游产品更具成本优势。”青海大宋农业科技股份有限公司油菜业务负责人告诉记者，青、蒙地区油菜生产为一年一熟制，因日照强、昼夜温差大，所产油菜籽含油量较高，令所产菜油营养成分丰富，最终让油菜籽与菜油的收购价与销售价也较高。成本低、售价高，种植油菜的收入自然不错。 　　根据一些社会机构的调查与统计，当前我国油菜籽年产量在450万到600万吨，春播油菜籽产量在70万吨左右，主要集中在青海、内蒙古、甘肃、新疆等地，其中青海20万吨左右，内蒙古40万吨左右。 　　在青海一家以种植油菜为主的农场记者了解到，青海春播油菜种植区主要分布在海东农业区、海北环湖地区以及柴达木盆地，种植面积在300万亩左右，生产年度间种植面积变化不大，当地农民具有种植油菜的传统习惯。从当地农民油菜种植规模与方式来看，规模化、机械化程度较高，油菜种子较为传统，大部分油菜品种为适宜当地生长且产出的油菜籽品质较高的品种。 　　从青海数家大型油脂压榨企业记者获悉，为了保证原料纯正，很多油厂采用“公司+基地+农户”的模式来保证原料的供应，主要通过与当地油菜种植农场、专业合作社、农户签订油菜籽收购合同等“订单”的方式来采购原料，部分油厂还流转了大量的土地，并建立了种植基地来保障油菜籽供应。另据了解，青海独特的地理位置与高原大陆性气候为油菜生长提供了优越的自然条件，油菜籽出油率可达到39%—42%。 　　呼伦贝尔合适佳食品有限公司销售部部长闫文正对记者介绍说，内蒙古的油菜籽种植主要分布在呼伦贝尔市及周边地区，种植面积约330万亩。在正常年份，当地农民喜欢将油菜与小麦轮茬种植，油菜种植面积的增减主要受上一年种植收益及政策因素影响。 　　在海拉尔农垦的数家农场调研时记者发现，这里的大部分农场仍实行集体化经营模式，充分利用与发挥了当地人少地多与集团化种植优势，有利于降低生产成本，取到了良好的效益，如一名普通农场青工一个月的稳定收入可达6000元。 　　海拉尔农垦下属的一家农场负责人表示，今年内蒙古雨水较多，十分有利于春播油菜、春小麦等农作物的生长。今年整个农垦系统春播油菜面积在200万到300万亩，预计单产在260—300斤，年产量在30万吨左右。 　　从青、蒙两地春播油菜种植成本与租地费用等来看，两地生产的油菜籽成本普遍低于内地。据记者了解，包括人工成本及其他成本在内，青海地区春播油菜生产成本在350元/亩，油菜籽亩产在270—280斤，近两年来的市场收购价为2.5—2.6元/斤，每亩所产油菜籽销售收入在700元左右。如果不考虑人工费用，种植油菜每亩毛利在200—300元。另据记者了解，当地租地成本较低，普遍在100—150元/亩，远低于内地的租地费用。内蒙古地区农垦系统春播油菜种植成本为200—250元/亩，主要原因是农垦系统的土地成本较低，当地个体种植户租地成本在130—170元/亩。 　　综合来看，今后大力发展青、蒙两地春播油菜产业优势明显、后劲十足，主要原因是有条件、有基础、有特色、有潜力。以海拉尔农垦集团为例，集团资源丰富，拥有600万亩耕地、1000万亩草场、近百万亩林地和水面，油菜籽最高年产量一度达到30万吨。 　　品质高成为两地产菜油最大竞争优势 　　近年来，不断有青、蒙产新品牌菜油走进了北京、上海、广州等城市的超市，摆放到了我们餐桌上。 　　“坚持专业化、高品质化、品牌化的产品开发策略，是青、蒙产菜油打开高端食用油市场销路的主要原因。”张立伟认为，青、蒙产菜油最大的特点与优势是绿色、非转基因、营养成分丰富和香味独特，在信息传播与物流不畅的年代，青、蒙产菜油品质虽高，但市场上很难见到，也没有太多的消费者对其了解。如今，青、蒙地区的油脂企业通过提高品质、加强品牌宣传、利用电商平台等手段让青、蒙产菜油在国内油脂市场异军突起。 　　“苍茫谣，芥花香”。在呼伦贝尔市记者发现，芥花油正在成为这个城市的新名片。美丽的呼伦贝尔大草原，自古就以苍茫气象与富足丰饶闻名天下。而今，一朵美丽芥花，又让这块丰饶的土地再得美名。 　　海拉尔农垦集团的工作人员告诉记者，“苍茫谣”牌芥花油已经成为享誉全国的健康食用油品牌，为整个呼伦贝尔农业经济的发展，探索出了一条品质为基、走向品牌的创新之路。 　　据了解，呼伦贝尔市芥花油产业有着近40年的发展历史。在双低油菜育种种植、生产加工和产品研发方面处于领先水平。芥花油口感清香，与现代人“清淡饮食”的理念一致，符合当前消费升级的大趋势。 　　“我们公司生产的高端菜油一斤要卖80元，现在公司的大部分产品销往上海、杭州、南京等城市。”青海文泰粮油科技有限公司负责人刘跃告诉记者，很长一段时间以来，受资金、人才、市场等多方面因素的限制，青海菜油产业处于“散、乱、小、差”低水平发展的尴尬境地，高品质的菜油始终没有一个在国内能形成影响力的特色品牌。近年来，以菜籽油为代表的青海食用油企业，通过走专业化、高品质化、品牌化的产品开发道路尝试创新突破，当前已取得了一定的成绩。 　　刘跃告诉记者，青、蒙两地的大宋农业公司、文泰粮油公司、呼伦贝尔合适佳食品有限公司、海拉尔农垦集团、满洲里恒升粮油进出口公司等均在菜油生产工艺、产品研发等方面投入了大量的人力、物力，已成功研发出高原菜油冷加工等新工艺，让土榨工艺优化与产能升级等得到了同步提高，生产出来的菜油不但保持原有的独特香味，而且保证营养成本不流失，当前很受市场欢迎，如文泰粮油公司生产的高端活性菜油、活性亚麻籽油的市场占有率不断得到提高。 　　在满洲里恒升粮油进出口公司记者了解到，该公司榨油车间设计加工能力为日加工油菜籽1000吨，年加工能力30万吨，年产10万吨菜油，是集进出口贸易、油菜籽收购、加工、成品油销售为一体的满洲里市重点龙头企业。据该公司董事长张文华介绍，公司原料来自精选的俄罗斯产纯天然、无污染的双低油菜籽，产品具有绿色、低芥酸、低硫甙、物理压榨的特点，当前产品销售已覆盖全国各大城市。下一步，在稳定俄罗斯油菜籽进口加工业务的同时，公司将逐步打造成为俄罗斯粮油进口物流基地。青、蒙两地油脂加工企业未来所需原料完全可以通过进口俄罗斯等国的油菜籽来满足。 　　刘跃告诉记者，他们公司近年来每年均要经满洲里口岸进口一部分高品质原料。据专业人士介绍，满洲里为我国进口俄罗斯油菜籽的重要口岸，二连浩特为进口蒙古国油菜籽的指定口岸。从进口俄罗斯油菜籽的品质来看，其为非转基因“双低”油菜籽，含油率大多在43%以上，进口成本较低。与此同时，国内部分企业赴俄罗斯所生产的油菜籽成本更低，由于地租只有1元/亩，在俄罗斯租地种植油菜且把收获的油菜籽运回国内很划算。 　　目前，我国食用植物油年消费量已突破3000万吨，但国产食用植物油却常年徘徊在1000万吨左右，致使我国食用植物油自给率仅在30%左右。预计未来较长时期内，我国食用植物油仍将呈现严重产不足需的局面。因此，我国油菜产业的发展空间很大，青、蒙产菜油靠品质取胜的道路会越走越宽广。 　　两地菜油企业需主动灵活地运用期货工具 　　与国内沿海地区油厂通过期货点价来确定原料采购成本、通过基差报价进行菜粕与菜油等产品销售、通过套保与仓单质押等操作来规避产成品和原料库存价格波动风险相比，青、蒙两地菜油产业企业的原料采购、产品销售等无疑还处在较为原始的现货贸易阶段，“一口价”定价模式在现货贸易中还较为流行。与此同时，很多产业企业明明很清楚自己所代为储存的临储菜油等品质很好，但苦于没有资金、没有较为安全的价格风险防控方法而不敢放手参与竞拍，眼睁睁地失去了很多市场机会。 　　张立伟告诉期货日报记者，从当前国内油脂市场的运行规律来看，以往界线分明的原料供应、产品消费的淡旺季开始模糊甚至消失了。特别令产业企业关注的是，随着油脂市场全球一体化程度的加深，国内外油料油脂的波动加剧，不同油品之间的替代性增强，各品种间的价差变动较大，这随时随地都会影响到具体某个品种的市场供求关系、价格涨跌。在这种情况下，青、蒙两地菜油产业企业必须具备一定的金融市场知识，学会使用期货工具。 　　目前，在国内油脂市场超大型企业主导定价、大型贸易企业跟随喊价、本地压榨企业独立定价与基差交易等渐成常态，更多的产业企业需要通过使用期货工具与市场平台来保证企业的经营稳定，让企业的经营利润得到保障。 　　中粮期货油脂油料专家张凌杰认为，基差交易已逐渐成为大宗商品贸易的一种主流趋势，价格的市场形成机制表现得越来越突出。在市场条件具备的情况下，先于其他企业对生产原料、产品库存等进行套期保值操作等更有利于企业控制成本与锁定利润。而在当前商品市场贸易速度不断加快之际，企业合理运用点价模式等将拥有更多的市场主动权、选择权，将增强企业经营的灵活性。 　　规范产业发展政策要跟上 　　记者调研与查阅到的有关统计数据显示，青海油菜籽年产量在30万吨左右，当地规模以上企业油菜籽压榨能力则超过了80万吨/年，同时农村作坊和浓香菜油压榨能力超过了20万吨/年，压榨能力严重过剩。由于开机率不足，规模以上企业生产菜油普通亏损较重，部分企业长期处于停产状态。从内蒙古的市场状况来看，该地油菜籽产量官方公布在40万吨左右，当地产业企业反映实际产量在30万吨左右。由于该地小榨油菜籽企业较少，规模以上企业生产原料较为充足，但菜油及菜粕外销困难，部分企业长期停工。 　　目前，青、蒙两地油菜籽压榨产能已严重过剩，行业人士建议，当地产业企业应充分发挥自身优势，走大力发展高端食用菜油之路。 　　张立伟告诉期货日报记者，当前在青、蒙两地油菜籽与菜油市场出现另一种现象也值得十分关注，即俄罗斯和蒙古国油菜籽进口量不断增加，长期来看会对两地国产油菜籽、菜油市场形成冲击。 　　“近年来，进口俄罗斯和蒙古国油菜籽完税成本在3500—4000元/吨，远低于国产油菜籽价格，导致进口量快速增加。2017年内蒙古共从俄罗斯和蒙古国进口油菜籽18万吨，同比大幅增加11.6万吨，增幅高达181%。其中，从俄罗斯进口6.4万吨，从蒙古国进口11.6万吨。尽管有关部门要求进口俄罗斯和蒙古国菜籽要在当地定点工厂加工，但由于压榨油菜籽利润较低，加上菜油和菜粕销售困难，实际上80%以上的进口两国油菜籽都销往内地，由于价格优势明显，对国产油菜籽市场冲击较大。”张立伟说，据部分国内农场和油菜籽贸易商反映，青、蒙两地产油菜籽已从去年上市时的4600元/吨降到了现在的3600元/吨，当前部分产区仍有库存油菜籽待销。 　　张立伟认为，针对青、蒙两地油菜产业的长期发展，有关机构要采取以下几方面的措施来扶持与规范： 　　一要加大政策扶持力度，扩大春播油菜种植面积。青海和内蒙古土地集约化程度高，利于展开大规模的机械化生产，降低种植成本。此外，当地气候和土壤适合种植油菜，而油菜种植使用化肥少，有利于涵养地力。考虑到我国油脂对外依存度高，有关机构应加大政策扶持力度，如增加油菜良种补贴和灾害保险补贴，内蒙古外销油菜籽减免高速通行费等，支持和鼓励当地扩大春播油菜面积。 　　二要支持企业建立种植基地和订单农业。支持当地和外省规模较大、效益较好的油脂加工企业，建立原料生产基地，与农户签订产销订单，实行“企业+基地+农户”的农业产业化经营模式，扶持各种形式的产销衔接活动。记者在调研中发现，基地能按需生产，积极发挥市场的调节作用，使有限的土地产生最大的效益。 　　三要严格执行进口油菜籽就地定点加工的规定，严禁进口油菜籽就地销售，冲击当地市场。国内农业资源禀赋贫乏，国产油菜籽生产成本明显高于国外，为防止进口油菜籽冲击当地市场，企业应严格执行进口油菜籽定点加工的规定。有关机构应加强对进口油菜籽企业的资格审查，进口企业必须具备加工生产的能力，跟踪企业的生产过程，确保进口油菜籽就地加工，严禁出现进口油菜籽转售的现象，保证国内农户种植油菜的利益不受损害。                                            (责任编辑：DF318)"
"曹彦辉：美豆走高提振 油脂市场收涨","　　周二CBOT豆油期货市场收盘上涨，因为大豆走强。12月期约收高0.26美分，报收28.58美分/磅。夜盘连豆油区间震荡收涨。  　　周二BMD毛棕榈油下跌，因为市场预期未来几周棕榈油增产。10月毛棕榈油期约下跌17令吉或0.8%，报收2152令吉/吨。夜盘连棕榈油减仓收涨，但仍未摆脱盘局。  　　周二ICE加油菜籽期货市场上涨，追随CBOT大豆期货市场的飙升行情。1月期约收高4.20加元，报收496.90加元/吨；夜盘菜油区间内震荡收涨，菜粕买盘提振震荡上行。操作上油脂短线操作。                                             (责任编辑：DF318)"
"曹彦辉：货币走软 马棕榈油领涨","　　周三CBOT豆油期货市场收盘上涨，因为买豆油卖豆粕的套利活跃。12月期约收高0.34美分，报收28.47美分/磅。夜盘连豆油震荡上行。  　　周三BMD毛棕榈油上涨超过2%，因为令吉走软，相关食用油市场走强。10月毛棕榈油期约上涨41令吉或1.8%，报收2212令吉/吨。夜盘连棕榈油重心上移。  　　周三ICE加油菜籽期货市场收盘上涨，追随CBOT豆油市场的涨势。西加拿大地区天气干燥令人担忧，也支持油菜籽价格。11月期约收高3.60加元，报收491.90加元/吨；夜盘菜油震荡走高，菜粕高位震荡。操作上油脂短线为宜。                                            (责任编辑：DF318)"
"ICE油菜籽期货市场收盘下跌","　　温尼伯7月11日消息：周三，洲际交易所(ICE)旗下的加拿大温尼伯商品交易所油菜籽期货市场收盘下跌，因为大豆暴跌。 　　截至收盘，11月期约收低8.50加元，报收494加元/吨；1月期约收低8加元，报收500加元/吨；3月期约收低8.20加元，报收504.50加元/吨。 　　美国芝加哥期货交易所(CBOT)大豆及制成品市场大幅下挫，给加拿大油菜籽市场构成下跌压力。 　　目前加拿大大草原地区天气形势整体良好，有助于油菜籽作物生长，同样对盘面不利。 　　不过加元汇率走低，在一定程度提供支持。                                            (责任编辑：DF318)"
