"标题","正文"
"8月1日天津市200型菜粕报价小幅下跌","　　2018年8月1日，今日郑粕开盘后下行。昨日现货报价上涨10元/吨左右，主流价格2380-2650，总计成交7000吨。油厂库存压力不减，南方台风、暴雨天气一定程度上不利水产养殖，但美国彭博社报道，中美代表私下接触，讨论重启贸易谈判，预计短期郑粕震荡下行， 1901合约关注2450元附近支撑，现货报价下调。　　各地具体市场最新情况如下：　　天津国慧200型菜粕进口压榨加粕的出厂报价为2490元/吨，和31日相比下跌了30元/吨，贸易商报价，8月2520；7月31日无现货成交。                                            (责任编辑：DF318)"
"菜粕RM901：短期2500附近震荡短线操作为主","　　1、基本面：油厂开机回落，进口油菜籽库存库存增加，现货市场整体成交转好，低位吸引成交。美豆进口征税利多粕类，菜粕价格整体跟随豆粕震荡。中性 　　2、基差：现货2470，基差-52，贴水期货。偏空 　　3、库存：菜粕库存2.8万吨，上周2.01万吨，环比增加39.3%，去年同期5.8万吨，同比减少51.72%。中性 　　4、盘面：价格20日均线上方且方向向上。偏多 　　5、主力持仓：主力多单增加，资金流出。 偏多 　　6、结论：菜粕整体跟随豆粕走势，进口油菜籽加工利润尚可，短期跟随豆粕震荡，市场关注焦点仍集中在豆粕。菜粕RM901:短期2500附近震荡短线操作为主。                                            (责任编辑：DF318)"
"7月30日菜籽粕期货早盘上涨","　　郑州商品交易所(CZCE)菜粕期货主力RM1809合约，截止到9:00，开盘2509元，最新2525元，涨12元，最高2528元，最低2507元，昨结2513元。                                            (责任编辑：DF318)"
"菜粕RM809：短期2500上方震荡 短线操作为主","　　1、基本面：油厂开机回落，进口油菜籽库存库存增加，现货市场整体成交转好，低位吸引成交。美豆进口征税利多粕类，菜粕价格整体跟随豆粕震荡。中性 　　2、基差：现货2450，基差-70，贴水期货。偏空 　　3、库存：菜粕库存2.8万吨，上周2.01万吨，环比增加39.3%，去年同期5.8万吨，同比减少51.72%。中性 　　4、盘面：价格20日均线方但方向向上。中性 　　5、主力持仓：主力多单增加，资金流入。 偏多 　　6、结论：菜粕整体跟随豆粕走势，进口油菜籽加工利润尚可，短期跟随豆粕震荡，市场关注焦点仍集中在豆粕。 　　菜粕RM809:短期2500上方震荡短线操作为主。                                            (责任编辑：DF318)"
"4日期市早参：近期美元仍然易涨难跌 贵金属承压运行态势不改","　　股指期货　　周二，两市底部反弹，沪指涨幅0.41%，创业板涨1.18%，两市成交量小幅放大。盘面上，军工，软件，通讯继续领涨，消费板块领跌。期指方面，IFIH贴水收敛，IC贴水扩大。期指总持仓增加，目前总持仓123342手，较前日增加5811手。三大合约大幅放量增仓，IF增仓幅度最大。从当月合约前20持仓情况来看，IFIH多空增持，且多头增持明显。IC多空减持，且空头减持更多。　　消息面上，央媒头条：央行有信心保持汇率基本稳定人民币贬值难持续仍将双向波动。新华社：金融运行整体稳健有信心打赢防范风险攻坚战。沙特内阁确认必要时动用石油闲置产能，油价急跌。　　两市早盘超跌，但午后市场反转，军工芯片强势上扬，三大股指纷纷翻红。期货方面，IFIH贴水收敛，持仓量大幅增加，市场做多意愿在增强。盘面表现来看，市场上涨下跌家数比与涨跌停比均明显好于前期，短期资金提前开始抄底，中小盘表现更为强势。陆股通资金止跌回升，也有利于权重消费止跌企稳。股指策略建议逢低短多。(彭鲸桥)　　贵金属期货　　因今日为美国独立日假期，昨日美国市场提前休市，市场消息刺激颇为清淡。美元受非美货币上涨的影响略有回落，贵金属翻红。总的来说，目前美国经济表现强劲，近期美元仍然易涨难跌，贵金属承压运行态势不改。人民币昨日暂稳，但仍有贬值压力，内外盘价格走势或将继续背离，操作上保持谨慎。沪金1812区间270-275元/克，沪银1812区间3650-3800元/千克。　　操作上，沪金1812与沪银1812暂观望。(江露)　　沪铜期货　　宏观面，短期市场缺乏进一步消息刺激，市场对全球贸易摩擦升级忧虑并未缓解，商品市场氛围依然偏空，基本金属延续弱势。伦敦金属交易所3月期铜收跌0.94%，报6509.0美元/吨；3月期铝收跌1.14%，报2090.0美元/吨。国内方面，新一届国务院金融稳定发展委员会召开第一次会议，研究部署打好防范化解重大风险攻坚战等工作。沪铜1808收跌0.92%，报50860元/吨；沪铝1808收涨0.07%，报13995元/吨。基本面分品种看，短期无进一步消息刺激，昨日LME铜库存下滑3350吨至28.6万吨，鉴于近期国内下游现货端消费依然偏弱，资金面，昨日空头增仓下行，短期铜期价震荡偏弱概率较大。操作上，沪铜1808合约51000-51500区域逢高做空，仓位5%以内，并设置好止损。(江露)　　沪铝期货　　宏观面，短期市场缺乏进一步消息刺激，市场对全球贸易摩擦升级忧虑并未缓解，商品市场氛围依然偏空，基本金属延续弱势。伦敦金属交易所3月期铜收跌0.94%，报6509.0美元/吨；3月期铝收跌1.14%，报2090.0美元/吨。国内方面，新一届国务院金融稳定发展委员会召开第一次会议，研究部署打好防范化解重大风险攻坚战等工作。沪铜1808收跌0.92%，报50860元/吨；沪铝1808收涨0.07%，报13995元/吨。基本面分品种看，消息面，国务院日前印发《打赢蓝天保卫战三年行动计划》，预计后期环保将进一步趋严，短期社会库存下滑速度放缓，消费端运行依然偏弱，但目前铝价逐步触及下方成本区域，短期铝期价下方空间或有限，暂维持震荡观点。操作上，沪铝1808合约勿盲目追空，暂时观望。(江露)　　沪镍期货　　基本面，供给端，菲律宾环保或升级，镍矿供给引发一定担忧；国内环保因素渐退，市场对镍铁复产的预期提升，供给偏紧对镍价仍有支撑。需求端，不锈钢价格已回落到环保前的位置，不锈钢消费淡季使得需求疲软。总的来说，目前市场观望情绪较浓，镍价整体震荡偏弱运行，沪镍1809区间112000-118000。　　操作上，沪镍1809建议观望，也可考虑在区间内高抛低吸。(江露)　　铅锌期货　　基本面，锌基本面偏弱，消费端汽车行业疲软，供应端1-5月锌产量235万吨，增加1.6%，目前外矿传出8月产量放出消息。现货端上海金属网0#锌对当月合约升水110-210元/吨，锌价上升动能减弱。铅，上期所沪铅库存9696吨，低库存利好铅价，后续或迎来上涨。现货端1#铅对当月合约升水930-1030元/吨，升水扩大幅度较大，供应短缺或加剧，铅价看涨。整体而言，铅锌基本面铅强于锌。预计锌1808运行区间22500-23300；铅1808合约运行区间19800-21000。　　策略：锌1808合约空单继续持有，建议22380附近止盈。铅1808合约建议多单继续持有，仓位5%，设置200止损。(江露)　　钢材期货　　环保限产大环境下，钢厂利润受政策保护概率较大，加上期价因贴水较深表现出的抗跌性，短期仍可坚持逢低做多的思路，但需求淡季效应也愈加明显，下游接货意愿明显偏弱，高利润仍将驱动高生产，供给不弱，盘面将震荡加剧。 RB1810建议在多单继续持有，止损上移至3750；HC1810建议多单继续持有，止损上移至3850。(张贵川)　　动力煤期货　　社会库存高位维稳，电厂库存1525万吨，处于历史高位水平，且进口煤政策放松，对北方市场煤需求减弱。此外，未来长江中上游、西南地区降雨将有明显增幅，短期内水电发力或将增加，因此动力煤将继续承压。后市，日耗成为唯一支撑上涨的因素，同时，郑煤在高贴水下下方支撑较强。综合而言，郑煤短期偏弱，长期仍有上涨可能。　　操作建议：09合约日内短线可考虑630-650区间低买高卖，突破区间5个点止损；可考虑买01卖09进行反向套利。(张贵川)　　原油沥青期货　　消息面上，API公布数据显示，截至6月29日当周，美国原油库存减少450万桶，高于市场预期的减少326.7万桶；汽油库存减少307万桶，同样高于预期减少100万桶。另一方面，加拿大油砂阿尔伯塔省Fort McMurray的油砂设施因电力故障停运，导致市场出现约36万桶/日的供给缺口，进一步降低了北美的石油供应；此外，委内瑞拉国家石油公司表示，今年上半年委内瑞拉对印度石油出口量下滑21%至28万桶/日。综合看，美国API原油库存超预期下降叠加多国原油供应意外下滑均对原油形成利好支撑。沥青方面，长江沿岸省份陆续出现强降雨天气，道路施工受限，沥青刚需偏弱，但是原油价格高位支撑，对沥青价格支撑明显。　　操作上，SC1809关注下方490-495元/桶区间的支撑；bu1812在3150-3200元/吨区间逢低做多，有效跌破3150元/吨止损。(李彦杰)　　橡胶期货　　美原油小幅反弹；东京工业品交易所(TOCOM)期胶主力合约周二收市价173.3日元/公斤；上期所天胶周二主力合约Ru1809前二十位多头持仓减少3449手至99598手，空头持仓减少4956手至130097手。橡胶1809合约周二晚间下跌45元至10440元/吨。主力合约Ru1809日K线小幅回调，成交量缩小。　　操作策略：橡胶1809宽幅震荡，MACD红柱放大，轻仓短空，空头止损设在11100。(胡丁)　　PTA期货　　美原油小幅反弹；PTA产出小幅提高；郑商所PTA周二主力合约TA809前二十位多头持仓增加14999手至274463 手，空头持仓增加15701手至303360手。PTA1809合约周二晚间下跌30元至5852元/吨。主力合约TA809日K线小幅回调，成交量放大。　　操作策略：PTA1809低位震荡，MACD红柱收敛，轻仓短多，多头止损设在5700。(胡丁)　　玉米类期货　　截止六月今年临储拍卖累计成交4957.32万吨，总成交率53.53%。最新公告7月12-13日计划拍卖量维持800万吨。关注本周800万吨拍卖交易情况。另外，7月6日吉林省储备粮轮换竞价交易20万吨玉米。近期主产区强对流气象灾害和虫害在部分地区发生，今年病虫害较往年有所加重。　　昨日全国玉米价格基本稳定。锦州港口新粮收购价1700-1720元/吨，持平，广东蛇口港口成交价格上涨10元至1810-18200元/吨，其余港口价格稳定。深加工厂收购价方面：山东昌乐上调10元至1880元/吨，河南焦作下调10元至1930元/吨。　　期货市场，玉米09合约昨日收盘价为1786元/吨，上涨1元/吨，持仓量增1980手至56.1万手。临储拍卖期间玉米供大于求的基本面不变。而长期供需缺口以及拍卖底价叠加运费成本上升对期价亦形成底部支撑。需求方面，猪价低迷叠加夏季消费淡季，饲企需求受限；而淀粉库存仍处于高位，以随用随采为主，旺季不旺。09合约高位承压，01合约窄幅震荡，9-1价差维持-63。建议短期09合约可在1785至1800区间试空。　　昨日淀粉现货价基本稳定，东北部分地区上涨。随着东北拍卖粮入关量激增，华东地区玉米收购价格回落后企稳。淀粉企业在价格相对高位签单受限，开机率回升至70.89%，库存较上周基本持平，仍处于高位。预计后期华北淀粉企业停机检修会使开机率逐步下滑从而减轻库存压力，但下游旺季尚未启动，淀粉库存难降。淀粉09合约昨日收于2254元/吨，上涨14元/吨。盘面淀粉09-玉米09价差扩至468，传闻淀粉交割标准或将提升从而支撑交割成本，观望为主。(田亚雄)　　白糖期货　　周二国内主产区糖厂出厂价稳中下行。广西产区报价5260-5380元/吨，低端报价下跌20元；云南产区报价5080-5150元/吨，下跌50元/吨。华南、华中及华北销区价格普遍走低，终端用户按需采购为主。　　因对贸易冲突担忧，农产品板块整体走低，郑糖低开后继续下跌，随后小幅反弹，减仓4406手，总持仓量为57.5万手。夜盘小幅高开走低，收于5039。乙醇价格走低，偏弱的基本面继续带动美糖走低，收于11.41。　　看跌预期致使终端消费者随行就市采购，旺季迟于往年，采购积极性难以提振。国际糖市整体供过于求，泰国糖出口大增，缅甸批准白糖转口贸易，走私情况不容乐观；替代品果葡糖浆旺季来临，价格小幅上涨，但替代性犹在。上方压力依然不减，建议观望为主，关注糖会信息及产销数据。(牟启翠)　　苹果期货　　局部天气灾害对于整体市场供需影响的程度有限，历年来，苹果产区都会出现大大小小的冰雹、大风灾害，建议对相关信息保持审慎。　　苹果期货上市以来，一直呈现大幅波动的情形，这是由苹果作为生鲜品本身价格的波动性和不确定性决定的。当前苹果期货价格已经来到相对高位，从我们了解到的情况来看，苹果交割品的升水以及对于苹果天气灾害的预期已经在盘面呈现出来。　　此外，07合约的大幅跳水引发市场对于交割品下游销货的担忧，下游市场对于交割品与一般现货的认知如果没有明晰，交割品向下游销货将有重大压力。　　在未来没有新的供需因素推动的情况下，苹果各合约将继续在较大的震荡区间内波动。1810合约下方弱支撑在9300一线，9000左右较强支撑；当前苹果期价接近下方支撑，激进投资者可择机入场做多，及时止盈；谨慎投资者可等待市场可能出现的进一步回调。(田亚雄)　　棉花期货　　中储棉周二挂牌销售3万吨，实际成交1.5万吨，成交率为50%，平均成交价格折3128B级为16261元/吨。地产棉成交0.65万吨，成交率32.1%；疆棉成交0.85万吨，成交率为86.7%。　　周二现货市场价格小幅下跌，CNCottonA报16778，下跌15元；CNCottonB报16283，下跌16元。郑棉低开延续震荡，减仓53050手，总持仓量为59.9万手。夜盘高开走低，收于16615。在贸易冲突的压力下，美棉继续小幅走低收于82.81。　　在贸易冲突升温的背景下，前期棉价大跌促使轮出底价走低，近日抛储成交有明显提高，有利于去库存。全球棉市偏紧，国内库存走低使得郑棉慢牛的基本面仍未有大变动，预计后期将重回缓中慢涨态势。但当前贸易冲突带来的利空依然是影响市场的主要因素，激进者可轻仓短空，中长期仍建议逢低在16000-16500布局郑棉多单。(田亚雄)　　鸡蛋期货　　今日北京主流价格3.14元/斤，涨0.1元/斤，大洋路早间到车11车，到车增多，价格企稳。山东产区整体保持平稳略涨，曹县地区价格2.80元/斤，涨0.08元/斤。北方产区稳中略涨，南方产区以稳为主。大面积的降雨以及前后的高温天气对于鸡蛋的储存与物流产生较大影响，造成了上周鸡蛋价格的连续下跌。降雨继续在我国江淮、东南、关中、四川地区延续 ，部分区域蛋价仍受压制。但是随着梅雨季节进入尾声，中秋预期持续加强，蛋价现货下跌空间有限。　　上周现货鸡蛋价格约15%的价格下跌导致1808以及1809合约受到一定冲击，08-09价差微幅扩大。但中秋季节性的预期支撑，08及09的下方空间相对有限。进入回调节奏，投资者可以逢低买入，08入场价格在3950左右，09在4140左右，可继续持有08-09正套组合。(田亚雄)　　　交易日历　　上海期货交易所　　交易提示：　　上一交易日ru1809合约持仓超过16万手，按交易规则，今日上述合约交易保证金上调3%。　　上一交易日ru1901合约持仓超过12万手未超过16万手，按交易规则，今日上述合约交易保证金上调1%。　　上一交易日ni1809合约持仓超过36万手，按交易规则，今日上述合约交易保证金上调2%。　　上一交易日rb1810合约持仓超过150万手，按交易规则，今日上述合约交易保证金上调2%。　　大连商品交易所　　交易提示：　　上一交易日b1807合约出现第1个涨停板，按交易规则，今日上述合约涨跌停板为9%，交易保证金按正常标准收取。　　郑州商品交易所　　交易提示：　　上一交易日SM808合约出现第1个涨停板，按交易规则，今日上述合约涨跌停板为9%，交易保证金上调4%。　　上一交易日MA807合约未出现第3个涨停板，按交易规则，今日上述合约涨跌停板为5%，交易保证金按正常标准收取。　　上一交易日AP807合约未出现第2个跌停板，按交易规则，今日上述合约涨跌停板为6%，交易保证金按正常标准收取。 ?                                            (责任编辑：DF318)"
"菜粕：短线2400附近多单持有","　　1。基本面：油厂开机回落，进口油菜籽库存库存增加，现货市场整体成交转淡，但低位仍吸引成交。菜粕价格整体跟随豆粕震荡。中性 　　2。基差：现货2450，基差-82，贴水期货。偏空 　　3。库存：菜粕库存5.3万吨，上周4.92万吨，环比增加7.72%，去年同期3.74万吨，同比增加41.7%。偏空 　　4。盘面：价格20日均线上方且方向向上。偏多 　　5。主力持仓：主力空单减少，资金流入。 偏空 　　6。结论：菜粕整体跟随豆粕走势，进口油菜籽加工利润尚可，短期跟随豆粕震荡，市场关注焦点仍集中在豆粕。 　　菜粕RM809:短线2400附近多单持有。                                             (责任编辑：DF318)"
"油脂油料：油脂油料偏强震荡","　　昨日国内油脂油料全线上涨，截至收盘，豆粕M1809合约上涨2.22%至3126，菜粕RM809合约上涨2.05%至2489。豆油Y1809合约上涨1.02%至5558，菜油OI809合约上涨0.84至6492，棕榈油P1809合约上涨0.50%至4782。 　　基本面情况 　　据航运机构SGS数据显示，马来西亚棕榈油1-25日出口环比下滑14%，主要需求印度将增加豆油和葵油进口税，对棕榈油的需求将会有所提升，但目前印度油脂港口库存仍较高，后期进口存疑。Sppoma和Mpob均预估6月前20日产量环比减产15%到20%。这对棕榈油提供一定支撑。加上本周原油强势，油脂整体反弹。但 　　国内油脂阶段性供应压力增加，豆油库存为141万吨，菜油库存为39.15万吨。国内粕类库存亦在增加。 　　本周将公布美豆种植面积报告和季度库存报告，市场预估种植意向报告将较3月底公布的上调70万英亩，季度库存也将增加。 　　操作建议 　　粕类料继续维持偏强震荡，油脂短期反弹，但动力不足。操作上，建议粕类前多续持，油脂短差操作。                                            (责任编辑：DF318)"
"菜粕RM809：短线2400附近轻仓做多","　　1。基本面：油厂开机回落，进口油菜籽库存库存增加，现货市场整体成交转淡，但低位仍吸引成交。美豆进口征税利多粕类，菜粕价格整体跟随豆粕震荡。中性　　2。基差：现货2400，基差-39，贴水期货。偏空　　3。库存：菜粕库存5.3万吨，上周4.92万吨，环比增加7.72%，去年同期3.74万吨，同比增加41.7%。偏空　　4。盘面：价格20日均线下方且方向向下。偏空　　5。主力持仓：主力空单减少，资金流出。 偏空　　6。结论：菜粕整体跟随豆粕走势，进口油菜籽加工利润尚可，短期跟随豆粕震荡，市场关注焦点仍集中在豆粕。　　菜粕RM809:短线2400附近轻仓做多。                                             (责任编辑：DF318)"
"中国下调部分亚太国家的大豆进口关税 从3%调降至零","摘要            国务院关税税则委员会今日发文称，下调部分亚太国家的大豆进口关税，并公布了其他关税下调的产品清单。中国将自7月1日起将印度、韩国、孟加拉国、老挝和斯里兰卡大豆进口关税税率从3%调降至零。这份清单还包括化学品、农产品、医疗用品、服装、钢铁和铝制品，这些产品分别获得不同程度的关税税率下调。                             　　国务院关税税则委员会今日发文称，下调部分亚太国家的大豆进口关税，并公布了其他关税下调的产品清单。中国将自7月1日起将印度、韩国、孟加拉国、老挝和斯里兰卡大豆进口关税税率从3%调降至零。这份清单还包括化学品、农产品、医疗用品、服装、钢铁和铝制品，这些产品分别获得不同程度的关税税率下调。　　国务院关税税则委员会关于实施《〈亚洲-太平洋贸易协定〉第二修正案》协定税率的通知　　税委会〔2018〕27号　　海关总署：　　根据《中华人民共和国进出口关税条例》及经国务院核准的《〈亚洲-太平洋贸易协定〉第二修正案》，决定自2018年7月1日起，对原产于孟加拉国、印度、老挝、韩国、斯里兰卡的进口货物适用《〈亚洲-太平洋贸易协定〉第二修正案》协定税率。具体税目税率见附件。　　特此通知。　　附件：《亚洲-太平洋贸易协定》协定税率表　　国务院关税税则委员会　　2018年6月19日　　时下热点>>>　　美国盟友展开报复：精准打击特朗普票仓　　特朗普威胁欲针对欧洲进口汽车征收20%关税　　特朗普对盟友挥起贸易“大棒”：利益面前无盟友                                    (原标题：中国下调部分亚太国家的大豆进口关税 从3%调降至零)                                                (责任编辑：DF318)"
"供应短期宽松长期偏紧 菜系期货品种有望保持坚挺","摘要            临储菜油经过几轮拍卖和定向销售后，去库存周期接近尾声，而国内菜籽产量逐年减少，菜系品种对外依存度明显提升，在产销发生重大变化的背景下，国内菜系市场后市将如何演绎？                             　　临储菜油经过几轮拍卖和定向销售后，去库存周期接近尾声，而国内菜籽产量逐年减少，菜系品种对外依存度明显提升，在产销发生重大变化的背景下，国内菜系市场后市将如何演绎？　　全球菜籽产量创新高　　“2017/2018年度全球菜籽产量创新高，主要得益于面积的增加。2018/2019年度全球菜籽播种面积有望继续增加2.9%至3679万公顷，产量增至7508万吨，同比增80万吨。” 国家粮油信息中心高级分析师王辽卫日前在西部期货于西安举办的“2018年中国菜系市场展望论坛”上如是说。　　据记者了解，近些年，全球菜籽年贸易量超过1700万吨，其中近六成来自加拿大。过去20年，全球菜籽出口量的增幅主要来自加拿大。加拿大菜籽供应全球，也是我国进口菜籽的主要来源国。乌克兰、澳大利亚菜籽则主要出口欧盟。　　在与会人士看来，加拿大大草原地区主要作物春小麦、油菜籽、大豆整体播种面积持续增加，23年间增长25%，未来还将继续增加，但增幅有限。　　“加拿大统计局预估2018年油菜籽种植面积为865万公顷，较2017年创纪录的931万公顷减少7%，加拿大菜籽种植收益明显优于小麦，农户将更倾向于将小麦或其他作物改种菜籽，后期菜籽面积或将上调。”王辽卫说。　　王辽卫认为，加拿大菜籽产量仍有望超过去年。他解释说，若种植面积达到市场此前预估的2370万英亩创纪录水平，单产预估在40.4蒲式耳/英亩，加籽新作产量将达到2172万吨，2017年产量为2131万吨，那么2018年加籽的产量又将是创纪录的高位。　　此外，美国农业部预计，2018/2019年度欧盟油菜籽产量预计为2180万吨，较上年度增加30万吨；欧盟粮食商会(Coceral)将2018年欧盟油菜籽产量预测数据从2200万吨下调到2100万吨；法国农业部预计，2018/2019年度法国冬季油菜籽产量为490万吨，比上年减少9.1%。　　“主要因油菜籽作物生长期间天气不利，造成单产下滑，抵消了播种面积增长的影响。” 王辽卫说。　　值得一提的是，国外菜籽产量创新高，而国内的油菜产区的面积却在连年下降。2015年度临储托市收购政策退出对国产菜籽影响较大，传统菜籽产区播种面积下降明显，国产菜籽产量和商品流动量快速萎缩。过去两年临储菜油拍卖一定程度上抑制了菜籽和菜油进口，随着临储菜油消化将尽，国内菜系市场对外依存度将提高。“全球菜籽和菜油的供应主要是加拿大出口，国内进口的菜籽和菜油90%以上来自加拿大，理论上目前加拿大产量和出口能力能够满足中国进口需求，但国内市场对国际市场变化反应将更为敏感，受到外部市场风险因素的影响也将更大。” 西部期货投研总监李国告诉期货日报记者。　　饲料添加比例影响菜粕进口需求　　“菜粕添加比例的变化主要取决于价差关系，变化弹性较大。以目前价差水平看，菜粕添加比例较高。”上海融葵投资管理有限公司高级研究员黄蔚表示，国产菜籽全部进小榨，大概三成青饼(全部进饲料)、七成黄红饼(20%—30%进饲料)，折算下来85万吨左右可以进饲料。　　记者从与会人士处得知，今年杂粕的量比去年多。此外，水产需求今年很好，菜粕添加比例会提高。　　“国产菜籽减产明显，预计今年青饼供应会减少较多。另外，杂粕性价比高，会替代一部分菜粕。”黄蔚说。　　数据显示，2016/2017年度国内DDGS进口同比减少350万吨，棉粕产量持续下滑，菜粕实际产量也在减少，豆粕对杂粕的替代明显增加。2017/2018年度我国DDGS国内产量大幅增加，进口减幅有限，棉粕、菜粕预计增产，可能出现杂粕替代豆粕的情况。　　在行业人士看来，豆菜粕价格差决定菜粕用量，由于进口菜粕大幅增加，市场供应充足，今年豆菜粕价格差将高于去年。另外，价差的变化在需求旺季影响更大。400元/吨的价差可用到最低水平，600元/吨的价差则可能用到20%左右。价差越大添加比例越高。　　“菜籽进口榨利持续走好，并且长期好于大豆，有可能会刺激产能的增加。美豆没有利多问题，豆粕价格走低，会间接影响菜粕需求。杂粕性价比高，会替代一部分菜粕。”黄蔚表示，后市菜籽价格易涨难跌，可能在3000—3400元/吨区间振荡。　　菜油远期供应偏紧　　记者从与会人士处了解到，近期，一方面是临储菜油去库存接近尾声，库存总量逐渐下滑，无法支撑当前的消费需求；另一方面，尽管进口菜油利润丰厚，但9月份之前船期基本买满，从基本面看并不支持菜油价格继续上涨。　　监测显示，5月31日国内沿海地区菜油库存总量27万吨，与上周基本持平，其中华南油厂5.5万吨，华东地区21.5万吨。长江流域定向销售的菜油库存依然较高，参与定向销售的企业出货困难，产业客户并没有看涨热情。　　“当前豆菜油价差超过1000元/吨，势必压制菜油消费，不利于库存的消化。以现有的盘面价格测算，9月合约交割量将大幅增加，而且豆油、棕榈油库存有望再度增加，整体油脂供应充裕的格局没有改变，单独依靠菜油拉动的油脂市场可能缺乏根基。”王辽卫说。　　黄蔚认为，抛储之后，可持有调节价格砝码效应减弱，菜油压力在近期抛储集中释放后，远期压力会逐步减小。短期定向和抛储的油脂会给现货市场压力，但压力比过去两年同期小。　　在李国看来，临储菜油经过几轮拍卖和定向销售后，去库存周期接近尾声。市场矛盾点集中在两个方面：一是临储菜油拍卖和定向销售导致市场短期供应较为充裕，直观表现为港口和销区库存水平较高，部分主销区与港口价格倒挂；二是随着临储菜油的消化，国内可供应量明显减少，市场普遍预期远期供应偏紧，菜油一度领涨国内油脂价格，充分反映出市场的看多热情。后市国内菜油将在短期供应宽松和预期远期供应偏紧的博弈中推进，另外东南亚棕榈成为牵动市场神经的关键外部推动因素。                                    (原标题：菜系期货品种有望保持坚挺)                                                (责任编辑：DF318)"
