"标题","正文"
"螺纹跌至4333！期钢一片惨绿钢价为何不大跌？","摘要            8月2日，国内钢材市场价格普跌。昨日国内黑色系商品期货涨跌互现，成材趋弱收跌、焦炭大涨、焦煤铁矿小幅跟涨，盘面利润再次缩窄。昨日唐山钢坯市场价格维持平稳，现普碳坯价格在3840元/吨。                             　　8月2日，国内钢材市场价格普跌。昨日国内黑色系商品期货涨跌互现，成材趋弱收跌、焦炭大涨、焦煤铁矿小幅跟涨，盘面利润再次缩窄。昨日唐山钢坯市场价格维持平稳，现普碳坯价格在3840元/吨。图表：主要品种价格变化　　昨日国内黑色系品种价格来看，现货方面由于1日市场大幅回调昨日早盘报价较为谨慎，下游需求方面仍然按需采购，价格小幅回落，成交不温不火。午后，随着焦炭方面继续大幅拉涨，带动黑色系各品种小幅跟涨，现货方面成交有所转好。从期螺持仓方面来看，空头持仓进一步趋于集中，原主力多头永安席位净多全部平仓了结，短期单边上涨行情或许就此终结。总体来看，近期市场依旧方向不明，但大幅上涨的概率已越来越小，操作方面，观望为主，注意仓位。　　昨日3家钢厂发布调价信息，对钢材价格进行了10到40元的调整。　　钢材现货　　建筑钢材：昨日国内建筑钢材价格窄幅调整。具体来看，早盘期螺窄幅震荡，现货市场观望情绪较浓，加之近日市场需求表现不佳，故商家多松动出货，盘中市场延续弱势，部分地区二次下调价格，尾盘期螺小幅反弹，现货成交略有回暖。从2日我网统计的库存数据来看，螺纹钢社会库存452.66增5.11，线材社会库存120.44增2.27，近日市场实际需求表现不佳，使得短期内价格上行受到抑制，而价格下跌又有成本支撑，综合来看，预计今日国内建筑钢材价格震荡运行为主。　　热轧板卷：昨日全国24个主要城市热轧价格小幅下跌。4.75热轧板卷全国均价4304元/吨，较上一交易日下跌9元/吨。昨日期货市场震荡下跌，市场观望情绪加重，商家报价小幅下跌，市场成交整体偏弱。据本网统计，本周全国热轧库存为214.28万吨，较上周增加3.03万吨。目前市场库存增加相对有限，加上成本的支撑较强，商家心态比较平稳，跌价意愿不强。综合来看，预计今日热轧市场价格震荡运行。 　　冷轧板卷：昨日全国冷轧价格涨跌互现。1.0全国冷轧均价4765元/吨，较上个工作日增加1元/吨。市场方面：昨日黑色期货下跌，冷轧现货市场受此影响，观望心态较重。部分地区贸易商仍试探性拉涨价格，但出货较为困难。当前商家心态以稳为主，部分规格缺货现象较为普遍，且受成本支撑，贸易商不想低价出售。资源方面，本周冷轧库存119.26万吨，较上周增加0.68万吨，较上月增0.69万吨，贸易商基本不敢做太多库存，以出货为主。因此预计今日冷轧现货市场价格涨幅有限将震荡趋稳运行。 　　中厚板：昨日国内中厚板市场价格盘整运行。全国23个主要城市20mm中厚板均价4405元/吨，较上一交易日下跌1元/吨。近期市场需求整体偏弱，价格的上涨并没有推动成交的释放，随着期货的回落，市场观望情绪加重，价格涨势受阻。据本网统计，本周全国中板库存总量为95.18万吨，较上周减少0.24万吨。目前市场库存资源相对不多，加上成本的支撑，因此商家也不愿低价销售，市场整体维稳为主。另外昨日唐山钢坯市场价格维持平稳，现普碳坯价格在3840元/吨。综合来看，预计今日中厚板市场价格震荡运行。　　原材料现货　　进口矿：2日受连铁1809合约盘面下跌的影响，今早进口矿贸易商报盘积极性较低，山东地区PB粉主流报价470元/吨，较1日下调10元/吨；唐山地区PB粉主流报价485元/吨，较1日下调5元/吨。上午市场询盘较为冷清，钢厂多持观望态度，买盘价格较低，贸易商挺价心态较强，成交那已达成。午后市场，随着期货盘面的小幅走高，市场交投开始活跃，预计收盘后成交将有所好转。　　焦炭：日国内焦炭市场现货价格继续走强，焦企提涨范围扩大，河北个别钢厂接受并于近日执行。供应方面，上游焦化出货较前期转好，库存普遍低位，心态乐观；需求方面，钢厂库存多处中低位，加之市场心态转变，采购量增加，抵触情绪降低；港口库存小增，贸易商看涨情绪不减。综合来看，焦价落实范围将继续扩大。　　废钢：昨日唐山地区废钢市场继续稳中趋强，钢筋头、坯料头废钢价格已涨至2650-2670元/吨，资源偏紧，市场抢货明显，市场成交总体一般。目前本地钢厂对废钢需求稳定，且库存相对偏低，预计今日唐山废钢坚挺为主。武汉顺乐钢厂废钢采购价格个别涨40元/吨，预计短期内废钢是稳健上行的主流趋势仍将延续。　　特钢现货市场　　结构钢：2日全国结构钢市场价格暂稳观望，成交一般。杭州结构钢市场价格暂稳。现杭钢45#碳圆主流报价4540元/吨，昨日市场报价弱稳观望，期货走势低位运行，市场受期货近日高位回落影响价格弱稳，成交表现一般低位成交尚可，考虑到近日拉涨过快下游多有恐高情绪，预计短期价格将稳中趋弱运行。昨日长沙市场结构钢价格平稳运行，45#碳结钢湘钢主流报价4580元/吨，短期预计，本地市场结构钢价格或将继续盘整运行为主。　　热轧管坯：昨日全国热轧管坯钢市场价格稳中偏强，成交一般。江苏管坯市场涨10-40。现20#热轧管坯报价淮钢4530元/吨，市场方面，1日各大钢厂发布上旬调价，管坯钢均涨30元/吨，商家考虑成本问题，配合拉涨。目前受到环保检查影响，钢厂管坯钢生产减量，市场资源量下降。总体来看，短期价格震荡调整。山东管坯市场报稳观望，成交一般。现20#热轧管坯钢钢厂直发报价：山东鲁丽4250元/吨，钢厂方面，昨日省内热轧管坯钢主流生产企业均未对热轧管坯钢价格进行调整。市场方面，受期货大跌影响，昨日省内热轧管坯钢市场商家报价观望，整体出货表现一般，由于商家多有高价位订单资源，目前企稳意愿较为强烈。　　钢材市场预测　　昨日国内钢材品种价格涨跌互现，经过1日期货早盘整体大涨之后，市场开始显现乏力，特别是1日夜盘重挫，商家信心受到明显抑制，下游采购更是相对观望。　　基本面来看，目前供需格局并未明显改变，我网最新数据显示，钢材社会库存+钢厂库存总体小幅下降，库存继续低位运行。后市来看，短期建材价格涨跌空间仍有限，震荡调整走势还将继续，建议合理操作为主。                                            (责任编辑：DF318)"
"8月2日角钢为4146.00元/吨","　　8月2日，角钢参考价为4146.00元/吨，与8月1日(4136.00)相比，上涨了0.24%。                                            (责任编辑：DF380)"
"期市高位拉锯 螺纹钢变涨跌“急先锋”","摘要            连续多日整体上涨之后，国内商品市场进入高位争夺的“拉锯战”，反映国内商品市场整体行情的文华商品指数到达去年9月以来的新高之后连续回调。本轮行情中，市场分化明显，以螺纹钢为主的黑色系成为左右商品市场涨跌的“急先锋”，有色品种则相对低迷。市场分析认为，随着财政政策更加积极等因素发酵，商品后市仍然存在上涨空间，但是短期的回调压力仍然值得警惕。                             　　连续多日整体上涨之后，国内商品市场进入高位争夺的“拉锯战”，反映国内商品市场整体行情的文华商品指数到达去年9月以来的新高之后连续回调。本轮行情中，市场分化明显，以螺纹钢为主的黑色系成为左右商品市场涨跌的“急先锋”，有色品种则相对低迷。市场分析认为，随着财政政策更加积极等因素发酵，商品后市仍然存在上涨空间，但是短期的回调压力仍然值得警惕。 　　商品指数高位拉锯 　　商品市场7月下旬以来表现出色。7月19日开始，文华商品指数连续收下9条阳线，8月1日盘中一度达到161.88点的高位，为去年9月以来的新高。 　　“近期商品指数上涨，主要是两方面原因，其一是原油价格上涨，能化板块表现不错，另外黑色系在严格环保下震荡上涨，也支撑整个指数走高；其二，近期人民币贬值明显，商品成为避险品种也导致价格表现偏乐观。”东吴期货总经理助理兼研究所所长姜兴春在接受中国证券报记者采访时表示。 　　中大期货首席经济学家景川则认为，全球经济持续回升、人民币汇率波动以及国内宏观政策转向预期共同推动商品市场走强。 　　“人民币汇率下行，以人民币计价的商品存在被动上涨的利多。同时，目前全球经济复苏都比较强劲，也支撑商品市场上涨。”景川说。 　　此外，国内对于宏观政策的预期也在转变，景川认为，目前中国经济增速回落已经是一种现实情况，在这样的情况下，政府对货币和财政政策都做出了一些调整，因此对商品市场有一定支撑。 　　中国大宗商品发展研究中心(CDRC)秘书长刘心田表示，从周期来看，下半年“金九银十”的消费旺季到来之时，商品市场往往都会有所表现，“7月底以来的行情可以看作下半年行情的预演”。 　　值得注意的是，在商品市场整体上涨中，品种之间的分化也更加明显。黑色系和能化表现出色，有色行情却相对疲软。 　　从盘面上看，螺纹钢主力合约7月19到8月1日最大涨幅高达7.44%。PTA主力合约8月2日涨停，7月18日以来累计涨幅超过14%。同期，有色系两大主力沪铜主力合约最大涨幅为3.55%、沪铝主力合约最大涨幅4%，跟涨态势明显。 　　“黑色系和有色系分化主要是黑色系供求形势相当乐观，供给侧改革导致供需紧平衡，而有色系是国际化品种，受到中国经济下滑影响需求减弱，从而表现为弱势震荡。”姜兴春表示。 　　景川对中国证券报记者分析，铜、铝定价中心主要在国外，在美元上涨的过程中，铜、铝等有色品种表现不及定价在国内的黑色系等品种。 　　“黑色、能化和有色几个板块在国内市场近几年往往呈现轮动行情，黑色系的市场活性比较强，铜、铝等有色需要的资金量比较大，如果不出意外的话，黑色之后有色的行情就会有所表现。”刘心田表示。 　　螺纹钢拿起“指挥棒” 　　在本轮国内商品市场的行情中，螺纹钢走势成为整个市场的“指挥棒”，多位投资者表示，螺纹钢主力合约1810是当前当之无愧的龙头合约，其走势对市场影响重大。 　　事实上，螺纹钢行情领先于整个商品市场。螺纹钢主力合约1810在6月26日便开始持续上涨，期间涨多跌少，价格从3669元/吨上行到8月1日的4243元/吨，涨幅高达15.64%，市场一度惊呼“螺无跌基”。 　　基本面上，近期钢材库存超预期下降，据兰格钢铁云商平台监测数据显示，截至7月27日，全国螺纹钢社会库存为356.1万吨，较上月同期下降11.4%，较上年同期上升15.9%；较3月9日的947.7万吨的高点下降了62.4%。 　　“黑色的行情仍然受到供给端的驱动，库存持续减少对螺纹的行情推动比较明显，供需逻辑对行情发挥着比较大的作用。”景川表示。 　　不过随着螺纹钢期货价格持续走高，近两日开始出现技术面回调。 　　钢铁行业分析师杨皓表示，从技术分析上看，螺纹钢经过本轮大幅度上涨，创出近五年来历史新高，但是盘面中积攒过多下跌动能，且超买行情严重。 　　“从近一个月的走势上看，本轮属第五浪上涨，上涨高度及时间均已就位，从走势的顺畅性考虑，后期是会回调一下的，预计后市震荡下跌至3900元/吨-4000元/吨区间中震荡盘整，积攒上涨动能以启动下一轮上涨走势。”杨皓说。 　　螺纹钢回调商品指数也受到牵连。周三，螺纹钢盘中跳水3%，带动文华商品指数当日收阴下跌0.45%，周四螺纹钢主力合约全天低开高走收下假阳线，文华商品指数则以长下影线的小阳线收盘。 　　不过，兰格钢铁研究中心主任王国清表示，经过一段时间调整后，螺纹钢仍将回归基本面，下半年基建投资提升将对螺纹钢有一定支撑。 　　后市商品行情看高一线 　　虽然近期市场表现良好，但是商品市场的悲观情绪一直都在。多位投资者对记者表示，国际经济形势急剧变化，投资者对于国际经济恢复的预期改变，从需求逻辑来看，宏观经济将向不利于商品需求的角度发展，所以商品市场需要维持谨慎。 　　文华商品指数近日被螺纹钢带动回调似乎也印证了这一悲观的说法。 　　“黑色系已经出现分化，目前梅雨季节，消费偏淡，龙头合约开始放量滞涨，一般预示着阶段性行情结束，后市倾向于震荡调整或者小幅下跌。”姜兴春说。从品种上看，姜兴春认为，农产品相对乐观，通胀预期以及今年灾害气候会影响价格震荡偏上涨。 　　不过，也有一些分析人士相对乐观。刘心田认为，黑色系因为前期涨幅巨大，8月上旬出现回调在预期之内。“根据我们的调研情况，最晚9月份整个大宗商品的需求都会起来，市场反应会比较提前，所以8月中旬可能会看到一波行情。” 　　“从全球进入通胀周期的概念来看，经济增长的后半场这个过程还没有完成，所以商品还是维持一个牛市运行，”景川表示，“国内市场则主要考虑宏观政策，如果积极财政的力度足够，全年经济维持在6.5%以上的增长，商品不足以见顶。”                                            (责任编辑：DF380)"
"8月2日不锈钢板为14567.50元/吨","　　8月2日，不锈钢板参考价为14567.50元/吨，与8月1日(14592.50)相比，下降了0.17%。                                            (责任编辑：DF380)"
"8月2日河南省舞钢市土杂猪市场行情动态","　　舞钢市土杂猪国产的出厂报价为13.00元/公斤，和1日相比下跌了7.00元/公斤。土杂猪10KG仔猪国产的出厂报价为20.00元/公斤，和1日相比下跌了4.00元/公斤。土杂猪15KG仔猪国产的出厂报价为16.00元/公斤，和1日相比下跌了4.00元/公斤。土杂猪20KG仔猪国产的出厂报价为17.00元/公斤，和1日的报价持平。 　　                                            (责任编辑：DF387)"
"8月2日H型钢为4165.00元/吨","　　8月2日，H型钢参考价为4165.00元/吨，与8月1日(4182.00)相比，下降了0.41%。                                            (责任编辑：DF380)"
"8月2日槽钢为4173.00元/吨","　　8月2日，槽钢参考价为4173.00元/吨，与8月1日(4164.00)相比，上涨了0.22%。                                            (责任编辑：DF380)"
"8月2日工字钢为4204.00元/吨","　　8月2日，工字钢参考价为4204.00元/吨，与8月1日(4196.00)相比，上涨了0.19%。                                            (责任编辑：DF380)"
"8月2日螺纹钢(经销)为4218.46元/吨","　　8月2日，螺纹钢(经销)参考价为4218.46元/吨，与8月1日(4242.31)相比，下降了0.56%。                                            (责任编辑：DF380)"
"邯郸钢企线材：价格持稳 成交较差","　　 武安线材钢厂价格在4150-4170元/吨左右，成交较差。截止发稿，当地5家钢厂出货约为1万吨，较昨日减少2万吨。今日各厂报价维稳，受期螺回落影响，现货市场成交较前几日明显降低，下游观望情绪回归。近两日武安钢厂限电，影响日产量约0.7万吨，由此预计明日本地线材市场价格以稳为主。 　　                                            (责任编辑：DF381)"
