"标题","正文"
"镍1809：短多暂持","　　1、基本面：长期：不锈钢扩张，镍电池增涨前景好，需求增涨点显著，镍矿供应增速有限，总体供需偏紧。短期：镍矿库存增加，镍铁复产，进口窗口打开，镍的供应充足，环保限制部分地区不锈钢生产，需求受影响。供需天秤向供应倾斜。同时不锈钢的供需受到减产影响，300系列供应减少，不锈钢价格坚挺。中性 　　2、基差：现货112600，基差920，偏多 　　3、库存：LME库存256158，-1344，上交所仓单16116，-180，偏多 　　4、盘面：收盘价在20均线以上，20均线向下运行，中性 　　5、主力持仓：主力持仓净空，多翻空，偏空 　　6、结论：镍1809:短多暂持，可能有所反复，止损111000。 　　                                            (责任编辑：DF318)"
"7月27日金川公司将上调金川镍出厂价","　　金川公司于2018年7月27日将金川镍出厂价由112000元/吨上调至113000元/吨，涨幅达1000元。                                            (责任编辑：DF318)"
"2018年7月24日金川镍出厂价上调400元/吨","　　金川集团于2018年7月24日上调电解镍(大板)出厂价至110400元/吨，桶装小块上调至111600元/吨，每吨上调400元。                                            (责任编辑：DF318)"
"中国废镍市场价格7月20日","2018-7-20纯镍废料108100/1087002018-7-20西北地区纯镍废料108100/1087002018-7-20东北地区纯镍废料108100/1087002018-7-20河南地区纯镍废料108100/1087002018-7-20浙江地区纯镍废料108100/1087002018-7-20天津地区纯镍废料108100/1087002018-7-20广东地区纯镍废料108100/1087002018-7-20上海地区纯镍废料108100/108700                                            (责任编辑：DF318)"
"镍价中长期涨势可期","摘要            7月酷暑已至，镍价走势却逐渐转弱。虽然去库存趋势延续，但在需求清淡导致的市场情绪偏空下，镍价高位难以为继，展开回调。对于下半年镍价表现，随着消费旺季到来以及全球精炼镍供应收紧缺口仍在，镍价依旧是有色中的强势品种，未来价格依旧值得期待。                             　　7月酷暑已至，镍价走势却逐渐转弱。虽然去库存趋势延续，但在需求清淡擦导致的市场情绪偏空下，镍价高位难以为继，展开回调。对于下半年镍价表现，随着消费旺季到来以及全球精炼镍供应收紧缺口仍在，镍价依旧是有色中的强势品种，未来价格依旧值得期待。 　　下游消费稳中有增 　　2018年1—5月全国规模以上具有炼钢能力的不锈钢扁平材生产企业产量1110.9万吨，同比增幅12%，上半年产量大幅增加主要由于2017年钢厂处亏损状态，多数钢厂减产较多。今年钢厂盈利情况尚可，所以产量出现较大增长。进出口方面，随着印尼不锈钢产能的陆续投产回流，一季度国内不锈钢净出口减少40%。预计下半年不锈钢供应格局仍将维持宽松，净出口将继续收窄。 　　镍市需求领域正逐步由不锈钢向三元高镍材料倾斜。据了解，一辆使用三元电池的新能源汽车对镍的使用量高达60公斤。公安部交管局发布数据显示，截至2018年6月底，国内新能源汽车保有量达199万辆，其中纯电动汽车162万辆，占新能源汽车总量的81.4%，新能源货车24万辆，占新能源汽车总量的12.1%。全国全面启用新能源汽车专用号牌。 　　在持续的政策支持和财政补贴刺激下，新能源汽车产业在过去几年得到了飞速发展。7月10日，特斯拉宣布将在上海临港地区独资建设年产50万辆纯电动整车的超级工厂(Gigafactory3)，预计2年建成，这是上海有史以来最大的外资制造业项目。特斯拉汽车动力电池目前采用的是松下NCA三元材料，未来建厂加速扩产下，电池材料国产化是必然选择，不仅利好国内锂电池行业，更将大幅推动相关产业链，尤其是镍的需求。 　　下半年镍矿供应收紧 　　据Mymetal数据，印尼自2017年恢复出口至今共批准配额3199.17万吨，其中2017年共出口524万吨，截至2018年6月共出口977.6万吨，现余配额1710.4万吨。但这剩余的出口配额中，年底到期的有6家共965.9万吨配额量，此部分实际可出口量存疑；配额有效期最晚是在2019年一季度末，仅5家矿山共744.5万吨配额。印尼6月斋月以及地方首长选举假期使得当地矿山复工延缓至7月初，因此预计三季度印尼镍矿出口将持续偏低。 　　菲律宾镍矿供应同样变数颇多。菲律宾总统杜特尔特7月2日表示，由于对环境的破坏，他将很快停止一切与菲律宾矿产资源开采相关的活动。中国是菲律宾矿石最大的出口国家，根据开采速度来算菲律宾镍矿可采年限或仅能维持6年，因此无论是该国实际供应能力还是政策限制措施，菲律宾未来的镍矿资源增量十分有限。 　　据Mymetal数据，二季度受环保限产影响，5、6月全国镍铁厂减产数量近9万吨，几乎全为高镍铁，折和金属镍8000吨，山东、内蒙古等主产区减产幅度最大。进入7月，随着第一批环保回头看接近尾声，镍生铁企业逐渐复产，三季度产量将有所回升。但采暖季限产再度袭来，预计下半年镍铁产量增幅有限。2018年1—6月全国电解镍产量6.6万吨，同比2017年的7.1万吨减少近5000吨。其中，甘肃地区产量6万吨，新疆地区产量5480吨，广西地区产量420吨，其他地区无产出。但由于上半年镍价回暖，镍企利润转好，预计下半年将有所增产。二季度进口窗口间断性打开下，国外镍流入较多。精炼镍供应较为稳定，但一季度进口量较2016年大幅减少55%，全球供应仍相对偏紧。 (作者单位：中电投先融期货)                                            (责任编辑：DF318)"
"上海期货交易所7月18日镍仓单跌478吨","　　上海期货交易所7月18日上海地区镍库存合计14035吨，较上日跌478吨；江苏地区镍库存合计3947吨，较上日持平；浙江地区镍库存合计1802吨，较上日持平；山东地区镍库存合计0吨，较上日持平；总共合计19784吨，较上日跌478吨。                                            (责任编辑：DF318)"
"世界金属统计局：2018年1-5月全球镍市供应短缺5.4万吨","　　伦敦7月18日消息，世界金属统计局(WBMS)周三公布的报告显示，2018年1-5月全球镍市场供应短缺5.4万吨，2017年全年供应短缺9.6万吨。　　5月全球镍消费量为15.89万吨，产量为15.34万吨。1-5月全球产量为72.71万吨。　　1-5月全球需求量为78.08万吨。                                            (责任编辑：DF318)"
"锡市上半年盘点：挖掘锡市两次大动荡背后的逻辑链条","摘要            2018年的上半年，锡市并不太平，缅甸锡矿产能的预期减少、加工费的拉锯战、印尼锡锭的出口变动等消息，令锡市如过山车般的起伏不定。                             　　2018年的上半年，锡市并不太平，缅甸锡矿产能的预期减少、加工费的拉锯战、印尼锡锭的出口变动等消息，令锡市如过山车般的起伏不定。 　　在上半年的锡价走势之中，可以看到，其中呈现出两个涨跌较大的波段，分别为1-3月的波段一和5-6月中旬的波段二。为了更好的复盘上半年的锡市，SMM特别大盘点，详细分析这上半年中锡市的两次较大波动背后的原因和逻辑链条。 　　波段一 　　时间：去年12月中旬至3月底 　　据SMM1月5日调研得知，虽然1月初左右时间段锡价波动较大，但国内锡精矿加工费表现却十分淡定，矿价又表现坚挺，导致冶炼厂利润空间被挤压，伴随2018年将开征环保税以及随之产生的成本，冶炼厂产生希望矿商抬升加工费的意愿，这加剧了锡矿加工费的拉锯。 　　自2017年以来，缅甸出口的锡矿量明显下降，尤其是受市场青睐的重选矿更显得吃紧，矿价因此居高不下。据SMM数据显示，即使是12月中旬锡价一度跌破14万元/吨时，加工费依然坚挺，令冶炼厂倍感压力。 (2017年12月15日，锡价下坠最低点，报收13.575万元/吨) 　　在环保设备、人工等成本费用的逐年递增的情况下，加工锡锭的综合成本持续上涨，加之已经开始的环保税征收，锡厂普遍表示压力很大，对精矿加工费能够上调的诉求十分强烈。 　　一方面是矿价的持续攀升使得锡厂利润萎缩而发起的加工费拉锯战，另一方面， 12月中上旬，云南地区锡厂曾因环保检查集中停产，致其库存普遍偏低，加之高品位锡矿价高量少、采购不易。当地冶炼厂普遍惜售挺价，报价坚挺于145000元/吨上方；同时，对锡矿的采购也十分谨慎。加之临近春节，2月份锡矿进口受此影响下降。 　　其实据SMM分析后发现，这波行情其实可以追溯到2017年的12月份，从那时起，锡价因冶炼厂集中减停产，加之缅甸锡矿出口减少的预期，所以锡价迎来了一波大上扬。 　　据沪锡(145240， 1040.00， 0.72%)指数显示，这波行情自去年12月14日最低点133150元/吨，至最高点2月7日151970元/吨，历时39日，上涨18820元/吨，涨幅高达14%。 　　但是就在一路上行之后，受冶炼厂复产影响，沪锡走势开始下行，3月28日，跌至最低点140680元/吨，吐出自12月底以来的所有涨幅。至此，2018年上半年的第一个大幅上涨行情告一段落。 　　波段二 　　时间：5月28日至6月19日 　　5月28日，沪锡(主力合约1809)开盘一路飙升，仅一小时涨幅已达1.5%，下午延续强劲走势收涨2.70%，领涨有色。第二日，开盘价151440，直接冲破所有均线，盘中持续走高，收涨2.78%。这两日疯狂的行情直接把沪锡(主力合约)价格推至最高点157560，值得注意的是，就在三日前，沪锡价格仅处于146540，暴涨11020元/吨。 　　突然上涨的锡价，让企业和投资者都猝不及防，据SMM独家调研得知，此轮极端的暴涨行情，使得一些昆山、泰州地区的小型焊锡厂直接被迫停产。 　　SMM深入企业，第一时间对产业链中的各个环节进行采访后发现，本轮暴涨行情中，锡产业链实体企业其实很受伤，通过那几日几近惨淡的市场成交中有所反映。下游企业持币观望，而前期较为活跃的套盘商也因纳入量有限而偃旗息鼓，观望居多。 　　其实此轮行情异动，主要源于市场对于锡供应是否充足的争论。据四月，海关总署公布的数据显示，中国3月锡矿砂及精矿进口量为8,004吨，依照往年数据分析推测，中国3月的锡矿进口会比之前月份有一个较大的上扬，而今年3月的锡矿进口不增反减，同比锐降逾60%。 　　此消息一出，市场上对于锡料供应紧缺的不安情绪逐渐演化成了恐慌。暴涨行情的一周内，成交量寥寥可数，锡市场现货交易基本上处于有价无市。 　　但是锡的供应真的短缺吗？ 从供应面来看，据相关数据显示，2018年1-5月份，中国从缅甸进口的锡精矿大约26000吨左右，与去年同期相比增加了5.6%。 　　同时，国内对于锡矿的产量也大幅的增加，据国际锡协预计，今年将增加8000-10000吨左右，其中以内蒙兴业集团旗下的银漫矿业为主。银漫矿业预计2018年的锡精矿产量为7000吨，其去年的产量为3000多吨。银漫矿业是国内近二三十年来，除华联锌铟之外唯一一座投产运行的大型锡矿山企业，产量有持续增加的潜力。经统计，今年1-4月份国内锡锭产量同比增加8%至56800吨。由于锡价的上涨，其实对于锡产量是一个极大的促进。 　　而需求面，国内对于锡的消费却持续的显示疲软。在锡使用的重要化工领域，甲基锡的生产明显下降，由于环保原因，甲基锡的重要原料——巯基酯产量大幅下降，据国际锡协数据统计，国内巯基酯减停产数量可能超过去年同期产量的50%，由于原料的短缺，甲基锡企业不得不大幅缩减产量，减产幅度大多在10-30%不等。而甲基锡的锡使用量占国内锡化工使用量的70-80%左右，这个高额占比，也是的对于锡的需求大为减少。 据海通证券研究所的数据显示，锡焊料仍然是锡下游最主要的应用领域，占比达到65%。电子行业中对于锡焊料的使用量十分巨大，由于宏观的利空消息，电子行业中的锡消费也受到了一定程度上的冲击。 　　SMM锡团队经过详细的调研和分析，在行情异变的当天及时公布研究结果，根据上期所公布的库存以及SMM统计的冶炼厂库存，预计市场锡锭库存达15000吨左右。根据SMM对现货买卖力量对比的跟踪，目前市场上买方：卖方为32:68，显示现货市场货源无紧缺之虞。 　　果不其然，就在第三天沪锡冲上157560最高位回落之后，当天沪锡主力合约(1809)首次飘绿，收跌0.89%，6月4日与13日的两次大跌，使得沪锡价格跌回60日均线。随着后市持续下行，沪锡价格已完全处于所有均线下方。 　　锡的基本面究竟如何？ 　　对于锡的供应量一直是市场最为关心和争论最多的问题，市场上对于锡库存也时刻紧盯。6月22日，印度尼西亚贸易部公布数据显示，印尼5月精炼锡出口量为12493.35吨，较去年同期出口的6989.43吨大增79%，亦远高于4月出口的4097.56吨。1-5月，印尼精炼锡出口总量约33,774吨。 　　消息一出，当日伦锡承压震荡，加之美元持续强势，伦锡大幅下探。LME三月期锡从22日收盘20440一路下挫，截止目前(28日)报收19665，下跌775美元/吨。 (LME三月期锡当时走势) 　　同时LME锡库存也逐步攀升，据伦敦金属交易所周二(6月26日)公布数据显示，伦锡库存为2,745吨，较前一交易日回落，但较周初有所增加，目前徘徊在逾一年高位附近。 (LME与上期所库存图) 　　在噤若寒蝉的锡市面前，产量数据尤为重要，SMM7月13日详细调研和统计了相关资料，SMM数据显示，6月国内精炼锡产量12215吨，较5月下降16.5%。6月产量下滑的主要原因是随着环保核查“回头看”的全面启动，云南、广西、江西、广东等精锡主要产区均受到一定影响，主要体现在部分中小型企业在6月中下旬至7月上旬进行短时停产，华锡则因设备检修从6月10日起停产；这些因素导致6月份产量出现较大下滑。预计7月份产量还将保持较低水平，考虑到因环保核查停产的企业虽然将于7月中下旬起逐渐复产，但7月的产量仍将被影响得较多，且华锡因环保原因还将保持停产状态，因此整体产量难以从6月份下滑的产量中有所恢复。 　　至于进口锡矿，因海关部门从4月份起暂停锡矿进口数据的公布，市场对近期佤邦出口锡矿状况的猜测层出不穷，尤其是6月份数据更是扑朔迷离。从佤邦出口商统计的2400-2800吨左右，再到国内进口商认为的5000吨左右，数据可谓大相径庭。今日国际锡协发文显示，其根据与生产商和贸易商的交流，估计的缅甸6月锡矿出货含锡量为4300吨，环比下降14%，同比下降19%；今年上半年缅甸出货含锡量估计为30,300吨，与去年同期相差不大。SMM认为，4300吨这个数据更为吻合近期云南地区锡矿的流通状况，根据调研，近期云南地区锡矿流通量尚可，加工费也比较平稳，未出现像前段时间那样采购困难的状况。                                            (责任编辑：DF318)"
"沪镍：空头打压意愿不强","摘要            18日，沪镍主力1809合约低开，多空争夺激烈，在持仓量稳步增加的同时，期价窄幅波动。之后，部分空头离场使得期价振荡重心略有抬升，但此时多头借机减仓，期价再度回落。午后，空头发力，期价快速下挫。至尾盘，空头获利回吐，期价有所回抽，日内以十字星报收。                             　　18日，沪镍主力1809合约低开，多空争夺激烈，在持仓量稳步增加的同时，期价窄幅波动。之后，部分空头离场使得期价振荡重心略有抬升，但此时多头借机减仓，期价再度回落。午后，空头发力，期价快速下挫。至尾盘，空头获利回吐，期价有所回抽，日内以十字星报收。 　　交易所多空持仓前20席位数据显示，1809合约呈现减多、增空态势。其中，多头减持2710张，空头增持794张，净空单增加至18195张。 　　具体来看，1809合约前20席位多头中，增持多单的席位有11个，但增持幅度均集中在400张以内。减持多单的9个席位中，减持幅度超过500张的席位有4个，但最高不超过1000张。 　　在前20席位空头中，增持空单的席位达到14个。其中，增持幅度超过500张的席位有3个，但最高不超过1500张。减持空单的6个席位中，减持幅度超过500张的席位有3个。其中，永安期货席位和中粮期货席位减持幅度均超过1000张，中粮期货席位减持超过2000张。 　　值得注意的是，海通期货席位当日在减持622张多单的同时增持790张空单，净多单减少至6175张；上海中期席位在减持644张多单的同时增持347张空单，净多单减少至136张；中信期货席位在减持407张多单的同时增持620张空单，净空单增加至2987张。以上数据显示，这部分席位对后市较为悲观。 　　相反，中粮期货席位当日在增持342张多单的同时大幅减持2025张空单，净空单减少至1136张；五矿经易席位在增持85张多单的同时减持370张空单，净多单增加至661张。以上数据显示，这部分席位对后市较为乐观。 　　另外，当日排行榜前20席位中，有8个席位在持仓上做出多、空同向调整操作。其中，位居多、空排行榜首的永安期货席位，当日在减持851张多单的同时减持1318张空单，净空单减少至5051张；华泰期货席位在减持210张多单的同时减持562张空单，净多单增加至2942张；迈科期货席位当日虽做出多、空同增操作，但其在多头持仓上的增持幅度大于在空头持仓上的增持幅度。以上数据显示，这部分席位对后市更倾向于乐观。 　　相反，浙商期货席位当日在增持167张多单的同时增持405张空单，净空单增加至459张；方正中期席位在增持156张多单的同时增持232张空单，净多单减少至590张；国泰君安席位和南华期货席位在空头持仓上的增持幅度亦大于在多头持仓上的增持幅度；银河期货席位虽做出多、空同减操作，但其在减持546张多单的同时仅减持50张空单，净空单增加至717张。以上数据显示，这部分席位对后市更倾向于悲观。 　　通过观察主力持仓动向，笔者发现当日多数席位选择在持仓上做出多、空同向调整操作，显示主力对后市观望心态较浓。虽然前20席位整体表现为减多、增空，但从席位间主力持仓调整方向和力度上看，经历了期价的连续下跌，空头继续打压意愿并不强烈，后市期价或止跌。                                            (责任编辑：DF318)"
"镍多基调不变 助推力量不足回调买入","　　今年上半年沪镍表现抢眼，第一季度上涨约3%，第二季度上涨约17%，上半年总体上涨幅度达到了约20%。镍的基本面一直利多，2018年依然是个供应短缺的年度，这已经是连续第三年出现供应缺口，供需决定了价格方向，同时新能源电池的应用与开发，涉及到了镍的使用，且发展前景良好，镍下游需求亮点比较明确，所以镍价格的上涨基调一直没有改变。 　　除此之外，上半年镍价上涨的助推力则是国内的环保与国内的库存问题。环保方面主要是短多长空，短期关停一些中频炉，使得产量向原生镍转移，原生镍的需求会短期受到提升。但从中长线来看，不锈钢产能的关停还是影响到了镍的表观消费量，长期来说对镍价形成负面影响。国内库存问题表现也比较怪异，交易所与现货市场的库存在减少，而保税区的库存在增加，总库存变化不是太大。由于交易所库存持续减少，使得市场对镍价会不会形成逼仓有所猜疑。在这二大推动力助推下，价格站上10万大关，向更高冲击，主力合约最高达到了12万的价格。 　　不难看出镍的价格在后期一定是被看好的，主要由于新能源电池这一块的应用。但就2018年来说，镍仍然有上涨的基调，但缺少像上半年一样的上涨条件。所以可以把镍作为多头配置的一个品种，回调买入作为长期的操作思路。 　　综上所述，基本面奠定了看多的基调，供应吃紧，对镍价来说应该是利多因素。下半年做多的因素目前来看依然集中在环保与挤仓上，消费拉动价格的时间点还没有到，2018年的供需缺口已经不大，更有可能集中爆发的时间点可能是在2019年下半年或2020年上半年。但对于绝对价格低的镍来说，我们可以在价格回调之后，逢低多头布局，如果镍价慢慢抬升也不会错过后面的多头行情。从目前来看，国内105000是一个支撑，镍铁价格在此支撑电解镍价，同时镍矿目前的价格也支撑着不锈钢，所以多方考虑，回调逢低买入长线持有是目前镍的操作策略。                                            (责任编辑：DF318)"
