"标题","正文"
"铜价今日观点 铜价开启了50000点争夺战","　　公布的中国7月官方制造业PMI不及预期，国内经济压力大，市场担忧情绪凸显。沪铜主力1809合约小幅攀升，但受阻于50000元/吨，盘尾收于49820元/吨，持仓和成交双减。日内炼厂正常出货，市场交投氛围偏淡，因淡季下游消费疲弱，成交无明显改善。近期智利Escondida铜矿的薪资谈判面临奔溃，罢工风险增加，铜价开启了50000点争夺战，短期认为罢工的忧虑仍会带动铜价偏强运行，操作上保持震荡思路。 　　                                            (责任编辑：DF386)"
"8.1恒指黄金原油美铜行情解析及操作建议","　　EIA报告前油价跌跌不休谨防今夜“黑天鹅”再现 　　晚间22:30美国将按惯例公布常规的EIA周度报告。上周数据显示原油库存意外降至2015年初以来新低，三大分项库存也纷纷录得下降，美国产量则与上周数据持平，当时油价上演“过山车”行情。　　目前市场预计当周原油库存将减少279.4万桶，汽油库存料减少128.8万桶，精炼油库存则预计小幅增加26.4万桶。今日早间API库存意外大增的利空影响仍在持续，欧盘时段油价跌跌不休，WTI原油盘中失守68美元关口，投资者要小心今夜EIA再度引爆大行情。 　　【8.1恒指行情分析】 　　恒指从日线图看近期K线连阴下跌，MACD阳柱渐缩，空头趋势强势，今日大幅下跌之后，必有反弹盘整情况出现，晚间建议区间操作。温馨提示：恒指波动灵敏，且幅度较大，建议大家严格带好止损，控制风险，顺势盈利，切勿贪多。 　　1、建议现价28240附近做多，目标28400，止损60个点 　　2、建议反弹至28400附近不破做空，目标28000，止损60个点 　　【8.1黄金行情分析】 　　黄金昨日的洗盘任然没有打破近期的弱势震荡局面，虽然各项指标都以多头展现，但是由于美元的强势，近期黄金看破位情况来觉得趋势是否转变，日内建议低多为主。 　　1、建议回调1227附近做多，目标1236，止损4美金 　　2、建议反弹1236附近不破做空，目标1227，止损4美金 　　【8.1原油行情分析】 　　从4小时来看，整体走势还是下跌后的震荡修正过程，并且在结构上原油依然属于压制状态，原油近期虽然没能站稳70一线大关，但是目前整体上仍然偏多头，短期来看建议高空为主。 　　1、建议反弹68.40做空，目标67.50，止损0.4 　　【8.1铜行情分析】 　　铜昨日冲高收盘，受日线图BOLL中轨压制强势下破，延续近期的空头，以周线图来看铜价格目前运气至BOLL下轨支撑，有所反弹，晚间操作以低多为主。 　　1、建议回调在2.7550附近做多，目标2.7850，止损0.01                                            (责任编辑：DF134)"
"01日铜锌镍冲高回落 明日将整体探底回升","　　【基本面】墨尔本8月1日消息，伦敦期铜周三微幅下跌。伦敦金属交易所(LME)三个月期铜下跌0.31%至每吨6280.5美元，7月累计下跌4.9%。上海期货交易所主力期铜1809合约上涨0.32%至每吨49940元。必和必拓旗下智利埃斯孔迪达(Escondida)铜矿工会成员周三前将完成对最终版本薪资合约的投票。一位工会领袖周一表示，工会料将拒绝该矿企提出的最终版本薪资合约，发动罢工的可能性升高。智利Caserones铜矿主要工会的会长周二称，该工会已经拒绝了该矿运营方Lumina Copper提出的最终版本薪资合约，工人已经投票批准罢工。嘉能可(Glencore)周二下调了铝和煤炭年产量预期。但上半年铜产量同比增加8%，钴产量增加31%，因刚果民主共和国业务出现增长。　　【走势预测】铜锌镍近期整体走强，如期反弹，连续反弹之后本周伊始行情同步走弱回落，铜、锌更是大幅下跌，昨日行情再度走强，回升反复，今日盘面先强后弱，冲高回落，现在行情陷入宽幅调整，大海预计明日铜锌镍将探底回升。　                                            (责任编辑：DF386)"
"01日铜价格小幅震荡48000是主要支撑","　　铜矿罢工事件有望发酵，促使价格获得支撑，同时宏观因素变化使得汇率的波动加大，间接使得风险偏好的变化提升。伦敦期铜收高0.8%，报每吨6,300美元。铜价本月迄今下挫了约4.7%，这将是2016年12月来最大单月跌幅。上海现货铜报价在49850-49960元/吨，涨205元/吨，平水-升40元/吨。今日现货市场表现出良好的成交势头，多为刚需成交，开盘报价好铜+40？后一直维持至中午也未见下降太多，说明市场的消费比较稳定在较高位置。另由于市场现货并不多，对升水起到支撑，加上持货商不缺资金，有意拉升水。　　操作上：沪铜1809合约今日小幅震荡，尾市收于49820，当前伦铜6000美元支撑，沪铜反弹也只是下跌中的修复，但是下方48000又是主要支撑。所以，回调做多为主，轻仓。　                                            (责任编辑：DF386)"
"多空拉锯 沪期铜维持区间震荡","　　今日早市沪铜主力1809合约低开于49840元/吨，昨日夜盘向上突破50000元/吨，早间开盘后，多头大量减仓，第一交易时段，铜价震荡运行于49985元/吨一线，随后，空头增仓，铜价重心下移至49940元/吨，短暂盘整。午盘开盘后，多头继续减仓离场，铜价沿49880元/吨一线窄幅震荡，振幅120元/吨左右，盘尾，多头持续减仓，最低至49810元/吨，收于49820元/吨，涨40元/吨。持仓减6618手至16.6万手，成交增1万余手至24.2万手。1810合约和1811合约今日共增仓7千余手。隔夜美国经济数据出炉，美元走强，人民币持续跌破6.84。晚间关注欧洲各国7月PMI终值，美国7月ADP就业人数变动以及Markit制造业PMI终值，预计晚间测试5日均线支撑能力。                                            (责任编辑：DF381)"
"伦铜冲高 关注其持续性","　　隔夜，伦铜开于6242美元/吨，欧美时盘一度低至6192美元/吨，后续中美可能再度谈判的消息引来多头进场，铜价反弹至6341美元/吨，尾盘收于6322美元/吨，成交增2444至16467，仓增372至30.8万手。沪铜主力则从回50000元/吨上方，盘中多头增仓带动铜价至50200元/吨，盘尾收于50090元/吨，仓增4244至57.3万手。 　　中央政治局会议判断当前经济稳中有变，提出六大部署，定调财政政策要更加积极，宏观环境有望得到改善，沪铜增仓上行，配合铜矿近期不断的扰动，短期冲高，但持续性值得考验，预计短期以震荡走势为主。伦铜区间6240-6290美元/吨，沪铜主力区间49800-50200元/吨，现货近期升水拉升较快，预计今日持货商将继续挺价，料今日平水-升水40元/吨。                                            (责任编辑：DF385)"
"上海期货交易所7月31日铜仓单涨352吨","　　上海期货交易所7月31日上海地区铜库存合计60310吨，较上日涨352吨；广东地区铜库存合计4246吨，较上日持平；江苏地区铜库存合计27363吨，较上日持平；浙江地区铜库存合计2653吨，较上日持平；江西地区铜库存合计0吨，较上日持平；总共合计92640吨，较上日涨352吨。                                            (责任编辑：DF386)"
"沪铜：市场情绪转变较快 沪铜或宽幅震荡","　　1 行情回顾 　　上一交易日沪铜主力Cu1809开盘49730，收盘49830，最高50010，最低49540，持仓量减少1.21万手，成交量减少6.58万手。夜盘小幅反弹，收涨0.52%。LME3个月期铜收涨1.23%，COMEX主力收涨1.16%。 　　2 基本面消息 　　上一交易日，上海有色网1#电解铜均价为49675，下跌110，现货平水，贴水缩窄40。上一交易日LME铜库存下降1850吨，SHFE铜库存略增352吨，国内库存下滑速度放缓，对铜价带动作用减弱。 　　宏观方面，市场情绪一波三折，离岸人民币昨晚急升，带动伦铜大涨，而在凌晨7点左右跌超200点。昨日美元指数收涨，美6月核心PCE物价指数稳步上涨，同比增2.2%。欧元区二季度GDP季环比初值为0.3%，继续下滑，为两年来最低。 　　行业方面，中国7月制造业PMI为51.2，环比回落0.3个百分点，新订单指数为52.3，环比回落0.9个百分点，不过，原材料库存指数为48.9，比上月回升0.1个百分点。中央政治局会议指出，稳字当头，坚持积极财政政策，坚持去杠杆，坚决遏制房价上涨。 　　3 技术分析 　　沪铜主力夜盘运行至布林中轨上方，MA5涨势放缓，RSI和KDJ上行，MACD继续向上方扩散，技术上略偏多。 　　4 综合分析 　　综合来看，中国经济下行压力依然很大，但政策层面维稳态度明确，但市场情绪转变较快，今日沪铜或宽幅震荡，参考区间：49320-50400，短差操作为主。                                            (责任编辑：DF318)"
"铜价今日观点 成交无明显改善","　　公布的中国7月官方制造业PMI不及预期，国内经济压力大，市场担忧情绪凸显。沪铜主力1809合约开于49780元/吨，小幅攀升，但受阻于50000元/吨，盘尾收于49830元/吨，跌110元/吨。夜盘走高收于50000上方。持仓和成交双减。日内炼厂正常出货，市场交投氛围偏淡，因淡季下游消费疲弱，成交无明显改善。铜市库存持续去化以及铜矿罢工预期为铜价带来支撑，需求低于预期，沪铜显抗跌，维持震荡思路。 　　                                            (责任编辑：DF386)"
"短期内预计铜价上行","　　铜：受智利两大铜矿罢工消息影响，短期内预计铜价上行。 　　宏观：美元连续两天下跌。一方面周三美联储利率决议前，市场持观望态度，另一方面非美货币持续走强，打压美元。美元收报94.384，下跌0.33%。30日公布的欧元区7月经济景气指数112.1，预期112.0，前值112.3。欧元区7月工业景气指数5.8，预期6.7，前值6.9。欧元区7月消费者信心指数终值-0.6，预期-0.6%，初值-0.6。同时美国6月成屋销售增加，美国6月成屋签约销售指数环比0.9%，预期0.2%，前值-0.5%。美国6月成屋签约销售指数同比-4%，前值-2.8%。国内方面，中国7月官方制造业PMI，数据显示预期为51.3，较前值51.5下滑0.2。经济整体供需仍然处于平稳状态。但是需求增速略有下滑。 　　现货与期货：30日现货报49700元/吨-49870元/吨。均值环比跌135元，对当月合约贴40元，升贴水环升30元。沪铜主力合约下跌1.46%至49360元/吨，LME3月合约环比下跌1.20%至6208美元/吨。沪伦比值7.95，环比不变。同时，30日上午人民币再次贬值大跌至6.8450上方，进口窗口关闭，上周入库的进口铜已大部分消化，后续入市量将再度停滞。今日早市持货商就显惜售挺价之意，报价贴水60~贴水20元/吨，接货者多为贸易商，且平水铜青睐度略高于好铜，出货者较上周减少，成交再显僵持拉锯。但度过月末两天，周后成交有望改善。 　　库存：25日上期所仓单环比减1419吨(-1.51%)、同比增35785吨(+63.33%)至92280吨。25日LME仓单环比增2750吨(+1.08%)，同比减44300吨(-14.74%)至256275吨。 　　消息面：智利国家铜业公司(Codelco)旗下Chuquicamata铜矿工人周一早间离开工作岗位，抗议“不正当解雇”两名工人。工会领导人表示，Chuquicamata铜矿1号、2号和3号工会，以及安托法加斯塔(Antofagasta)1号工会同意于周一早间停止作业，并封锁通向矿山的道路。Codelco旗下Chuquicamata铜矿是今年智利的第一个工人罢工事件。另一方面，智利Escondida铜矿工人已经拒绝了资方给出的最终版薪资提议，并同意通过投票来决定是否举行罢工。工会内部文件显示：“在所有的会晤中，工会成员以压倒性票数拒绝了这一提议，并就合法罢工展开投票。”据悉投票将在本周四之前进行，若达成罢工政府将介入为期5天的调停，介入仍无效的话罢工将于八月中旬展开。Escondida是世界上最大的铜矿，2018年预计约占世界铜矿总产量的5%-7%。 　　逻辑：美元下行提振基本金属行情。供给面Escondida拒绝了资方最终提议。                                            (责任编辑：DF318)"
