"标题","正文"
"8月2日黑龙江粳米报价基本平稳","　　2日，星期四。海关总署数据显示，2018年6月份我国进口大米17万吨，同比减少14万吨，减幅为44.6%。为2014年以来同期大米进口的最低值。1-6月我国累计进口大米177万吨，同比减少36万吨，减幅为16.8%。国内稻米库存充足，陈粮充斥市场，短期内提振的可能性不大。 　　各地具体市场表现方面，其中： 　　庆宝米业粳米三等的出厂报价为4600元/吨，和1日的报价持平，17年超级；粳米三等的出库报价为4400元/吨，和1日的报价持平，17年长粒；粳米三等的批发价格为3700元/吨，和1日的报价持平，14年陈粮；8月1日无现货成交。碎米国产的出厂报价为2400元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF318)"
"8月2日内蒙古玉米胚芽报价基本平稳","　　8月2日(周四)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下： 　　巴山淀粉玉米胚芽国产的停报，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日江苏省玉米胚芽报价基本平稳","　　8月2日(周四)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下： 　　罗盖特玉米胚芽国产的出厂报价为2850元/吨，和1日的报价持平，含油45%；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日河北省玉米胚芽报价基本平稳","　　8月2日(周四)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下： 　　辛集旭鑫玉米胚芽国产的出厂报价为2750元/吨，和1日的报价持平，市场价；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日河南省玉米胚芽报价基本平稳","　　汝州巨龙玉米胚芽国产的出厂报价为2800元/吨，和1日的报价持平，39%，停机；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日山东省玉米胚芽报价基本平稳","　　8月2日(周四)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下：　　恒仁工贸玉米胚芽国产的出厂报价为3000元/吨，和1日相比上涨了50元/吨，含油38%，停机；8月1日无现货成交。                                            (责任编辑：DF120)"
"8月2日辽宁省玉米胚芽报价基本平稳","　　8月2日(周四)国内胚芽市场行情稳。华北主流报价在2800元/吨附近，西北地区维稳，山东地区胚芽报价在2800-2950元/吨。各地具体价格如下：　　地尔乐斯玉米胚芽国产的出厂报价为2750元/吨，和1日的报价持平，市场价；8月1日无现货成交。                                            (责任编辑：DF120)"
"8月2日河北省玉米胚芽粕报价小幅下跌","　　8月2日(周四)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。三佳低毒粕报价在1700元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　抚宁骊骅玉米胚芽粕国产的出厂报价为1680元/吨，和1日相比下跌了20元/吨，普通：17%蛋白(市场价)；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日辽宁省玉米胚芽粕报价暴涨","　　8月2日(周四)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。三佳低毒粕报价在1700元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　辽宁铁岭汇鑫玉米胚芽粕国产的出厂报价为1600元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日内蒙古玉米胚芽粕报价基本平稳","　　8月2日(周四)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。三佳低毒粕报价在1700元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　内蒙兴源玉米胚芽粕国产的出厂报价为1450元/吨，和1日的报价持平，18%；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日山东省玉米胚芽粕报价基本平稳","　　8月2日(周四)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。三佳低毒粕报价在1700元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　邹平三星玉米胚芽粕国产的出厂报价为1550元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日陕西省玉米胚芽粕报价基本平稳","　　8月2日(周四)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。三佳低毒粕报价在1700元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　国维淀粉玉米胚芽粕国产的出厂报价为1450元/吨，和1日的报价持平，普通粕；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日河南省玉米粕市场行情动态","　　8月2日(周四)国内玉米粕现货整体稳定。黄淮地区主流普通粕报价在1480-1580元/吨。三佳低毒粕报价在1700元/吨。胚芽粕库存紧张，厂家挺价心理存在。各地具体价格如下： 　　郸城财鑫玉米胚芽粕国产的停报，饼；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日陕西省玉米蛋白粉报价基本平稳","　　国维淀粉玉米蛋白粉国产的出厂报价为69元/蛋白，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日辽宁省玉米蛋白粉报价基本平稳","　　8月2日(周四)国内蛋白粉市场整体稳定，个别调涨。黄淮地区主流蛋白粉报价在66-72元/蛋白。吉林长春蛋白粉报价71元/蛋白，涨1元。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨。各地具体价格如下： 　　营口嘉里玉米蛋白粉国产的出厂报价为72元/蛋白，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF358)"
"8月2日辽宁省玉米淀粉报价基本平稳","　　8月2日(周四)国内淀粉市场稳定，个别调涨。东北主流价格在2280-2350元/吨，黄淮主流报价在2480-2550元/吨。吉林大成地区淀粉上调20元至2350元/吨。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨，价格走势明显偏强。各地具体价格如下：　　地尔乐斯玉米淀粉国产的出厂报价为2350元/吨，和1日的报价持平，为市场价；8月1日无现货成交。                                            (责任编辑：DF358)"
"8月2日吉林省玉米蛋白粉报价小幅上涨","　　8月2日(周四)国内蛋白粉市场整体稳定，个别调涨。黄淮地区主流蛋白粉报价在66-72元/蛋白。吉林长春蛋白粉报价71元/蛋白，涨1元。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨。各地具体价格如下：　　长春大成玉米蛋白粉国产的出厂报价为71元/蛋白，和1日相比上涨了1元/蛋白，市场价；8月1日无现货成交。                                            (责任编辑：DF358)"
"8月2日河北省玉米淀粉报价基本平稳","　　8月2日(周四)国内淀粉市场稳定，个别调涨。东北主流价格在2280-2350元/吨，黄淮主流报价在2480-2550元/吨。吉林大成地区淀粉上调20元至2350元/吨。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨，价格走势明显偏强。各地具体价格如下：　　骊骅淀粉玉米淀粉国产的停报，8月1日无现货成交。                                            (责任编辑：DF358)"
"8月2日内蒙古玉米蛋白粉报价基本平稳","　　8月2日(周四)国内蛋白粉市场整体稳定，个别调涨。黄淮地区主流蛋白粉报价在66-72元/蛋白。吉林长春蛋白粉报价71元/蛋白，涨1元。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨。各地具体价格如下：　　巴山淀粉玉米蛋白粉国产的出厂报价为70元/蛋白，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF358)"
"8月2日山东省玉米蛋白粉报价基本平稳","　　8月2日(周四)国内蛋白粉市场整体稳定，个别调涨。黄淮地区主流蛋白粉报价在66-72元/蛋白。吉林长春蛋白粉报价71元/蛋白，涨1元。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨。各地具体价格如下：　　恒仁工贸玉米蛋白粉国产的出厂报价为66元/蛋白，和1日的报价持平，停机；8月1日无现货成交。                                            (责任编辑：DF358)"
"8月2日黑龙江玉米淀粉报价基本平稳","　　8月2日(周四)国内淀粉市场稳定，个别调涨。东北主流价格在2280-2350元/吨，黄淮主流报价在2480-2550元/吨。吉林大成地区淀粉上调20元至2350元/吨。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨，价格走势明显偏强。各地具体价格如下：　　龙江中粮玉米淀粉国产的出厂报价为2300元/吨，和1日的报价持平，为市场价；8月1日无现货成交。                                            (责任编辑：DF358)"
"8月2日河南省玉米淀粉报价基本平稳","　　8月2日(周四)国内淀粉市场稳定，个别调涨。东北主流价格在2280-2350元/吨，黄淮主流报价在2480-2550元/吨。吉林大成地区淀粉上调20元至2350元/吨。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨，价格走势明显偏强。各地具体价格如下： 　　淇县永昌玉米淀粉国产的出厂报价为2500元/吨，和1日的报价持平，市场价；8月1日无现货成交。                                            (责任编辑：DF381)"
"8月2日陕西省玉米淀粉报价基本平稳","　　8月2日(周四)国内淀粉市场稳定，个别调涨。东北主流价格在2280-2350元/吨，黄淮主流报价在2480-2550元/吨。吉林大成地区淀粉上调20元至2350元/吨。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨，价格走势明显偏强。各地具体价格如下：　　国维淀粉玉米淀粉国产的出厂报价为2550元/吨，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF120)"
"8月2日江苏省玉米蛋白粉报价基本平稳","　　8月2日(周四)国内蛋白粉市场整体稳定，个别调涨。黄淮地区主流蛋白粉报价在66-72元/蛋白。吉林长春蛋白粉报价71元/蛋白，涨1元。东北地区主流企业近期销售情况尚可，基本无销售压力，低价惜售情绪较浓，企业报价出现小幅提涨。各地具体价格如下：　　连云港罗盖特玉米蛋白粉国产的出厂报价为73元/蛋白，和1日的报价持平，8月1日无现货成交。                                            (责任编辑：DF120)"
