"标题","正文"
"黄金供求分析：节节败退的金市目前处于什么位置？","摘要            自4月触及1365美元高位至今，金价已经下跌了140多美元。对冲基金经理Keith Weiner认为，从基本面来看，金银比率上周出现下滑，金属充裕程度则没有发生太大的变化......                             　　 许多人都认为他们应该持有黄金。他们知道，政府是挥霍无度的借款人，且没有办法和意图偿还债务。他们也意识到美元(以及欧元和英镑等)只是政府债务的一部分。他们不想成为政府的债权人。 　　然而，买入黄金似乎对他们没有任何作用，除非金价上涨，但显然目前并不是这样。那么黄金还有什么用呢？ 　　如果政府都在走向违约，为什么金价不上涨呢？在这个时候，市场难道不应该出现疯狂抢购黄金的现象么？ 　　对冲基金经理Keith Weiner认为，或许可以供需基本面来观察一下黄金市场当前的状况。 　　从图中可以看出，黄金价格在4月底之前持续上涨，但随后暴跌，再度回到了长期趋势中。 　　实际上，自4月触及1365美元高位至今，金价已经下跌了140多美元。 黄金基本价格与市场价格(买入价)走势　　由于在2016年年初左右触底，黑色线(黄金基本价格)走势呈现出一定周期性，这是一个普遍的上行趋势。这意味着出现更高的低点。 　　下图显示的是黄金和白银的价格走势。上周金价累计下跌8美元，白银下跌4美分。 自3月初以来，以美元计价的黄金和白银走势　　金银比则在上周下跌了。 金银比率走势　　下图显示的则是黄金供需水平和以美元计价的金价，蓝线为金属充裕程度(Basis)，红线为稀缺程度(Cobasis)，绿线为以美元计价的金价。 　　从中可以看出，黄金价格和充裕程度都没有发生太大的变化。 　　白银市场也发生了相同的情况。                                            (责任编辑：DF318)"
"赵亦富：黄金多头无力！大非农能挽回黄金多头趋势！","　　美联储决议过后，非农怎么看？ 　　于昨日的美联储利率决议来说，亦富对此还是有点失望。亦富在之前也对于此次纪要提示过。8月肯定不会加息的，所以不会出现大跌的现象出现。也提醒过各位注意关注美联储对后市加息的决心。 　　美联储决议表明，重申预计进一步逐步加息将符合经济持续成长、就业市场强劲以及通胀目标。这无疑稳定了9月加息的地位。同时12月加息概率达到了68.2%，这也表示年内很可能加息4次。这无疑是利好美元，打压黄金的。当然，这只是后话，当前特朗普也在反对美联储如此激进加息。担心加息过快将影响美的根本情况。后市具体如何，还有待观察。当前我们着重关注非农的情况。 　　昨日晚间有小非农之称的ADP数据如期利空，这也表示当前美就业情况的稳定以及强劲。就当前总体美经济情况以及就业情况来看，本周五大非农数据以及失业率数据也将面临利空黄金的情况出现。其实对于有经验的朋友看一下当前非农预期值就可以猜到个大概。对此，赵亦富我也懒得多说，具体情况，赵亦富也会在非农当天给出更为详细的博文来为大家解答。当然，在此目前的情况下，赵亦富建议当前反弹高空为主来进行操作。 　　现货黄金操作建议 　　从日线上看，上周日线阴阳交替循环，无论是上涨还是下跌，多空都没有延续。其实辰逸一直提到过日线上的多空分水岭还需要进一步确认，进一步是再次形成极端继续上涨走势，而退一步则跌入万丈深渊。日线上布林带的还在张口，也暗示后市金价将维持震荡的走势，短线上多空仍存在悬念。那么本周我们依然还是重点关注上方1236一线的强阻力，这是顶底转换位，也是当前下行趋势阻力位，只有破位1236一线，那么整体格局或将会被打破，黄金才可能走反转。 　　从4小时来看，前面的持续下跌，结合近期的反弹上升，现在的重点是后面行情破位的方向，近期的反弹形成一个短期的上行通道，若后面行情向下突破下轨，4小时图上有望走出下降旗型的延续形态，那么后市趋势继续看跌，我们的操作也能顺势去布局空单；若行情向上轨阻力突破，没有形成旗型，而是走双底，那么短期还有继续反弹的空间，因此在操作不要盲目追单，先关注破位情况。短线操作思路上建议区间高空低多，重点关注上方1236一线压力，下方1210一线强支撑。短线操作上关注上方1228-1226一线阻力，下方1215-1213一线支撑。 　　黄金操作建议： 　　1、回调1217.5附近做多，止损1214，止盈1226附近； 　　2、上方1226附近做空，止损1230，止盈1220附近。                                            (责任编辑：DF350)"
"牛仁点金手：黄金短期难破震荡区间 初请数据指引预期非农值","　　热点聚焦： 　　凌晨美联储利率决议发布，如预测的没有宣布加息。而决议中美联储预计进一步渐进加息将符合经济持续成长、就业市场强劲以及通胀在中期接近2%的对称目标。美联储还指出家庭支出和企业固定投资持续“强劲增长”，美联储将过去稳健改为强劲，暗示美国经济发展将更加迅速。美元强劲得到支撑，黄金承压。今晚公布的失业金值得关注，此两数据将直接影响市场预期非农值。 　　行情分析及操作建议： 　　黄金行情分析 　　昨天的黄金在亚欧盘如预期般震荡，在1220-1224窄区间内上下波动，到美盘时段，“小非农”ADP数据公布值21.9，高于前值和预期，利空黄金，随后金价震荡下跌，晚间跌至1220下方震荡，最低到达1270下方，凌晨的美联储利率决议，整体反应比较平淡，美联储不加息的声明短线提振金价至1221，但对于经济强劲的表态，又将金价打压至1216附近，但也并未进一步下跌，守住了关键支撑，最终收盘在1216一线，短期金价还将看涨。 　　今天黄金行情，从技术面上看，日线图上，昨天日线收线再次收阴，一根长阴柱吞没前天的小阳柱实体部分，日线整体上的空头趋势并未改变。另外自黄金触底1211位置反弹后，目前已经有9个交易日没有再次去触及或突破此位置了，说明在1211及1205一线的支撑依然有效。今日反弹若能成功上穿阻力区间则底部可能到来，而若强势突破20日均线则说短线多头上涨趋势形成。 　　四小时图上，可以看到黄金仍处在1236-1211大区间内震荡波动，在1236一线为强阻力位，下方1211.5低点及次低点1213.9形成支撑，不跌破这里，可以当作潜在的双底部去对待，并以此为依托继续看反弹，若反弹能成功突破1229高点则4小时看涨成立。 　　综合来看，昨天密集的数据以及市场期待已久的美联储利率决议最后带来的影响都“不痛不痒”的，并未改变目前的震荡格局，震荡还是主基调。目前金价反弹上攻5日均线处压制，早间在1221一线的压制非常关键，若没有破这里还将维持弱势震荡，但我们预期大概率会突破。 　　市场瞬息万变，灵活把握，耐心等待你只需抓住关键的那一刻。 　　黄金操作点位建议： 　　1、下方激进的1217-1218附近轻仓博多，止损1213，目标看1224-1227； 　　2、上方激进见1227-1229附近轻仓短空，止损1231，目标看1223-1220； 　　3、交易请带好止损，利润空间可随实时行情变化而自行做调整，注意行情破位顺势去操作。                                            (责任编辑：DF350)"
"爱华点金道：黄金现货行情分析","　　昨日行情回顾：　　国际现货黄金周三(8月1日)亚市早盘开于1223.80美元/盎司，欧市金价起伏不定，触及低位后反弹。美市美联储虽维持利率不变，但称经济强劲，市场预期9月加息几乎是“板上钉钉”，美元走强，金价加大跌幅，盘中出现跳水行情，金价大幅下挫，刷新日内前低，最低下探1216.16美元/盎司后反弹，终收于1217.70美元/盎司。　　今日操作建议：　　日内关注区间1225-1213；操作上建议反弹做空为主，低多为辅。　　具体操作建议：　　1。黄金反弹1222-1224附近做空，目标1215-1210附近。止损1228。　　2。黄金回调1213-1214附近做多，目标1222-1224附近，止损1210。　　今日关注数据：　　全球最大黄金ETF——SPDRGoldTrust持仓周三减少3.24吨，当前持仓量为796.96吨，创两周新低。                                            (责任编辑：DF350)"
"熊炎祖：加息未能提振黄金 高空继续等待非农","　　黄金后市展望：高空继续 　　昨晚美联储会议决定保持利率不变。同时罕见地用“强劲”表达对美国经济形势的看好，凸显今年将继续加息的立场。美联储称，预计进一步循序渐进加息将与经济活动、就业和通胀形势一致。在美联储声明发布后，美联储在9月加息25个基点的概率为91%。那么也就是说，未来一段时间内美元仍将延续强势形态，对贵金属构成压制。 　　其次，对于1211低点以来的所有反弹我们都定义为反弹修正，反弹修正不是反转，是下跌后的次级调整波，调整完成还会延续下跌。时间上变盘窗口在上周五已经出现，而在上周周五以来盘面加再没有创高出现，步步走低。虽然暂时没有形成下行突破，潜在的下跌已经出现。 　　最后，日线1218的支撑，对国际金下行构成明显阻碍，昨日盘面收盘在1218下方这个位置可以看做被突破，日内盘面即使出现反抽情况，多头反弹也难有太大建树。总的来讲，日内盘面我们将会维持高空思路，不仅仅是今日，本周接下来的两个交易日都是围绕高空下行突破对待。点位上关注夜间反弹高点1222一线，亚盘反弹不破此位，继续高空跟进。                                            (责任编辑：DF350)"
"建东理财：黄金空头强势 日内黄金、原油分析、交易策略","　　黄金：　　凌晨时段美联储利率决议出炉，所有决策基本符合预期，黄金市场继续维持调整不动；昨日黄金开盘1223.9盎司/美元后亚盘整理回落至1220一线后反弹整理二次承压日内高位1224.6盎司/美元后震荡回撤，且于美盘开盘后跌破1221后持续下跌至1216支撑反弹整理，晚间会议纪要公布之后，黄金冲高回落，晚间刷新1215.6盎司/美元，收盘于1216.1盎司/美元，日K线收取中阴线。　　昨日黄金价格开盘后整理且盘中连续反弹承压后晚间刷新1215.6新低后低位反弹整理，日K线收取中阴线；日K线上看，K线收阴后继续调整于BOLL带中下轨一线，BOLL带维持开口向下局势，短周期MA5、10粘合二次死叉下滑至1220-1223区域位置形成压制，下方支撑位则是需要关注1213-1210区域；4小时线上，黄金价格整理运行，K线调整于BOLL中轨下方位置，BOLL带持续缩口持平反复，短中期均线粘合调整于BOLL中轨于1220上下形成压制，MA5下行至1218形成初步压力，黄金走势以空头占优。　　综合来看黄金在连续的走势下盘中以震荡波动调整为主，而上方压力位以1224-1225持续形成压制，详情加/宮/仲/皓：建东财富。而走势上形成反弹连续承压不破后弱势下探1218-1216区域位置的形态呈现；而其中主要原因则是美联储会议纪要的预期，而本次会议纪要预期不加息对于黄金提供着支撑，而凌晨时段的会议结果也是如此，盘中黄金先涨后跌，收盘1216位置。　　今日黄金操作上，鉴于会议纪要已经公布，而昨日ADP数据显示非农的利空概率较大，那么黄金重点就是关注明日的非农数据和失业率了，而这对于黄金来讲依然会是承压为主；同时技术面上维持弱势态势，昨日阴线实体部分吞没前日影线，空头动能聚集，一旦发散就是新一轮空头下探；所以今日操作上建东建议继续做空为主。　　黄金操作策略：　　1.1223-1224附近做空，止损1229，目标看到1217-1215；　　2.1213-1214附近做多，止损1210，目标看到1223-1224。(策略仅供参考)　　原油方面：　　技术面分析来上看，昨日原油市场延续了前日阴包阳回落过程，行情早盘开盘在68.48的位置后行情小幅拉升给出68.62的位置后行情开始回落，美盘行情受到美国EIA原油库存增加的影响行情快速下行最低给到了67.3的位置后行情受到支撑整理，日线最终收线在了67.88的位置后行情以一根下影线很长的中阴线收线，而这样的形态收尾后，日线虽然受到下方趋势线支撑，但上方空头压力不减。目前油价正在测试20日均线的支撑，且MACD零轴之上死叉，下行动能也正逐渐增强，如果本交易日油价收于68美元/桶下方，那么很可能引发空头大量涌入。这也是油价回落的风险之一。4小时图上，油价目前已经跌破了61.8%回撤位，这暗示6月18日来的这波上升趋势已经正式结束，目前油价正在小幅反弹测试该回撤位的阻力，不过下行正在不断走弱，这暗示原油的反弹空间可能较为有限。原油近期的走势一直处于一个低点逐步抬高的过程之中，但是上涨的延续性却不强，每次在突破后都伴随着较大的回落和震荡，所以在操作上建东认为回踩就是空，避免去追多单，回落后在去入场，明天大非农来袭，预计行情波动会比较大，操作上必须谨慎对待。　　原油操作策略：68.3附近空，止损68.7下方目标看67.3附近，破位看67和66.7附近。                                            (责任编辑：DF350)"
"成子西：鹰派言论或引发黄金探底 抄底翻仓之路已展开","　　小非农数据已出，你抓住几个点？　　昨晚公布的美国7月ADP就业人数实际值为21.9万人，远小于前期17.7和预期值18.5，数据利空黄金，那么成子西在1223附近布局的空单在1219附近止盈，部分客户跟随思路小赚几笔，但是方向把握得好不愁赚不到钞票！今天我们再接再厉。做投资同样是锻炼心态，就像昨天天本该得的利润和本不该亏的资金，你却一样都没得到！你之所以不敢下手是因为对技术分析和行情把握的不确定，究其根本就是自己心态问题，根本就不是靠分析来看行情；老师给你分析你却要靠感觉和猜测，涨这么多要破位了吧？追多跌下来了怎么办？就这样重复着扰乱自己的心智。最后看不下去了，一咬牙，闭着冲进去。撞了，损了。还有一种就是你目前的老师实力实在太差了，损了又损套了又套，那么你该思考一个问题了，你有没有一个专业的老师来指/导你。其实当你和分析师在纠结该不该进时，不仅点位错过了，行情也没了。成子西有时候确实是有种恨铁不成钢的感觉。　　非农数据利空黄金，黄金抄底机会已到　　七月已经结束，七月份的黄金行情可以说是一直在走单边，有很多朋友一路在1260,1245,1230选择抄底做多单，成子西认为这种选择并没有错，因为黄金短时间内已经跌了很多，参考以往的行情做抄底的选择也很正常，但是错就错在没有带好止损，可能你会说抄底为什么要带止损，那我反问你你就很肯定行情一定会绝地反弹？正确的抄底是在关键点位博多抄底，正常带止损，轻仓做进去，一旦下方形成有效筑底后再逐渐加仓，这样子也可以防止行情继续回落造成更大的损失。子西一直以来都不反对抄底，但是反对毫无顾虑地抄底，并且重仓操作，仿佛就像是捡钱行情一样，结果呢？一跌在跌，深套的深套，爆仓的爆仓。我给学员一再强调，做投资不是一本万利毫无风险，相反这是一个风险很大的投资，随时会一无所有。在这样的环境下我们做单需要慎重再慎重，仓位风险一定要控制好，做好仓位控制后再结合关键支撑阻力点位去进行选择会事半功倍，成功率远比你去胡乱作单不带止损要强的多！　　昨晚公布的美国7月ADP就业人数实际值为21.9万人，远小于前期17.7和预期值18.5，数据利空黄金，而当前黄金还处于空头趋势当中，所以不管是基本面，还是技术面，都是利于空头的，昨日黄金冲高一波1224，没有走出有效上破，回调下来继续弱势震荡，今日凌晨2点的美联储利率决议维持利率不变，表示暂不持续性加息！但是没有对黄金造成多大影响。这是在成子西的预测之中情。　　黄金四小时级别很明显可以看出黄金处于弱势震荡下跌，上方1235一线的压制，然后1225一线的压制，使黄金承压下跌，黄金下方1202附近支撑密集，不看好下方有太大的区间所以相比于追空而言更看好低位企稳进多，所以保持我们抄底的思路不变，日内短线可以做一下短空。　　我们1218的第一次试探性抄底多单可以保本或者小赚先出局，等下方1210,1202附近更好的点位。　　黄金实时操作策略：　　1、下方反弹在1222美元上方做空，止损5美金，目标1215，反弹补空；　　2、若黄金意外失守1215美元一带支撑，反弹在1218附近继续做空，止损4美金，目标1212附近。                                            (责任编辑：DF350)"
"舒念雅：黄金反复意欲何为？黄金能否反弹黄金操作建议","　　美联储会议精华摘要：　　周四凌晨两点美联储FOMC公布的利率决议及政策声明，届时不会召开新闻发布会。市场普遍预测美联储将按兵不动。但FOMC声明：维持联邦基金利率目标区间在1.75%-2%不变，经济增速仍保持强劲。美联储维持利率不变，黄金短线上扬，美元指数DXY窄幅波动。通胀仍接近2%的水平，较长期通胀预期保持不变；维持超额准备金率在1.95%，贴现率在2.5%不变。　　美联储重申预计将进一步渐进加息这一政策决定获得一致通过，货币政策的立场任保持宽松，将符合经济持续成长、就业市场以及通胀目标。FOMC声明：整体通胀和核心通胀指标接近2%。经济活动增速强劲，据媒体：CME美联储观察显示，联邦基金利率市场暗示，交易员认为美联储在9月加息25个基点的概率为91%。12月加息至2.25-2.5%的概率为71%。　　综合上市消息面来说，经济增速从稳健更新至强劲，就业市场逐步扩张使得通胀逐步通向2%的目标，FOMC声明偏向鹰派，也基本确认了渐进式加息路径不会改变，所以念雅认为，9月加息基本是板上钉钉了，黄金短线或者说8月初到中旬都应该是以震荡偏空为主。　　黄金技术分析：　　最近的黄金行情，或者说今年的整体市场表现，是不是让你很头疼，其实很多分析师和你一样，不知所措头疼，当然其中也包括我。自4月中旬冲高1365见顶，至今将近4个月的震荡下跌，或者说空头行情，累计跌幅154美金，可见单月波幅并不大。持续的日线级别小K线形态，单日不足10美金的波幅让人确实不知道怎么做，偶尔有行情单日一根中阴大阴结束，也是很难跟随和抓上。这种大环境之下行情陷入了低位反复洗盘整理。上周围绕1235-1218反反复复走了几个来回，幅度有的，尽管1-2个交易日才走一个节奏，但是区间很规则。不过上周的循环和走法并未延续到这周：目前本周黄金高点1228.5，低点1214附近，波幅14.5美金。周一十字星，周二十字星，周三1224-1218-1224-1214-1228的过山车洗盘整理十字星，周四昨日小阴线。　　黄金整体还是偏弱，这点其实我们也反复提到周线级别空头排列。但是短周期的黄金行情还是焦灼的，反反复复低位整理。上周围绕1235到1218整理，这周幅度更小，不过要走的弱一些。　　四小时收口，而且区间反复节奏依然应该是我们关注的重点，所以大节奏周内依然关注1235-1217的区间小节奏今日注意1227-1216的反复，在这个区间内高空低多　　后半周虽然消息面较多，但是念雅在之前的文章明确指出消息面很难改变反复整理节奏　　黄金今日操作建议：　　1223-1224空单进场，目标1217破位持有看1215！　　1214-1215多单进场，目标1220-1222。                                            (责任编辑：DF350)"
"胡璟昇：黄金后市还有一跌！日内黄金行情分析及操作建议","　　黄金昨日再度走弱，虽然白盘陷入1220-23的小区间震荡，不过随着美盘小非农的利空，价格在数据后下跌了一波，但任然支撑在1217上方，午夜在美联储偏鹰派的言论下，行情小幅冲高后二度下挫，打破日内低点但为强势破近期低点，目前看行情仍处于低位区间震荡整理当中，不过收线方面首次收到1220下方，整体走势上黄金明显偏空，。　　技术面上，，RSI低位拐头向上，Stoch指标低位金叉向上，指标上显示黄金短线偏向反弹，反弹力度暂时不知道，预计亚欧盘是走反弹走势，美盘走弱的结构，操作上胡璟昇工重昊风控胡璟昇稳健建议等待高位做空的思路不变，日图布林带开口朝下缓和运行，均线呈死叉再开口朝下发散运行，双线分别在1221/23形成压制，行情整体表现弱势形态，4H中看当前行情处于下跌后的整理阶段，短线有反弹修正行情出现的可能，但上方空间有限，中轨压制在1221一线附近，短线操作上顺着市场数据利空反弹空为主，结构上黄金仍在区间1211-1225之间动弹，下方重中之重的防守位在前期低点1211一线，只要此线不破区间震荡整理思路不变。指标上上方各均线皆是短线反弹上行的阻力，目前关注上方短线阻力MA5，亚欧盘不能顺利突破站稳此线反弹难继续，或许会出现小幅反弹后受阻此线再度向下测试低点支撑，日内上方重点关注防守位置1223一线附近，此位之下皆是空，操作上下方低点1211支撑一线仍需防守短多一次，此单是辅助，重要操作仍是反弹依托1223阻力一线不破择机空，具体操作计划随着盘中行情走势强弱再实时制定。　　黄金操作建议：　　1、反弹1223-21做空，止损1226，目标1218-15，下破看1213-11；　　2、触及1211尝试做多，止损1209，目标1215-18。                                            (责任编辑：DF350)"
"熊毅玮：美指起伏不定 预计非农前黄金继续震荡","　　行情回顾---金价震荡下行盘中跳水　　现货黄金周三8月1日在美联储宣布维持现有利率不变之后，短线跳涨约3美元，但涨势未能持续，金价重返跌势，美市盘中最低下探至1216.16美元，金价仍运行在1220下方。FOMC声明称维持联邦基金利率目标区间在1.75-2%不变；维持超额准备金率在1.95%及贴现率在2.5%不变，此次政策决定获得一致通过。FOMC声明表美国经济增速仍保持强劲；整体通胀和核心通胀指标接近2%，较长期通胀预期保持不变；家庭支出增速有所加快；商业固定投资持续强劲增长；货币政策的立场仍保持宽松；经济面临的近期风险大致均衡；预计就业市场仍保持强劲；失业率处于低位；经济活动增速稳健。美联储重申预计进一步逐步加息将符合经济持续成长、就业市场强劲以及通胀目标。FOMC声明发布后，据CME美联储观察显示，联邦基金利率市场暗示，交易员认为美联储在12月加息至2.25-2.5%的概率为71%；在9月加息25个基点的概率为91%。国际现货黄金周三8月1日亚市早盘开于1223.80美元后，金价上涨，录得日内高点1224.77美元后转跌，金价震荡下行。欧市金价起伏不定，触及低位后反弹，但涨势未能持久再转转跌。美市金价加大跌幅，盘中出现跳水行情，金价大幅下挫，触及低位后反弹，但不久又再度转跌，刷新前低，录得日内低点1216.16美元后反弹，终收于1217.70美元。国际现货黄金周三8月1日亚市早盘开于1223.80美元，最低下探1216.16美元，最高上涨至1224.77美元，终收1217.70美元，下跌6.3美元，跌幅0.51%。　　消息解析---ADO报告来袭黄金大幅下挫　　日内公布的美国ADP就业报告，制造业PMI终值，ISM制造业指数和营建支出等数据喜忧参半，整体对市场影响不明显。数据显示，美国ADP7月就业人数上升21.9万，高于预期18.5万，连续录得增加显示就业强劲。该数字作为非农就业数据的前瞻，预示着非农将较为乐观，市场预期7月非农为19万；美国7月ISM制造业指数低于预期，为58.1%，从6月的60.2%下滑，市场预期为59.4%；美国7月Markit制造业PMI终值55.3，略低于前值和55.5，数据表明美国制造业继续扩张，但越来越多的迹象显示，供应短缺、价格上涨和出口恶化等不利因素正在加剧；美国6月营建支出月率下跌1.1%，低于前值0.4%和预期0.3%；录得自2017年4月以来最大降幅，因私人和公共投资项目有所下降，但前几个月的支出被修正为大幅上涨。美联储周三发布的利率决定符合市场预期，黄金受到短暂提振，一度缩减日内跌幅，但整体弱势并没有得到扭转。目前黄金仍处于看跌趋势之中，美联储未来的两次加息对金价的上涨仍是制约。目前从技术面及图表看，黄金走势仍处于全面的跌势之中，金价仍受阻于1210关口，后市支撑区域在1211-1215一线，若跌破此支撑线，金价将考验去年7月低点1204.9及1200大关。上行阻力在1220及1230一线。　　行情分析---非农之前仍然看震荡　　美元指数上行动能较为疲软，尽管美国ADP数据好于预期且美联储声明鹰派，但是美国制造业PMI不佳，周四亚盘美指小幅回落。在本周五美国非农数据出台之前，市场料不会对美元进行单边押注，因此美指倾向于震荡，技术面显示，美元指数受阻于50%百分比位，下行将受到25%百分比位的支撑，料短线将于94.18-94.67区间内震荡，短线有回落的风险。日线图显示，现货黄金继续维持低位盘整震荡趋势。美国经济数据向好加上美联储偏鹰使得金价承压。不过金价目前依旧震荡交投于收敛三角区间中，随着美元指数回落风险加剧，料非农数据出台之前金价将继续保持区间震荡走势。技术指标目前走势依旧较为消极，尽管MACD上行动能温和增强，但是RSI以及MA均线都持续回落，这使得金价下跌的风险加剧。四小时图显示，金价在收敛三角下轨附近受到支撑之后温和反弹，RSI目前止跌，现震荡交投于中轴下方附近，尽管MA均线以及MACD走势都较为承压，但是目前KD指标已经跌至超卖水平，且跌势暂缓，而1小时图显示KD指标自超卖水平反弹，这暗示金价短线有反弹的空间。倾向逢高做空，1222-23水平附近入场，止损1227美元。                                            (责任编辑：DF350)"
